Gene A,Gene B,Label,Score,Precision,Recall,False Positive Rate
YMR040W,YGL236C,0,11.372213,0.0,0.0,0.00010011011909227818
YMR040W,YPL019C,0,10.533392,0.0,0.0,0.00020022023818455637
YLL009C,YCR091W,0,9.736914,0.0,0.0,0.0003003303718287498
YMR090W,YGR155W,0,9.543238,0.0,0.0,0.00040044047636911273
YOL052C-A,YPL172C,0,9.218505,0.0,0.0,0.0005005506100133061
YGR180C,YDR478W,0,8.449345,0.0,0.0,0.0006006607436574996
YDR077W,YJL180C,1,8.425812,0.1428571492433548,0.0009891196386888623,0.0006006607436574996
YLL009C,YER168C,0,8.407577,0.125,0.0009891196386888623,0.000700770819094032
YFL016C,YHR005C-A,1,8.39334,0.2222222238779068,0.0019782392773777246,0.000700770819094032
YHR161C,YNL112W,0,8.369517,0.20000000298023224,0.0019782392773777246,0.0008008809527382255
YHR005C-A,YLR382C,0,8.320513,0.1818181872367859,0.0019782392773777246,0.0009009910863824189
YGL068W,YNL194C,0,8.257432,0.1666666716337204,0.0019782392773777246,0.0010011012200266123
YEL039C,YBR162C,0,8.251076,0.1538461595773697,0.0019782392773777246,0.0011012112954631448
YGL105W,YEL020W-A,0,8.23638,0.1428571492433548,0.0019782392773777246,0.001201321487314999
YMR316W,YER086W,0,8.198765,0.13333334028720856,0.0019782392773777246,0.0013014315627515316
YLL009C,YNL066W,1,7.895232,0.1875,0.002967359032481909,0.0013014315627515316
YDL198C,YGR052W,0,7.867375,0.1764705926179886,0.002967359032481909,0.001401541638188064
YDL208W,YGL037C,0,7.7236757,0.1666666716337204,0.002967359032481909,0.0015016518300399184
YDL204W,YNR018W,0,7.6982536,0.15789473056793213,0.002967359032481909,0.001601761905476451
YGL236C,YDR074W,0,7.5750084,0.15000000596046448,0.002967359032481909,0.0017018720973283052
YGL192W,YOR194C,0,7.498914,0.1428571492433548,0.002967359032481909,0.0018019821727648377
YKL058W,YBR294W,0,7.3840785,0.13636364042758942,0.002967359032481909,0.0019020922482013702
YHR021C,YGR268C,0,7.2860675,0.1304347813129425,0.002967359032481909,0.0020022024400532246
YDR231C,YDL198C,1,7.2328053,0.1666666716337204,0.003956478554755449,0.0020022024400532246
YDL227C,YLR327C,0,7.111327,0.1599999964237213,0.003956478554755449,0.002102312631905079
YNL095C,YPR160W,0,7.0512686,0.1538461595773697,0.003956478554755449,0.0022024225909262896
YNL015W,YAL038W,0,6.9821076,0.14814814925193787,0.003956478554755449,0.002302532782778144
YPL154C,YBR248C,0,6.9780903,0.1428571492433548,0.003956478554755449,0.002402642974629998
YPL225W,YJL109C,0,6.970936,0.13793103396892548,0.003956478554755449,0.002502752933651209
YGR112W,YDR296W,1,6.9636793,0.1666666716337204,0.004945598542690277,0.002502752933651209
YDR343C,YNL025C,0,6.911701,0.16129031777381897,0.004945598542690277,0.002602863125503063
YPR184W,YDR337W,0,6.897444,0.15625,0.004945598542690277,0.0027029733173549175
YBR185C,YNL066W,1,6.8890896,0.1818181872367859,0.005934718064963818,0.0027029733173549175
YNL183C,YPL143W,0,6.8279696,0.1764705926179886,0.005934718064963818,0.002803083276376128
YGR234W,YIL087C,0,6.796476,0.17142857611179352,0.005934718064963818,0.0029031934682279825
YDR296W,YNL121C,1,6.7830257,0.1944444477558136,0.006923837587237358,0.0029031934682279825
YBR185C,YLR270W,0,6.772469,0.18918919563293457,0.006923837587237358,0.003003303660079837
YHR031C,YNL055C,1,6.7647605,0.21052631735801697,0.007912957109510899,0.003003303660079837
YPR154W,YPR043W,0,6.76219,0.20512820780277252,0.007912957109510899,0.003103413851931691
YJL164C,YIR026C,0,6.756012,0.20000000298023224,0.007912957109510899,0.003203523810952902
YER150W,YJL054W,0,6.7122293,0.19512194395065308,0.007912957109510899,0.003303634002804756
YPR159W,YOR158W,0,6.702524,0.190476194024086,0.007912957109510899,0.0034037441946566105
YPR133W-A,YNL121C,1,6.6229525,0.20930232107639313,0.008902077563107014,0.0034037441946566105
YOL126C,YML091C,0,6.5703344,0.20454545319080353,0.008902077563107014,0.003503854153677821
YJR118C,YAL005C,1,6.5349193,0.2222222238779068,0.009891197085380554,0.003503854153677821
YMR072W,YOL095C,1,6.5293703,0.239130437374115,0.010880316607654095,0.003503854153677821
YGL045W,YBR069C,0,6.5286255,0.23404255509376526,0.010880316607654095,0.0036039643455296755
YPR200C,YNL163C,0,6.5250053,0.2291666716337204,0.010880316607654095,0.00370407453738153
YOR045W,YLR370C,1,6.5171995,0.2448979616165161,0.011869436129927635,0.00370407453738153
YLR258W,YBL072C,0,6.51118,0.23999999463558197,0.011869436129927635,0.0038041844964027405
YLL009C,YOR045W,1,6.497566,0.2549019753932953,0.012858555652201176,0.0038041844964027405
YLL009C,YJL019W,0,6.469685,0.25,0.012858555652201176,0.003904294688254595
YHR215W,YOR020C,0,6.4563823,0.24528302252292633,0.012858555652201176,0.004004404880106449
YGR214W,YBL080C,0,6.4386196,0.24074074625968933,0.012858555652201176,0.0041045150719583035
YOL052C-A,YHR080C,0,6.4346104,0.23636363446712494,0.012858555652201176,0.004204625263810158
YNL310C,YAL005C,1,6.42234,0.25,0.013847675174474716,0.004204625263810158
YAL024C,YJL011C,0,6.403119,0.24561403691768646,0.013847675174474716,0.004304734990000725
YJR073C,YIL098C,0,6.381468,0.24137930572032928,0.013847675174474716,0.004404845181852579
YBL103C,YML063W,0,6.37092,0.23728813230991364,0.013847675174474716,0.0045049553737044334
YHR024C,YDR375C,1,6.3552656,0.25,0.014836795628070831,0.0045049553737044334
YDR511W,YDR234W,0,6.348718,0.24590164422988892,0.014836795628070831,0.004605065565556288
YDR032C,YNL185C,0,6.343093,0.24193547666072845,0.014836795628070831,0.004705175757408142
YHR005C-A,YKL053C-A,1,6.3404045,0.2539682686328888,0.015825914219021797,0.004705175757408142
YKR052C,YDR064W,0,6.2835903,0.25,0.015825914219021797,0.004805285949259996
YOR266W,YPR133W-A,1,6.272536,0.26153847575187683,0.016815034672617912,0.004805285949259996
YHR005C-A,YML091C,1,6.257349,0.27272728085517883,0.017804155126214027,0.004805285949259996
YGL014W,YDL045C,0,6.248619,0.26865673065185547,0.017804155126214027,0.004905396141111851
YDR231C,YMR012W,1,6.239861,0.27941176295280457,0.018793273717164993,0.004905396141111851
YDL198C,YNR035C,1,6.237479,0.28985506296157837,0.01978239417076111,0.004905396141111851
YNL214W,YLR192C,0,6.2272954,0.2857142984867096,0.01978239417076111,0.005005505867302418
YMR203W,YGR132C,1,6.183131,0.2957746386528015,0.020771512761712074,0.005005505867302418
YFL036W,YPR131C,1,6.168578,0.3055555522441864,0.02176063321530819,0.005005505867302418
YDL142C,YNL070W,1,6.1569347,0.31506848335266113,0.022749751806259155,0.005005505867302418
YEL024W,YOR071C,0,6.1434364,0.31081080436706543,0.022749751806259155,0.005105616059154272
YGL014W,YNR007C,0,6.092548,0.30666667222976685,0.022749751806259155,0.005205726251006126
YEL050C,YGR034W,0,6.0920954,0.30263158679008484,0.022749751806259155,0.005305836442857981
YKL013C,YNR050C,0,6.077798,0.29870128631591797,0.022749751806259155,0.005405946634709835
YLL009C,YAL048C,1,6.024618,0.3076923191547394,0.02373887225985527,0.005405946634709835
YLR350W,YIL145C,0,6.006529,0.3037974536418915,0.02373887225985527,0.005506056826561689
YHR136C,YEL012W,0,6.003353,0.30000001192092896,0.02373887225985527,0.005606166552752256
YOR117W,YGR212W,0,5.9833093,0.29629629850387573,0.02373887225985527,0.005706276744604111
YLR384C,YMR105C,0,5.970023,0.2926829159259796,0.02373887225985527,0.005806386936455965
YPR190C,YDL091C,0,5.9672933,0.28915661573410034,0.02373887225985527,0.005906497128307819
YLL009C,YIL022W,1,5.9594975,0.2976190447807312,0.024727992713451385,0.005906497128307819
YLR080W,YAL044C,0,5.9552507,0.29411765933036804,0.024727992713451385,0.006006607320159674
YNL315C,YKL053C-A,1,5.940298,0.302325576543808,0.02571711130440235,0.006006607320159674
YNL121C,YIL062C,1,5.9394197,0.3103448152542114,0.026706231757998466,0.006006607320159674
YMR304W,YPR149W,0,5.936694,0.3068181872367859,0.026706231757998466,0.006106717512011528
YDL046W,YDR492W,0,5.9317865,0.30337077379226685,0.026706231757998466,0.006206827703863382
YJL171C,YPR041W,0,5.93077,0.30000001192092896,0.026706231757998466,0.006306937430053949
YNL052W,YNL208W,0,5.9279785,0.2967033088207245,0.026706231757998466,0.006407047621905804
YOR124C,YCR005C,0,5.9269075,0.29347825050354004,0.026706231757998466,0.006507157813757658
YPR184W,YNL121C,0,5.915188,0.29032257199287415,0.026706231757998466,0.006607268005609512
YNL284C,YDR178W,0,5.8883533,0.28723403811454773,0.026706231757998466,0.006707378197461367
YBR054W,YLR344W,0,5.8613815,0.28421053290367126,0.026706231757998466,0.006807488389313221
YBR185C,YEL020W-A,1,5.8432493,0.2916666567325592,0.027695350348949432,0.006807488389313221
YBL078C,YDR399W,0,5.822834,0.2886597812175751,0.027695350348949432,0.006907598581165075
YNL173C,YPR159W,0,5.8033895,0.2857142984867096,0.027695350348949432,0.007007708307355642
YGR082W,YEL020W-A,1,5.7966695,0.2929292917251587,0.028684470802545547,0.007007708307355642
YNR002C,YPL273W,0,5.786874,0.28999999165534973,0.028684470802545547,0.007107818499207497
YNL202W,YKL138C,0,5.779818,0.2871287167072296,0.028684470802545547,0.007207928691059351
YGR174C,YKL053C-A,1,5.779422,0.29411765933036804,0.029673591256141663,0.007207928691059351
YDR343C,YKL060C,0,5.7736473,0.291262149810791,0.029673591256141663,0.007308038882911205
YPR186C,YBR003W,0,5.77188,0.2884615361690521,0.029673591256141663,0.00740814907476306
YGR144W,YHL028W,0,5.770817,0.2857142984867096,0.029673591256141663,0.007508259266614914
YGR112W,YIL157C,1,5.7352276,0.2924528419971466,0.03066270984709263,0.007508259266614914
YLR193C,YBR052C,0,5.729627,0.2897196114063263,0.03066270984709263,0.007608368992805481
YOR063W,YPR155C,0,5.723942,0.28703704476356506,0.03066270984709263,0.007708479184657335
YKR053C,YOR317W,0,5.7198935,0.2844036817550659,0.03066270984709263,0.00780858937650919
YJR065C,YJL063C,1,5.698406,0.290909081697464,0.031651828438043594,0.00780858937650919
YLR185W,YLR189C,0,5.6910715,0.28828829526901245,0.031651828438043594,0.007908700034022331
YBR187W,YER150W,0,5.6888313,0.2857142984867096,0.031651828438043594,0.008008809760212898
YJL108C,YJR143C,0,5.6852674,0.28318583965301514,0.031651828438043594,0.008108919486403465
YOL069W,YGR295C,0,5.6841974,0.28070175647735596,0.031651828438043594,0.008209030143916607
YMR142C,YGL157W,0,5.6813736,0.27826085686683655,0.031651828438043594,0.008309139870107174
YBL087C,YGR057C,0,5.6801515,0.27586206793785095,0.031651828438043594,0.008409250527620316
YBR005W,YFR034C,0,5.6701126,0.2735042870044708,0.031651828438043594,0.008509360253810883
YLL009C,YBL089W,0,5.6576867,0.2711864411830902,0.031651828438043594,0.00860946998000145
YFL014W,YAL048C,0,5.656196,0.2689075767993927,0.031651828438043594,0.008709580637514591
YNL142W,YER055C,0,5.654126,0.2666666805744171,0.031651828438043594,0.008809690363705158
YJR034W,YGL219C,1,5.653872,0.27272728085517883,0.03264094889163971,0.008809690363705158
YMR203W,YGR028W,1,5.6512823,0.2786885201931,0.033630069345235825,0.008809690363705158
YKL137W,YOL076W,1,5.650087,0.28455284237861633,0.03461918979883194,0.008809690363705158
YKR069W,YNL110C,0,5.616353,0.2822580635547638,0.03461918979883194,0.0089098010212183
YMR203W,YKL011C,0,5.6139774,0.2800000011920929,0.03461918979883194,0.009009910747408867
YGR101W,YGL219C,1,5.6039557,0.2857142984867096,0.035608310252428055,0.009009910747408867
YMR275C,YBR185C,1,5.582443,0.29133859276771545,0.03659742698073387,0.009009910747408867
YDR377W,YCR091W,0,5.573598,0.2890625,0.03659742698073387,0.009110021404922009
YJR034W,YLL067C,0,5.5659513,0.2868216931819916,0.03659742698073387,0.009210131131112576
YAL041W,YJR073C,0,5.5561275,0.2846153974533081,0.03659742698073387,0.009310240857303143
YML052W,YJR036C,0,5.5544825,0.28244274854660034,0.03659742698073387,0.009410351514816284
YJR034W,YMR012W,1,5.5468063,0.28787878155708313,0.03758654743432999,0.009410351514816284
YER126C,YMR303C,0,5.5446067,0.2857142984867096,0.03758654743432999,0.009510461241006851
YMR242C,YJL071W,0,5.5407896,0.28358209133148193,0.03758654743432999,0.009610571898519993
YDL227C,YLR259C,0,5.5147705,0.28148147463798523,0.03758654743432999,0.00971068162471056
YDL130W,YNL146W,0,5.514472,0.27941176295280457,0.03758654743432999,0.009810792282223701
YJL171C,YGL064C,0,5.5126357,0.277372270822525,0.03758654743432999,0.009910902008414268
YJL180C,YKL053C-A,1,5.510877,0.28260868787765503,0.0385756678879261,0.009910902008414268
YDL198C,YDR529C,1,5.5089283,0.28776979446411133,0.03956478834152222,0.009910902008414268
YMR203W,YCR028C-A,1,5.502362,0.2928571403026581,0.04055390879511833,0.009910902008414268
YAL026C,YBR052C,0,5.492066,0.29078012704849243,0.04055390879511833,0.010011011734604836
YMR012W,YPR140W,1,5.4899015,0.2957746386528015,0.04154302552342415,0.010011011734604836
YPL122C,YJL101C,0,5.4557114,0.2937062978744507,0.04154302552342415,0.010111122392117977
YOR285W,YBR142W,0,5.4316196,0.2916666567325592,0.04154302552342415,0.010211232118308544
YBR286W,YGL169W,0,5.429016,0.2896551787853241,0.04154302552342415,0.010311342775821686
YOR227W,YEL036C,0,5.422404,0.2876712381839752,0.04154302552342415,0.010411452502012253
YGL205W,YGL189C,0,5.422272,0.2857142984867096,0.04154302552342415,0.010511563159525394
YLR467W,YKL026C,0,5.4196787,0.28378379344940186,0.04154302552342415,0.010611672885715961
YOL057W,YPR200C,0,5.4097853,0.281879186630249,0.04154302552342415,0.010711782611906528
YCL054W,YJR025C,0,5.4088793,0.2800000011920929,0.04154302552342415,0.01081189326941967
YLR220W,YGR046W,0,5.4058995,0.2781457006931305,0.04154302552342415,0.010912002995610237
YGR029W,YOR098C,0,5.3938446,0.2763157784938812,0.04154302552342415,0.011012113653123379
YIL113W,YKL109W,0,5.391161,0.27450981736183167,0.04154302552342415,0.011112223379313946
YGL196W,YGR279C,0,5.389203,0.27272728085517883,0.04154302552342415,0.011212333105504513
YAL044C,YPR132W,0,5.3876657,0.2709677517414093,0.04154302552342415,0.011312443763017654
YAL060W,YPR010C,0,5.383936,0.26923078298568726,0.04154302552342415,0.011412553489208221
YOR337W,YPR198W,0,5.378334,0.2675159275531769,0.04154302552342415,0.011512664146721363
