Gene A,Gene B,Label,Score,Precision,Recall,False Positive Rate
YNL278W,YOR326W,1,8.0731535,1.0,0.0009813542710617185,0.0
YPL253C,YNL020C,0,7.8917933,0.5,0.0009813542710617185,0.0001001903583528474
YKL048C,YKL209C,1,7.702116,0.6666666865348816,0.001962708542123437,0.0001001903583528474
YLR190W,YLR084C,1,7.442379,0.75,0.0029440626967698336,0.0001001903583528474
YHL027W,YPR119W,0,7.2766476,0.6000000238418579,0.0029440626967698336,0.0002003807167056948
YIL034C,YMR032W,1,7.1696267,0.6666666865348816,0.003925417084246874,0.0002003807167056948
YGR128C,YPR079W,0,7.019577,0.5714285969734192,0.003925417084246874,0.0003005710896104574
YKL216W,YDL018C,0,6.9410715,0.5,0.003925417084246874,0.0004007614334113896
YKL007W,YOR301W,1,6.8762455,0.5555555820465088,0.0049067712388932705,0.0004007614334113896
YPL032C,YPL137C,0,6.7574854,0.5,0.0049067712388932705,0.0005009518354199827
YLR240W,YBR088C,0,6.685279,0.4545454680919647,0.0049067712388932705,0.0006011421792209148
YDL188C,YGR193C,0,6.6601973,0.4166666567325592,0.0049067712388932705,0.000701332523021847
YOL124C,YGL190C,0,6.6104975,0.38461539149284363,0.0049067712388932705,0.0008015228668227792
YGL122C,YJR151C,0,6.5094376,0.3571428656578064,0.0049067712388932705,0.0009017132688313723
YGR229C,YDR129C,1,6.4818106,0.4000000059604645,0.005888125393539667,0.0009017132688313723
YMR295C,YLR187W,1,6.4298515,0.4375,0.006869480013847351,0.0009017132688313723
YGR132C,YKL055C,0,6.424573,0.4117647111415863,0.006869480013847351,0.0010019036708399653
YBL007C,YKL101W,1,6.424322,0.4444444477558136,0.007850834168493748,0.0010019036708399653
YPR188C,YGL142C,0,6.406513,0.42105263471603394,0.007850834168493748,0.0011020939564332366
YCR009C,YER008C,1,6.280043,0.44999998807907104,0.008832188323140144,0.0011020939564332366
YOL016C,YPL178W,0,6.209968,0.4285714328289032,0.008832188323140144,0.0012022843584418297
YKL026C,YOL054W,0,6.1999536,0.40909090638160706,0.008832188323140144,0.001302474644035101
YLR089C,YDR454C,0,6.1773915,0.3913043439388275,0.008832188323140144,0.001402665046043694
YOR095C,YJL180C,0,6.1384993,0.375,0.008832188323140144,0.001502855448052287
YLR022C,YNL167C,0,6.1298723,0.36000001430511475,0.008832188323140144,0.0016030457336455584
YOR294W,YNL134C,0,6.1295924,0.3461538553237915,0.008832188323140144,0.0017032361356541514
YLR362W,YKL101W,0,6.1049967,0.3333333432674408,0.008832188323140144,0.0018034265376627445
YIL010W,YLR020C,0,6.091644,0.3214285671710968,0.008832188323140144,0.0019036168232560158
YNL279W,YOR233W,1,6.035062,0.3448275923728943,0.009813542477786541,0.0019036168232560158
YOR026W,YER109C,0,6.0017624,0.3333333432674408,0.009813542477786541,0.0020038073416799307
YLR095C,YDL140C,0,5.978009,0.32258063554763794,0.009813542477786541,0.002103997627273202
YPL241C,YHR098C,0,5.96956,0.3125,0.009813542477786541,0.002204187912866473
YPR095C,YMR277W,0,5.9430857,0.3030303120613098,0.009813542477786541,0.002304378431290388
YKR100C,YER125W,1,5.9350348,0.3235294222831726,0.010794896632432938,0.002304378431290388
YNL283C,YOR226C,0,5.9039264,0.3142857253551483,0.010794896632432938,0.0024045687168836594
YML067C,YLR223C,0,5.8950434,0.3055555522441864,0.010794896632432938,0.0025047590024769306
YOR301W,YDR129C,1,5.8941946,0.3243243098258972,0.011776250787079334,0.0025047590024769306
YDL240W,YNL250W,0,5.8852167,0.31578946113586426,0.011776250787079334,0.002604949288070202
YDR379W,YLR314C,1,5.855151,0.3333333432674408,0.012757605873048306,0.002604949288070202
YNL070W,YKL211C,0,5.8437476,0.32499998807907104,0.012757605873048306,0.0027051398064941168
YHR191C,YPL274W,0,5.8357034,0.31707316637039185,0.012757605873048306,0.002805330092087388
YER032W,YNL278W,1,5.820645,0.3333333432674408,0.013738960027694702,0.002805330092087388
YMR058W,YKL096W,0,5.808758,0.3255814015865326,0.013738960027694702,0.0029055203776806593
YNL272C,YOR156C,0,5.7909718,0.3181818127632141,0.013738960027694702,0.003005710896104574
YOL054W,YLR128W,0,5.7891936,0.31111112236976624,0.013738960027694702,0.0031059011816978455
YJL157C,YDR379W,1,5.780419,0.32608696818351746,0.014720314182341099,0.0031059011816978455
YER032W,YMR001C,1,5.7799196,0.3404255211353302,0.015701668336987495,0.0031059011816978455
YGL233W,YBR133C,1,5.7776423,0.3541666567325592,0.016683023422956467,0.0031059011816978455
YNL161W,YPR122W,1,5.7709837,0.36734694242477417,0.01766437664628029,0.0031059011816978455
YAL033W,YDL239C,0,5.7639494,0.36000001430511475,0.01766437664628029,0.0032060914672911167
YNR031C,YPL242C,1,5.7268305,0.37254902720451355,0.01864573173224926,0.0032060914672911167
YBL035C,YLR240W,0,5.7071652,0.36538460850715637,0.01864573173224926,0.0033062819857150316
YAL016W,YER118C,1,5.682401,0.37735849618911743,0.019627084955573082,0.0033062819857150316
YLL061W,YJR151C,0,5.6688514,0.37037035822868347,0.019627084955573082,0.003406472271308303
YBR093C,YOR250C,0,5.6348515,0.3636363744735718,0.019627084955573082,0.003506662556901574
YER125W,YKL101W,1,5.623231,0.375,0.020608440041542053,0.003506662556901574
YCR030C,YNR031C,1,5.61527,0.38596490025520325,0.021589793264865875,0.003506662556901574
YCR088W,YCL024W,1,5.6141243,0.3965517282485962,0.022571148350834846,0.003506662556901574
YKL048C,YER114C,1,5.5873737,0.4067796468734741,0.02355250157415867,0.003506662556901574
YNL166C,YNL279W,1,5.586787,0.4166666567325592,0.02453385666012764,0.003506662556901574
YCR088W,YOL007C,1,5.585163,0.4262295067310333,0.02551521174609661,0.003506662556901574
YIL129C,YCL024W,1,5.583881,0.4354838728904724,0.026496564969420433,0.003506662556901574
YKL078W,YGR252W,0,5.582143,0.4285714328289032,0.026496564969420433,0.003606853075325489
YNL037C,YBL026W,0,5.562144,0.421875,0.026496564969420433,0.0037070433609187603
YLR313C,YGR152C,1,5.5514135,0.4307692348957062,0.027477920055389404,0.0037070433609187603
YKL189W,YOR239W,1,5.537653,0.43939393758773804,0.028459273278713226,0.0037070433609187603
YML052W,YGL151W,0,5.5297375,0.43283581733703613,0.028459273278713226,0.0038072336465120316
YLR405W,YLR216C,0,5.5102124,0.4264705777168274,0.028459273278713226,0.003907423932105303
YOR094W,YOL151W,0,5.5064564,0.4202898442745209,0.028459273278713226,0.004007614683359861
YKL079W,YCL024W,1,5.48767,0.4285714328289032,0.029440628364682198,0.004007614683359861
YPL183C,YIL137C,0,5.4827213,0.4225352108478546,0.029440628364682198,0.004107804968953133
YMR101C,YML081W,0,5.469775,0.4166666567325592,0.029440628364682198,0.004207995254546404
YMR260C,YHR029C,0,5.463506,0.4109589159488678,0.029440628364682198,0.004308185540139675
YER039C,YOR313C,0,5.4613695,0.4054054021835327,0.029440628364682198,0.004408375825732946
YOL112W,YMR032W,1,5.4493713,0.41333332657814026,0.03042198158800602,0.004408375825732946
YOR085W,YPL083C,0,5.448782,0.40789473056793213,0.03042198158800602,0.004508566111326218
YPL147W,YPL248C,0,5.4449005,0.4025973975658417,0.03042198158800602,0.004608756862580776
YCL014W,YFL047W,1,5.3940964,0.41025641560554504,0.03140333667397499,0.004608756862580776
YHR112C,YHL025W,0,5.387536,0.40506330132484436,0.03140333667397499,0.0047089471481740475
YBR115C,YHR098C,0,5.3737755,0.4000000059604645,0.03140333667397499,0.004809137433767319
YOR001W,YOR035C,0,5.3669367,0.395061731338501,0.03140333667397499,0.00490932771936059
YMR268C,YNL182C,0,5.3647594,0.39024388790130615,0.03140333667397499,0.005009518004953861
YLR363C,YGR038W,0,5.3631806,0.3855421543121338,0.03140333667397499,0.0051097082905471325
YFR021W,YDR280W,0,5.353904,0.380952388048172,0.03140333667397499,0.005209898576140404
