Gene A,Gene B,Label,Score,Precision,Recall,False Positive Rate
YMR319C,YGL195W,0,9.054557,0.0,0.0,0.0001005530430120416
YML026C,YNL069C,0,7.660216,0.0,0.0,0.0002011060860240832
YDL083C,YMR143W,0,7.522015,0.0,0.0,0.0003016591363120824
YLR442C,YDR150W,0,7.271782,0.0,0.0,0.0004022121720481664
YGR161C,YGL070C,0,6.3342466,0.0,0.0,0.0005027652368880808
YHR146W,YJR064W,0,6.064197,0.0,0.0,0.0006033182726241648
YKL048C,YJL110C,0,6.000752,0.0,0.0,0.0007038713083602488
YBR195C,YOR353C,0,5.916701,0.0,0.0,0.0008044243440963328
YBR089C-A,YPL129W,1,5.915383,0.1111111119389534,0.0009478672873228788,0.0008044243440963328
YCL029C,YLR316C,0,5.8951583,0.10000000149011612,0.0009478672873228788,0.0009049773798324168
YIL021W,YNL103W,1,5.828588,0.1818181872367859,0.0018957345746457577,0.0009049773798324168
YIL128W,YMR021C,1,5.781291,0.25,0.0028436018619686365,0.0009049773798324168
YGL043W,YNR052C,1,5.7576694,0.3076923191547394,0.0037914691492915154,0.0009049773798324168
YHR041C,YLR275W,0,5.676043,0.2857142984867096,0.0037914691492915154,0.0010055304737761617
YGL043W,YNL103W,1,5.665187,0.3333333432674408,0.004739336669445038,0.0010055304737761617
YGL071W,YNL288W,1,5.600402,0.375,0.005687203723937273,0.0010055304737761617
YGL073W,YML114C,1,5.5971236,0.4117647111415863,0.0066350712440907955,0.0010055304737761617
YMR091C,YER150W,0,5.497602,0.3888888955116272,0.0066350712440907955,0.0011060835095122457
YOR091W,YFL014W,0,5.492611,0.3684210479259491,0.0066350712440907955,0.0012066365452483296
YLR442C,YFR013W,0,5.479691,0.3499999940395355,0.0066350712440907955,0.0013071895809844136
YFL048C,YGR074W,0,5.4705944,0.3333333432674408,0.0066350712440907955,0.0014077426167204976
YDR392W,YPR030W,1,5.4609623,0.3636363744735718,0.007582938298583031,0.0014077426167204976
YGL122C,YGR033C,0,5.4552236,0.3478260934352875,0.007582938298583031,0.0015082956524565816
YDL080C,YOR028C,1,5.4487324,0.375,0.008530805818736553,0.0015082956524565816
YIL128W,YHR034C,0,5.4404397,0.36000001430511475,0.008530805818736553,0.0016088486881926656
YER169W,YMR227C,1,5.440249,0.38461539149284363,0.009478673338890076,0.0016088486881926656
YOR038C,YOR172W,1,5.421737,0.40740740299224854,0.010426539927721024,0.0016088486881926656
YKR008W,YMR172W,1,5.418305,0.4285714328289032,0.011374407447874546,0.0016088486881926656
YML114C,YMR029C,0,5.3857145,0.4137931168079376,0.011374407447874546,0.0017094017239287496
YPL270W,YDL061C,0,5.3658805,0.4000000059604645,0.011374407447874546,0.0018099547596648335
YLR026C,YLR095C,0,5.3574533,0.3870967626571655,0.011374407447874546,0.0019105077954009175
YKL125W,YBR095C,0,5.3550415,0.375,0.011374407447874546,0.0020110609475523233
YKL018W,YKR099W,1,5.35328,0.39393940567970276,0.012322274968028069,0.0020110609475523233
YER164W,YPR199C,1,5.348528,0.4117647111415863,0.013270142488181591,0.0020110609475523233
YPL064C,YPR121W,0,5.3278794,0.4000000059604645,0.013270142488181591,0.0021116139832884073
YJL110C,YOR172W,1,5.3176484,0.4166666567325592,0.014218009077012539,0.0021116139832884073
YKL099C,YMR153W,0,5.300586,0.4054054021835327,0.014218009077012539,0.0022121670190244913
YCR044C,YOR341W,0,5.2889023,0.3947368562221527,0.014218009077012539,0.0023127200547605753
YER022W,YJL092W,0,5.286922,0.38461539149284363,0.014218009077012539,0.0024132730904966593
YHR090C,YGL053W,0,5.286486,0.375,0.014218009077012539,0.0025138261262327433
YLL029W,YDR460W,1,5.28307,0.39024388790130615,0.015165876597166061,0.0025138261262327433
YKL033W,YCL067C,0,5.2789593,0.380952388048172,0.015165876597166061,0.0026143791619688272
YNL199C,YGL025C,1,5.2599845,0.39534884691238403,0.01611374318599701,0.0026143791619688272
YOL001W,YLR451W,1,5.256814,0.40909090638160706,0.017061611637473106,0.0026143791619688272
YHR187W,YML098W,1,5.254447,0.42222222685813904,0.018009478226304054,0.0026143791619688272
YDR092W,YPL198W,0,5.2353506,0.41304346919059753,0.018009478226304054,0.0027149321977049112
YLL023C,YJL196C,0,5.2326446,0.40425533056259155,0.018009478226304054,0.002815485233440995
YGL244W,YJL110C,1,5.230856,0.4166666567325592,0.01895734667778015,0.002815485233440995
YML114C,YJL110C,1,5.229608,0.4285714328289032,0.0199052132666111,0.002815485233440995
YPL254W,YER161C,1,5.2265096,0.4399999976158142,0.020853079855442047,0.002815485233440995
YGR044C,YGL070C,1,5.2257066,0.45098039507865906,0.021800948306918144,0.002815485233440995
YDR412W,YLR258W,0,5.211139,0.4423076808452606,0.021800948306918144,0.002916038269177079
YDR448W,YLR005W,1,5.2067475,0.4528301954269409,0.022748814895749092,0.002916038269177079
YDR389W,YBL034C,0,5.2065578,0.4444444477558136,0.022748814895749092,0.003016591304913163
YMR291W,YGR195W,0,5.1986165,0.4363636374473572,0.022748814895749092,0.003117144340649247
YPL254W,YDL108W,1,5.196764,0.4464285671710968,0.02369668334722519,0.003117144340649247
YLR066W,YKL094W,0,5.1950383,0.4385964870452881,0.02369668334722519,0.003217697376385331
YDR480W,YGL151W,0,5.1913195,0.43103447556495667,0.02369668334722519,0.003318250412121415
YIL128W,YDR392W,1,5.187699,0.4406779706478119,0.024644549936056137,0.003318250412121415
YML114C,YPL101W,1,5.185465,0.44999998807907104,0.025592416524887085,0.003318250412121415
YLL029W,YLR277C,1,5.184022,0.4590163826942444,0.026540284976363182,0.003318250412121415
YGL010W,YPR022C,0,5.1798334,0.4516128897666931,0.026540284976363182,0.003418803447857499
YLR256W,YDR324C,0,5.1789656,0.4444444477558136,0.026540284976363182,0.003519356483593583
YDR045C,YGL180W,0,5.1767263,0.4375,0.026540284976363182,0.003619909519329667
YLL029W,YJL110C,1,5.173369,0.446153849363327,0.02748815156519413,0.003619909519329667
YKR008W,YJR050W,0,5.1518188,0.43939393758773804,0.02748815156519413,0.003720462555065751
YJR056C,YLR260W,0,5.138675,0.43283581733703613,0.02748815156519413,0.003821015590801835
YOR140W,YMR091C,1,5.134723,0.44117647409439087,0.028436018154025078,0.003821015590801835
YOL148C,YDR463W,1,5.1098423,0.4492753744125366,0.029383886605501175,0.003821015590801835
YOR028C,YDR081C,1,5.109401,0.4571428596973419,0.030331753194332123,0.003821015590801835
YGR275W,YLR309C,0,5.0848975,0.4507042169570923,0.030331753194332123,0.003921568859368563
YJL176C,YLR226W,0,5.084756,0.4444444477558136,0.030331753194332123,0.004022121895104647
YLR277C,YPL169C,0,5.069074,0.4383561611175537,0.030331753194332123,0.004122674930840731
YOR338W,YBL052C,0,5.0523286,0.4324324429035187,0.030331753194332123,0.004223227966576815
YLR299W,YPL193W,0,5.050731,0.4266666769981384,0.030331753194332123,0.004323781002312899
YPL011C,YDR145W,1,5.0476203,0.43421053886413574,0.03127961978316307,0.004323781002312899
YLR417W,YGR186W,1,5.0410247,0.44155845046043396,0.03222748637199402,0.004323781002312899
YNR052C,YAL043C,1,5.037864,0.44871795177459717,0.033175356686115265,0.004323781002312899
YCL029C,YLR006C,0,5.037242,0.4430379867553711,0.033175356686115265,0.004424334038048983
YLR223C,YML007W,1,5.0363116,0.44999998807907104,0.03412322327494621,0.004424334038048983
YGL112C,YDR460W,1,5.0238233,0.45679011940956116,0.03507108986377716,0.004424334038048983
YOL001W,YLR224W,0,5.0166564,0.45121949911117554,0.03507108986377716,0.004524887073785067
YML114C,YOR179C,1,5.012684,0.45783132314682007,0.03601895645260811,0.004524887073785067
YNL025C,YKL005C,1,5.007506,0.4642857015132904,0.036966823041439056,0.004524887073785067
YDL230W,YJL177W,0,5.002541,0.4588235318660736,0.036966823041439056,0.004625440109521151
YFL049W,YML076C,0,5.002271,0.45348837971687317,0.036966823041439056,0.004725993145257235
YLR291C,YPR034W,0,5.0016537,0.4482758641242981,0.036966823041439056,0.0048265461809933186
YKR071C,YMR263W,0,4.9966354,0.4431818127632141,0.036966823041439056,0.0049270992167294025
YCL044C,YLR016C,0,4.9925227,0.43820226192474365,0.036966823041439056,0.0050276522524654865
YML114C,YNL056W,0,4.986178,0.4333333373069763,0.036966823041439056,0.0051282052882015705
YKR002W,YMR097C,0,4.985018,0.4285714328289032,0.036966823041439056,0.0052287583239376545
YLR451W,YMR077C,0,4.9796467,0.42391303181648254,0.036966823041439056,0.0053293113596737385
YPR104C,YPR086W,1,4.975165,0.4301075339317322,0.0379146933555603,0.0053293113596737385
YLL040C,YPR095C,0,4.9703727,0.42553192377090454,0.0379146933555603,0.0054298643954098225
YLR071C,YOL051W,1,4.965179,0.43157893419265747,0.03886255994439125,0.0054298643954098225
YPL122C,YPL047W,1,4.962763,0.4375,0.0398104265332222,0.0054298643954098225
YHR003C,YLR360W,0,4.9625654,0.4329896867275238,0.0398104265332222,0.0055304174311459064
YPL156C,YNL068C,0,4.9588656,0.4285714328289032,0.0398104265332222,0.00563097046688199
YOL051W,YOL021C,0,4.957923,0.42424243688583374,0.0398104265332222,0.005731523502618074
YDL165W,YKR060W,0,4.9575634,0.41999998688697815,0.0398104265332222,0.005832076538354158
YPL002C,YHR143W-A,1,4.9569902,0.42574256658554077,0.040758293122053146,0.005832076538354158
YBR095C,YER159C,1,4.946665,0.4313725531101227,0.041706159710884094,0.005832076538354158
YOR123C,YPR199C,1,4.943698,0.43689319491386414,0.04265403002500534,0.005832076538354158
YNL199C,YGL016W,0,4.939883,0.4326923191547394,0.04265403002500534,0.005932629574090242
YOL054W,YML062C,1,4.9358296,0.43809524178504944,0.04360189661383629,0.005932629574090242
YKR099W,YOL051W,1,4.919411,0.4433962404727936,0.044549763202667236,0.005932629574090242
YPR143W,YJR140C,0,4.9188933,0.4392523467540741,0.044549763202667236,0.006033182609826326
YBR081C,YDL005C,1,4.9153905,0.4444444477558136,0.045497629791498184,0.006033182609826326
YIL056W,YNL216W,1,4.915088,0.44954127073287964,0.04644549638032913,0.006033182609826326
YNR003C,YGL244W,0,4.908818,0.44545453786849976,0.04644549638032913,0.00613373564556241
YGR258C,YIL030C,0,4.907272,0.44144144654273987,0.04644549638032913,0.006234288681298494
YDR246W,YPL193W,0,4.907107,0.4375,0.04644549638032913,0.006334841717034578
YBR290W,YKL184W,0,4.899557,0.4336283206939697,0.04644549638032913,0.006435394752770662
YOL001W,YPR072W,1,4.899201,0.4385964870452881,0.04739336669445038,0.006435394752770662
YGR024C,YER150W,0,4.8980494,0.43478259444236755,0.04739336669445038,0.006535947788506746
YGL112C,YGL150C,1,4.8965583,0.4396551847457886,0.048341233283281326,0.006535947788506746
YDR043C,YML081W,0,4.893932,0.43589743971824646,0.048341233283281326,0.00663650082424283
YDL070W,YKL033W,0,4.891351,0.43220338225364685,0.048341233283281326,0.006737053859978914
YPR025C,YGL254W,1,4.890432,0.43697479367256165,0.049289099872112274,0.006737053859978914
YNL214W,YBR049C,0,4.883193,0.4333333373069763,0.049289099872112274,0.006837606895714998
YKR044W,YJL139C,0,4.878274,0.42975205183029175,0.049289099872112274,0.006938159931451082
YMR042W,YIL021W,1,4.8778787,0.4344262182712555,0.05023696646094322,0.006938159931451082
YML114C,YER161C,1,4.8768673,0.4390243887901306,0.05118483304977417,0.006938159931451082
YDR280W,YJL099W,0,4.8762565,0.4354838728904724,0.05118483304977417,0.007038712967187166
YGL020C,YML013W,0,4.8756194,0.4320000112056732,0.05118483304977417,0.00713926600292325
YDR482C,YGR012W,0,4.8714957,0.4285714328289032,0.05118483304977417,0.007239819038659334
YCR093W,YPR199C,1,4.8690424,0.4330708682537079,0.05213269963860512,0.007239819038659334
YDR470C,YPL046C,0,4.862901,0.4296875,0.05213269963860512,0.007340372074395418
YDR138W,YPL101W,1,4.860936,0.43410852551460266,0.053080569952726364,0.007340372074395418
YLR071C,YBL006C,1,4.855372,0.4384615421295166,0.05402843654155731,0.007340372074395418
YJR002W,YOL055C,0,4.853228,0.4351145029067993,0.05402843654155731,0.007440925110131502
YER146W,YDR189W,0,4.8522964,0.4318181872367859,0.05402843654155731,0.007541478145867586
YLR291C,YJR131W,0,4.8477283,0.4285714328289032,0.05402843654155731,0.00764203118160367
YKR008W,YDR058C,0,4.8459554,0.4253731369972229,0.05402843654155731,0.007742584217339754
YER007C-A,YNL092W,0,4.8381333,0.42222222685813904,0.05402843654155731,0.007843137718737125
YPR060C,YLR256W,0,4.836098,0.41911765933036804,0.05402843654155731,0.00794369075447321
YKL112W,YDR404C,1,4.8337765,0.42335766553878784,0.05497630313038826,0.00794369075447321
YLR166C,YGR091W,0,4.825604,0.4202898442745209,0.05497630313038826,0.008044243790209293
YLL052C,YNR012W,0,4.823748,0.41726619005203247,0.05497630313038826,0.008144796825945377
YHL020C,YKR099W,1,4.8173914,0.4214285612106323,0.05592416971921921,0.008144796825945377
YGR239C,YBR005W,0,4.8163223,0.41843971610069275,0.05592416971921921,0.008245349861681461
YKL018W,YCL067C,1,4.811077,0.4225352108478546,0.056872036308050156,0.008245349861681461
YKR036C,YDR186C,0,4.809939,0.4195804297924042,0.056872036308050156,0.008345902897417545
YKL045W,YGR166W,0,4.809264,0.4166666567325592,0.056872036308050156,0.00844645593315363
YPR104C,YOR291W,0,4.8044887,0.4137931168079376,0.056872036308050156,0.008547008968889713
YJL149W,YJL104W,0,4.8044066,0.4109589159488678,0.056872036308050156,0.008647562004625797
YHL002W,YMR044W,0,4.7972875,0.40816327929496765,0.056872036308050156,0.008748115040361881
YBR057C,YCR052W,0,4.797197,0.4054054021835327,0.056872036308050156,0.008848668076097965
YHR205W,YPL202C,1,4.7966366,0.4093959629535675,0.0578199066221714,0.008848668076097965
YCR052W,YGL112C,1,4.793341,0.41333332657814026,0.05876777321100235,0.008848668076097965
YIL108W,YDR021W,0,4.7896705,0.41059601306915283,0.05876777321100235,0.00894922111183405
YLR226W,YBR135W,0,4.7894406,0.40789473056793213,0.05876777321100235,0.009049774147570133
YPR190C,YER119C,0,4.7882867,0.40522876381874084,0.05876777321100235,0.009150327183306217
YPL049C,YBR195C,0,4.7878747,0.4025973975658417,0.05876777321100235,0.009250880219042301
YDR406W,YPL117C,0,4.785737,0.4000000059604645,0.05876777321100235,0.009351433254778385
YPR060C,YLR005W,0,4.7845325,0.39743590354919434,0.05876777321100235,0.00945198629051447
YPL011C,YOL054W,1,4.7773542,0.4012738764286041,0.0597156397998333,0.00945198629051447
YJL089W,YLR033W,1,4.7756534,0.40506330132484436,0.060663506388664246,0.00945198629051447
YNL110C,YGR074W,0,4.7716427,0.402515709400177,0.060663506388664246,0.009552539326250553
YNL147W,YOL066C,0,4.7715006,0.4000000059604645,0.060663506388664246,0.009653092361986637
YCR035C,YOL155C,0,4.770293,0.39751553535461426,0.060663506388664246,0.009753645397722721
YER022W,YDR190C,1,4.767114,0.40123456716537476,0.061611372977495193,0.009753645397722721
YDR043C,YML062C,1,4.767021,0.4049079716205597,0.06255923956632614,0.009753645397722721
YPL135W,YLL061W,0,4.7652464,0.40243902802467346,0.06255923956632614,0.009854198433458805
YJL014W,YKR031C,0,4.763838,0.4000000059604645,0.06255923956632614,0.009954751469194889
YAL019W,YDL243C,0,4.7604113,0.39759036898612976,0.06255923956632614,0.010055304504930973
YGR179C,YHR176W,0,4.7602696,0.39520958065986633,0.06255923956632614,0.010155857540667057
YMR033W,YML062C,1,4.756686,0.3988095223903656,0.06350710988044739,0.010155857540667057
YLR058C,YBR072W,0,4.749843,0.3964497148990631,0.06350710988044739,0.010256410576403141
YGL112C,YMR044W,0,4.7490993,0.39411765336990356,0.06350710988044739,0.010356963612139225
YPL079W,YBR072W,0,4.7475996,0.39181286096572876,0.06350710988044739,0.010457516647875309
YML114C,YDR043C,1,4.7468786,0.39534884691238403,0.06445497274398804,0.010457516647875309
YMR164C,YNR033W,0,4.7438536,0.39306357502937317,0.06445497274398804,0.010558069683611393
YEL037C,YER145C,0,4.74367,0.39080458879470825,0.06445497274398804,0.010658622719347477
YOR035C,YDR292C,0,4.7419,0.38857144117355347,0.06445497274398804,0.010759175755083561
YBR288C,YNL103W,0,4.7401953,0.3863636255264282,0.06445497274398804,0.010859728790819645
YIL063C,YJL104W,0,4.727921,0.38418078422546387,0.06445497274398804,0.010960281826555729
YER062C,YMR093W,0,4.727921,0.3820224702358246,0.06445497274398804,0.011060834862291813
YOR151C,YPL129W,1,4.7229724,0.3854748606681824,0.06540284305810928,0.011060834862291813
YGR275W,YOR244W,1,4.7220745,0.3888888955116272,0.06635071337223053,0.011060834862291813
YOR028C,YNL216W,1,4.72024,0.3922652006149292,0.06729857623577118,0.011060834862291813
YLR006C,YGR113W,0,4.7197533,0.3901098966598511,0.06729857623577118,0.011161387898027897
YAL061W,YDL058W,0,4.719609,0.38797813653945923,0.06729857623577118,0.01126194093376398
YBR216C,YGR133W,0,4.7176347,0.385869562625885,0.06729857623577118,0.011362493969500065
YKL074C,YMR153W,0,4.713402,0.3837837874889374,0.06729857623577118,0.011463047005236149
YGL025C,YOR179C,1,4.712822,0.3870967626571655,0.06824644654989243,0.011463047005236149
YPR133C,YLR005W,1,4.7094617,0.3903743326663971,0.06919430941343307,0.011463047005236149
YKL112W,YIL038C,1,4.7093015,0.39361703395843506,0.07014217972755432,0.011463047005236149
YJL155C,YCR089W,0,4.7080398,0.39153438806533813,0.07014217972755432,0.011563600040972233
YGL094C,YNL236W,0,4.707338,0.38947367668151855,0.07014217972755432,0.011664153076708317
YOR151C,YNR052C,1,4.7067504,0.3926701545715332,0.07109005004167557,0.011664153076708317
YKR007W,YCR030C,0,4.7048225,0.390625,0.07109005004167557,0.0117647061124444
YJR112W,YGL163C,0,4.6986346,0.38860103487968445,0.07109005004167557,0.011865259148180485
YMR160W,YGR216C,0,4.6959214,0.3865979313850403,0.07109005004167557,0.011965812183916569
YML064C,YJL057C,0,4.692636,0.38461539149284363,0.07109005004167557,0.012066365219652653
YGR195W,YGR256W,0,4.6924477,0.38265305757522583,0.07109005004167557,0.012166918255388737
YMR090W,YLR353W,0,4.6917996,0.3807106614112854,0.07109005004167557,0.01226747129112482
YDR460W,YKL201C,0,4.689734,0.3787878751754761,0.07109005004167557,0.012368024326860905
YOR357C,YBR228W,0,4.6875796,0.37688443064689636,0.07109005004167557,0.012468577362596989
YPL230W,YMR220W,0,4.6874137,0.375,0.07109005004167557,0.012569130398333073
YHR034C,YER167W,0,4.6873956,0.3731343150138855,0.07109005004167557,0.012669683434069157
YJR088C,YLR181C,0,4.682874,0.37128713726997375,0.07109005004167557,0.01277023646980524
YHR051W,YHR214C-B,0,4.6745687,0.3694581389427185,0.07109005004167557,0.012870789505541325
YBR154C,YER040W,1,4.672541,0.37254902720451355,0.07203791290521622,0.012870789505541325
YBR215W,YNL076W,1,4.671266,0.37560975551605225,0.07298578321933746,0.012870789505541325
YOR172W,YOR091W,0,4.6697073,0.37378641963005066,0.07298578321933746,0.012971342541277409
YGL209W,YPR086W,1,4.6677837,0.37681159377098083,0.07393364608287811,0.012971342541277409
YLR363C,YJR132W,0,4.6666665,0.375,0.07393364608287811,0.013071895577013493
YHL027W,YOR048C,1,4.6666446,0.3779904246330261,0.07488151639699936,0.013071895577013493
YMR260C,YNR032W,0,4.6659217,0.3761904835700989,0.07488151639699936,0.013172448612749577
YDR140W,YLR117C,0,4.6628065,0.3744075894355774,0.07488151639699936,0.01327300164848566
YER169W,YDL108W,1,4.6609254,0.37735849618911743,0.0758293867111206,0.01327300164848566
YDR463W,YPL047W,1,4.6601458,0.3802816867828369,0.07677724957466125,0.01327300164848566
YML097C,YNL229C,0,4.659223,0.3785046637058258,0.07677724957466125,0.013373554684221745
YKR060W,YMR009W,0,4.6583962,0.37674418091773987,0.07677724957466125,0.013474107719957829
YPR011C,YOR363C,0,4.656322,0.375,0.07677724957466125,0.013574660755693913
YDR346C,YGR143W,0,4.6554313,0.3732718825340271,0.07677724957466125,0.013675213791429996
YPL097W,YGL044C,0,4.652537,0.37155961990356445,0.07677724957466125,0.01377576682716608
YLR219W,YLR039C,0,4.6483617,0.36986300349235535,0.07677724957466125,0.013876319862902164
YGL115W,YDR404C,1,4.6462073,0.37272727489471436,0.0777251198887825,0.013876319862902164
YKR072C,YML071C,0,4.64181,0.3710407316684723,0.0777251198887825,0.013976872898638248
