Gene A,Gene B,Label,Score,Precision,Recall,False Positive Rate
YPL028W,YKL179C,0,-4.877865,0.0,0.0,0.00018939393339678645
YFL005W,YFL039C,1,-4.94214,0.5,0.0018939394503831863,0.00018939393339678645
YEL017C-A,YDR140W,0,-5.0275187,0.3333333432674408,0.0018939394503831863,0.0003787878667935729
YDR379W,YDR459C,0,-5.0611196,0.25,0.0018939394503831863,0.0005681818001903594
YDR400W,YGR116W,0,-5.0824456,0.20000000298023224,0.0018939394503831863,0.0007575757335871458
YJR158W,YIL144W,0,-5.0861173,0.1666666716337204,0.0018939394503831863,0.0009469697251915932
YMR049C,YOL012C,0,-5.106849,0.1428571492433548,0.0018939394503831863,0.0011363636003807187
YPL049C,YMR214W,0,-5.1219907,0.125,0.0018939394503831863,0.001325757591985166
YNL272C,YAR042W,1,-5.1223197,0.2222222238779068,0.0037878789007663727,0.001325757591985166
YLR166C,YMR192W,1,-5.1231847,0.30000001192092896,0.005681818351149559,0.001325757591985166
YNL272C,YDR164C,1,-5.123765,0.3636363744735718,0.007575757801532745,0.001325757591985166
YLR114C,YIL115C,0,-5.1311135,0.3333333432674408,0.007575757801532745,0.0015151514671742916
YOR204W,YOL086C,0,-5.1361995,0.3076923191547394,0.007575757801532745,0.001704545458778739
YBR102C,YPL145C,1,-5.1455455,0.3571428656578064,0.009469697251915932,0.001704545458778739
YDR283C,YDR091C,0,-5.148967,0.3333333432674408,0.009469697251915932,0.0018939394503831863
YHL009C,YPL195W,0,-5.1545877,0.3125,0.009469697251915932,0.0020833334419876337
YBL020W,YGL150C,0,-5.1546164,0.29411765933036804,0.009469697251915932,0.0022727272007614374
YIL173W,YMR039C,0,-5.157833,0.2777777910232544,0.009469697251915932,0.0024621211923658848
YBR192W,YKL119C,0,-5.173323,0.2631579041481018,0.009469697251915932,0.002651515183970332
YDL042C,YIL076W,0,-5.1746993,0.25,0.009469697251915932,0.0028409091755747795
YDR200C,YHR190W,0,-5.1788397,0.2380952388048172,0.009469697251915932,0.0030303029343485832
YPL145C,YDR164C,1,-5.191519,0.27272728085517883,0.011363636702299118,0.0030303029343485832
YBR112C,YGR038W,0,-5.198696,0.260869562625885,0.011363636702299118,0.0032196969259530306
YJR076C,YAL010C,0,-5.201717,0.25,0.011363636702299118,0.003409090917557478
YER008C,YMR109W,1,-5.2052755,0.2800000011920929,0.013257576152682304,0.003409090917557478
YER003C,YPR051W,0,-5.218465,0.26923078298568726,0.013257576152682304,0.0035984849091619253
YLR233C,YPL040C,0,-5.2239656,0.25925925374031067,0.013257576152682304,0.0037878789007663727
YNL177C,YLR268W,0,-5.2398696,0.25,0.013257576152682304,0.003977272659540176
YBR098W,YDR457W,0,-5.2414775,0.24137930572032928,0.013257576152682304,0.004166666883975267
YJR089W,YHR098C,0,-5.2477527,0.23333333432674408,0.013257576152682304,0.004356060642749071
YPR191W,YBR192W,0,-5.2486463,0.22580644488334656,0.013257576152682304,0.004545454401522875
YOL128C,YHR026W,0,-5.2633495,0.21875,0.013257576152682304,0.004734848625957966
YOR153W,YDR394W,0,-5.2695737,0.21212121844291687,0.013257576152682304,0.0049242423847317696
YKL149C,YEL056W,0,-5.2702684,0.20588235557079315,0.013257576152682304,0.005113636143505573
YNL272C,YKR031C,1,-5.273504,0.22857142984867096,0.01515151560306549,0.005113636143505573
YER008C,YDL019C,1,-5.280331,0.25,0.017045455053448677,0.005113636143505573
YKL046C,YLR466W,0,-5.283326,0.2432432472705841,0.017045455053448677,0.005303030367940664
YLR166C,YPL145C,1,-5.2850366,0.2631579041481018,0.018939394503831863,0.005303030367940664
YDL232W,YDR142C,0,-5.2869344,0.25641027092933655,0.018939394503831863,0.005492424126714468
YPL083C,YMR267W,0,-5.289925,0.25,0.018939394503831863,0.005681818351149559
YFL005W,YKR031C,1,-5.2905927,0.26829269528388977,0.02083333395421505,0.005681818351149559
YFL039C,YPL145C,1,-5.2939997,0.2857142984867096,0.022727273404598236,0.005681818351149559
YIL068C,YMR192W,1,-5.2940087,0.302325576543808,0.024621212854981422,0.005681818351149559
YMR109W,YML099C,1,-5.295335,0.3181818127632141,0.02651515230536461,0.005681818351149559
YLL013C,YNL239W,0,-5.2989144,0.31111112236976624,0.02651515230536461,0.005871212109923363
YML016C,YOR172W,0,-5.3040056,0.30434781312942505,0.02651515230536461,0.0060606058686971664
YKR031C,YDR164C,1,-5.3063927,0.3191489279270172,0.028409091755747795,0.0060606058686971664
YCR039C,YDR227W,0,-5.3066554,0.3125,0.028409091755747795,0.0062500000931322575
YKR031C,YKL212W,1,-5.3090672,0.3265306055545807,0.03030303120613098,0.0062500000931322575
YPR032W,YKL212W,1,-5.310662,0.3400000035762787,0.03219696879386902,0.0062500000931322575
YML029W,YLR386W,0,-5.3113317,0.3333333432674408,0.03219696879386902,0.006439393851906061
YER008C,YNL272C,1,-5.311516,0.3461538553237915,0.034090910106897354,0.006439393851906061
YER008C,YLR166C,1,-5.312614,0.35849055647850037,0.03598484769463539,0.006439393851906061
YKR031C,YPL145C,1,-5.3155413,0.37037035822868347,0.03787878900766373,0.006439393851906061
YDR422C,YGR288W,0,-5.3174777,0.3636363744735718,0.03787878900766373,0.006628788076341152
YKR031C,YDR323C,1,-5.322821,0.375,0.039772726595401764,0.006628788076341152
YDR501W,YLR438C-A,0,-5.3268847,0.3684210479259491,0.039772726595401764,0.006818181835114956
YBL007C,YDR228C,0,-5.3275094,0.36206895112991333,0.039772726595401764,0.00700757559388876
YLR144C,YNL258C,0,-5.330837,0.35593220591545105,0.039772726595401764,0.007196969818323851
YBR080C,YNL258C,0,-5.340643,0.3499999940395355,0.039772726595401764,0.007386363577097654
YER027C,YPL137C,0,-5.345342,0.3442623019218445,0.039772726595401764,0.007575757801532745
YPL180W,YDR022C,0,-5.3466916,0.33870968222618103,0.039772726595401764,0.007765151560306549
YPR032W,YIL138C,1,-5.348677,0.3492063581943512,0.0416666679084301,0.007765151560306549
YEL019C,YER019W,0,-5.348803,0.34375,0.0416666679084301,0.007954545319080353
YDR365C,YLR119W,0,-5.350098,0.3384615480899811,0.0416666679084301,0.008143939077854156
YIL068C,YDR164C,1,-5.350169,0.3484848439693451,0.04356060549616814,0.008143939077854156
YGL229C,YKL149C,0,-5.3554463,0.34328359365463257,0.04356060549616814,0.008333333767950535
YMR109W,YPL145C,1,-5.3570004,0.3529411852359772,0.04545454680919647,0.008333333767950535
YNL272C,YMR192W,1,-5.357248,0.36231884360313416,0.04734848439693451,0.008333333767950535
