Gene A,Gene B,Label,Score,Precision,Recall,False Positive Rate
YNL318C,YBL078C,0,-3.4410489,0.0,0.0,0.0027777778450399637
YOR008C-A,YDR461W,0,-4.2611146,0.0,0.0,0.0055555556900799274
YHR039C-B,YMR319C,0,-4.352184,0.0,0.0,0.008333333767950535
YBL025W,YER108C,0,-4.3639283,0.0,0.0,0.011111111380159855
YPR137C-A,YIL063C,0,-4.3912683,0.0,0.0,0.013888888992369175
YNL070W,YLR410W-B,0,-4.4027896,0.0,0.0,0.01666666753590107
YDR210W-B,YNL112W,0,-4.4063554,0.0,0.0,0.01944444514811039
YMR214W,YOR192C-B,0,-4.419329,0.0,0.0,0.02222222276031971
YCL062W,YKL092C,0,-4.424002,0.0,0.0,0.02500000037252903
YDL224C,YDR365W-A,0,-4.430685,0.0,0.0,0.02777777798473835
YIL014W,YGR161C-D,0,-4.4318957,0.0,0.0,0.03055555559694767
YGR247W,YHL009W-A,0,-4.437726,0.0,0.0,0.03333333507180214
YHL009W-A,YMR068W,0,-4.437726,0.0,0.0,0.03611111268401146
YNL164C,YML045W-A,0,-4.437726,0.0,0.0,0.03888889029622078
YER108C,YLR157C-B,0,-4.437726,0.0,0.0,0.0416666679084301
YPL177C,YCR080W,0,-4.4516416,0.0,0.0,0.04444444552063942
YOR334W,YCR102C,0,-4.4672866,0.0,0.0,0.04722222313284874
YNL284C-B,YBL074C,0,-4.4706707,0.0,0.0,0.05000000074505806
YGR048W,YOR343W-B,0,-4.477567,0.0,0.0,0.05277777835726738
YJL056C,YDR098C-A,0,-4.4776177,0.0,0.0,0.0555555559694767
YOR343W-A,YLR032W,0,-4.490234,0.0,0.0,0.05833333358168602
YHR066W,YLR337W,0,-4.5023394,0.0,0.0,0.06111111119389534
YFL035C,YKR035W-A,0,-4.51123,0.0,0.0,0.06388889253139496
YML033W,YKL175W,0,-4.538927,0.0,0.0,0.06666667014360428
YDR170W-A,YOL103W-B,0,-4.549219,0.0,0.0,0.0694444477558136
YGR145W,YOR192C-B,0,-4.5553513,0.0,0.0,0.07222222536802292
YOR240W,YBR037C,0,-4.5765004,0.0,0.0,0.07500000298023224
YDL076C,YCL012W,0,-4.5784736,0.0,0.0,0.07777778059244156
YBR231C,YCL012W,0,-4.5857387,0.0,0.0,0.08055555820465088
YMR305C,YPR046W,0,-4.597778,0.0,0.0,0.0833333358168602
YDR005C,YCR102C,0,-4.61554,0.0,0.0,0.08611111342906952
YLR320W,YMR015C,0,-4.6895957,0.0,0.0,0.08888889104127884
YCR055C,YMR043W,0,-4.6971655,0.0,0.0,0.09166666865348816
YHL038C,YOR338W,0,-4.697696,0.0,0.0,0.09444444626569748
YOR185C,YOL034W,0,-4.987966,0.0,0.0,0.0972222238779068
YDL160C,YDR515W,0,-4.995031,0.0,0.0,0.10000000149011612
YLR098C,YPR173C,0,-4.9961405,0.0,0.0,0.10277777910232544
YJR028W,YMR065W,0,-5.0048566,0.0,0.0,0.10555555671453476
YOL144W,YBR244W,0,-5.018479,0.0,0.0,0.10833333432674408
YLR426W,YKL025C,0,-5.037671,0.0,0.0,0.1111111119389534
YER014C-A,YMR283C,0,-5.0897303,0.0,0.0,0.11388888955116272
YPL152W,YGR296W,0,-5.105536,0.0,0.0,0.11666666716337204
YOR344C,YDR385W,0,-5.311949,0.0,0.0,0.11944444477558136
YIL131C,YHR187W,0,-5.3773503,0.0,0.0,0.12222222238779068
YHR171W,YGL240W,0,-5.398313,0.0,0.0,0.125
YKL166C,YOR305W,0,-5.398923,0.0,0.0,0.12777778506278992
YKL001C,YPL001W,0,-5.4667706,0.0,0.0,0.13055555522441864
YML045W,YLR229C,0,-5.476637,0.0,0.0,0.13333334028720856
YMR015C,YNL007C,0,-5.527826,0.0,0.0,0.13611111044883728
YGR008C,YDR448W,0,-5.5443416,0.0,0.0,0.1388888955116272
YIL173W,YOL126C,0,-5.5741553,0.0,0.0,0.14166666567325592
YMR015C,YOR347C,0,-5.5747085,0.0,0.0,0.14444445073604584
YOL091W,YDR173C,0,-5.591358,0.0,0.0,0.14722222089767456
YPR055W,YKR082W,0,-5.6054235,0.0,0.0,0.15000000596046448
YLR319C,YMR112C,0,-5.7094398,0.0,0.0,0.1527777761220932
YBR093C,YDR393W,0,-5.7225623,0.0,0.0,0.15555556118488312
YHR079C-A,YCR005C,0,-5.758262,0.0,0.0,0.15833333134651184
YKR022C,YGR296W,0,-5.779824,0.0,0.0,0.16111111640930176
YIL155C,YJL090C,0,-5.7808166,0.0,0.0,0.16388888657093048
YLR386W,YJL005W,0,-5.7831464,0.0,0.0,0.1666666716337204
YOL156W,YLR369W,0,-5.794173,0.0,0.0,0.16944444179534912
YBR085W,YLL061W,0,-5.804615,0.0,0.0,0.17222222685813904
YGR289C,YOR250C,0,-5.807201,0.0,0.0,0.17499999701976776
YDL159W,YGR070W,0,-5.8362603,0.0,0.0,0.17777778208255768
YHR088W,YNR049C,0,-5.8412538,0.0,0.0,0.1805555522441864
YER015W,YOR290C,0,-5.8423157,0.0,0.0,0.18333333730697632
YAL058W,YPR019W,0,-5.865717,0.0,0.0,0.18611110746860504
YPL164C,YHR119W,0,-5.8703985,0.0,0.0,0.18888889253139496
YMR272C,YNL098C,0,-5.8971806,0.0,0.0,0.19166666269302368
YDL247W,YOR241W,0,-5.9023747,0.0,0.0,0.1944444477558136
YGL227W,YDR106W,0,-5.90413,0.0,0.0,0.19722221791744232
YDL209C,YAL024C,0,-5.9511447,0.0,0.0,0.20000000298023224
YAL026C,YPL206C,0,-5.9728675,0.0,0.0,0.20277777314186096
YBR172C,YAL021C,0,-5.9736075,0.0,0.0,0.20555555820465088
YGL094C,YGL013C,0,-6.0127387,0.0,0.0,0.2083333283662796
YMR011W,YDR156W,0,-6.0503054,0.0,0.0,0.21111111342906952
YBR152W,YBL007C,0,-6.0647492,0.0,0.0,0.21388888359069824
YCR020C,YPL256C,0,-6.0656095,0.0,0.0,0.21666666865348816
YBR283C,YDR227W,0,-6.13414,0.0,0.0,0.21944443881511688
YMR156C,YNL037C,0,-6.1553617,0.0,0.0,0.2222222238779068
YGL180W,YKR020W,1,-6.158022,0.012345679104328156,0.02777777798473835,0.2222222238779068
YLR107W,YNL001W,0,-6.160558,0.012195121496915817,0.02777777798473835,0.22499999403953552
YIR028W,YLR220W,0,-6.165883,0.012048192322254181,0.02777777798473835,0.22777777910232544
YDR435C,YOR348C,0,-6.1833453,0.011904762126505375,0.02777777798473835,0.23055554926395416
YOR341W,YML109W,0,-6.191154,0.0117647061124444,0.02777777798473835,0.23333333432674408
YIL031W,YCL032W,0,-6.2058377,0.011627906933426857,0.02777777798473835,0.2361111044883728
YJR047C,YIR013C,0,-6.2074084,0.01149425283074379,0.02777777798473835,0.23888888955116272
YDR529C,YIL173W,0,-6.2249303,0.011363636702299118,0.02777777798473835,0.24166665971279144
YOL112W,YER038C,0,-6.2305856,0.01123595517128706,0.02777777798473835,0.24444444477558136
