Gene A,Gene B,Label,Score,Precision,Recall,False Positive Rate
YJR028W,YBL005W-A,1,6.495483,1.0,0.0010000000474974513,0.0
YER138C,YML039W,1,5.9024777,1.0,0.0020000000949949026,0.0
YJR026W,YER160C,1,5.87744,1.0,0.003000000026077032,0.0
YJR027W,YCL019W,1,5.6739135,1.0,0.004000000189989805,0.0
YER160C,YJR027W,1,5.541971,1.0,0.004999999888241291,0.0
YHR214C-B,YML045W,1,5.5095835,1.0,0.006000000052154064,0.0
YBL100W-A,YCL020W,1,5.0444493,1.0,0.007000000216066837,0.0
YJR027W,YML045W,1,4.9663873,1.0,0.00800000037997961,0.0
YER160C,YBL005W-A,1,4.9640956,1.0,0.008999999612569809,0.0
YDR082W,YLR178C,0,4.62508,0.8999999761581421,0.008999999612569809,9.999999747378752e-05
YAR009C,YJR027W,1,4.5334735,0.9090909361839294,0.009999999776482582,9.999999747378752e-05
YLL041C,YLR058C,0,4.503181,0.8333333134651184,0.009999999776482582,0.00019999999494757503
YER160C,YCL019W,1,4.4845815,0.8461538553237915,0.010999999940395355,0.00019999999494757503
YJR028W,YML045W,1,4.3488207,0.8571428656578064,0.012000000104308128,0.00019999999494757503
YJR026W,YBL100W-A,1,4.0444617,0.8666666746139526,0.013000000268220901,0.00019999999494757503
YAL061W,YGR192C,0,4.0136156,0.8125,0.013000000268220901,0.0003000000142492354
YJR026W,YML045W,1,3.950667,0.8235294222831726,0.014000000432133675,0.0003000000142492354
YJR028W,YAR009C,1,3.8634284,0.8333333134651184,0.014999999664723873,0.0003000000142492354
YOR230W,YFL011W,0,3.7735436,0.7894737124443054,0.014999999664723873,0.00039999998989515007
YLR466W,YER073W,0,3.6716044,0.75,0.014999999664723873,0.0005000000237487257
YBL080C,YDL039C,0,3.569085,0.7142857313156128,0.014999999664723873,0.0006000000284984708
YMR046C,YCL020W,1,3.5045652,0.7272727489471436,0.01600000075995922,0.0006000000284984708
YDR075W,YCL030C,0,3.4840634,0.695652186870575,0.01600000075995922,0.000699999975040555
YJR161C,YPR043W,0,3.4100926,0.6666666865348816,0.01600000075995922,0.0007999999797903001
YKL026C,YER055C,0,3.389959,0.6399999856948853,0.01600000075995922,0.0008999999845400453
YBR072W,YCR048W,0,3.3767035,0.6153846383094788,0.01600000075995922,0.0010000000474974513
YOR018W,YER103W,0,3.3402565,0.5925925970077515,0.01600000075995922,0.0010999999940395355
YLR384C,YKR069W,0,3.3277407,0.5714285969734192,0.01600000075995922,0.0012000000569969416
YBR054W,YLR205C,0,3.2895894,0.5517241358757019,0.01600000075995922,0.0013000000035390258
YCL030C,YKL150W,0,3.273994,0.5333333611488342,0.01600000075995922,0.00139999995008111
YNL153C,YKL091C,0,3.2480657,0.5161290168762207,0.01600000075995922,0.001500000013038516
YER138C,YBL100W-A,1,3.2189672,0.53125,0.017000000923871994,0.001500000013038516
YCL019W,YCL020W,1,3.2175052,0.5454545617103577,0.017999999225139618,0.001500000013038516
YEL026W,YPR134W,0,3.2071166,0.529411792755127,0.017999999225139618,0.0015999999595806003
YMR169C,YLR084C,0,3.1925957,0.5142857432365417,0.017999999225139618,0.0017000000225380063
YKL026C,YBR112C,0,3.1543996,0.5,0.017999999225139618,0.0017999999690800905
