Gene A,Gene B,Label,Score,Precision,Recall,False Positive Rate
YBL071W-A,YLR172C,1,-2.3485947,1.0,0.10000000149011612,0.0
YIL103W,YBL071W-A,1,-2.3652673,1.0,0.20000000298023224,0.0
YKL191W,YBL071W-A,1,-2.5307171,1.0,0.30000001192092896,0.0
YDR079C-A,YJL090C,0,-2.5546792,0.75,0.30000001192092896,0.009999999776482582
YJR097W,YBL071W-A,1,-2.9432833,0.800000011920929,0.4000000059604645,0.009999999776482582
YNL023C,YJL133C-A,0,-3.0244486,0.6666666865348816,0.4000000059604645,0.019999999552965164
YKL089W,YGL044C,0,-3.0460994,0.5714285969734192,0.4000000059604645,0.029999999329447746
YCL012W,YPR120C,0,-3.084466,0.5,0.4000000059604645,0.03999999910593033
YIR028W,YNL326C,0,-3.0964167,0.4444444477558136,0.4000000059604645,0.05000000074505806
YJR014W,YPR137C-B,0,-3.1368062,0.4000000059604645,0.4000000059604645,0.05999999865889549
YHR172W,YHL013C,0,-3.1550324,0.3636363744735718,0.4000000059604645,0.07000000029802322
YDR210C-D,YHR172W,0,-3.2120712,0.3333333432674408,0.4000000059604645,0.07999999821186066
YDR210C-D,YDL194W,0,-3.2419956,0.3076923191547394,0.4000000059604645,0.09000000357627869
YKR031C,YMR139W,0,-3.298437,0.2857142984867096,0.4000000059604645,0.10000000149011612
YLR421C,YBR210W,0,-3.397463,0.2666666805744171,0.4000000059604645,0.10999999940395355
YDR356W,YIL038C,0,-3.4760385,0.25,0.4000000059604645,0.11999999731779099
YNL054W,YDR540C,0,-3.5167904,0.23529411852359772,0.4000000059604645,0.12999999523162842
YMR288W,YKR077W,0,-3.5386877,0.2222222238779068,0.4000000059604645,0.14000000059604645
YGR215W,YHR140W,0,-3.6374288,0.21052631735801697,0.4000000059604645,0.15000000596046448
YPR032W,YJR110W,0,-3.640216,0.20000000298023224,0.4000000059604645,0.1599999964237213
YLR418C,YKL181W,0,-3.6419373,0.190476194024086,0.4000000059604645,0.17000000178813934
YGL002W,YDL207W,0,-3.6988523,0.1818181872367859,0.4000000059604645,0.18000000715255737
YGL133W,YMR183C,0,-3.732838,0.17391304671764374,0.4000000059604645,0.1899999976158142
YBL008W,YJL209W,0,-3.7337344,0.1666666716337204,0.4000000059604645,0.20000000298023224
YBL106C,YPL008W,0,-3.7515895,0.1599999964237213,0.4000000059604645,0.20999999344348907
YDL126C,YGR192C,0,-3.7584093,0.1538461595773697,0.4000000059604645,0.2199999988079071
YNR047W,YDR540C,0,-3.7892504,0.14814814925193787,0.4000000059604645,0.23000000417232513
YDR376W,YPL161C,0,-3.8537774,0.1428571492433548,0.4000000059604645,0.23999999463558197
YKR007W,YJR076C,0,-3.8783498,0.13793103396892548,0.4000000059604645,0.25
YMR167W,YLR066W,0,-3.8826175,0.13333334028720856,0.4000000059604645,0.25999999046325684
YDL193W,YMR081C,0,-3.8828423,0.12903225421905518,0.4000000059604645,0.27000001072883606
YPL158C,YER146W,0,-3.885193,0.125,0.4000000059604645,0.2800000011920929
YIR019C,YOR191W,0,-4.0396805,0.12121212482452393,0.4000000059604645,0.28999999165534973
YBL017C,YOR354C,0,-4.062215,0.11764705926179886,0.4000000059604645,0.30000001192092896
YDL222C,YBL090W,0,-4.1331534,0.11428571492433548,0.4000000059604645,0.3100000023841858
