Gene A,Gene B,Label,Score,Precision,Recall,False Positive Rate
YBR061C,YPL252C,1,17.365921,1.0,0.0009737098589539528,0.0
YOR243C,YPL252C,1,17.04409,1.0,0.0019474197179079056,0.0
YGR159C,YPL252C,0,16.563513,0.6666666865348816,0.0019474197179079056,0.00010027072858065367
YDL014W,YML014W,1,16.182655,0.75,0.0029211295768618584,0.00010027072858065367
YLR175W,YGL064C,1,16.078022,0.800000011920929,0.003894839435815811,0.00010027072858065367
YOR243C,YDL039C,1,15.830341,0.8333333134651184,0.004868549294769764,0.00010027072858065367
YNL240C,YML056C,0,15.7256775,0.7142857313156128,0.004868549294769764,0.00020054145716130733
YIL047C,YPL252C,1,15.724476,0.75,0.005842259153723717,0.00020054145716130733
YDL208W,YNR046W,1,15.203792,0.7777777910232544,0.0068159690126776695,0.00020054145716130733
YAR015W,YPL212C,1,15.128155,0.800000011920929,0.007789678871631622,0.00020054145716130733
YER127W,YPL175W,1,15.112015,0.8181818127632141,0.008763388730585575,0.00020054145716130733
YDR120C,YDL036C,1,14.972876,0.8333333134651184,0.009737098589539528,0.00020054145716130733
YBR092C,YPR144C,0,14.964748,0.7692307829856873,0.009737098589539528,0.000300812185741961
YDL014W,YPL252C,1,14.783392,0.7857142686843872,0.01071080844849348,0.000300812185741961
YDL030W,YMR211W,1,14.760625,0.800000011920929,0.011684518307447433,0.000300812185741961
YOR243C,YIL047C,1,14.660524,0.8125,0.012658228166401386,0.000300812185741961
YCL036W,YOR201C,1,14.571165,0.8235294222831726,0.013631938025355339,0.000300812185741961
YPL212C,YCR047C,1,14.531608,0.8333333134651184,0.014605647884309292,0.000300812185741961
YNL292W,YNL240C,1,14.465202,0.8421052694320679,0.015579357743263245,0.000300812185741961
YNL254C,YLR197W,1,14.391837,0.8500000238418579,0.016553066670894623,0.000300812185741961
YPL101W,YKR044W,1,14.287077,0.8571428656578064,0.01752677746117115,0.000300812185741961
YNL254C,YER127W,1,14.263008,0.8636363744735718,0.01850048638880253,0.000300812185741961
YOR269W,YDR441C,1,14.195301,0.8695651888847351,0.019474197179079056,0.000300812185741961
YJL125C,YBL024W,1,14.19479,0.875,0.020447906106710434,0.000300812185741961
YLR052W,YLR197W,1,14.089054,0.8799999952316284,0.02142161689698696,0.000300812185741961
YOR306C,YBL024W,1,14.078403,0.8846153616905212,0.02239532582461834,0.000300812185741961
YPL038W,YMR288W,1,14.032595,0.8888888955116272,0.023369036614894867,0.000300812185741961
YOL054W,YCR047C,1,13.990749,0.8928571343421936,0.024342745542526245,0.000300812185741961
YER082C,YDL209C,0,13.898541,0.8620689511299133,0.024342745542526245,0.00040108291432261467
YNL065W,YDL201W,1,13.854607,0.8666666746139526,0.025316456332802773,0.00040108291432261467
YBR247C,YGL136C,0,13.690639,0.8387096524238586,0.025316456332802773,0.0005013536429032683
YDL030W,YOL125W,1,13.649076,0.84375,0.02629016526043415,0.0005013536429032683
YOR274W,YCL054W,1,13.520801,0.8484848737716675,0.027263876050710678,0.0005013536429032683
YBR002C,YOL093W,1,13.469656,0.8529411554336548,0.028237584978342056,0.0005013536429032683
YPR144C,YPL252C,0,13.435751,0.8285714387893677,0.028237584978342056,0.000601624371483922
YMR153W,YDL036C,1,13.413946,0.8333333134651184,0.029211295768618584,0.000601624371483922
YOR205C,YDR492W,1,13.358785,0.837837815284729,0.030185004696249962,0.000601624371483922
YHR197W,YOL125W,0,13.355783,0.8157894611358643,0.030185004696249962,0.0007018951000645757
YPL226W,YKL183W,0,13.34717,0.7948718070983887,0.030185004696249962,0.0008021658286452293
YOR306C,YDL208W,1,13.241638,0.800000011920929,0.03115871548652649,0.0008021658286452293
YFL001W,YGL050W,1,13.226425,0.8048780560493469,0.03213242441415787,0.0008021658286452293
YNL292W,YDL030W,1,13.205921,0.8095238208770752,0.033106133341789246,0.0008021658286452293
YLR009W,YLR165C,0,13.186886,0.7906976938247681,0.033106133341789246,0.000902436557225883
YOL140W,YJR041C,0,13.142189,0.7727272510528564,0.033106133341789246,0.0010027072858065367
YBR061C,YGL236C,1,13.108393,0.7777777910232544,0.03407984599471092,0.0010027072858065367
YDR478W,YDL036C,1,12.988022,0.782608687877655,0.0350535549223423,0.0010027072858065367
YML113W,YDR492W,1,12.969682,0.7872340679168701,0.03602726384997368,0.0010027072858065367
YGL050W,YCL036W,1,12.9625635,0.7916666865348816,0.03700097277760506,0.0010027072858065367
YGR169C,YLR197W,1,12.940275,0.795918345451355,0.037974681705236435,0.0010027072858065367
YER127W,YDL036C,1,12.929429,0.800000011920929,0.03894839435815811,0.0010027072858065367
YLR175W,YNL062C,1,12.925225,0.8039215803146362,0.03992210328578949,0.0010027072858065367
YLR316C,YDR478W,1,12.90777,0.807692289352417,0.04089581221342087,0.0010027072858065367
YER127W,YHR070W,1,12.882641,0.8113207817077637,0.041869521141052246,0.0010027072858065367
YBR247C,YDR120C,0,12.828374,0.7962962985038757,0.041869521141052246,0.0011029780143871903
YOL124C,YDR120C,1,12.82473,0.800000011920929,0.04284323379397392,0.0011029780143871903
YDR524C,YDL208W,1,12.8035145,0.8035714030265808,0.0438169427216053,0.0011029780143871903
YLR165C,YML080W,1,12.770063,0.8070175647735596,0.04479065164923668,0.0011029780143871903
YBL055C,YOL125W,1,12.621894,0.8103448152542114,0.04576436057686806,0.0011029780143871903
YCL054W,YML005W,1,12.604908,0.8135592937469482,0.046738073229789734,0.0011029780143871903
YOL124C,YGL136C,1,12.580986,0.8166666626930237,0.04771178215742111,0.0011029780143871903
YMR266W,YDR281C,1,12.562803,0.8196721076965332,0.04868549108505249,0.0011029780143871903
YKL166C,YLR197W,1,12.53237,0.8225806355476379,0.04965920001268387,0.0011029780143871903
YDR120C,YOR274W,1,12.523764,0.8253968358039856,0.050632912665605545,0.0011029780143871903
YOL125W,YDL205C,1,12.447488,0.828125,0.05160662159323692,0.0011029780143871903
YOR308C,YPR137W,1,12.435617,0.8307692408561707,0.0525803305208683,0.0011029780143871903
YLR165C,YCL054W,1,12.418829,0.8333333134651184,0.05355403944849968,0.0011029780143871903
YLR175W,YGL050W,1,12.404194,0.8358209133148193,0.054527752101421356,0.0011029780143871903
YGL236C,YDL201W,1,12.393604,0.8382353186607361,0.055501461029052734,0.0011029780143871903
YDL122W,YBL024W,1,12.386668,0.8405796885490417,0.05647516995668411,0.0011029780143871903
YER127W,YMR023C,1,12.309761,0.8428571224212646,0.05744887888431549,0.0011029780143871903
YBR261C,YLR401C,1,12.292051,0.8450704216957092,0.05842259153723717,0.0011029780143871903
YOR243C,YBL023C,1,12.277082,0.8472222089767456,0.059396300464868546,0.0011029780143871903
YBL023C,YOR243C,1,12.277082,0.8493150472640991,0.060370009392499924,0.0011029780143871903
YNL292W,YGL050W,1,12.268947,0.8513513803482056,0.0613437183201313,0.0011029780143871903
YGR169C,YER180C,1,12.152174,0.8533333539962769,0.06231743097305298,0.0011029780143871903
YER115C,YNL292W,1,12.125345,0.8552631735801697,0.06329113990068436,0.0011029780143871903
YCR060W,YCR072C,0,12.049084,0.8441558480262756,0.06329113990068436,0.001203248742967844
