Gene A,Gene B,Label,Score,Precision,Recall,False Positive Rate
YDL223C,YJL034W,1,67.658195,1.0,0.0009930486558005214,0.0
YDL223C,YML124C,1,66.48928,1.0,0.0019860973116010427,0.0
YPR141C,YDL223C,1,53.5082,1.0,0.002979146083816886,0.0
YDL223C,YOR212W,1,50.802063,1.0,0.0039721946232020855,0.0
YFL026W,YJL073W,1,48.82167,1.0,0.004965243395417929,0.0
YER149C,YDL223C,1,47.928864,1.0,0.005958292167633772,0.0
YLR452C,YJL034W,1,45.88001,1.0,0.006951340474188328,0.0
YNR044W,YDL223C,1,44.877853,1.0,0.007944389246404171,0.0
YDL223C,YBR040W,1,44.254265,1.0,0.008937438018620014,0.0
YGR279C,YFR008W,1,43.898262,1.0,0.009930486790835857,0.0
YHR066W,YFR008W,1,41.809757,1.0,0.0109235355630517,0.0
YCL055W,YKL178C,1,41.71347,1.0,0.011916584335267544,0.0
YFL026W,YML085C,1,39.78367,1.0,0.012909632176160812,0.0
YBR095C,YDL223C,1,39.092648,1.0,0.013902680948376656,0.0
YHL016C,YLR344W,0,38.23382,0.9333333373069763,0.013902680948376656,0.00010007005039369687
YGR279C,YFL026W,1,37.558163,0.9375,0.014895729720592499,0.00010007005039369687
YFL026W,YDL225W,1,37.18671,0.9411764740943909,0.015888778492808342,0.00010007005039369687
YFL026W,YOR212W,1,36.57164,0.9444444179534912,0.016881827265024185,0.00010007005039369687
YLR327C,YNR038W,0,36.200375,0.8947368264198303,0.016881827265024185,0.00020014010078739375
YNL145W,YJL034W,1,36.15263,0.8999999761581421,0.01787487603724003,0.00020014010078739375
YDL039C,YJL172W,0,36.05853,0.8571428656578064,0.01787487603724003,0.000300210143905133
YLL021W,YGL053W,1,36.027977,0.8636363744735718,0.01886792480945587,0.000300210143905133
YDR534C,YOR348C,0,35.567436,0.8260869383811951,0.01886792480945587,0.0004002802015747875
YLR452C,YML124C,1,34.879204,0.8333333134651184,0.019860973581671715,0.0004002802015747875
YDL223C,YNL173C,1,33.975002,0.8399999737739563,0.020854022353887558,0.0004002802015747875
YDL039C,YGL053W,1,33.866547,0.8461538553237915,0.0218470711261034,0.0004002802015747875
YML085C,YHR139C,0,33.763138,0.8148148059844971,0.0218470711261034,0.000500350259244442
YPL043W,YJL170C,0,33.540947,0.7857142686843872,0.0218470711261034,0.000600420287810266
YKR009C,YPL273W,0,32.622055,0.7586206793785095,0.0218470711261034,0.00070049031637609
YNL132W,YOR273C,0,31.887028,0.7333333492279053,0.0218470711261034,0.000800560403149575
YCL027W,YFL026W,1,31.679453,0.7419354915618896,0.022840119898319244,0.000800560403149575
YNL110C,YJL172W,0,31.482061,0.71875,0.022840119898319244,0.000900630431715399
YLR452C,YJL170C,1,31.266579,0.7272727489471436,0.023833168670535088,0.000900630431715399
YDR312W,YFR008W,1,31.209225,0.7352941036224365,0.02482621558010578,0.000900630431715399
YJL108C,YKL178C,1,31.074741,0.7428571581840515,0.025819264352321625,0.000900630431715399
YOL084W,YPR144C,0,30.408634,0.7222222089767456,0.025819264352321625,0.001000700518488884
YDL039C,YMR198W,1,30.147295,0.7297297120094299,0.026812313124537468,0.001000700518488884
YNL110C,YDR406W,0,30.138317,0.7105262875556946,0.026812313124537468,0.001100770547054708
YML057W,YJL080C,1,29.953487,0.7179487347602844,0.02780536189675331,0.001100770547054708
YNR044W,YKL178C,1,29.528889,0.7250000238418579,0.028798410668969154,0.001100770547054708
YDR312W,YJL170C,1,29.528015,0.7317073345184326,0.029791459441184998,0.001100770547054708
YGR238C,YNR044W,1,29.515316,0.738095223903656,0.03078450821340084,0.001100770547054708
YKL178C,YMR065W,1,29.39098,0.7441860437393188,0.031777556985616684,0.001100770547054708
YHL016C,YBL068W,0,29.357601,0.7272727489471436,0.031777556985616684,0.001200840575620532
YJL080C,YGL053W,1,29.213118,0.7333333492279053,0.032770607620477676,0.001200840575620532
YGL089C,YLR238W,1,29.195028,0.739130437374115,0.03376365453004837,0.001200840575620532
YPR141C,YGL089C,1,28.926147,0.7446808218955994,0.034756701439619064,0.001200840575620532
YKL143W,YJL170C,0,28.904064,0.7291666865348816,0.034756701439619064,0.001300910604186356
YOR096W,YHR209W,0,28.529778,0.7142857313156128,0.034756701439619064,0.00140098063275218
YDL223C,YMR065W,1,28.471672,0.7200000286102295,0.03574975207448006,0.00140098063275218
YDR146C,YCR005C,0,28.326805,0.7058823704719543,0.03574975207448006,0.001501050777733326
YDR312W,YNL173C,1,28.267673,0.7115384340286255,0.03674279898405075,0.001501050777733326
YDR103W,YFL037W,1,28.092653,0.7169811129570007,0.03773584961891174,0.001501050777733326
YNR044W,YJR086W,1,28.057713,0.7222222089767456,0.03872889652848244,0.001501050777733326
YHR073W,YKL178C,1,28.042099,0.7272727489471436,0.03972194716334343,0.001501050777733326
YGL178W,YDR200C,1,27.883749,0.7321428656578064,0.040714994072914124,0.001501050777733326
YFL026W,YDL216C,1,27.784061,0.7368420958518982,0.041708044707775116,0.001501050777733326
YGL099W,YKL178C,1,27.757122,0.7413793206214905,0.04270109161734581,0.001501050777733326
YDL223C,YMR198W,1,27.692747,0.7457627058029175,0.0436941422522068,0.001501050777733326
YKL178C,YOL125W,0,27.60233,0.7333333492279053,0.0436941422522068,0.00160112080629915
YCL027W,YCL055W,1,27.542833,0.7377049326896667,0.044687189161777496,0.00160112080629915
YDR312W,YPR122W,1,27.437016,0.7419354915618896,0.04568023979663849,0.00160112080629915
YDL100C,YMR198W,1,27.431637,0.7460317611694336,0.04667328670620918,0.00160112080629915
YDL223C,YDR356W,1,27.297855,0.75,0.047666337341070175,0.00160112080629915
YJL170C,YDL223C,1,27.247963,0.7538461685180664,0.04865938425064087,0.00160112080629915
YMR232W,YDR312W,1,27.109848,0.7575757503509521,0.04965243116021156,0.00160112080629915
YPL256C,YGL089C,1,26.88834,0.7611940503120422,0.050645481795072556,0.00160112080629915
YHR084W,YNL279W,1,26.708443,0.7647058963775635,0.05163852870464325,0.00160112080629915
YNL287W,YHL024W,0,26.662258,0.7536231875419617,0.05163852870464325,0.001701190834864974
YPR141C,YJL108C,1,26.518478,0.7571428418159485,0.05263157933950424,0.001701190834864974
YLR186W,YKR049C,0,26.426884,0.7464788556098938,0.05263157933950424,0.001801260863430798
YGR037C,YPL123C,0,26.385284,0.7361111044883728,0.05263157933950424,0.001901330891996622
YMR143W,YGL229C,0,26.336319,0.7260273694992065,0.05263157933950424,0.002001401036977768
YFL026W,YGL099W,1,26.315784,0.7297297120094299,0.053624626249074936,0.002001401036977768
YCL027W,YOR212W,1,26.287155,0.7333333492279053,0.05461767688393593,0.002001401036977768
YFL037W,YMR232W,1,26.207388,0.7368420958518982,0.05561072379350662,0.002001401036977768
YJL108C,YPR122W,1,26.080685,0.7402597665786743,0.056603774428367615,0.002001401036977768
YHL028W,YCL059C,0,26.015095,0.7307692170143127,0.056603774428367615,0.00210147094912827
YNL188W,YGL053W,1,25.977446,0.7341772317886353,0.05759682133793831,0.00210147094912827
YDR103W,YKL178C,1,25.858154,0.737500011920929,0.0585898719727993,0.00210147094912827
YNL173C,YPL156C,1,25.798527,0.7407407164573669,0.059582918882369995,0.00210147094912827
YBR287W,YMR290C,0,25.776855,0.7317073345184326,0.059582918882369995,0.002201541094109416
YNL127W,YJL157C,1,25.63956,0.7349397540092468,0.06057596951723099,0.002201541094109416
YGR052W,YNL110C,0,25.595116,0.726190447807312,0.06057596951723099,0.002301611239090562
YBR129C,YML124C,1,25.540756,0.729411780834198,0.06156901642680168,0.002301611239090562
YHR158C,YDL039C,1,25.487,0.7325581312179565,0.06256206333637238,0.002301611239090562
YML047C,YML057W,1,25.44836,0.7356321811676025,0.06355511397123337,0.002301611239090562
YBR040W,YJL034W,1,25.23182,0.7386363744735718,0.06454816460609436,0.002301611239090562
YJL157C,YLR314C,1,25.162632,0.7415730357170105,0.06554121524095535,0.002301611239090562
YGR040W,YLR452C,1,25.133297,0.7444444298744202,0.06653425842523575,0.002301611239090562
YNL145W,YFR008W,1,25.081806,0.7472527623176575,0.06752730906009674,0.002301611239090562
YPL210C,YER103W,0,25.064915,0.739130437374115,0.06752730906009674,0.002401681151241064
YEL041W,YHR170W,0,24.957016,0.7311828136444092,0.06752730906009674,0.00250175129622221
YDR103W,YML085C,1,24.946308,0.7340425252914429,0.06852035969495773,0.00250175129622221
YBR169C,YOR346W,0,24.88749,0.7263157963752747,0.06852035969495773,0.002601821208372712
YOR004W,YDR330W,0,24.761095,0.71875,0.06852035969495773,0.002701891353353858
YBR040W,YFR053C,0,24.74699,0.7113401889801025,0.06852035969495773,0.00280196126550436
YLR075W,YNL117W,0,24.524712,0.704081654548645,0.06852035969495773,0.002902031410485506
YDR281C,YLL026W,0,24.52295,0.6969696879386902,0.06852035969495773,0.003002101555466652
YJL170C,YJL080C,1,24.49456,0.699999988079071,0.06951340287923813,0.003002101555466652
YJL073W,YGL053W,1,24.491695,0.7029703259468079,0.07050645351409912,0.003002101555466652
YHR073W,YDL223C,1,24.474358,0.7058823704719543,0.07149950414896011,0.003002101555466652
YML124C,YMR065W,1,24.468365,0.708737850189209,0.0724925547838211,0.003002101555466652
YJL157C,YMR025W,1,24.46353,0.7115384340286255,0.0734855979681015,0.003002101555466652
YFL026W,YJR076C,1,24.389446,0.7142857313156128,0.0744786486029625,0.003002101555466652
YFR008W,YGL089C,1,24.377846,0.7169811129570007,0.07547169923782349,0.003002101555466652
YMR025W,YFL037W,1,24.24964,0.7196261882781982,0.07646474987268448,0.003002101555466652
YML085C,YDL039C,1,24.11242,0.7222222089767456,0.07745779305696487,0.003002101555466652
YBR118W,YNL036W,0,24.091452,0.7155963182449341,0.07745779305696487,0.003102171467617154
YFL026W,YHR158C,1,24.086735,0.7181817889213562,0.07845084369182587,0.003102171467617154
YGL063W,YOR382W,0,24.005566,0.7117117047309875,0.07845084369182587,0.0032022416125983
YLR287C-A,YDL223C,0,23.797884,0.7053571343421936,0.07845084369182587,0.003302311524748802
YNL156C,YER165W,0,23.750206,0.6991150379180908,0.07845084369182587,0.003402381669729948
YLR258W,YCL027W,0,23.7318,0.6929824352264404,0.07845084369182587,0.003502451814711094
YNL121C,YGL053W,0,23.609222,0.686956524848938,0.07845084369182587,0.003602521726861596
YJL157C,YDR379W,1,23.605007,0.6896551847457886,0.07944389432668686,0.003602521726861596
YEL040W,YCR030C,0,23.566128,0.6837607026100159,0.07944389432668686,0.003702591871842742
YIL037C,YLR452C,1,23.55142,0.6864407062530518,0.08043694496154785,0.003702591871842742
YJL108C,YDR085C,1,23.551195,0.6890756487846375,0.08142998814582825,0.003702591871842742
YNL066W,YOL104C,0,23.520603,0.6833333373069763,0.08142998814582825,0.003802661783993244
YJL103C,YKL178C,0,23.40493,0.6776859760284424,0.08142998814582825,0.00390273192897439
YFL037W,YHR005C,1,23.349495,0.6803278923034668,0.08242303878068924,0.00390273192897439
YDL223C,YIL015W,1,23.19009,0.6829268336296082,0.08341608941555023,0.00390273192897439
YJL157C,YLR452C,1,23.171822,0.6854838728904724,0.08440913259983063,0.00390273192897439
YMR318C,YPL123C,0,23.04431,0.6800000071525574,0.08440913259983063,0.004002802073955536
YNL202W,YLR333C,0,23.039978,0.6746031641960144,0.08440913259983063,0.004102872218936682
YMR025W,YDL223C,1,23.030384,0.6771653294563293,0.08540218323469162,0.004102872218936682
YMR301C,YBR054W,0,22.932585,0.671875,0.08540218323469162,0.00420294189825654
YDR380W,YNL292W,0,22.868107,0.6666666865348816,0.08540218323469162,0.004303012043237686
YDR103W,YDL039C,1,22.81704,0.6692307591438293,0.08639523386955261,0.004303012043237686
YHR084W,YGL053W,1,22.752829,0.6717557311058044,0.0873882845044136,0.004303012043237686
YJL108C,YFR008W,1,22.605421,0.6742424368858337,0.088381327688694,0.004303012043237686
YDR085C,YLL043W,1,22.56955,0.6766917109489441,0.08937437832355499,0.004303012043237686
YPR141C,YJL034W,1,22.472315,0.6791045069694519,0.09036742895841599,0.004303012043237686
YIL136W,YOR299W,0,22.437042,0.6740740537643433,0.09036742895841599,0.004403082188218832
YNR032C-A,YDR085C,1,22.402756,0.6764705777168274,0.09136047959327698,0.004403082188218832
YPR141C,YFR008W,1,22.287224,0.6788321137428284,0.09235352277755737,0.004403082188218832
YDL160C,YKL178C,1,22.226994,0.6811594367027283,0.09334657341241837,0.004403082188218832
