Gene A,Gene B,Label,Score,Precision,Recall,False Positive Rate
YER070W,YLR313C,1,17.378864,1.0,0.000994035741314292,0.0
YER070W,YML065W,1,16.337042,1.0,0.001988071482628584,0.0
YGR109C,YDR110W,1,15.867124,1.0,0.0029821074567735195,0.0
YFR041C,YPR049C,0,15.654144,0.75,0.0029821074567735195,0.00010006003867601976
YPL055C,YOL146W,1,15.583275,0.800000011920929,0.003976142965257168,0.00010006003867601976
YER070W,YGR209C,1,15.379702,0.8333333134651184,0.004970178939402103,0.00010006003867601976
YLR369W,YLR154C,1,15.095952,0.8571428656578064,0.005964214913547039,0.00010006003867601976
YHR118C,YBR070C,1,15.07514,0.875,0.006958250422030687,0.00010006003867601976
YBL031W,YDR013W,1,14.602617,0.8888888955116272,0.007952285930514336,0.00010006003867601976
YGL168W,YDL164C,1,14.42382,0.8999999761581421,0.008946321904659271,0.00010006003867601976
YER070W,YAR008W,0,14.269892,0.8181818127632141,0.008946321904659271,0.00020012007735203952
YIL066C,YDR069C,1,14.203754,0.8333333134651184,0.009940357878804207,0.00020012007735203952
YLR369W,YHR118C,1,14.173134,0.8461538553237915,0.010934393852949142,0.00020012007735203952
YNL088W,YGR221C,1,14.097128,0.8571428656578064,0.011928429827094078,0.00020012007735203952
YDR489W,YBR202W,1,14.024737,0.8666666746139526,0.012922464869916439,0.00020012007735203952
YNL218W,YGR109C,1,13.944804,0.875,0.013916500844061375,0.00020012007735203952
YML058W,YDR110W,1,13.845844,0.8823529481887817,0.01491053681820631,0.00020012007735203952
YDR013W,YBL023C,1,13.792491,0.8888888955116272,0.01590457186102867,0.00020012007735203952
YKL045W,YNL273W,1,13.685828,0.8947368264198303,0.016898607835173607,0.00020012007735203952
YPR019W,YGR109C,1,13.650425,0.8999999761581421,0.017892643809318542,0.00020012007735203952
YCR086W,YBL023C,1,13.645958,0.9047619104385376,0.018886679783463478,0.00020012007735203952
YNL248C,YDL003W,0,13.61266,0.8636363744735718,0.018886679783463478,0.00030018010875210166
YML027W,YLR103C,1,13.54534,0.8695651888847351,0.019880715757608414,0.00030018010875210166
YBL035C,YGL207W,1,13.512707,0.875,0.02087475173175335,0.00030018010875210166
YLR313C,YDR013W,1,13.493728,0.8799999952316284,0.021868787705898285,0.00030018010875210166
YDR501W,YMR190C,1,13.452463,0.8846153616905212,0.02286282368004322,0.00030018010875210166
YHR031C,YGR209C,1,13.411807,0.8888888955116272,0.023856859654188156,0.00030018010875210166
YHR031C,YDR217C,1,13.395418,0.8928571343421936,0.024850893765687943,0.00030018010875210166
YKL108W,YLR321C,1,13.3333645,0.8965517282485962,0.025844929739832878,0.00030018010875210166
YDR014W,YNL218W,1,13.278591,0.8999999761581421,0.026838965713977814,0.00030018010875210166
YAR007C,YIL066C,1,13.26917,0.9032257795333862,0.02783300168812275,0.00030018010875210166
YBR057C,YOL017W,1,13.245445,0.90625,0.028827037662267685,0.00030018010875210166
YDL056W,YHR134W,1,13.217903,0.9090909361839294,0.02982107363641262,0.00030018010875210166
YGR209C,YKL113C,1,13.1849785,0.9117646813392639,0.030815109610557556,0.00030018010875210166
YBR060C,YKR077W,1,13.112297,0.9142857193946838,0.03180914372205734,0.00030018010875210166
YLR135W,YBR070C,1,12.902075,0.9166666865348816,0.03280318155884743,0.00030018010875210166
YML069W,YMR043W,1,12.87028,0.9189189076423645,0.033797215670347214,0.00030018010875210166
YBR089C-A,YHR191C,1,12.86727,0.9210526347160339,0.0347912535071373,0.00030018010875210166
YHL024W,YDR121W,1,12.856009,0.9230769276618958,0.035785287618637085,0.00030018010875210166
