Gene A,Gene B,Label,Score,Precision,Recall,False Positive Rate
YDR375C,YMR024W,0,19.24525,0.0,0.0,0.00010015022417064756
YNL315C,YBR185C,1,18.076298,0.5,0.000985221704468131,0.00010015022417064756
YMR302C,YLR038C,1,17.29597,0.6666666865348816,0.001970443408936262,0.00010015022417064756
YIL098C,YOR045W,1,17.183119,0.75,0.002955665113404393,0.00010015022417064756
YLR193C,YGR132C,1,17.165802,0.800000011920929,0.003940886817872524,0.00010015022417064756
YDR258C,YJL180C,1,15.841838,0.8333333134651184,0.004926108289510012,0.00010015022417064756
YPL215W,YIL022W,1,15.828354,0.8571428656578064,0.005911330226808786,0.00010015022417064756
YPL098C,YKL195W,1,15.520533,0.875,0.006896551698446274,0.00010015022417064756
YGR082W,YBR044C,1,15.273931,0.8888888955116272,0.007881773635745049,0.00010015022417064756
YKL053C-A,YGR132C,1,15.238433,0.8999999761581421,0.008866994641721249,0.00010015022417064756
YLL009C,YIL098C,1,15.217918,0.9090909361839294,0.009852216579020023,0.00010015022417064756
YDR258C,YNL315C,1,15.129888,0.9166666865348816,0.010837438516318798,0.00010015022417064756
YLL001W,YJL104W,1,14.754159,0.9230769276618958,0.011822660453617573,0.00010015022417064756
YML091C,YNL121C,1,14.639086,0.9285714030265808,0.012807881459593773,0.00010015022417064756
YGR082W,YJL180C,1,14.592341,0.9333333373069763,0.013793103396892548,0.00010015022417064756
YGR132C,YGL219C,1,14.58907,0.9375,0.014778325334191322,0.00010015022417064756
YDR258C,YDR296W,1,14.525159,0.9411764740943909,0.015763547271490097,0.00010015022417064756
YGR244C,YIL053W,0,14.318407,0.8888888955116272,0.015763547271490097,0.00020030044834129512
YHR031C,YGR101W,1,14.295663,0.8947368264198303,0.016748769208788872,0.00020030044834129512
YGL055W,YDR294C,0,14.136522,0.8500000238418579,0.016748769208788872,0.0003004506870638579
YGR082W,YDL239C,1,14.133749,0.8571428656578064,0.017733989283442497,0.0003004506870638579
YCR079W,YGL055W,1,14.095796,0.8636363744735718,0.018719211220741272,0.0003004506870638579
YBL101C,YNR037C,0,14.066985,0.8260869383811951,0.018719211220741272,0.00040060089668259025
YJR045C,YHR031C,1,13.899481,0.8333333134651184,0.019704433158040047,0.00040060089668259025
YGR132C,YNL315C,1,13.814257,0.8399999737739563,0.02068965509533882,0.00040060089668259025
YIL062C,YLR304C,1,13.784611,0.8461538553237915,0.021674877032637596,0.00040060089668259025
YLR038C,YGR046W,1,13.528648,0.8518518805503845,0.02266009896993637,0.00040060089668259025
YML058W,YGL055W,1,13.505712,0.8571428656578064,0.023645320907235146,0.00040060089668259025
YKL137W,YLR193C,1,13.490967,0.8620689511299133,0.02463054098188877,0.00040060089668259025
YIL065C,YDR079W,1,13.489314,0.8666666746139526,0.025615762919187546,0.00040060089668259025
YNL055C,YMR012W,1,13.443032,0.8709677457809448,0.02660098485648632,0.00040060089668259025
