Gene A,Gene B,Label,Score,Precision,Recall,False Positive Rate
YNL163C,YPL131W,1,43.404266,1.0,0.0010000000474974513,0.0
YOL080C,YOR150W,1,41.98078,1.0,0.0020000000949949026,0.0
YFR001W,YOR063W,1,40.439205,1.0,0.003000000026077032,0.0
YGL078C,YGR220C,1,37.285034,1.0,0.004000000189989805,0.0
YPR102C,YCR072C,1,37.19449,1.0,0.004999999888241291,0.0
YFL002C,YPL131W,1,37.133755,1.0,0.006000000052154064,0.0
YOR150W,YCR072C,1,36.99965,1.0,0.007000000216066837,0.0
YOL077C,YLR106C,1,36.2846,1.0,0.00800000037997961,0.0
YKR081C,YGR220C,1,35.79851,1.0,0.008999999612569809,0.0
YOR150W,YGR103W,1,35.174606,1.0,0.009999999776482582,0.0
YML025C,YNL002C,1,34.79632,1.0,0.010999999940395355,0.0
YOR150W,YEL054C,1,34.691475,1.0,0.012000000104308128,0.0
YLR340W,YFL002C,1,34.63375,1.0,0.013000000268220901,0.0
YGL120C,YNL110C,1,34.511242,1.0,0.014000000432133675,0.0
YPL211W,YOR150W,1,34.27259,1.0,0.014999999664723873,0.0
YGR085C,YCR072C,1,34.020966,1.0,0.01600000075995922,0.0
YLR106C,YML073C,1,33.691723,1.0,0.017000000923871994,0.0
YOL077C,YGR220C,1,33.389927,1.0,0.017999999225139618,0.0
YGL120C,YJL122W,1,33.337223,1.0,0.01899999938905239,0.0
YLR340W,YHR052W,1,33.253464,1.0,0.019999999552965164,0.0
YKL009W,YGR245C,1,33.04426,1.0,0.020999999716877937,0.0
YLR106C,YPR102C,1,32.733597,1.0,0.02199999988079071,0.0
YOR150W,YPL131W,1,32.70678,1.0,0.023000000044703484,0.0
YHR052W,YLR106C,1,32.586205,1.0,0.024000000208616257,0.0
YLL008W,YPL131W,1,32.523457,1.0,0.02500000037252903,0.0
YPL211W,YGR220C,1,32.490738,1.0,0.026000000536441803,0.0
YDR312W,YPL131W,1,32.4521,1.0,0.027000000700354576,0.0
YFL002C,YGR245C,1,31.993382,1.0,0.02800000086426735,0.0
YLR340W,YGR220C,1,31.62636,1.0,0.028999999165534973,0.0
YHR059W,YNL301C,0,31.606564,0.9666666388511658,0.028999999165534973,9.999999747378752e-05
YNL110C,YCR072C,1,31.45527,0.9677419066429138,0.029999999329447746,9.999999747378752e-05
YDR418W,YLR276C,1,30.983097,0.96875,0.03099999949336052,9.999999747378752e-05
YLR009W,YDR060W,1,30.93763,0.9696969985961914,0.03200000151991844,9.999999747378752e-05
YKR024C,YLR009W,1,30.845737,0.970588207244873,0.032999999821186066,9.999999747378752e-05
YGR220C,YCR072C,1,30.794964,0.9714285731315613,0.03400000184774399,9.999999747378752e-05
YLL008W,YPR143W,1,30.783459,0.9722222089767456,0.03500000014901161,9.999999747378752e-05
YGL103W,YCR072C,0,30.72316,0.9459459185600281,0.03500000014901161,0.00019999999494757503
YOR063W,YBR142W,1,30.600815,0.9473684430122375,0.035999998450279236,0.00019999999494757503
YML025C,YOR272W,1,30.43819,0.9487179517745972,0.03700000047683716,0.00019999999494757503
YKR024C,YOR063W,1,30.050598,0.949999988079071,0.03799999877810478,0.00019999999494757503
YKL009W,YLL008W,1,30.023619,0.9512194991111755,0.039000000804662704,0.00019999999494757503
YGR085C,YKR081C,1,30.018421,0.9523809552192688,0.03999999910593033,0.00019999999494757503
YEL054C,YHR066W,1,30.017988,0.9534883499145508,0.04100000113248825,0.00019999999494757503
YER126C,YNL110C,1,30.015461,0.9545454382896423,0.041999999433755875,0.00019999999494757503
YML025C,YHR197W,1,29.78984,0.9555555582046509,0.0430000014603138,0.00019999999494757503
YDR312W,YHR052W,1,29.767006,0.95652174949646,0.04399999976158142,0.00019999999494757503
YOR150W,YLR276C,1,29.711563,0.957446813583374,0.04500000178813934,0.00019999999494757503
YGR220C,YNL002C,1,29.67836,0.9583333134651184,0.04600000008940697,0.00019999999494757503
YNL182C,YNL110C,1,29.653584,0.9591836929321289,0.04699999839067459,0.00019999999494757503
YLR340W,YOR150W,1,29.220383,0.9599999785423279,0.04800000041723251,0.00019999999494757503
YGR085C,YNL163C,1,29.073112,0.9607843160629272,0.04899999871850014,0.00019999999494757503
YOR063W,YLR276C,1,29.035034,0.9615384340286255,0.05000000074505806,0.00019999999494757503
YOL077C,YLR340W,1,29.01167,0.9622641801834106,0.050999999046325684,0.00019999999494757503
YKR024C,YER126C,1,28.908623,0.9629629850387573,0.052000001072883606,0.00019999999494757503
YFR001W,YER126C,1,28.89981,0.9636363387107849,0.05299999937415123,0.00019999999494757503
YAL025C,YML073C,1,28.87104,0.9642857313156128,0.05400000140070915,0.00019999999494757503
YGR085C,YHR052W,1,28.862492,0.9649122953414917,0.054999999701976776,0.00019999999494757503
YPL146C,YPL131W,1,28.836552,0.9655172228813171,0.0560000017285347,0.00019999999494757503
YER126C,YDR060W,1,28.835342,0.9661017060279846,0.05700000002980232,0.00019999999494757503
YLR106C,YLR009W,1,28.78143,0.9666666388511658,0.057999998331069946,0.00019999999494757503
YGL120C,YLL008W,1,28.517612,0.9672130942344666,0.05900000035762787,0.00019999999494757503
YER002W,YPL131W,1,28.515678,0.9677419066429138,0.05999999865889549,0.00019999999494757503
YOR063W,YHR052W,1,28.422913,0.9682539701461792,0.061000000685453415,0.00019999999494757503
YHR052W,YCR072C,1,28.400589,0.96875,0.06199999898672104,0.00019999999494757503
YIR012W,YGR245C,1,28.35473,0.9692307710647583,0.06300000101327896,0.00019999999494757503
YLR340W,YLL008W,1,28.101625,0.9696969985961914,0.06400000303983688,0.00019999999494757503
YML025C,YHR170W,1,28.044868,0.9701492786407471,0.06499999761581421,0.00019999999494757503
YNL182C,YGR220C,1,28.009558,0.970588207244873,0.06599999964237213,0.00019999999494757503
YKR081C,YLR106C,1,27.974087,0.9710144996643066,0.06700000166893005,0.00019999999494757503
YPL211W,YDR060W,1,27.881914,0.9714285731315613,0.06800000369548798,0.00019999999494757503
YOL080C,YOR063W,1,27.862873,0.9718309640884399,0.0689999982714653,0.00019999999494757503
YLL008W,YEL054C,1,27.84433,0.9722222089767456,0.07000000029802322,0.00019999999494757503
YOL080C,YGR220C,1,27.841755,0.9726027250289917,0.07100000232458115,0.00019999999494757503
YFL002C,YEL054C,1,27.841198,0.9729729890823364,0.07199999690055847,0.00019999999494757503
YPL131W,YGR245C,1,27.80254,0.9733333587646484,0.0729999989271164,0.00019999999494757503
YNL182C,YPR102C,1,27.759478,0.9736841917037964,0.07400000095367432,0.00019999999494757503
YKL009W,YFL002C,1,27.752865,0.9740259647369385,0.07500000298023224,0.00019999999494757503
YGR220C,YPR102C,1,27.657873,0.9743589758872986,0.07599999755620956,0.00019999999494757503
YJL125C,YPL131W,0,27.443085,0.9620253443717957,0.07599999755620956,0.0003000000142492354
YKL009W,YOL080C,1,27.434921,0.9624999761581421,0.07699999958276749,0.0003000000142492354
YIR012W,YHR066W,1,27.424362,0.9629629850387573,0.07800000160932541,0.0003000000142492354
YPL131W,YCR072C,1,27.414614,0.9634146094322205,0.07900000363588333,0.0003000000142492354
YFR001W,YLR106C,1,27.382256,0.9638554453849792,0.07999999821186066,0.0003000000142492354
YOL077C,YGL120C,1,27.381954,0.9642857313156128,0.08100000023841858,0.0003000000142492354
YOR150W,YOR272W,1,27.335346,0.9647058844566345,0.0820000022649765,0.0003000000142492354
YGR220C,YLR009W,1,27.263367,0.9651162624359131,0.08299999684095383,0.0003000000142492354
YKR024C,YEL054C,1,27.090805,0.9655172228813171,0.08399999886751175,0.0003000000142492354
YKL009W,YER126C,1,27.020405,0.9659090638160706,0.08500000089406967,0.0003000000142492354
YOR063W,YNL110C,1,27.01941,0.966292142868042,0.0860000029206276,0.0003000000142492354
YOR150W,YDR091C,1,26.990038,0.9666666388511658,0.08699999749660492,0.0003000000142492354
YHR052W,YPR102C,1,26.972202,0.9670329689979553,0.08799999952316284,0.0003000000142492354
YJL122W,YDR060W,1,26.944069,0.967391312122345,0.08900000154972076,0.0003000000142492354
YJL122W,YLR106C,1,26.93517,0.9677419066429138,0.09000000357627869,0.0003000000142492354
