Gene A,Gene B,Label,Score,Precision,Recall,False Positive Rate
YJR022W,YGL120C,1,47.8713,1.0,0.0009910803055390716,0.0
YNL210W,YDR194C,1,43.321953,1.0,0.001982160611078143,0.0
YHR165C,YNL210W,1,42.642258,1.0,0.002973240800201893,0.0
YGL030W,YML049C,1,36.953587,1.0,0.003964321222156286,0.0
YJL155C,YGR214W,0,35.170643,0.800000011920929,0.003964321222156286,0.00010009008110500872
YEL026W,YML049C,1,35.12232,0.8333333134651184,0.004955401178449392,0.00010009008110500872
YDR077W,YDR449C,0,34.989666,0.7142857313156128,0.004955401178449392,0.00020018016221001744
YEL026W,YGL128C,1,32.859413,0.75,0.005946481600403786,0.00020018016221001744
YNR011C,YDR432W,1,32.4954,0.7777777910232544,0.006937562022358179,0.00020018016221001744
YGR222W,YOR204W,1,32.240105,0.800000011920929,0.007928642444312572,0.00020018016221001744
YPL093W,YIR005W,0,32.058716,0.7272727489471436,0.007928642444312572,0.00030027024331502616
YNL210W,YER172C,1,31.244154,0.75,0.008919722400605679,0.00030027024331502616
YHR203C,YKL218C,0,30.997755,0.692307710647583,0.008919722400605679,0.0004003603244200349
YBR055C,YNL210W,1,30.829107,0.7142857313156128,0.009910802356898785,0.0004003603244200349
YNL209W,YDR163W,0,30.690464,0.6666666865348816,0.009910802356898785,0.0005004503764212132
YPR182W,YLR275W,1,29.635597,0.6875,0.010901883244514465,0.0005004503764212132
YEL026W,YDR416W,1,29.356998,0.7058823704719543,0.011892963200807571,0.0005004503764212132
YGL120C,YBL074C,1,29.100225,0.7222222089767456,0.012884043157100677,0.0005004503764212132
YGL120C,YML029W,1,28.754105,0.7368420958518982,0.013875124044716358,0.0005004503764212132
YDL030W,YGL128C,1,28.223759,0.75,0.014866204001009464,0.0005004503764212132
YKL074C,YIR005W,1,28.014977,0.761904776096344,0.015857284888625145,0.0005004503764212132
YGR006W,YKR057W,0,27.421087,0.7272727489471436,0.015857284888625145,0.0006005404866300523
YPL079W,YGR258C,0,27.109589,0.695652186870575,0.015857284888625145,0.0007006305386312306
YGR085C,YGL128C,0,26.884935,0.6666666865348816,0.015857284888625145,0.0008007206488400698
YNL210W,YPR152C,1,26.778793,0.6800000071525574,0.01684836484491825,0.0008007206488400698
YBR237W,YGL120C,1,26.375431,0.692307710647583,0.017839444801211357,0.0008007206488400698
YKL095W,YBL039C,0,26.33802,0.6666666865348816,0.017839444801211357,0.000900810700841248
YGR148C,YPL181W,0,26.219639,0.6428571343421936,0.017839444801211357,0.0010009007528424263
YPL064C,YNL210W,1,25.88433,0.6551724076271057,0.018830524757504463,0.0010009007528424263
YLR166C,YOR369C,0,25.3854,0.6333333253860474,0.018830524757504463,0.0011009909212589264
YLR132C,YEL026W,1,25.376331,0.6451612710952759,0.01982160471379757,0.0011009909212589264
YOR030W,YGL148W,0,25.166714,0.625,0.01982160471379757,0.0012010809732601047
YKL074C,YGL030W,1,25.087492,0.6363636255264282,0.020812686532735825,0.0012010809732601047
YNL245C,YER172C,1,24.751205,0.6470588445663452,0.02180376648902893,0.0012010809732601047
YPL160W,YCL033C,0,24.495565,0.6285714507102966,0.02180376648902893,0.001301171025261283
YPR082C,YGL030W,1,24.47346,0.6388888955116272,0.022794846445322037,0.001301171025261283
YKL170W,YGL123W,0,24.436314,0.6216216087341309,0.022794846445322037,0.0014012610772624612
YLR424W,YGL128C,1,24.019518,0.6315789222717285,0.023785926401615143,0.0014012610772624612
YMR087W,YEL026W,1,23.738163,0.6410256624221802,0.02477700635790825,0.0014012610772624612
YGL128C,YKL173W,1,23.686848,0.6499999761581421,0.025768086314201355,0.0014012610772624612
YFL017W-A,YOR148C,1,23.67545,0.6585366129875183,0.02675916813313961,0.0014012610772624612
YMR180C,YJL138C,0,23.615395,0.6428571343421936,0.02675916813313961,0.0015013512456789613
YMR087W,YGL120C,1,23.536964,0.6511628031730652,0.027750248089432716,0.0015013512456789613
YEL026W,YDR163W,1,23.49385,0.6590909361839294,0.028741328045725822,0.0015013512456789613
YBL074C,YGR123C,0,23.489304,0.644444465637207,0.028741328045725822,0.0016014412976801395
YLR117C,YEL026W,1,23.479744,0.6521739363670349,0.02973240800201893,0.0016014412976801395
YHR067W,YHR216W,0,23.45758,0.6382978558540344,0.02973240800201893,0.0017015313496813178
YGR222W,YDR432W,1,23.357769,0.6458333134651184,0.030723487958312035,0.0017015313496813178
YGR075C,YFL017W-A,1,23.18174,0.6530612111091614,0.03171456977725029,0.0017015313496813178
YKL095W,YJL189W,0,22.73911,0.6399999856948853,0.03171456977725029,0.001801621401682496
YIL061C,YGL128C,1,22.71098,0.6470588445663452,0.032705649733543396,0.001801621401682496
YLR132C,YJL133W,1,22.438847,0.6538461446762085,0.0336967296898365,0.001801621401682496
YDL146W,YKL008C,0,22.199692,0.6415094137191772,0.0336967296898365,0.0019017115700989962
YDR473C,YGL128C,1,22.180168,0.6481481194496155,0.03468780964612961,0.0019017115700989962
YEL026W,YJL087C,1,22.157633,0.6545454263687134,0.035678889602422714,0.0019017115700989962
YMR216C,YGL128C,1,22.08693,0.6607142686843872,0.03666996955871582,0.0019017115700989962
YKR094C,YLR207W,0,22.07648,0.6491228342056274,0.03666996955871582,0.0020018015056848526
YEL026W,YGR074W,1,22.039143,0.6551724076271057,0.037661049515008926,0.0020018015056848526
YOR229W,YDR432W,0,21.757946,0.6440678238868713,0.037661049515008926,0.0021018916741013527
YCL038C,YML024W,0,21.705593,0.6333333253860474,0.037661049515008926,0.002201981842517853
