Gene A,Gene B,Label,Score,Precision,Recall,False Positive Rate
YDR380W,YGR217W,0,2.9913511,0.0,0.0,0.00010004001524066553
YOR326W,YLR343W,0,2.2037966,0.0,0.0,0.00020008003048133105
YHR197W,YML011C,0,2.1218665,0.0,0.0,0.00030012003844603896
YLR258W,YPR068C,0,2.0296276,0.0,0.0,0.0004001600609626621
YBL075C,YPR161C,0,1.9001027,0.0,0.0,0.0005002000834792852
YBL075C,YGR189C,0,1.8522145,0.0,0.0,0.0006002400768920779
YMR059W,YNL062C,1,1.727767,0.1428571492433548,0.0009960159659385681,0.0006002400768920779
YMR059W,YDL051W,1,1.6141427,0.25,0.0019920319318771362,0.0006002400768920779
YFR053C,YLR185W,0,1.5852592,0.2222222238779068,0.0019920319318771362,0.0007002801285125315
YIL155C,YKL129C,0,1.5088019,0.20000000298023224,0.0019920319318771362,0.0008003201219253242
YCL027W,YPR081C,0,1.4684657,0.1818181872367859,0.0019920319318771362,0.0009003601153381169
YER109C,YDL014W,0,1.4547417,0.1666666716337204,0.0019920319318771362,0.0010004001669585705
YOL019W,YDR256C,0,1.38912,0.1538461595773697,0.0019920319318771362,0.0011004401603713632
YKL096W,YGL027C,0,1.3815565,0.1428571492433548,0.0019920319318771362,0.0012004801537841558
YNL136W,YMR303C,0,1.3304074,0.13333334028720856,0.0019920319318771362,0.0013005202636122704
YOL121C,YDR273W,0,1.2980822,0.125,0.0019920319318771362,0.001400560257025063
YGL063W,YLR405W,1,1.2849438,0.1764705926179886,0.0029880478978157043,0.001400560257025063
YML054C,YPL249C-A,0,1.2761593,0.1666666716337204,0.0029880478978157043,0.0015006002504378557
YIL137C,YML100W,0,1.2749897,0.15789473056793213,0.0029880478978157043,0.0016006402438506484
YKL112W,YLR343W,0,1.2407527,0.15000000596046448,0.0029880478978157043,0.001700680237263441
YNL148C,YDL014W,0,1.214296,0.1428571492433548,0.0029880478978157043,0.0018007202306762338
YLR223C,YOR247W,0,1.2104732,0.13636364042758942,0.0029880478978157043,0.0019007603405043483
YBR054W,YMR204C,0,1.2066698,0.1304347813129425,0.0029880478978157043,0.002000800333917141
YGL063W,YOL124C,1,1.2057095,0.1666666716337204,0.0039840638637542725,0.002000800333917141
YJR047C,YML060W,0,1.1954241,0.1599999964237213,0.0039840638637542725,0.0021008404437452555
YGL096W,YOR005C,0,1.1566329,0.1538461595773697,0.0039840638637542725,0.0022008803207427263
YLR205C,YER038C,0,1.1543669,0.14814814925193787,0.0039840638637542725,0.002300920430570841
YJL106W,YHL035C,0,1.1219665,0.1428571492433548,0.0039840638637542725,0.0024009603075683117
YOR337W,YHR094C,0,1.0992267,0.13793103396892548,0.0039840638637542725,0.002501000417396426
YEL039C,YOL069W,0,1.0864515,0.13333334028720856,0.0039840638637542725,0.0026010405272245407
YGL063W,YLR401C,1,1.0839499,0.16129031777381897,0.004980079829692841,0.0026010405272245407
YGL141W,YMR127C,0,1.0735521,0.15625,0.004980079829692841,0.0027010804042220116
YCL033C,YKR099W,0,1.0653164,0.1515151560306549,0.004980079829692841,0.002801120514050126
YOL052C-A,YIL027C,0,1.0631752,0.14705882966518402,0.004980079829692841,0.002901160391047597
YPR046W,YBL039C,0,1.0389595,0.1428571492433548,0.004980079829692841,0.0030012005008757114
YHR088W,YCL044C,0,1.0288684,0.1388888955116272,0.004980079829692841,0.003101240610703826
YKR081C,YOR374W,0,1.0164733,0.13513512909412384,0.004980079829692841,0.003201280487701297
YNR056C,YPL152W,0,0.98701394,0.1315789520740509,0.004980079829692841,0.0033013205975294113
YHR094C,YMR001C,0,0.96806014,0.12820513546466827,0.004980079829692841,0.003401360474526882
YDR258C,YDL201W,0,0.9672853,0.125,0.004980079829692841,0.0035014005843549967
YNL186W,YML095C,0,0.95660466,0.12195122241973877,0.004980079829692841,0.0036014404613524675
YOL021C,YNL126W,0,0.9556356,0.1190476194024086,0.004980079829692841,0.003701480571180582
YIL155C,YDR033W,0,0.9517335,0.11627907305955887,0.004980079829692841,0.0038015206810086966
YOR128C,YOR328W,0,0.945233,0.11363636702299118,0.004980079829692841,0.0039015605580061674
YIL103W,YGL089C,0,0.93822527,0.1111111119389534,0.004980079829692841,0.004001600667834282
YBL075C,YBR083W,0,0.93146706,0.10869564861059189,0.004980079829692841,0.004101640544831753
YGL098W,YLR178C,0,0.9057659,0.10638298094272614,0.004980079829692841,0.004201680887490511
YNR075W,YDL145C,0,0.87771374,0.1041666641831398,0.004980079829692841,0.004301720764487982
YBL066C,YBL002W,0,0.84094167,0.10204081982374191,0.004980079829692841,0.004401760641485453
YLR319C,YDR380W,0,0.8316343,0.10000000149011612,0.004980079829692841,0.0045018005184829235
YAL028W,YGL150C,0,0.83070475,0.09803921729326248,0.004980079829692841,0.004601840861141682
YAL028W,YGL224C,0,0.82483417,0.09615384787321091,0.004980079829692841,0.0047018807381391525
YMR059W,YNL292W,1,0.8248294,0.11320754885673523,0.005976095795631409,0.0047018807381391525
YBR160W,YCR072C,0,0.8210654,0.1111111119389534,0.005976095795631409,0.004801920615136623
YKR080W,YBR040W,0,0.8078957,0.1090909093618393,0.005976095795631409,0.0049019609577953815
YBL072C,YJR150C,0,0.7986925,0.1071428582072258,0.005976095795631409,0.005002000834792852
YLR139C,YNL248C,0,0.79865336,0.10526315867900848,0.005976095795631409,0.005102040711790323
YGL234W,YFL026W,0,0.7967649,0.1034482792019844,0.005976095795631409,0.005202081054449081
YER014W,YEL011W,0,0.76294386,0.10169491171836853,0.005976095795631409,0.005302120931446552
YJR099W,YPR184W,0,0.76196945,0.10000000149011612,0.005976095795631409,0.005402160808444023
YBR244W,YLR056W,0,0.75870687,0.09836065769195557,0.005976095795631409,0.005502200685441494
YGL063W,YNL062C,1,0.7578034,0.11290322244167328,0.006972111761569977,0.005502200685441494
YGL086W,YOR348C,0,0.75634706,0.1111111119389534,0.006972111761569977,0.005602241028100252
YKL157W,YDR033W,0,0.7481295,0.109375,0.006972111761569977,0.005702280905097723
YGL063W,YDL112W,1,0.74188,0.1230769231915474,0.007968127727508545,0.005702280905097723
YFR030W,YJL108C,0,0.7361877,0.12121212482452393,0.007968127727508545,0.005802320782095194
YMR015C,YDL030W,0,0.7346431,0.11940298229455948,0.007968127727508545,0.005902361124753952
YGL128C,YGL229C,0,0.72908473,0.11764705926179886,0.007968127727508545,0.006002401001751423
YDR216W,YBR084W,0,0.72796047,0.11594203114509583,0.007968127727508545,0.006102440878748894
YGR080W,YDR113C,0,0.72596526,0.11428571492433548,0.007968127727508545,0.006202481221407652
YDR500C,YPR047W,0,0.72392845,0.11267605423927307,0.007968127727508545,0.006302521098405123
YMR015C,YER153C,0,0.7218653,0.1111111119389534,0.007968127727508545,0.006402560975402594
YER131W,YOR360C,0,0.71651816,0.10958904027938843,0.007968127727508545,0.0065026008524000645
YBR040W,YJL033W,0,0.71646094,0.10810811072587967,0.007968127727508545,0.006602641195058823
YKL216W,YFL025C,0,0.71385485,0.1066666692495346,0.007968127727508545,0.0067026810720562935
YIL101C,YBR241C,0,0.6940818,0.10526315867900848,0.007968127727508545,0.006802720949053764
YML130C,YPL081W,0,0.69243145,0.10389610379934311,0.007968127727508545,0.0069027612917125225
YDR430C,YHR052W,0,0.671684,0.10256410390138626,0.007968127727508545,0.007002801168709993
YOL119C,YPL230W,0,0.6669788,0.10126582533121109,0.007968127727508545,0.007102841045707464
YDL110C,YBR068C,0,0.66164184,0.10000000149011612,0.007968127727508545,0.007202880922704935
YKR049C,YDR437W,0,0.651914,0.09876543283462524,0.007968127727508545,0.007302921265363693
YBL075C,YER032W,0,0.6414955,0.09756097197532654,0.007968127727508545,0.007402961142361164
YML042W,YNL124W,0,0.63918036,0.09638553857803345,0.007968127727508545,0.007503001019358635
YNL119W,YOR383C,0,0.6292441,0.095238097012043,0.007968127727508545,0.007603041362017393
YLR277C,YOR348C,0,0.623291,0.0941176488995552,0.007968127727508545,0.007703081239014864
YCL047C,YJL173C,0,0.6226051,0.09302325546741486,0.007968127727508545,0.007803121116012335
YOL076W,YKR049C,0,0.6182772,0.09195402264595032,0.007968127727508545,0.007903161458671093
YKR093W,YGL001C,0,0.6108308,0.09090909361839294,0.007968127727508545,0.008003201335668564
YKR104W,YGL078C,0,0.6013863,0.08988764137029648,0.007968127727508545,0.008103241212666035
YKR039W,YLR333C,0,0.6004236,0.08888889104127884,0.007968127727508545,0.008203281089663506
YER011W,YPR010C,0,0.59717274,0.08791209012269974,0.007968127727508545,0.008303320966660976
YMR059W,YHR070W,1,0.5944804,0.09782608598470688,0.008964143693447113,0.008303320966660976
YMR059W,YOL124C,1,0.5880873,0.10752688348293304,0.009960159659385681,0.008303320966660976
YPL091W,YLR341W,0,0.5832729,0.10638298094272614,0.009960159659385681,0.008403361774981022
YPL003W,YDR380W,0,0.5810676,0.10526315867900848,0.009960159659385681,0.008503401651978493
YML060W,YHR139C,0,0.5803687,0.1041666641831398,0.009960159659385681,0.008603441528975964
YOR233W,YDR058C,0,0.5799203,0.10309278219938278,0.009960159659385681,0.008703481405973434
YCR034W,YDL141W,0,0.57612276,0.10204081982374191,0.009960159659385681,0.008803521282970905
YNL113W,YER044C-A,0,0.5696256,0.10101009905338287,0.009960159659385681,0.008903561159968376
