Gene A,Gene B,Label,Score,Precision,Recall,False Positive Rate
YBR290W,YJR109C,0,15.98657,0.0,0.0,0.00010008006211137399
YDR480W,YNL243W,0,9.052646,0.0,0.0,0.00020016012422274798
YGR209C,YEL077C,0,7.8264875,0.0,0.0,0.00030024017905816436
YJL080C,YGL053W,1,7.5053315,0.25,0.0009920635493472219,0.00030024017905816436
YDR480W,YDL031W,0,7.123926,0.20000000298023224,0.0009920635493472219,0.00040032024844549596
YBR251W,YGR212W,0,6.9955206,0.1666666716337204,0.0009920635493472219,0.0005004003178328276
YGR240C,YKL079W,0,6.9070587,0.1428571492433548,0.0009920635493472219,0.0006004803581163287
YPL045W,YBR028C,0,6.8497005,0.125,0.0009920635493472219,0.0007005604566074908
YBR060C,YPL045W,0,6.816471,0.1111111119389534,0.0009920635493472219,0.0008006404968909919
YKR007W,YEL027W,0,6.7466793,0.10000000149011612,0.0009920635493472219,0.000900720595382154
YER176W,YOR381W,0,6.712192,0.09090909361839294,0.0009920635493472219,0.0010008006356656551
YCL032W,YKL178C,1,6.679033,0.1666666716337204,0.0019841270986944437,0.0010008006356656551
YDR356W,YNL229C,0,6.6292243,0.1538461595773697,0.0019841270986944437,0.0011008806759491563
YOR270C,YIL019W,0,6.362325,0.1428571492433548,0.0019841270986944437,0.0012009607162326574
YDR385W,YKR042W,0,6.3509903,0.13333334028720856,0.0019841270986944437,0.0013010408729314804
YMR225C,YOR211C,0,6.319602,0.125,0.0019841270986944437,0.0014011209132149816
YBR110W,YJR099W,0,6.240547,0.11764705926179886,0.0019841270986944437,0.0015012009534984827
YLR013W,YNL151C,0,6.1627254,0.1111111119389534,0.0019841270986944437,0.0016012809937819839
YKR088C,YHR046C,0,6.1454816,0.10526315867900848,0.0019841270986944437,0.001701361034065485
YDR465C,YGR024C,0,6.1391644,0.10000000149011612,0.0019841270986944437,0.001801441190764308
YPR201W,YLR403W,0,6.109119,0.095238097012043,0.0019841270986944437,0.0019015212310478091
YER035W,YPR016C,0,6.0907784,0.09090909361839294,0.0019841270986944437,0.0020016012713313103
YPR075C,YKL178C,1,6.0493836,0.1304347813129425,0.0029761905316263437,0.0020016012713313103
YLR258W,YNL119W,0,5.99593,0.125,0.0029761905316263437,0.0021016814280301332
YBR251W,YHR021C,0,5.9181213,0.11999999731779099,0.0029761905316263437,0.0022017613518983126
YER011W,YHR108W,0,5.9125032,0.11538461595773697,0.0029761905316263437,0.0023018415085971355
YMR109W,YLR068W,0,5.8398933,0.1111111119389534,0.0029761905316263437,0.002401921432465315
YDR236C,YOL077W-A,0,5.801573,0.1071428582072258,0.0029761905316263437,0.002502001589164138
YNL221C,YKL178C,0,5.760826,0.1034482792019844,0.0029761905316263437,0.002602081745862961
YPL235W,YGL155W,0,5.73643,0.10000000149011612,0.0029761905316263437,0.00270216166973114
YPR008W,YOL096C,0,5.728847,0.09677419066429138,0.0029761905316263437,0.002802241826429963
YCL005W-A,YPR065W,0,5.7250285,0.09375,0.0029761905316263437,0.0029023217502981424
YNL029C,YDR004W,0,5.704006,0.09090909361839294,0.0029761905316263437,0.0030024019069969654
YIL040W,YMR086W,0,5.7035837,0.0882352963089943,0.0029761905316263437,0.0031024820636957884
YNL280C,YMR281W,0,5.643732,0.08571428805589676,0.0029761905316263437,0.0032025619875639677
YKR030W,YEL048C,0,5.6180706,0.0833333358168602,0.0029761905316263437,0.0033026421442627907
YDR299W,YIL125W,0,5.6133924,0.0810810774564743,0.0029761905316263437,0.00340272206813097
