Name,Fold,Labels GO:0000054,Score GO:0000054,Labels GO:0000278,Score GO:0000278,Labels GO:0000747,Score GO:0000747,Labels GO:0001403,Score GO:0001403,Labels GO:0002181,Score GO:0002181,Labels GO:0003677,Score GO:0003677,Labels GO:0003682,Score GO:0003682,Labels GO:0003700,Score GO:0003700,Labels GO:0003735,Score GO:0003735,Labels GO:0004386,Score GO:0004386,Labels GO:0004518,Score GO:0004518,Labels GO:0005085,Score GO:0005085,Labels GO:0005576,Score GO:0005576,Labels GO:0005618,Score GO:0005618,Labels GO:0005694,Score GO:0005694,Labels GO:0005730,Score GO:0005730,Labels GO:0005740,Score GO:0005740,Labels GO:0005773,Score GO:0005773,Labels GO:0005777,Score GO:0005777,Labels GO:0005783,Score GO:0005783,Labels GO:0005794,Score GO:0005794,Labels GO:0005840,Score GO:0005840,Labels GO:0005886,Score GO:0005886,Labels GO:0005933,Score GO:0005933,Labels GO:0005938,Score GO:0005938,Labels GO:0006260,Score GO:0006260,Labels GO:0006281,Score GO:0006281,Labels GO:0006310,Score GO:0006310,Labels GO:0006325,Score GO:0006325,Labels GO:0006352,Score GO:0006352,Labels GO:0006353,Score GO:0006353,Labels GO:0006360,Score GO:0006360,Labels GO:0006364,Score GO:0006364,Labels GO:0006366,Score GO:0006366,Labels GO:0006383,Score GO:0006383,Labels GO:0006397,Score GO:0006397,Labels GO:0006401,Score GO:0006401,Labels GO:0006413,Score GO:0006413,Labels GO:0006414,Score GO:0006414,Labels GO:0006418,Score GO:0006418,Labels GO:0006457,Score GO:0006457,Labels GO:0006468,Score GO:0006468,Labels GO:0006470,Score GO:0006470,Labels GO:0006486,Score GO:0006486,Labels GO:0006629,Score GO:0006629,Labels GO:0006811,Score GO:0006811,Labels GO:0006865,Score GO:0006865,Labels GO:0006869,Score GO:0006869,Labels GO:0006873,Score GO:0006873,Labels GO:0006887,Score GO:0006887,Labels GO:0006897,Score GO:0006897,Labels GO:0006970,Score GO:0006970,Labels GO:0006979,Score GO:0006979,Labels GO:0007005,Score GO:0007005,Labels GO:0007010,Score GO:0007010,Labels GO:0007031,Score GO:0007031,Labels GO:0007033,Score GO:0007033,Labels GO:0007059,Score GO:0007059,Labels GO:0007124,Score GO:0007124,Labels GO:0008033,Score GO:0008033,Labels GO:0008168,Score GO:0008168,Labels GO:0008233,Score GO:0008233,Labels GO:0008289,Score GO:0008289,Labels GO:0008380,Score GO:0008380,Labels GO:0008643,Score GO:0008643,Labels GO:0009408,Score GO:0009408,Labels GO:0009451,Score GO:0009451,Labels GO:0016197,Score GO:0016197,Labels GO:0016301,Score GO:0016301,Labels GO:0016491,Score GO:0016491,Labels GO:0016757,Score GO:0016757,Labels GO:0016779,Score GO:0016779,Labels GO:0016791,Score GO:0016791,Labels GO:0016798,Score GO:0016798,Labels GO:0016829,Score GO:0016829,Labels GO:0016853,Score GO:0016853,Labels GO:0016874,Score GO:0016874,Labels GO:0019843,Score GO:0019843,Labels GO:0022857,Score GO:0022857,Labels GO:0030427,Score GO:0030427,Labels GO:0030674,Score GO:0030674,Labels GO:0031410,Score GO:0031410,Labels GO:0032196,Score GO:0032196,Labels GO:0032543,Score GO:0032543,Labels GO:0042273,Score GO:0042273,Labels GO:0042274,Score GO:0042274,Labels GO:0042393,Score GO:0042393,Labels GO:0045333,Score GO:0045333,Labels GO:0051082,Score GO:0051082,Labels GO:0051321,Score GO:0051321,Labels GO:0051603,Score GO:0051603,Labels GO:0051726,Score GO:0051726
YFL056C YDR135C,NA,0.0,-1.0710384,0.0,-0.20631097,0.0,-0.20389538,0.0,1.2662339,0.0,4.401628,0.0,1.0831358,0.0,2.979979,0.0,0.08103931,0.0,6.0309467,0.0,0.50737476,0.0,-2.2696543,0.0,-0.05819343,0.0,3.024131,0.0,-1.1834393,0.0,1.1001661,0.0,0.96534616,0.0,5.1225514,0.0,2.2828376,0.0,0.1688807,0.0,-1.8684957,0.0,-1.2117281,0.0,1.7820864,0.0,3.6132658,0.0,2.2800481,0.0,-3.2804675,0.0,-0.47803053,0.0,-2.6315417,0.0,0.44965237,0.0,-2.6852727,0.0,-2.4608166,0.0,-0.27439138,0.0,-1.956244,0.0,-1.9060572,0.0,-2.004214,0.0,-1.2033827,0.0,6.004528,0.0,-0.9656079,0.0,0.49534956,0.0,-0.71814066,0.0,0.37636718,0.0,-1.0569469,0.0,-0.53872406,0.0,0.051074713,0.0,-1.945662,0.0,-3.2961423,0.0,-0.07316693,0.0,1.187041,0.0,-1.2256553,0.0,1.5450934,0.0,-0.943549,0.0,-0.37587035,0.0,2.6263855,0.0,0.63295674,0.0,0.71834743,0.0,-0.35575074,0.0,-0.72029114,0.0,-0.2766282,0.0,-0.28507885,0.0,1.4845941,0.0,2.5734022,0.0,-0.30079454,0.0,0.032478165,0.0,0.7992172,0.0,2.0012252,0.0,-0.19329704,0.0,-1.9121091,0.0,-0.101143435,0.0,0.2518041,0.0,2.4907243,0.0,-4.924629,0.0,-0.88311136,0.0,-3.548928,0.0,-1.8507566,0.0,-0.9638156,0.0,-1.1685892,0.0,5.1338577,0.0,-3.4887588,0.0,-0.21866369,0.0,0.6935317,0.0,-0.25754797,0.0,2.0040894,0.0,-2.6165433,0.0,-2.750471,0.0,0.20857167,0.0,7.365003,0.0,1.008861,0.0,-0.71930736,0.0,-1.5418195,0.0,-2.919281,0.0,-2.0025616,0.0,-0.40439242,0.0,-0.4741823
YCL066W YBR283C,NA,0.0,4.935703,0.0,-1.3055618,0.0,8.940275,0.0,-5.5420103,0.0,-21.1351,0.0,34.91982,0.0,2.4762933,0.0,-5.9980454,0.0,-30.172722,0.0,21.874441,0.0,-13.314229,0.0,12.091906,0.0,-21.826904,0.0,6.355754,0.0,11.650073,0.0,-20.983643,0.0,-2.387276,0.0,18.008411,0.0,3.9989257,0.0,23.321507,0.0,2.273149,0.0,-27.83941,0.0,37.179535,0.0,-22.622864,0.0,-8.05947,0.0,-10.779957,0.0,-4.074763,0.0,-13.582717,0.0,-7.5008545,0.0,-5.4721837,0.0,10.348106,0.0,-10.054089,0.0,-21.524258,0.0,-6.434495,0.0,3.7224815,0.0,9.784539,0.0,13.478683,0.0,0.43780774,0.0,1.8874145,0.0,3.260214,0.0,34.58633,0.0,17.723328,0.0,-1.1386964,0.0,-4.50962,0.0,-6.4897494,0.0,-19.55867,0.0,-3.2981324,0.0,-5.1578135,0.0,12.735447,0.0,4.8369827,0.0,3.0502355,0.0,12.614977,0.0,8.315781,0.0,-1.9020579,0.0,10.299289,0.0,4.4668436,0.0,7.6880107,0.0,0.83999985,0.0,-1.8653486,0.0,11.921242,0.0,20.019894,0.0,27.600721,0.0,19.242863,0.0,-9.920512,0.0,-11.199719,0.0,7.1803517,0.0,8.390476,0.0,7.8673797,0.0,1.3288274,0.0,-16.00557,0.0,1.8328719,0.0,-9.252515,0.0,-21.849571,0.0,-14.4261465,0.0,1.1629328,0.0,-12.270941,0.0,-20.31247,0.0,0.0336345,0.0,6.5473824,0.0,4.486916,0.0,-10.646503,0.0,-21.639812,0.0,-13.701269,0.0,-20.985899,0.0,15.999519,0.0,7.4306793,0.0,4.119226,0.0,5.7932305,0.0,-5.003396,0.0,25.546082,0.0,8.369987,0.0,5.249338
YLR057W YDR051C,NA,0.0,-0.07603979,0.0,-3.451203,0.0,-6.3003592,0.0,13.2664995,0.0,-33.90065,0.0,30.854813,0.0,19.9235,0.0,2.927739,0.0,-68.34389,0.0,-8.383576,0.0,9.108216,0.0,-3.1127865,0.0,4.387898,0.0,-4.7744117,0.0,-1.285018,0.0,-20.512468,0.0,-13.042043,0.0,35.77592,0.0,13.178889,0.0,30.566345,0.0,15.260724,0.0,-38.884476,0.0,3.593438,0.0,-12.110127,0.0,4.8448315,0.0,4.14672,0.0,28.760803,0.0,4.2734084,0.0,-10.400146,0.0,14.656736,0.0,-2.033591,0.0,3.0617306,0.0,-46.1313,0.0,-1.1224797,0.0,-1.0774682,0.0,8.450285,0.0,2.7539787,0.0,-4.4836674,0.0,-3.2667806,0.0,-7.165763,0.0,12.931385,0.0,0.6525427,0.0,-4.181033,0.0,5.07508,0.0,-8.842757,0.0,8.11822,0.0,-1.084621,0.0,10.630081,0.0,9.040938,0.0,6.803863,0.0,13.78869,0.0,-2.519233,0.0,-0.74117374,0.0,2.7591534,0.0,-4.2873483,0.0,-2.8933144,0.0,-0.2684028,0.0,-10.065292,0.0,-18.740253,0.0,-24.83194,0.0,-2.6079075,0.0,37.803505,0.0,12.795255,0.0,4.363707,0.0,0.20553105,0.0,-2.9960184,0.0,-3.4865139,0.0,-1.1162276,0.0,14.384352,0.0,7.941286,0.0,7.7965593,0.0,12.899767,0.0,-0.29832524,0.0,11.616916,0.0,14.768102,0.0,-61.707775,0.0,12.938707,0.0,-8.085697,0.0,7.463765,0.0,-3.2284667,0.0,-0.9438049,0.0,-7.5593066,0.0,9.866496,0.0,-16.227856,0.0,-13.9742365,0.0,-3.7463293,0.0,-14.914577,0.0,-5.766234,0.0,0.12306279,0.0,9.083388,0.0,3.4515247,0.0,4.8362284
YBR084C-A YHR167W,NA,0.0,-2.0889027,0.0,-2.949354,0.0,-0.18311408,0.0,-2.5845132,0.0,18.388592,0.0,15.881598,0.0,3.0817897,0.0,-7.683969,0.0,17.269505,0.0,9.07486,0.0,3.1675406,0.0,-5.751634,0.0,3.7837296,0.0,-1.1038154,0.0,3.357192,0.0,16.835426,0.0,-2.8299341,0.0,-2.889845,0.0,-3.2318623,0.0,-8.359012,0.0,-0.9669381,0.0,15.493099,0.0,18.909525,0.0,-5.76963,0.0,-2.6592474,0.0,-7.8225093,0.0,-0.86253875,0.0,6.267243,0.0,-1.3354142,0.0,-6.108795,0.0,0.9224732,0.0,-5.4486628,0.0,-14.613771,0.0,-3.7604551,0.0,-1.1412399,0.0,16.735916,0.0,-0.6229771,0.0,1.3905581,0.0,1.6341254,0.0,1.9355365,0.0,15.849136,0.0,8.872519,0.0,-2.355331,0.0,1.2254779,0.0,4.879884,0.0,-11.060075,0.0,-14.385749,0.0,-9.255674,0.0,-2.108948,0.0,-5.6506724,0.0,-2.8843658,0.0,-0.4256134,0.0,0.7195369,0.0,-0.5002911,0.0,-0.5165049,0.0,-2.6219358,0.0,0.03848593,0.0,-2.3387535,0.0,-6.737479,0.0,1.4845679,0.0,14.069917,0.0,0.20352194,0.0,2.7660477,0.0,2.9709573,0.0,1.5564644,0.0,-1.9973297,0.0,-1.438792,0.0,-0.24101232,0.0,2.7703943,0.0,-9.086196,0.0,-5.074447,0.0,3.9838858,0.0,-7.823575,0.0,-5.743035,0.0,3.8977134,0.0,-26.61725,0.0,2.6069686,0.0,5.872891,0.0,5.9303,0.0,-1.5155766,0.0,-9.610821,0.0,-13.660396,0.0,-5.575344,0.0,3.319424,0.0,10.325539,0.0,-0.9083848,0.0,-1.5761354,0.0,-2.6417384,0.0,3.820574,0.0,1.7977351,0.0,-0.1985833,0.0,-0.5047326
YOR036W YIL094C,NA,0.0,12.697988,0.0,-5.9411345,0.0,18.36175,0.0,36.829113,0.0,-27.74597,0.0,71.37472,0.0,44.5275,0.0,-5.039674,0.0,14.353452,0.0,28.724543,0.0,-57.84107,0.0,-32.738346,0.0,-15.438958,0.0,10.491436,0.0,-9.716254,0.0,-21.4105,0.0,25.675083,0.0,104.02822,0.0,-54.324986,0.0,22.983692,0.0,-53.373035,0.0,-79.931656,0.0,29.301638,0.0,-7.2823305,0.0,-35.28731,0.0,22.965685,0.0,-20.878155,0.0,53.22282,0.0,-35.00011,0.0,-20.68672,0.0,8.952482,0.0,-15.055137,0.0,-30.897543,0.0,-82.09709,0.0,-30.028889,0.0,54.174004,0.0,13.541059,0.0,-23.933594,0.0,-8.850959,0.0,16.879612,0.0,9.000664,0.0,39.801434,0.0,22.606878,0.0,-24.933727,0.0,-45.167393,0.0,-0.8283523,0.0,66.71474,0.0,-20.07837,0.0,19.13364,0.0,-7.818805,0.0,-62.93658,0.0,40.14886,0.0,25.171677,0.0,7.44304,0.0,14.428895,0.0,20.259739,0.0,27.638004,0.0,51.878372,0.0,-92.11892,0.0,117.843155,0.0,95.90702,0.0,79.74175,0.0,48.63166,0.0,18.492529,0.0,37.21154,0.0,0.4448836,0.0,3.1337008,0.0,12.21733,0.0,-13.085445,0.0,30.722149,0.0,-11.3636,0.0,-46.63492,0.0,-43.324024,0.0,12.972235,0.0,-137.43591,0.0,-0.69079256,0.0,-54.51099,0.0,-19.993172,0.0,-53.651398,0.0,22.528908,0.0,2.6264286,0.0,3.9629006,0.0,-30.504572,0.0,-50.324596,0.0,81.25191,0.0,-16.501749,0.0,-39.29189,0.0,5.0453935,0.0,-58.213455,0.0,30.80205,0.0,3.2456844,0.0,14.458213
YGR013W YGL258W,NA,0.0,2.378727,0.0,1.6601616,0.0,1.761455,0.0,5.7465186,0.0,-20.821264,0.0,15.395813,0.0,3.3518739,0.0,3.9371686,0.0,-41.723892,0.0,-0.095605254,0.0,0.63024014,0.0,-7.9635615,0.0,-3.7727742,0.0,1.9032161,0.0,6.5007296,0.0,-13.671317,0.0,-22.190943,0.0,12.791846,0.0,17.152552,0.0,19.99269,0.0,-9.0367365,0.0,-38.551632,0.0,13.225819,0.0,-11.070585,0.0,11.875016,0.0,10.428795,0.0,13.004986,0.0,-0.5492594,0.0,-1.2992756,0.0,10.023372,0.0,-1.0114182,0.0,1.5433307,0.0,-13.062459,0.0,3.287856,0.0,1.9801966,0.0,1.6789051,0.0,3.0238924,0.0,1.9444216,0.0,0.86387676,0.0,-4.654437,0.0,11.172856,0.0,24.880293,0.0,0.8068808,0.0,3.1333337,0.0,0.6816675,0.0,3.2050095,0.0,-30.3448,0.0,0.11994991,0.0,-2.588026,0.0,4.209819,0.0,5.858551,0.0,-5.9665456,0.0,0.37645942,0.0,1.7954042,0.0,-0.05391539,0.0,1.5199212,0.0,4.7472568,0.0,2.5324404,0.0,-23.406424,0.0,-15.224327,0.0,11.089676,0.0,18.751404,0.0,4.4713907,0.0,1.1345212,0.0,2.5013225,0.0,2.953377,0.0,-2.1324885,0.0,-0.5061483,0.0,11.996936,0.0,17.516256,0.0,10.103704,0.0,-1.8352054,0.0,1.9385885,0.0,-0.048893806,0.0,-9.470863,0.0,-50.00514,0.0,9.752634,0.0,-0.9213733,0.0,-0.4158293,0.0,2.3762271,0.0,-0.8037344,0.0,3.2053175,0.0,4.8631,0.0,-7.6976476,0.0,-14.247788,0.0,-6.8447976,0.0,3.9058242,0.0,2.320522,0.0,15.223429,0.0,-1.5642682,0.0,1.4079955,0.0,6.3137646
YOR003W YLR392C,NA,0.0,-1.1281813,0.0,1.350271,0.0,-1.8296299,0.0,8.728091,0.0,-2.112606,0.0,-5.4135695,0.0,4.999715,0.0,6.9761996,0.0,-4.781693,0.0,-2.3220484,0.0,4.244311,0.0,-6.199425,0.0,2.4730554,0.0,-2.0838227,0.0,3.9974942,0.0,-6.8592577,0.0,-1.2734709,0.0,9.849082,0.0,8.555864,0.0,2.7577655,0.0,-7.003334,0.0,-16.18667,0.0,3.9954014,0.0,6.5602465,0.0,6.9590273,0.0,11.476131,0.0,3.4756956,0.0,2.2938013,0.0,-4.2343764,0.0,2.1728988,0.0,-2.9109895,0.0,-1.6890247,0.0,-1.6441194,0.0,4.001816,0.0,-4.070723,0.0,12.828621,0.0,-4.636919,0.0,1.5293515,0.0,-3.0573168,0.0,-3.694789,0.0,-3.7546132,0.0,9.556305,0.0,-0.2636367,0.0,0.07840484,0.0,2.923341,0.0,4.729532,0.0,-18.927668,0.0,-1.0360562,0.0,-3.9751906,0.0,-2.2630365,0.0,5.255351,0.0,-4.4646983,0.0,-1.2175777,0.0,0.50214,0.0,-3.4007454,0.0,-1.948623,0.0,-0.046138152,0.0,3.9318728,0.0,-0.63860524,0.0,-18.18134,0.0,-2.0257359,0.0,3.8724115,0.0,-5.8832817,0.0,6.2009006,0.0,5.208965,0.0,-2.1333783,0.0,-3.0549414,0.0,-1.7593966,0.0,17.012018,0.0,9.145511,0.0,4.263299,0.0,-5.04287,0.0,4.8364387,0.0,1.73832,0.0,-3.5550094,0.0,-19.365501,0.0,6.5696893,0.0,-1.9203858,0.0,-0.57867014,0.0,-0.10696648,0.0,3.2973042,0.0,0.5970878,0.0,1.627541,0.0,-0.7788899,0.0,-3.97886,0.0,-3.9559972,0.0,4.4863577,0.0,-2.0641904,0.0,6.994162,0.0,-8.075343,0.0,-3.8171186,0.0,2.327076
YGR030C YGR131W,NA,0.0,-4.928435,0.0,-5.198197,0.0,-8.5957155,0.0,23.668793,0.0,-10.799957,0.0,2.7557533,0.0,20.60615,0.0,10.791939,0.0,-25.6257,0.0,-13.20936,0.0,16.023283,0.0,-30.60757,0.0,-3.2508578,0.0,-6.932345,0.0,9.232819,0.0,-15.926534,0.0,-16.419195,0.0,38.988464,0.0,3.7634344,0.0,31.434814,0.0,-10.171585,0.0,-34.116745,0.0,-21.87694,0.0,-1.4988053,0.0,29.169378,0.0,33.332054,0.0,24.580544,0.0,21.212868,0.0,7.5121784,0.0,8.835387,0.0,-9.387963,0.0,4.077169,0.0,3.3076856,0.0,-4.860257,0.0,-17.67088,0.0,11.999362,0.0,-10.31353,0.0,-8.700861,0.0,-10.708597,0.0,-14.451112,0.0,-12.376216,0.0,7.8233438,0.0,0.47508052,0.0,6.2199097,0.0,7.106332,0.0,22.452738,0.0,-13.752755,0.0,-6.245513,0.0,-12.6558,0.0,-15.822792,0.0,3.767222,0.0,-28.624634,0.0,-9.467911,0.0,-0.6990882,0.0,-9.945463,0.0,6.806349,0.0,-1.2923781,0.0,24.454678,0.0,-20.233795,0.0,-12.535878,0.0,-0.005040288,0.0,9.02039,0.0,-5.7527914,0.0,15.686107,0.0,22.707325,0.0,-1.8875924,0.0,-9.845842,0.0,-11.591573,0.0,23.03084,0.0,69.79714,0.0,14.12232,0.0,3.2686415,0.0,8.444817,0.0,21.848167,0.0,-12.432334,0.0,-68.900215,0.0,32.705456,0.0,-22.29578,0.0,-21.178854,0.0,-3.4710746,0.0,9.673199,0.0,19.414843,0.0,7.9252214,0.0,-2.7604406,0.0,-42.431736,0.0,-28.72103,0.0,-17.11307,0.0,-5.6964145,0.0,17.50851,0.0,19.245783,0.0,-7.4239645,0.0,10.248596
YCR102C YOR116C,NA,0.0,-0.1744133,0.0,-2.0715604,0.0,-6.951583,0.0,10.729801,0.0,-29.063873,0.0,30.934286,0.0,13.709493,0.0,3.0739317,0.0,-51.070873,0.0,-2.4123776,0.0,9.274583,0.0,4.3871255,0.0,10.895727,0.0,-4.314009,0.0,-6.9324546,0.0,-13.943714,0.0,-3.9596646,0.0,38.04892,0.0,-0.5376276,0.0,26.029102,0.0,7.7452884,0.0,-38.754265,0.0,7.3514137,0.0,-10.680185,0.0,-3.0050664,0.0,3.81533,0.0,31.458725,0.0,8.109127,0.0,-14.751685,0.0,13.008792,0.0,-3.4131253,0.0,-1.2083335,0.0,-40.013885,0.0,-2.6976674,0.0,-4.3062234,0.0,4.8333116,0.0,1.5379391,0.0,-8.988478,0.0,-4.549343,0.0,-3.3880963,0.0,6.6922626,0.0,-3.3444352,0.0,-4.647272,0.0,4.7836986,0.0,-10.876542,0.0,4.472256,0.0,5.191326,0.0,12.467213,0.0,5.459093,0.0,11.869634,0.0,14.087611,0.0,1.0650421,0.0,-1.4487956,0.0,1.8703784,0.0,-4.713658,0.0,-5.709675,0.0,-2.2386506,0.0,-2.3046854,0.0,-14.236835,0.0,-18.028025,0.0,-7.341167,0.0,39.047504,0.0,15.6615,0.0,4.9328427,0.0,3.6110187,0.0,-2.405323,0.0,-4.3427863,0.0,-1.6697274,0.0,13.074277,0.0,6.3111777,0.0,8.302344,0.0,14.911382,0.0,-0.2736545,0.0,9.97198,0.0,-7.1092095,0.0,-44.329105,0.0,5.0995035,0.0,-5.07769,0.0,-2.83603,0.0,-0.7776688,0.0,-0.510005,0.0,-5.80998,0.0,9.041586,0.0,-10.472979,0.0,-12.833774,0.0,-2.29186,0.0,-11.375264,0.0,-6.455283,0.0,-8.67777,0.0,6.1586065,0.0,-0.0749827,0.0,6.087835
YLR118C YER124C,NA,0.0,7.8333297,0.0,7.6229,0.0,-3.9267838,0.0,7.942244,0.0,-41.579258,0.0,21.82028,0.0,13.505078,0.0,23.423283,0.0,-68.6681,0.0,-15.13345,0.0,-22.060492,0.0,12.78391,0.0,25.05677,0.0,0.1533581,0.0,3.10675,0.0,-35.38156,0.0,9.070542,0.0,37.20092,0.0,19.32425,0.0,20.178429,0.0,11.419454,0.0,-82.6385,0.0,16.20684,0.0,15.093877,0.0,-17.624138,0.0,0.8709872,0.0,30.247438,0.0,-13.21025,0.0,-34.889095,0.0,12.875311,0.0,7.0783563,0.0,-5.731276,0.0,-75.33353,0.0,4.286442,0.0,6.638913,0.0,19.526312,0.0,9.573409,0.0,2.0559912,0.0,1.9837042,0.0,-2.8448236,0.0,-3.7260811,0.0,10.442457,0.0,1.4652897,0.0,-4.941089,0.0,-18.68409,0.0,8.794778,0.0,-6.350798,0.0,17.466024,0.0,23.644478,0.0,15.367265,0.0,33.639393,0.0,29.608896,0.0,8.032378,0.0,7.852994,0.0,1.5245011,0.0,-7.8807154,0.0,-0.147728,0.0,-9.699703,0.0,-19.533546,0.0,-41.891983,0.0,-19.535624,0.0,27.438313,0.0,23.60769,0.0,10.156606,0.0,1.5815877,0.0,-0.055142697,0.0,6.887026,0.0,8.611719,0.0,29.310139,0.0,-27.682411,0.0,-9.166008,0.0,-4.351242,0.0,-5.213357,0.0,-1.0252237,0.0,-9.516912,0.0,-36.897194,0.0,-13.615388,0.0,-2.027628,0.0,16.692799,0.0,4.069813,0.0,9.114734,0.0,-11.1471195,0.0,8.985078,0.0,-15.925428,0.0,30.942663,0.0,12.567628,0.0,-0.8473153,0.0,-2.81657,0.0,-2.7021408,0.0,-9.712209,0.0,9.675051,0.0,5.0552716
