GO Term,AUC,Average Precision
GO:0000054,0.9424,1.0
GO:0000278,1.0,1.0
GO:0000747,1.0,1.0
GO:0001403,0.8726,1.0
GO:0002181,0.9892,1.0
GO:0003677,0.70868,1.0
GO:0003682,0.56085,1.0
GO:0003700,0.9692666666666668,1.0
GO:0003735,0.99739,1.0
GO:0004386,0.8828,1.0
GO:0004518,0.8636666666666668,1.0
GO:0005085,0.9228,1.0
GO:0005576,0.7447166666666667,1.0
GO:0005618,1.0,1.0
GO:0005694,0.97685,1.0
GO:0005730,0.9194947368421051,1.0
GO:0005740,1.0,1.0
GO:0005773,0.7370000000000001,1.0
GO:0005777,0.5843,1.0
GO:0005783,0.725030612244898,1.0
GO:0005794,0.7363052631578948,1.0
GO:0005840,0.99735,1.0
GO:0005886,0.7092949494949495,1.0
GO:0005933,0.8308,1.0
GO:0005938,1.0,1.0
GO:0006260,0.9474,1.0
GO:0006281,0.8430125,1.0
GO:0006310,0.89935,1.0
GO:0006325,0.8792200000000001,1.0
GO:0006352,1.0,1.0
GO:0006353,1.0,1.0
GO:0006360,1.0,1.0
GO:0006364,0.9901,1.0
GO:0006366,0.8394,1.0
GO:0006383,1.0,1.0
GO:0006397,0.9151,1.0
GO:0006401,1.0,1.0
GO:0006413,1.0,1.0
GO:0006414,1.0,1.0
GO:0006418,1.0,1.0
GO:0006457,0.5594,1.0
GO:0006468,0.842,1.0
GO:0006470,1.0,1.0
GO:0006486,1.0,1.0
GO:0006629,0.6419333333333334,1.0
GO:0006811,0.4494,1.0
GO:0006865,1.0,1.0
GO:0006869,0.1028,1.0
GO:0006873,1.0,1.0
GO:0006887,1.0,1.0
GO:0006897,0.77996,1.0
GO:0006970,1.0,1.0
GO:0006979,1.0,1.0
GO:0007005,1.0,1.0
GO:0007010,1.0,1.0
GO:0007031,1.0,1.0
GO:0007033,1.0,1.0
GO:0007059,1.0,1.0
GO:0007124,0.5938666666666667,1.0
GO:0008033,0.9954,1.0
GO:0008168,0.8204,1.0
GO:0008233,0.8546799999999999,1.0
GO:0008289,1.0,1.0
GO:0008380,0.9893,1.0
GO:0008643,1.0,1.0
GO:0009408,1.0,1.0
GO:0009451,1.0,1.0
GO:0016197,1.0,1.0
GO:0016301,0.66868,1.0
GO:0016491,0.7255578947368421,1.0
GO:0016757,0.3556,1.0
GO:0016779,0.9527,1.0
GO:0016791,0.3296,1.0
GO:0016798,1.0,1.0
GO:0016829,0.7578666666666667,1.0
GO:0016853,0.2344,1.0
GO:0016874,0.8566,1.0
GO:0019843,1.0,1.0
GO:0022857,0.6858666666666666,1.0
GO:0030427,0.9072,1.0
GO:0030674,0.6436,1.0
GO:0031410,0.8992,1.0
GO:0032196,1.0,1.0
GO:0032543,0.9952,1.0
GO:0042273,1.0,1.0
GO:0042274,1.0,1.0
GO:0042393,0.3777,1.0
GO:0045333,1.0,1.0
GO:0051082,0.5296,1.0
GO:0051321,0.922225,1.0
GO:0051603,1.0,1.0
GO:0051726,0.6482,1.0
