Gene A,Gene B,Label,Score,Precision,Recall,False Positive Rate
YPL078C,YOR045W,0,-7.289399,0.0,0.0,0.0012820513220503926
YMR048W,YMR032W,0,-7.33239,0.0,0.0,0.0025641026441007853
YHR077C,YJL109C,0,-7.338872,0.0,0.0,0.003846153849735856
YKR054C,YPL040C,0,-7.446436,0.0,0.0,0.0051282052882015705
YJR065C,YKR035W-A,0,-7.602484,0.0,0.0,0.006410256493836641
YCR026C,YDL106C,1,-7.612772,0.1666666716337204,0.012820512987673283,0.006410256493836641
YLR096W,YJL176C,0,-7.655198,0.1428571492433548,0.012820512987673283,0.007692307699471712
YGR009C,YJL093C,0,-7.678837,0.125,0.012820512987673283,0.00897435937076807
YKL190W,YDL115C,0,-7.7515187,0.1111111119389534,0.012820512987673283,0.010256410576403141
YLR155C,YPL154C,1,-7.7581253,0.20000000298023224,0.025641025975346565,0.010256410576403141
YLR357W,YJL109C,0,-7.759055,0.1818181872367859,0.025641025975346565,0.011538461782038212
YDR294C,YMR037C,1,-7.822984,0.25,0.03846153989434242,0.011538461782038212
YMR312W,YCR024C-A,0,-7.858563,0.23076923191547394,0.03846153989434242,0.012820512987673283
YDR168W,YPR019W,0,-7.8799763,0.2142857164144516,0.03846153989434242,0.014102564193308353
YER017C,YDR513W,0,-7.8998904,0.20000000298023224,0.03846153989434242,0.015384615398943424
YPL126W,YPL131W,0,-7.902331,0.1875,0.03846153989434242,0.01666666753590107
YLR231C,YLR191W,0,-7.9221454,0.1764705926179886,0.03846153989434242,0.01794871874153614
YLR442C,YHR039C-A,0,-7.948531,0.1666666716337204,0.03846153989434242,0.01923076994717121
YDL106C,YGL208W,1,-7.9512787,0.21052631735801697,0.05128205195069313,0.01923076994717121
YPL137C,YHR102W,0,-7.961644,0.20000000298023224,0.05128205195069313,0.020512821152806282
YAR014C,YOR069W,0,-7.9719744,0.190476194024086,0.05128205195069313,0.021794872358441353
YBL008W,YDR238C,0,-7.980525,0.1818181872367859,0.05128205195069313,0.023076923564076424
YBR042C,YOR080W,0,-7.9960675,0.17391304671764374,0.05128205195069313,0.024358974769711494
YNL258C,YKL134C,0,-8.00736,0.1666666716337204,0.05128205195069313,0.025641025975346565
YER007W,YCL031C,0,-8.026193,0.1599999964237213,0.05128205195069313,0.026923077180981636
YNR032C-A,YNL121C,0,-8.027068,0.1538461595773697,0.05128205195069313,0.028205128386616707
YLR310C,YFL034C-B,0,-8.0383215,0.14814814925193787,0.05128205195069313,0.029487179592251778
YPL032C,YOR081C,0,-8.042558,0.1428571492433548,0.05128205195069313,0.03076923079788685
YLR182W,YKL140W,0,-8.05797,0.13793103396892548,0.05128205195069313,0.03205128386616707
YGR167W,YGR029W,0,-8.075405,0.13333334028720856,0.05128205195069313,0.03333333507180214
YGR036C,YJR084W,0,-8.080794,0.12903225421905518,0.05128205195069313,0.03461538627743721
YMR037C,YDR477W,1,-8.083444,0.15625,0.06410256773233414,0.03461538627743721
YLR158C,YPL154C,1,-8.090235,0.1818181872367859,0.07692307978868484,0.03461538627743721
YPL271W,YIL098C,0,-8.109761,0.1764705926179886,0.07692307978868484,0.03589743748307228
YNL250W,YMR075W,0,-8.136114,0.17142857611179352,0.07692307978868484,0.03717948868870735
YPR034W,YHR090C,0,-8.136836,0.1666666716337204,0.07692307978868484,0.03846153989434242
YHR129C,YML107C,0,-8.14077,0.1621621549129486,0.07692307978868484,0.03974359109997749
YKL179C,YML069W,0,-8.1425905,0.15789473056793213,0.07692307978868484,0.041025642305612564
YGL020C,YJL134W,0,-8.143212,0.1538461595773697,0.07692307978868484,0.042307693511247635
YCL034W,YPL196W,0,-8.145346,0.15000000596046448,0.07692307978868484,0.043589744716882706
YOL008W,YER180C-A,0,-8.145524,0.1463414579629898,0.07692307978868484,0.044871795922517776
YJR064W,YIR025W,0,-8.158811,0.1428571492433548,0.07692307978868484,0.04615384712815285
