Gene A,Gene B,Label,Score,Precision,Recall,False Positive Rate
YML024W,YLR167W,1,-5.5751886,1.0,0.005263158120214939,0.0
YML024W,YOL121C,1,-5.747589,1.0,0.010526316240429878,0.0
YGL195W,YGL092W,0,-6.0568,0.6666666865348816,0.010526316240429878,0.0005263157654553652
YGR159C,YML024W,1,-6.090931,0.75,0.015789473429322243,0.0005263157654553652
YML023C,YPL175W,0,-6.1993017,0.6000000238418579,0.015789473429322243,0.0010526315309107304
YOR025W,YLR190W,0,-6.2238054,0.5,0.015789473429322243,0.0015789474127814174
YBL018C,YPR110C,0,-6.3117104,0.4285714328289032,0.015789473429322243,0.0021052630618214607
YDR447C,YLR167W,1,-6.3119183,0.5,0.021052632480859756,0.0021052630618214607
YGR159C,YLR167W,1,-6.318292,0.5555555820465088,0.02631578966975212,0.0021052630618214607
YJL191W,YDR447C,1,-6.3634834,0.6000000238418579,0.031578946858644485,0.0021052630618214607
YOL121C,YLR167W,1,-6.3711047,0.6363636255264282,0.03684210404753685,0.0021052630618214607
YML024W,YDR447C,1,-6.378914,0.6666666865348816,0.04210526496171951,0.0021052630618214607
YOR056C,YOL121C,1,-6.386744,0.692307710647583,0.04736842215061188,0.0021052630618214607
YGL043W,YPL212C,0,-6.4037447,0.6428571343421936,0.04736842215061188,0.0026315790601074696
YOL121C,YNL302C,1,-6.4116235,0.6666666865348816,0.05263157933950424,0.0026315790601074696
YOR056C,YCR031C,1,-6.4938617,0.6875,0.057894736528396606,0.0026315790601074696
YNL302C,YKL082C,1,-6.4942536,0.7058823704719543,0.06315789371728897,0.0026315790601074696
YCL031C,YPL239W,1,-6.495084,0.7222222089767456,0.06842105090618134,0.0026315790601074696
YJL014W,YBR142W,0,-6.5007105,0.6842105388641357,0.06842105090618134,0.0031578948255628347
YKL143W,YOL121C,1,-6.5050335,0.699999988079071,0.0736842080950737,0.0031578948255628347
YLR167W,YKL082C,1,-6.5276346,0.7142857313156128,0.07894736528396606,0.0031578948255628347
YLR048W,YJL191W,1,-6.5398216,0.7272727489471436,0.08421052992343903,0.0031578948255628347
YPL043W,YJL203W,0,-6.5405674,0.695652186870575,0.08421052992343903,0.0036842105910182
YNL302C,YPL239W,1,-6.543348,0.7083333134651184,0.08947368711233139,0.0036842105910182
YGR214W,YLR167W,1,-6.5728135,0.7200000286102295,0.09473684430122375,0.0036842105910182
YKL143W,YML024W,1,-6.5742292,0.7307692170143127,0.10000000149011612,0.0036842105910182
YOR056C,YNL302C,1,-6.5760746,0.7407407164573669,0.10526315867900848,0.0036842105910182
YKL143W,YLR167W,1,-6.580496,0.75,0.11052631586790085,0.0036842105910182
YOR353C,YDL077C,0,-6.603037,0.7241379022598267,0.11052631586790085,0.0042105261236429214
YCR031C,YLR167W,1,-6.6063414,0.7333333492279053,0.11578947305679321,0.0042105261236429214
YLR195C,YLR262C,0,-6.6207886,0.7096773982048035,0.11578947305679321,0.00473684212192893
YDR025W,YCR031C,1,-6.630478,0.71875,0.12105263024568558,0.00473684212192893
YML074C,YLL011W,0,-6.6345835,0.6969696879386902,0.12105263024568558,0.005263158120214939
YOR056C,YDR025W,1,-6.6405354,0.7058823704719543,0.12631578743457794,0.005263158120214939
YGR214W,YPL239W,1,-6.6473284,0.7142857313156128,0.1315789520740509,0.005263158120214939
YGL016W,YKR086W,0,-6.6534376,0.6944444179534912,0.1315789520740509,0.005789473652839661
YLR186W,YDR025W,1,-6.6680484,0.7027027010917664,0.13684210181236267,0.005789473652839661
YNL156C,YOL122C,0,-6.682066,0.6842105388641357,0.13684210181236267,0.0063157896511256695
YAR014C,YMR127C,0,-6.687416,0.6666666865348816,0.13684210181236267,0.006842105183750391
YDR153C,YHR084W,0,-6.6878853,0.6499999761581421,0.13684210181236267,0.0073684211820364
YKL143W,YCL031C,1,-6.6990023,0.6585366129875183,0.14210526645183563,0.0073684211820364
YDR447C,YNL302C,1,-6.7006,0.6666666865348816,0.1473684161901474,0.0073684211820364
YCR031C,YDR447C,1,-6.7023177,0.6744186282157898,0.15263158082962036,0.0073684211820364
YML024W,YKL082C,1,-6.7080736,0.6818181872367859,0.15789473056793213,0.0073684211820364
YLR167W,YPL239W,1,-6.7089424,0.6888889074325562,0.1631578952074051,0.0073684211820364
YKL143W,YCR031C,1,-6.7175894,0.695652186870575,0.16842105984687805,0.0073684211820364
YPR082C,YIL016W,0,-6.727337,0.6808510422706604,0.16842105984687805,0.007894736714661121
YCR031C,YJL191W,1,-6.730318,0.6875,0.17368420958518982,0.007894736714661121
YLR186W,YML024W,1,-6.7324867,0.6938775777816772,0.17894737422466278,0.007894736714661121
YLR186W,YLR167W,1,-6.7366133,0.699999988079071,0.18421052396297455,0.007894736714661121
YDL148C,YPL239W,1,-6.73967,0.7058823704719543,0.1894736886024475,0.007894736714661121
YOL044W,YML007W,0,-6.744167,0.692307710647583,0.1894736886024475,0.008421052247285843
YPR190C,YPL157W,0,-6.751812,0.6792452931404114,0.1894736886024475,0.008947368711233139
YOL086C,YLL024C,0,-6.7580376,0.6666666865348816,0.1894736886024475,0.00947368424385786
YOR056C,YCL031C,1,-6.764995,0.6727272868156433,0.19473683834075928,0.00947368424385786
YBR002C,YPR041W,0,-6.7657137,0.6607142686843872,0.19473683834075928,0.009999999776482582
YIL079C,YOL139C,0,-6.7699366,0.6491228342056274,0.19473683834075928,0.010526316240429878
YDR447C,YOL121C,1,-6.7710843,0.6551724076271057,0.20000000298023224,0.010526316240429878
YDR025W,YJL191W,1,-6.7716055,0.6610169410705566,0.205263152718544,0.010526316240429878
YGL030W,YGR063C,0,-6.775403,0.6499999761581421,0.205263152718544,0.0110526317730546
YML024W,YPL239W,1,-6.777798,0.6557376980781555,0.21052631735801697,0.0110526317730546
