Gene A,Gene B,Label,Score,Precision,Recall,False Positive Rate
YGR177C,YOR317W,1,0.6837033,1.0,0.0010000000474974513,0.0
YMR250W,YPR094W,0,0.43824145,0.5,0.0010000000474974513,9.999999747378752e-05
YDR294C,YGR177C,1,0.32865372,0.6666666865348816,0.0020000000949949026,9.999999747378752e-05
YOR317W,YGR175C,1,0.18385419,0.75,0.003000000026077032,9.999999747378752e-05
YFR053C,YLR214W,0,0.079080224,0.6000000238418579,0.003000000026077032,0.00019999999494757503
YKL055C,YJR073C,1,0.03476441,0.6666666865348816,0.004000000189989805,0.00019999999494757503
YDR294C,YGR175C,1,-0.032404095,0.7142857313156128,0.004999999888241291,0.00019999999494757503
YDR294C,YGL055W,1,-0.04742205,0.75,0.006000000052154064,0.00019999999494757503
YPL170W,YML075C,1,-0.07456115,0.7777777910232544,0.007000000216066837,0.00019999999494757503
YMR296C,YBR183W,1,-0.08463749,0.800000011920929,0.00800000037997961,0.00019999999494757503
YGR059W,YJR104C,0,-0.101356745,0.7272727489471436,0.00800000037997961,0.0003000000142492354
YLR249W,YNL279W,0,-0.1126097,0.6666666865348816,0.00800000037997961,0.00039999998989515007
YHL009C,YOR133W,0,-0.124906,0.6153846383094788,0.00800000037997961,0.0005000000237487257
YNL036W,YCR086W,0,-0.16730252,0.5714285969734192,0.00800000037997961,0.0006000000284984708
YPL206C,YOL101C,1,-0.18843254,0.6000000238418579,0.008999999612569809,0.0006000000284984708
YMR296C,YJR103W,1,-0.20508537,0.625,0.009999999776482582,0.0006000000284984708
YMR092C,YER016W,0,-0.22074789,0.5882353186607361,0.009999999776482582,0.000699999975040555
YER044C,YOR171C,1,-0.22910443,0.6111111044883728,0.010999999940395355,0.000699999975040555
YHR094C,YLR355C,0,-0.2867523,0.5789473652839661,0.010999999940395355,0.0007999999797903001
YMR011W,YNL173C,0,-0.31091717,0.550000011920929,0.010999999940395355,0.0008999999845400453
YNL318C,YBR072W,0,-0.32975605,0.523809552192688,0.010999999940395355,0.0010000000474974513
YER062C,YDR412W,0,-0.34154797,0.5,0.010999999940395355,0.0010999999940395355
YLR430W,YDR259C,0,-0.34762484,0.47826087474823,0.010999999940395355,0.0012000000569969416
YPL196W,YPL131W,0,-0.3592818,0.4583333432674408,0.010999999940395355,0.0013000000035390258
YBR072W,YBR040W,0,-0.38262296,0.4399999976158142,0.010999999940395355,0.00139999995008111
YPL265W,YPL086C,0,-0.39117327,0.42307692766189575,0.010999999940395355,0.001500000013038516
YBR214W,YBL002W,0,-0.40174377,0.40740740299224854,0.010999999940395355,0.0015999999595806003
YPL006W,YGR060W,1,-0.4058218,0.4285714328289032,0.012000000104308128,0.0015999999595806003
YNL202W,YPL028W,1,-0.4110666,0.4482758641242981,0.013000000268220901,0.0015999999595806003
YML078W,YDR453C,0,-0.41571835,0.4333333373069763,0.013000000268220901,0.0017000000225380063
YLR048W,YDR137W,0,-0.41745743,0.4193548262119293,0.013000000268220901,0.0017999999690800905
YLR132C,YCL043C,0,-0.42156214,0.40625,0.013000000268220901,0.0019000000320374966
YAL017W,YDL232W,0,-0.44262224,0.39393940567970276,0.013000000268220901,0.0020000000949949026
YFL009W,YOR133W,0,-0.44415635,0.38235294818878174,0.013000000268220901,0.002099999925121665
YIL139C,YEL054C,0,-0.4493748,0.37142857909202576,0.013000000268220901,0.002199999988079071
YDR225W,YOL063C,0,-0.46188053,0.3611111044883728,0.013000000268220901,0.002300000051036477
YML058W-A,YOR150W,0,-0.46449727,0.3513513505458832,0.013000000268220901,0.002400000113993883
YBR183W,YPL231W,1,-0.46695605,0.3684210479259491,0.014000000432133675,0.002400000113993883
YGL055W,YBR177C,1,-0.4748297,0.38461539149284363,0.014999999664723873,0.002400000113993883
YNL202W,YGL001C,1,-0.49169716,0.4000000059604645,0.01600000075995922,0.002400000113993883
YPL087W,YGL055W,1,-0.4939814,0.4146341383457184,0.017000000923871994,0.002400000113993883
YBR036C,YNL111C,1,-0.49458206,0.4285714328289032,0.017999999225139618,0.002400000113993883
YML121W,YOL039W,0,-0.5092752,0.41860464215278625,0.017999999225139618,0.0024999999441206455
YFR053C,YPL213W,0,-0.5173198,0.40909090638160706,0.017999999225139618,0.0026000000070780516
YGL105W,YKL178C,0,-0.5345258,0.4000000059604645,0.017999999225139618,0.0027000000700354576
YLR371W,YBL002W,0,-0.5400194,0.3913043439388275,0.017999999225139618,0.00279999990016222
YOL039W,YGL087C,0,-0.54340243,0.38297873735427856,0.017999999225139618,0.002899999963119626
YGR037C,YLL012W,1,-0.5482273,0.3958333432674408,0.01899999938905239,0.002899999963119626
YLL024C,YOR173W,0,-0.5488445,0.3877550959587097,0.01899999938905239,0.003000000026077032
YMR092C,YJL157C,0,-0.55021775,0.3799999952316284,0.01899999938905239,0.003100000089034438
YNL047C,YCL040W,0,-0.56167746,0.37254902720451355,0.01899999938905239,0.0031999999191612005
YGR180C,YNL286W,0,-0.569898,0.36538460850715637,0.01899999938905239,0.0032999999821186066
YOR317W,YNR043W,1,-0.570675,0.37735849618911743,0.019999999552965164,0.0032999999821186066
YOR317W,YER166W,1,-0.5750967,0.3888888955116272,0.020999999716877937,0.0032999999821186066
YDR178W,YKL178C,0,-0.588367,0.38181817531585693,0.020999999716877937,0.0034000000450760126
YFL039C,YIR002C,0,-0.5898701,0.375,0.020999999716877937,0.0035000001080334187
YBR020W,YFL014W,0,-0.60268044,0.3684210479259491,0.020999999716877937,0.003599999938160181
YER103W,YBR260C,0,-0.6046469,0.36206895112991333,0.020999999716877937,0.003700000001117587
YPL170W,YBR161W,1,-0.60476595,0.37288135290145874,0.02199999988079071,0.003700000001117587
YMR281W,YNL130C,1,-0.60653186,0.38333332538604736,0.023000000044703484,0.003700000001117587
YDR492W,YOR149C,1,-0.60719335,0.39344263076782227,0.024000000208616257,0.003700000001117587
YDR178W,YML038C,0,-0.6095265,0.3870967626571655,0.024000000208616257,0.003800000064074993
YNL209W,YGL232W,0,-0.610654,0.380952388048172,0.024000000208616257,0.0038999998942017555
YNL015W,YLR332W,0,-0.61553085,0.375,0.024000000208616257,0.004000000189989805
