Gene A,Gene B,Label,Score,Precision,Recall,False Positive Rate
YHR043C,YCL020W,0,-6.04249,0.0,0.0,0.001818181830458343
YOR133W,YKL080W,0,-6.2611055,0.0,0.0,0.003636363660916686
YOR354C,YNL112W,0,-6.278831,0.0,0.0,0.005454545374959707
YOR198C,YML033W,0,-6.297021,0.0,0.0,0.007272727321833372
YFL035C,YOL093W,0,-6.3662934,0.0,0.0,0.00909090880304575
YBR272C,YCL020W,0,-6.416699,0.0,0.0,0.010909090749919415
YPL265W,YFL003C,0,-6.4278708,0.0,0.0,0.01272727269679308
YMR044W,YJR026W,0,-6.444142,0.0,0.0,0.014545454643666744
YJL011C,YJL114W,0,-6.48063,0.0,0.0,0.016363635659217834
YFR024C,YPR081C,0,-6.4913354,0.0,0.0,0.0181818176060915
YMR016C,YJL030W,0,-6.508842,0.0,0.0,0.019999999552965164
YEL018W,YGL046W,0,-6.5214014,0.0,0.0,0.02181818149983883
YGL168W,YDR337W,0,-6.5248213,0.0,0.0,0.023636363446712494
YBR058C-A,YDR328C,0,-6.53108,0.0,0.0,0.02545454539358616
YGL155W,YGR161W-B,0,-6.536736,0.0,0.0,0.027272727340459824
YDR261C-C,YDR499W,0,-6.5370064,0.0,0.0,0.02909090928733349
YMR229C,YDR098C-B,0,-6.5372143,0.0,0.0,0.030909091234207153
YPL096W,YGR161C-C,0,-6.5373473,0.0,0.0,0.03272727131843567
YJR153W,YGR161C-D,0,-6.5376067,0.0,0.0,0.03454545512795448
YJL050W,YLR410W-B,0,-6.5376987,0.0,0.0,0.036363635212183
YFR046C,YFL010W-A,0,-6.537705,0.0,0.0,0.03818181902170181
YDL028C,YPL060C-A,0,-6.5379596,0.0,0.0,0.03999999910593033
YER137C-A,YJR052W,0,-6.5380793,0.0,0.0,0.04181818291544914
YBR202W,YGR161C-C,0,-6.5381064,0.0,0.0,0.04363636299967766
YKL040C,YDR316W-B,0,-6.5381083,0.0,0.0,0.04545454680919647
YPR158C-C,YBR279W,0,-6.5381193,0.0,0.0,0.04727272689342499
YPR158C-C,YMR163C,0,-6.5381293,0.0,0.0,0.0490909107029438
YDR210W-C,YLR186W,0,-6.538151,0.0,0.0,0.05090909078717232
YOR343C-A,YAL025C,0,-6.538151,0.0,0.0,0.05272727087140083
YML126C,YLR157C-A,0,-6.538151,0.0,0.0,0.05454545468091965
YBL101W-B,YJL148W,0,-6.538151,0.0,0.0,0.05636363476514816
YDR409W,YLR227W-B,0,-6.538151,0.0,0.0,0.05818181857466698
YHR200W,YBL101W-A,0,-6.538151,0.0,0.0,0.05999999865889549
YEL018W,YLR157C-A,0,-6.538151,0.0,0.0,0.06181818246841431
YGL073W,YGR109W-B,0,-6.538528,0.0,0.0,0.06363636255264282
YOR343W-A,YCR073C,0,-6.5387673,0.0,0.0,0.06545454263687134
YGL020C,YPR137C-A,0,-6.5405235,0.0,0.0,0.06727273017168045
YDR162C,YLR227W-B,0,-6.5537977,0.0,0.0,0.06909091025590897
YKL064W,YJL114W,0,-6.593344,0.0,0.0,0.07090909034013748
YLR342W,YBR058C-A,0,-6.6086426,0.0,0.0,0.072727270424366
YKL143W,YLR403W,0,-6.6201296,0.0,0.0,0.07454545795917511
YCR094W,YFL002W-A,0,-6.6348157,0.0,0.0,0.07636363804340363
YMR313C,YOR338W,0,-6.637184,0.0,0.0,0.07818181812763214
YCL075W,YFR031C,0,-6.6440864,0.0,0.0,0.07999999821186066
YNL119W,YNL231C,0,-6.6472516,0.0,0.0,0.08181817829608917
YNL213C,YML124C,0,-6.648439,0.0,0.0,0.08363636583089828
YIL030C,YIL017W,0,-6.6490135,0.0,0.0,0.0854545459151268
YKL212W,YDR046C,0,-6.6552377,0.0,0.0,0.08727272599935532
YGR268C,YCL074W,0,-6.6680913,0.0,0.0,0.08909090608358383
YDR296W,YLR167W,0,-6.685212,0.0,0.0,0.09090909361839294
YPL235W,YJR026W,0,-6.7105823,0.0,0.0,0.09272727370262146
YOR085W,YHR005C-A,0,-6.735426,0.0,0.0,0.09454545378684998
YEL062W,YPR165W,0,-6.7420077,0.0,0.0,0.09636363387107849
YBR058C-A,YOR281C,0,-6.7501836,0.0,0.0,0.0981818214058876
YJR120W,YLL018C-A,0,-6.7663503,0.0,0.0,0.10000000149011612
YDR447C,YHR119W,0,-6.795819,0.0,0.0,0.10181818157434464
YDR195W,YBR121C,1,-6.822951,0.017543859779834747,0.0181818176060915,0.10181818157434464
YBR012W-A,YHR188C,0,-6.864479,0.017241379246115685,0.0181818176060915,0.10363636165857315
YBL006C,YLR223C,0,-6.8857746,0.016949152573943138,0.0181818176060915,0.10545454174280167
YAL023C,YER036C,0,-6.893893,0.01666666753590107,0.0181818176060915,0.10727272927761078
YDR092W,YPL175W,0,-6.904806,0.016393441706895828,0.0181818176060915,0.1090909093618393
YCR073C,YAR014C,0,-6.908964,0.016129031777381897,0.0181818176060915,0.11090908944606781
YOR269W,YPR183W,0,-6.9202933,0.01587301678955555,0.0181818176060915,0.11272726953029633
YPL065W,YIL142W,0,-6.922609,0.015625,0.0181818176060915,0.11454545706510544
YBL039C,YER108C,0,-6.92267,0.015384615398943424,0.0181818176060915,0.11636363714933395
YPL026C,YBR129C,0,-6.9251256,0.01515151560306549,0.0181818176060915,0.11818181723356247
YHR197W,YGL022W,0,-6.9300647,0.014925372786819935,0.0181818176060915,0.11999999731779099
YML024W,YPL176C,0,-6.966066,0.014705882407724857,0.0181818176060915,0.1218181848526001
YLR196W,YGR091W,0,-6.9674163,0.014492753893136978,0.0181818176060915,0.12363636493682861
YDR388W,YOR074C,0,-6.972104,0.014285714365541935,0.0181818176060915,0.12545454502105713
YCL075W,YNL236W,0,-6.980012,0.014084506779909134,0.0181818176060915,0.12727272510528564
YIL131C,YBR121C,1,-6.9823585,0.02777777798473835,0.036363635212183,0.12727272510528564
YAL068C,YPR173C,0,-7.009379,0.027397260069847107,0.036363635212183,0.12909090518951416
YMR011W,YER148W,0,-7.014644,0.027027027681469917,0.036363635212183,0.13090908527374268
YOL054W,YGR279C,0,-7.0208774,0.02666666731238365,0.036363635212183,0.1327272653579712
YBL004W,YOL049W,0,-7.023241,0.02631578966975212,0.036363635212183,0.1345454603433609
YJL002C,YBL039C,0,-7.04882,0.025974025949835777,0.036363635212183,0.13636364042758942
YGL209W,YHR191C,0,-7.0524635,0.025641025975346565,0.036363635212183,0.13818182051181793
YDL217C,YGR195W,0,-7.0816813,0.025316456332802773,0.036363635212183,0.14000000059604645
YEL030W,YLR467W,0,-7.088065,0.02500000037252903,0.036363635212183,0.14181818068027496
YDR487C,YDR165W,0,-7.0983424,0.02469135820865631,0.036363635212183,0.14363636076450348
YLR129W,YPL016W,0,-7.1100264,0.024390242993831635,0.036363635212183,0.145454540848732
YKR054C,YDL005C,0,-7.11213,0.024096384644508362,0.036363635212183,0.1472727209329605
YDL102W,YLR342W,0,-7.1146927,0.02380952425301075,0.036363635212183,0.14909091591835022
YLR068W,YJR076C,0,-7.1165795,0.0235294122248888,0.036363635212183,0.15090909600257874
YOL146W,YMR016C,0,-7.127463,0.023255813866853714,0.036363635212183,0.15272727608680725
YFL022C,YGL115W,0,-7.1340466,0.02298850566148758,0.036363635212183,0.15454545617103577
YGL190C,YLR197W,0,-7.1348825,0.022727273404598236,0.036363635212183,0.15636363625526428
YLR270W,YOR011W,0,-7.147343,0.02247191034257412,0.036363635212183,0.1581818163394928
YLL031C,YOR346W,0,-7.147656,0.02222222276031971,0.036363635212183,0.1599999964237213
YJL010C,YPL127C,0,-7.156053,0.021978022530674934,0.036363635212183,0.16181817650794983
YLR022C,YKL190W,0,-7.159536,0.021739130839705467,0.036363635212183,0.16363635659217834
YGR116W,YDR268W,0,-7.164365,0.02150537632405758,0.036363635212183,0.16545455157756805
YFR024C-A,YDR478W,0,-7.1723533,0.021276595070958138,0.036363635212183,0.16727273166179657
YGR216C,YIL063C,0,-7.1788287,0.021052632480859756,0.036363635212183,0.16909091174602509
YLR048W,YMR198W,0,-7.1807065,0.02083333395421505,0.036363635212183,0.1709090918302536
YLL022C,YDR098C,0,-7.1839557,0.020618556067347527,0.036363635212183,0.17272727191448212
YLR304C,YPL065W,0,-7.1865067,0.020408162847161293,0.036363635212183,0.17454545199871063
YPR110C,YJL034W,0,-7.192356,0.020202020183205605,0.036363635212183,0.17636363208293915
YHL025W,YGL153W,0,-7.198709,0.019999999552965164,0.036363635212183,0.17818181216716766
YLR265C,YNR002C,0,-7.199101,0.019801979884505272,0.036363635212183,0.18000000715255737
YEL019C,YBR173C,0,-7.199446,0.019607843831181526,0.036363635212183,0.1818181872367859
YGL216W,YDR418W,0,-7.202837,0.019417475908994675,0.036363635212183,0.1836363673210144
YIL080W,YNL325C,0,-7.2104015,0.01923076994717121,0.036363635212183,0.18545454740524292
YPL145C,YER021W,0,-7.224033,0.01904761977493763,0.036363635212183,0.18727272748947144
YCL059C,YER100W,0,-7.2282205,0.01886792480945587,0.036363635212183,0.18909090757369995
YPL092W,YJL042W,0,-7.2300234,0.018691588193178177,0.036363635212183,0.19090908765792847
YMR220W,YPL170W,0,-7.2337956,0.018518518656492233,0.036363635212183,0.19272726774215698
YJL109C,YKR028W,0,-7.234723,0.01834862306714058,0.036363635212183,0.1945454478263855
YDR221W,YBR192W,0,-7.2380424,0.0181818176060915,0.036363635212183,0.1963636428117752
YOR133W,YPR054W,0,-7.2478967,0.018018018454313278,0.036363635212183,0.19818182289600372
YOR348C,YGL254W,0,-7.2517133,0.01785714365541935,0.036363635212183,0.20000000298023224
YBL071W-A,YGR083C,0,-7.25256,0.017699114978313446,0.036363635212183,0.20181818306446075
