Gene A,Gene B,Label,Score,Precision,Recall,False Positive Rate
YJL018W,YJL019W,1,7.9867153,1.0,0.0010000000474974513,0.0
YIL037C,YNL279W,1,1.5890768,1.0,0.0020000000949949026,0.0
YCL027W,YHR084W,1,1.2833962,1.0,0.003000000026077032,0.0
YCL027W,YBL016W,1,1.25331,1.0,0.004000000189989805,0.0
YGL032C,YLR452C,1,1.1442156,1.0,0.004999999888241291,0.0
YNL279W,YMR065W,1,1.1429815,1.0,0.006000000052154064,0.0
YIL037C,YMR232W,1,1.1119577,1.0,0.007000000216066837,0.0
YCL027W,YJL170C,1,0.87426233,1.0,0.00800000037997961,0.0
YIL117C,YGL032C,1,0.85217595,1.0,0.008999999612569809,0.0
YIL117C,YKL190W,1,0.65339124,1.0,0.009999999776482582,0.0
YGL032C,YJR086W,1,0.59095585,1.0,0.010999999940395355,0.0
YGL032C,YNL279W,1,0.5520699,1.0,0.012000000104308128,0.0
YFL026W,YMR065W,1,0.52371335,1.0,0.013000000268220901,0.0
YIL117C,YLR433C,1,0.5107671,1.0,0.014000000432133675,0.0
YIL117C,YML124C,1,0.45125186,1.0,0.014999999664723873,0.0
YCL027W,YJR086W,1,0.4376362,1.0,0.01600000075995922,0.0
YIL037C,YLR452C,1,0.24728823,1.0,0.017000000923871994,0.0
YIL117C,YNL279W,1,0.20013303,1.0,0.017999999225139618,0.0
YIL037C,YJL170C,1,0.18272251,1.0,0.01899999938905239,0.0
YKL165C,YMR283C,0,0.13160503,0.949999988079071,0.01899999938905239,9.999999747378752e-05
YIL117C,YJR076C,1,0.08298534,0.9523809552192688,0.019999999552965164,9.999999747378752e-05
YLL043W,YER075C,1,0.0026068687,0.9545454382896423,0.020999999716877937,9.999999747378752e-05
YIL037C,YHR005C,1,-0.037965298,0.95652174949646,0.02199999988079071,9.999999747378752e-05
YOR288C,YEL069C,0,-0.05653727,0.9166666865348816,0.02199999988079071,0.00019999999494757503
YPL265W,YOL064C,0,-0.077023625,0.8799999952316284,0.02199999988079071,0.0003000000142492354
YMR305C,YJR086W,1,-0.08477163,0.8846153616905212,0.023000000044703484,0.0003000000142492354
YHR005C,YDR461W,1,-0.10700083,0.8888888955116272,0.024000000208616257,0.0003000000142492354
YMR011W,YML099C,0,-0.13096571,0.8571428656578064,0.024000000208616257,0.00039999998989515007
YIL117C,YCL029C,1,-0.1362027,0.8620689511299133,0.02500000037252903,0.00039999998989515007
YCL027W,YFL037W,1,-0.14270282,0.8666666746139526,0.026000000536441803,0.00039999998989515007
YJL170C,YNR044W,1,-0.14445662,0.8709677457809448,0.027000000700354576,0.00039999998989515007
YGR055W,YDR523C,0,-0.16354573,0.84375,0.027000000700354576,0.0005000000237487257
YCL027W,YBR200W,1,-0.16560006,0.8484848737716675,0.02800000086426735,0.0005000000237487257
YFL026W,YNL279W,1,-0.18058527,0.8529411554336548,0.028999999165534973,0.0005000000237487257
YPR122W,YMR232W,1,-0.1876694,0.8571428656578064,0.029999999329447746,0.0005000000237487257
YBR040W,YNL279W,1,-0.19287515,0.8611111044883728,0.03099999949336052,0.0005000000237487257
YGL032C,YFR008W,1,-0.19298315,0.8648648858070374,0.03200000151991844,0.0005000000237487257
YIL037C,YOR212W,1,-0.19868064,0.8684210777282715,0.032999999821186066,0.0005000000237487257
YMR305C,YCL055W,1,-0.19947004,0.8717948794364929,0.03400000184774399,0.0005000000237487257
YCL027W,YMR305C,1,-0.24164736,0.875,0.03500000014901161,0.0005000000237487257
YIL117C,YJR004C,1,-0.25738698,0.8780487775802612,0.035999998450279236,0.0005000000237487257
YIL117C,YMR052W,1,-0.30513197,0.8809523582458496,0.03700000047683716,0.0005000000237487257
YCL043C,YGL249W,0,-0.33510208,0.8604651093482971,0.03700000047683716,0.0006000000284984708
YIL117C,YGR279C,1,-0.33726907,0.8636363744735718,0.03799999877810478,0.0006000000284984708
YCL027W,YNL053W,1,-0.3878472,0.8666666746139526,0.039000000804662704,0.0006000000284984708
YFL026W,YPR141C,1,-0.39546978,0.8695651888847351,0.03999999910593033,0.0006000000284984708
YGR279C,YDL039C,1,-0.4230827,0.8723404407501221,0.04100000113248825,0.0006000000284984708
YIL117C,YML047C,1,-0.42332876,0.875,0.041999999433755875,0.0006000000284984708
YCL027W,YML047C,1,-0.42378557,0.8775510191917419,0.0430000014603138,0.0006000000284984708
YGL032C,YNL145W,1,-0.43634343,0.8799999952316284,0.04399999976158142,0.0006000000284984708
YHL040C,YJL002C,0,-0.44756782,0.8627451062202454,0.04399999976158142,0.000699999975040555
YGR279C,YML047C,1,-0.45415866,0.8653846383094788,0.04500000178813934,0.000699999975040555
YIL117C,YJL034W,1,-0.45420736,0.8679245114326477,0.04600000008940697,0.000699999975040555
YLL043W,YBR040W,1,-0.45715785,0.8703703880310059,0.04699999839067459,0.000699999975040555
