Gene A,Gene B,Label,Score,Precision,Recall,False Positive Rate
YBL047C,YDR129C,1,-0.45671597,1.0,0.0010000000474974513,0.0
YGR178C,YEL013W,0,-0.46996582,0.5,0.0010000000474974513,9.999999747378752e-05
YDR388W,YLR371W,1,-0.61022246,0.6666666865348816,0.0020000000949949026,9.999999747378752e-05
YDR490C,YHR114W,1,-0.6222315,0.75,0.003000000026077032,9.999999747378752e-05
YBR059C,YDR388W,1,-0.74554324,0.800000011920929,0.004000000189989805,9.999999747378752e-05
YGL206C,YNL243W,1,-0.7496618,0.8333333134651184,0.004999999888241291,9.999999747378752e-05
YDR388W,YGR167W,1,-0.8117924,0.8571428656578064,0.006000000052154064,9.999999747378752e-05
YHR161C,YNL154C,1,-0.8133211,0.875,0.007000000216066837,9.999999747378752e-05
YER125W,YHR135C,1,-0.9386592,0.8888888955116272,0.00800000037997961,9.999999747378752e-05
YKL126W,YHR001W,1,-0.948648,0.8999999761581421,0.008999999612569809,9.999999747378752e-05
YBL047C,YGR167W,1,-0.9738114,0.9090909361839294,0.009999999776482582,9.999999747378752e-05
YOR142W,YIL154C,0,-1.0100697,0.8333333134651184,0.009999999776482582,0.00019999999494757503
YJR125C,YHR001W,1,-1.0466467,0.8461538553237915,0.010999999940395355,0.00019999999494757503
YLR371W,YHR016C,1,-1.086036,0.8571428656578064,0.012000000104308128,0.00019999999494757503
YGR167W,YHR001W,1,-1.1167631,0.8666666746139526,0.013000000268220901,0.00019999999494757503
YJR125C,YGR086C,1,-1.1679544,0.875,0.014000000432133675,0.00019999999494757503
YDR264C,YHR016C,1,-1.185404,0.8823529481887817,0.014999999664723873,0.00019999999494757503
YMR109W,YOR181W,1,-1.191878,0.8888888955116272,0.01600000075995922,0.00019999999494757503
YAL030W,YHR114W,1,-1.2020861,0.8947368264198303,0.017000000923871994,0.00019999999494757503
YDR059C,YDR388W,1,-1.2413725,0.8999999761581421,0.017999999225139618,0.00019999999494757503
YOR089C,YHR016C,1,-1.2771884,0.9047619104385376,0.01899999938905239,0.00019999999494757503
