Gene A,Gene B,Label,Score,Precision,Recall,False Positive Rate
YPL121C,YFR053C,0,-2.5579221,0.0,0.0,0.00010570824815658852
YER062C,YPR164W,0,-3.088627,0.0,0.0,0.00021141649631317705
YPR154W,YPL096C-A,0,-3.1941094,0.0,0.0,0.00031712473719380796
YFL014W,YHR050W,0,-3.208179,0.0,0.0,0.0004228329926263541
YLR228C,YER103W,0,-3.2265966,0.0,0.0,0.0005285412189550698
YMR168C,YGR122W,0,-3.2410123,0.0,0.0,0.0006342494743876159
YNL006W,YFL002W-A,0,-3.2596235,0.0,0.0,0.0007399577298201621
YMR015C,YIL082W-A,0,-3.2620509,0.0,0.0,0.0008456659852527082
YER062C,YPR201W,0,-3.2830653,0.0,0.0,0.0009513741824775934
YBR066C,YGR103W,0,-3.296311,0.0,0.0,0.0010570824379101396
YBL005W-A,YDR265W,0,-3.305638,0.0,0.0,0.0011627906933426857
YLR148W,YHR138C,1,-3.3065066,0.0833333358168602,0.0010570824379101396,0.0011627906933426857
YPL121C,YGL178W,0,-3.3085911,0.07692307978868484,0.0010570824379101396,0.0012684989487752318
YCL003W,YNR049C,0,-3.308933,0.0714285746216774,0.0010570824379101396,0.001374207204207778
YGL096W,YLR035C-A,0,-3.3125906,0.06666667014360428,0.0010570824379101396,0.0014799154596403241
YGR072W,YBL005W-B,0,-3.3151083,0.0625,0.0010570824379101396,0.0015856237150728703
YBR066C,YGL053W,0,-3.3381863,0.05882352963089943,0.0010570824379101396,0.0016913319705054164
YGL178W,YER138C,0,-3.339164,0.0555555559694767,0.0010570824379101396,0.0017970402259379625
YBR066C,YLR384C,0,-3.3451355,0.05263157933950424,0.0010570824379101396,0.0019027483649551868
YBL100W-B,YJL198W,0,-3.347105,0.05000000074505806,0.0010570824379101396,0.002008456736803055
YMR046C,YGR251W,0,-3.3488648,0.0476190485060215,0.0010570824379101396,0.002114164875820279
YDR138W,YMR104C,0,-3.350025,0.04545454680919647,0.0010570824379101396,0.002219873247668147
YCL062W,YGL095C,1,-3.3617299,0.08695652335882187,0.002114164875820279,0.002219873247668147
YBR098W,YOR317W,0,-3.3617678,0.0833333358168602,0.002114164875820279,0.0023255813866853714
YAR010C,YDR437W,0,-3.366615,0.07999999821186066,0.002114164875820279,0.0024312895257025957
YOR110W,YBR012W-B,0,-3.3677678,0.07692307978868484,0.002114164875820279,0.0025369978975504637
YPL239W,YFL002W-A,0,-3.3815129,0.07407407462596893,0.002114164875820279,0.002642706036567688
YNL006W,YML040W,0,-3.3899083,0.0714285746216774,0.002114164875820279,0.002748414408415556
YCL008C,YLL018C-A,0,-3.392107,0.06896551698446274,0.002114164875820279,0.0028541225474327803
YFR024C,YLL036C,0,-3.393201,0.06666667014360428,0.002114164875820279,0.0029598309192806482
YBR111W-A,YMR309C,0,-3.39408,0.06451612710952759,0.002114164875820279,0.0030655390582978725
YBR012W-B,YJR052W,0,-3.396588,0.0625,0.002114164875820279,0.0031712474301457405
YCL062W,YPL045W,1,-3.3967955,0.09090909361839294,0.0031712474301457405,0.0031712474301457405
YIL048W,YCL062W,1,-3.398835,0.11764705926179886,0.004228329751640558,0.0031712474301457405
YDR456W,YCL062W,1,-3.4047203,0.1428571492433548,0.005285412073135376,0.0031712474301457405
YCL062W,YKL119C,1,-3.411545,0.1666666716337204,0.006342494860291481,0.0031712474301457405
YFL002W-A,YLR438C-A,0,-3.413493,0.1621621549129486,0.006342494860291481,0.003276955569162965
YPR036W,YCL062W,1,-3.4146106,0.18421052396297455,0.007399577181786299,0.003276955569162965
YPL121C,YGL055W,0,-3.4156106,0.1794871836900711,0.007399577181786299,0.003382663941010833
YFL002W-A,YPR128C,0,-3.4167078,0.17499999701976776,0.007399577181786299,0.003488372080028057
YCL062W,YJR033C,1,-3.4186707,0.19512194395065308,0.008456659503281116,0.003488372080028057
YOR088W,YGR095C,0,-3.418799,0.190476194024086,0.008456659503281116,0.003594080451875925
YER138C,YPL060W,0,-3.42181,0.1860465109348297,0.008456659503281116,0.0036997885908931494
YFL022C,YLR337W,0,-3.4259841,0.1818181872367859,0.008456659503281116,0.0038054967299103737
YIL051C,YKL200C,0,-3.4270723,0.17777778208255768,0.008456659503281116,0.003911205101758242
YLR254C,YLR035C-A,0,-3.4274373,0.17391304671764374,0.008456659503281116,0.00401691347360611
YML040W,YOL013C,0,-3.4298208,0.1702127605676651,0.008456659503281116,0.00412262137979269
YDR362C,YKL200C,0,-3.430218,0.1666666716337204,0.008456659503281116,0.004228329751640558
YFL002W-A,YML013W,0,-3.4305933,0.16326530277729034,0.008456659503281116,0.004334038123488426
YNL257C,YLR337W,0,-3.431587,0.1599999964237213,0.008456659503281116,0.004439746495336294
YFR050C,YLR035C-A,0,-3.4325454,0.1568627506494522,0.008456659503281116,0.004545454401522875
YBR066C,YLR002C,0,-3.433953,0.1538461595773697,0.008456659503281116,0.004651162773370743
YLR135W,YER138C,0,-3.4396749,0.15094339847564697,0.008456659503281116,0.004756871145218611
YLR312C-B,YPL221W,0,-3.4403987,0.14814814925193787,0.008456659503281116,0.004862579051405191
YCL062W,YNL054W,1,-3.4404051,0.16363635659217834,0.009513742290437222,0.004862579051405191
YER044C-A,YLR337W,0,-3.4422553,0.1607142835855484,0.009513742290437222,0.004968287423253059
YOR088W,YKL045W,0,-3.4427872,0.15789473056793213,0.009513742290437222,0.005073995795100927
YBR080C,YCL062W,1,-3.4428117,0.17241379618644714,0.010570824146270752,0.005073995795100927
YLR372W,YFL035C,0,-3.4465878,0.16949152946472168,0.010570824146270752,0.005179704166948795
YER106W,YBL071W-A,0,-3.4481745,0.1666666716337204,0.010570824146270752,0.005285412073135376
YLR337W,YJL115W,0,-3.4484901,0.16393442451953888,0.010570824146270752,0.005391120444983244
YML033W,YDL153C,0,-3.4495947,0.16129031777381897,0.010570824146270752,0.005496828816831112
YDR363W-A,YCR080W,0,-3.4506001,0.1587301641702652,0.010570824146270752,0.00560253718867898
YOR088W,YLR015W,0,-3.4513915,0.15625,0.010570824146270752,0.0057082450948655605
YOR088W,YOL093W,0,-3.4523337,0.1538461595773697,0.010570824146270752,0.0058139534667134285
YMR197C,YCL062W,1,-3.4540024,0.1666666716337204,0.011627906933426857,0.0058139534667134285
YFR024C,YPL212C,0,-3.45592,0.16417910158634186,0.011627906933426857,0.0059196618385612965
YFR024C,YHR019C,0,-3.4571178,0.1617647111415863,0.011627906933426857,0.006025370210409164
YCL062W,YDR495C,1,-3.4585717,0.17391304671764374,0.012684989720582962,0.006025370210409164
YLR131C,YJL018W,0,-3.4586217,0.17142857611179352,0.012684989720582962,0.006131078116595745
YBL030C,YBR090C-A,0,-3.4598527,0.1690140813589096,0.012684989720582962,0.006236786488443613
YBR068C,YLR035C-A,0,-3.4608376,0.1666666716337204,0.012684989720582962,0.006342494860291481
YCL062W,YML001W,1,-3.4620173,0.1780821979045868,0.013742071576416492,0.006342494860291481
YCR055C,YDL043C,0,-3.4646947,0.1756756752729416,0.013742071576416492,0.006448202766478062
YNL107W,YGR122W,0,-3.4649868,0.1733333319425583,0.013742071576416492,0.00655391113832593
YGR296W,YCR080W,0,-3.4650943,0.17105263471603394,0.013742071576416492,0.006659619510173798
YLR337W,YLR385C,0,-3.4655426,0.16883116960525513,0.013742071576416492,0.006765327882021666
YBR173C,YFL011W-A,0,-3.4676883,0.1666666716337204,0.013742071576416492,0.006871035788208246
YML015C,YLR035C-A,0,-3.4689944,0.16455696523189545,0.013742071576416492,0.006976744160056114
YER088C,YCR080W,0,-3.4694164,0.16249999403953552,0.013742071576416492,0.007082452531903982
YBL100W-B,YPL209C,0,-3.4695256,0.16049382090568542,0.013742071576416492,0.00718816090375185
YML040W,YGR072W,0,-3.4717448,0.15853658318519592,0.013742071576416492,0.007293868809938431
YOR005C,YFL035C,0,-3.4723556,0.15662650763988495,0.013742071576416492,0.007399577181786299
YML047C,YGR272C,0,-3.4753845,0.1547619104385376,0.013742071576416492,0.007505285553634167
YBR081C,YPR078C,0,-3.4756162,0.15294118225574493,0.013742071576416492,0.007610993459820747
YEL002C,YGR272C,0,-3.4770062,0.151162788271904,0.013742071576416492,0.007716701831668615
YDR120C,YCR080W,0,-3.4779494,0.14942528307437897,0.013742071576416492,0.007822410203516483
YMR134W,YLR214W,0,-3.4796684,0.14772726595401764,0.013742071576416492,0.007928118109703064
YER040W,YCR080W,0,-3.4801369,0.14606741070747375,0.013742071576416492,0.00803382694721222
