Gene A,Gene B,Label,Score,Precision,Recall,False Positive Rate
YOL101C,YBL075C,0,-1.585337,0.0,0.0,9.999999747378752e-05
YOR244W,YBR072W,0,-1.6647316,0.0,0.0,0.00019999999494757503
YDR364C,YBR072W,0,-1.7776803,0.0,0.0,0.0003000000142492354
YPL047W,YBL075C,0,-1.838358,0.0,0.0,0.00039999998989515007
YDR508C,YGR161C,0,-1.8432611,0.0,0.0,0.0005000000237487257
YBR072W,YJR086W,0,-1.9284096,0.0,0.0,0.0006000000284984708
YLR196W,YGR161C,0,-1.9425007,0.0,0.0,0.000699999975040555
YHL028W,YBR072W,0,-1.9455152,0.0,0.0,0.0007999999797903001
YBL075C,YGL183C,0,-1.9955205,0.0,0.0,0.0008999999845400453
YBR072W,YCL010C,0,-2.038477,0.0,0.0,0.0010000000474974513
YJL059W,YDR492W,0,-2.0724041,0.0,0.0,0.0010999999940395355
YML128C,YNL070W,0,-2.124742,0.0,0.0,0.0012000000569969416
YHR092C,YOL091W,0,-2.1342204,0.0,0.0,0.0013000000035390258
YML128C,YBL003C,0,-2.1443226,0.0,0.0,0.00139999995008111
YBL003C,YDR358W,0,-2.1852803,0.0,0.0,0.001500000013038516
YBL016W,YBL075C,0,-2.1938918,0.0,0.0,0.0015999999595806003
YJL073W,YER103W,0,-2.238277,0.0,0.0,0.0017000000225380063
YML027W,YPR154W,0,-2.2385058,0.0,0.0,0.0017999999690800905
YKL220C,YOR348C,0,-2.2513566,0.0,0.0,0.0019000000320374966
YGR088W,YGR157W,0,-2.2518692,0.0,0.0,0.0020000000949949026
YBR193C,YPL265W,0,-2.2572603,0.0,0.0,0.002099999925121665
YJR070C,YJL059W,0,-2.2836304,0.0,0.0,0.002199999988079071
YHR007C,YJL059W,0,-2.295424,0.0,0.0,0.002300000051036477
YIL053W,YML104C,0,-2.3018246,0.0,0.0,0.002400000113993883
YOR348C,YJL002C,0,-2.3185735,0.0,0.0,0.0024999999441206455
YHL034C,YOR338W,0,-2.3312974,0.0,0.0,0.0026000000070780516
YPL240C,YHR079C-A,0,-2.3406773,0.0,0.0,0.0027000000700354576
YPR037C,YLR196W,0,-2.3576908,0.0,0.0,0.00279999990016222
YDR309C,YGL096W,0,-2.375034,0.0,0.0,0.002899999963119626
YBR109C,YOR348C,0,-2.3962417,0.0,0.0,0.003000000026077032
YPL187W,YDL014W,0,-2.396456,0.0,0.0,0.003100000089034438
YLR048W,YJL059W,0,-2.4045453,0.0,0.0,0.0031999999191612005
YHR197W,YDL247W,0,-2.4132671,0.0,0.0,0.0032999999821186066
YBL013W,YKL009W,0,-2.4140644,0.0,0.0,0.0034000000450760126
YOR351C,YOR173W,0,-2.4283285,0.0,0.0,0.0035000001080334187
YCR018C,YGR161C,0,-2.435767,0.0,0.0,0.003599999938160181
YER070W,YGL055W,0,-2.4416327,0.0,0.0,0.003700000001117587
YPL202C,YCL040W,0,-2.4468875,0.0,0.0,0.003800000064074993
YNR075W,YML024W,0,-2.4512289,0.0,0.0,0.0038999998942017555
YGL037C,YNR075W,0,-2.4561439,0.0,0.0,0.004000000189989805
YOR335C,YOR348C,0,-2.4604712,0.0,0.0,0.004100000020116568
YML058W-A,YJL208C,0,-2.4629426,0.0,0.0,0.00419999985024333
YMR104C,YCL026C-A,0,-2.467342,0.0,0.0,0.00430000014603138
YOR120W,YGL240W,0,-2.4686124,0.0,0.0,0.004399999976158142
YEL063C,YER103W,0,-2.4739997,0.0,0.0,0.0044999998062849045
YOR133W,YMR299C,0,-2.4776201,0.0,0.0,0.004600000102072954
YIR017C,YMR069W,0,-2.4833562,0.0,0.0,0.004699999932199717
