Gene A,Gene B,Label,Score,Precision,Recall,False Positive Rate
YBR072W,YPL046C,0,-1.7719241,0.0,0.0,9.999999747378752e-05
YPL121C,YGR088W,0,-1.7747573,0.0,0.0,0.00019999999494757503
YJL122W,YOR025W,0,-1.8054832,0.0,0.0,0.0003000000142492354
YHR085W,YML058W-A,0,-1.9254282,0.0,0.0,0.00039999998989515007
YGR161C,YOL104C,0,-1.9646133,0.0,0.0,0.0005000000237487257
YLR270W,YPL121C,0,-1.9775075,0.0,0.0,0.0006000000284984708
YNR038W,YML058W-A,0,-1.9791669,0.0,0.0,0.000699999975040555
YER062C,YJR108W,0,-1.9831133,0.0,0.0,0.0007999999797903001
YGL183C,YIL117C,0,-1.9914244,0.0,0.0,0.0008999999845400453
YBR012W-B,YDR147W,0,-2.0270264,0.0,0.0,0.0010000000474974513
YGR059W,YAL068C,0,-2.0283897,0.0,0.0,0.0010999999940395355
YPL188W,YBR183W,0,-2.0327759,0.0,0.0,0.0012000000569969416
YDR146C,YKR025W,0,-2.0528462,0.0,0.0,0.0013000000035390258
YJL179W,YBR012W-B,0,-2.0529516,0.0,0.0,0.00139999995008111
YDR004W,YHR157W,0,-2.0633998,0.0,0.0,0.001500000013038516
YGR159C,YML104C,0,-2.064554,0.0,0.0,0.0015999999595806003
YLR394W,YDR342C,0,-2.0715294,0.0,0.0,0.0017000000225380063
YER062C,YOR266W,0,-2.0751662,0.0,0.0,0.0017999999690800905
YAR010C,YDR369C,0,-2.0780811,0.0,0.0,0.0019000000320374966
YPL241C,YNL112W,0,-2.0812886,0.0,0.0,0.0020000000949949026
YPL175W,YML058W-A,0,-2.0856915,0.0,0.0,0.002099999925121665
YDR503C,YOR317W,0,-2.0958002,0.0,0.0,0.002199999988079071
YLR035C,YBL100W-B,0,-2.1011348,0.0,0.0,0.002300000051036477
YDR087C,YAR018C,0,-2.103996,0.0,0.0,0.002400000113993883
YOL124C,YBR156C,0,-2.1072052,0.0,0.0,0.0024999999441206455
YMR069W,YBR244W,0,-2.1114063,0.0,0.0,0.0026000000070780516
YCL075W,YDR147W,0,-2.1352448,0.0,0.0,0.0027000000700354576
YDL209C,YLR129W,0,-2.1425712,0.0,0.0,0.00279999990016222
YPR081C,YNR074C,0,-2.1430297,0.0,0.0,0.002899999963119626
YKL138C-A,YCR073C,0,-2.143514,0.0,0.0,0.003000000026077032
YDL024C,YJR160C,0,-2.145926,0.0,0.0,0.003100000089034438
YNL182C,YML058W-A,0,-2.1483128,0.0,0.0,0.0031999999191612005
YBR012W-B,YGR128C,0,-2.1500432,0.0,0.0,0.0032999999821186066
YLR223C,YEL054C,0,-2.1520836,0.0,0.0,0.0034000000450760126
YGR251W,YGR188C,0,-2.1529899,0.0,0.0,0.0035000001080334187
YBR244W,YDR527W,0,-2.1535707,0.0,0.0,0.003599999938160181
YML058W-A,YER118C,0,-2.1556625,0.0,0.0,0.003700000001117587
YDR115W,YHR096C,0,-2.1574996,0.0,0.0,0.003800000064074993
YBR175W,YLR129W,0,-2.1645067,0.0,0.0,0.0038999998942017555
YDR130C,YOR348C,0,-2.1648014,0.0,0.0,0.004000000189989805
YNL002C,YJL056C,0,-2.166294,0.0,0.0,0.004100000020116568
YMR232W,YDR043C,0,-2.178249,0.0,0.0,0.00419999985024333
YMR015C,YNL078W,0,-2.1794658,0.0,0.0,0.00430000014603138
YBL082C,YBR012W-B,0,-2.182098,0.0,0.0,0.004399999976158142
YER190W,YKL088W,0,-2.189873,0.0,0.0,0.0044999998062849045
YGL027C,YJR147W,0,-2.19002,0.0,0.0,0.004600000102072954
YAL017W,YNL210W,0,-2.1922948,0.0,0.0,0.004699999932199717
YDR363W,YHR148W,0,-2.1965587,0.0,0.0,0.004800000227987766
YHR170W,YGL089C,0,-2.1970217,0.0,0.0,0.004900000058114529
YLR055C,YHR157W,0,-2.1982176,0.0,0.0,0.004999999888241291
YMR078C,YOR294W,0,-2.2000632,0.0,0.0,0.005100000184029341
YLL008W,YBL100W-B,0,-2.2004814,0.0,0.0,0.005200000014156103
YNL210W,YOR168W,0,-2.2017093,0.0,0.0,0.0052999998442828655
YJR022W,YLR205C,0,-2.2082314,0.0,0.0,0.005400000140070915
YDR529C,YLR132C,0,-2.2106442,0.0,0.0,0.005499999970197678
YMR045C,YLR386W,0,-2.2117014,0.0,0.0,0.00559999980032444
YML011C,YNL248C,0,-2.2139916,0.0,0.0,0.00570000009611249
YER062C,YBL080C,0,-2.2158413,0.0,0.0,0.005799999926239252
YPL121C,YHR008C,0,-2.220543,0.0,0.0,0.005900000222027302
YMR287C,YCL019W,0,-2.2217193,0.0,0.0,0.006000000052154064
YER138C,YNL014W,0,-2.2222474,0.0,0.0,0.006099999882280827
YLR263W,YGR156W,0,-2.2229817,0.0,0.0,0.006200000178068876
YGR109C,YLR274W,1,-2.223487,0.01587301678955555,0.0010000000474974513,0.006200000178068876
YGR161C,YLR332W,0,-2.2235212,0.015625,0.0010000000474974513,0.006300000008195639
YKR024C,YML033W,0,-2.2278767,0.015384615398943424,0.0010000000474974513,0.006399999838322401
YDR358W,YOL077W-A,0,-2.2315025,0.01515151560306549,0.0010000000474974513,0.006500000134110451
YOR081C,YJL059W,0,-2.2344394,0.014925372786819935,0.0010000000474974513,0.006599999964237213
YOR317W,YGR077C,0,-2.2371764,0.014705882407724857,0.0010000000474974513,0.0066999997943639755
YER062C,YBL097W,0,-2.2380025,0.014492753893136978,0.0010000000474974513,0.006800000090152025
YER103W,YGL003C,0,-2.242927,0.014285714365541935,0.0010000000474974513,0.006899999920278788
YPR175W,YLR003C,1,-2.2430985,0.028169013559818268,0.0020000000949949026,0.006899999920278788
YOR133W,YKL178C,0,-2.246867,0.02777777798473835,0.0020000000949949026,0.007000000216066837
YJL092W,YKL021C,0,-2.2470627,0.027397260069847107,0.0020000000949949026,0.0071000000461936
YMR138W,YBL100W-B,0,-2.2477663,0.027027027681469917,0.0020000000949949026,0.007199999876320362
YBR110W,YGR122W,0,-2.2477894,0.02666666731238365,0.0020000000949949026,0.007300000172108412
YMR087W,YNL007C,0,-2.2480245,0.02631578966975212,0.0020000000949949026,0.007400000002235174
YER062C,YDL098C,0,-2.2508783,0.025974025949835777,0.0020000000949949026,0.007499999832361937
YPL146C,YKR095W-A,0,-2.2510662,0.025641025975346565,0.0020000000949949026,0.007600000128149986
YPL194W,YER138C,0,-2.254208,0.025316456332802773,0.0020000000949949026,0.007699999958276749
YJL025W,YJR027W,0,-2.2543836,0.02500000037252903,0.0020000000949949026,0.007799999788403511
YHR204W,YBL005W-B,0,-2.2567468,0.02469135820865631,0.0020000000949949026,0.007899999618530273
YMR011W,YDR213W,0,-2.2575178,0.024390242993831635,0.0020000000949949026,0.00800000037997961
YIL017W,YIR009W,0,-2.2575955,0.024096384644508362,0.0020000000949949026,0.008100000210106373
YFR005C,YHR094C,0,-2.2577844,0.02380952425301075,0.0020000000949949026,0.008200000040233135
YCR072C,YHR023W,0,-2.2587214,0.0235294122248888,0.0020000000949949026,0.008299999870359898
YDR432W,YDL105W,0,-2.2589731,0.023255813866853714,0.0020000000949949026,0.00839999970048666
YER062C,YJL093C,0,-2.2644408,0.02298850566148758,0.0020000000949949026,0.008500000461935997
YGL240W,YJL034W,0,-2.2662017,0.022727273404598236,0.0020000000949949026,0.00860000029206276
YIL066C,YLL004W,1,-2.2704642,0.033707864582538605,0.003000000026077032,0.00860000029206276
YLR167W,YMR087W,0,-2.2706437,0.03333333507180214,0.003000000026077032,0.008700000122189522
YER005W,YML058W-A,0,-2.2714021,0.032967034727334976,0.003000000026077032,0.008799999952316284
YER103W,YDL043C,0,-2.272112,0.032608695328235626,0.003000000026077032,0.008899999782443047
YBL039C,YBL100W-B,0,-2.2735636,0.032258063554763794,0.003000000026077032,0.008999999612569809
YLR205C,YBR257W,0,-2.2737958,0.03191489353775978,0.003000000026077032,0.009100000374019146
YGR251W,YDR298C,0,-2.274859,0.031578946858644485,0.003000000026077032,0.009200000204145908
YDR213W,YBR090C-A,0,-2.2759118,0.03125,0.003000000026077032,0.00930000003427267
YML058W-A,YOR026W,0,-2.2781782,0.030927835032343864,0.003000000026077032,0.009399999864399433
YGR122W,YFR001W,0,-2.2838216,0.030612245202064514,0.003000000026077032,0.009499999694526196
YMR059W,YJR145C,0,-2.2842536,0.03030303120613098,0.003000000026077032,0.009600000455975533
YJL059W,YNL313C,0,-2.288344,0.029999999329447746,0.003000000026077032,0.009700000286102295
YCL005W-A,YOR120W,0,-2.289834,0.029702970758080482,0.003000000026077032,0.009800000116229057
YPR189W,YDR306C,0,-2.2899828,0.029411764815449715,0.003000000026077032,0.00989999994635582
YDR097C,YMR001C,1,-2.290165,0.03883495181798935,0.004000000189989805,0.00989999994635582
YGR272C,YDR079W,0,-2.290264,0.03846153989434242,0.004000000189989805,0.009999999776482582
YCR093W,YJL113W,0,-2.2922287,0.03809523954987526,0.004000000189989805,0.010099999606609344
YBR070C,YGR122W,0,-2.2930596,0.03773584961891174,0.004000000189989805,0.010200000368058681
YER103W,YDR363W,0,-2.2931075,0.037383176386356354,0.004000000189989805,0.010300000198185444
YMR069W,YKL088W,0,-2.2951605,0.03703703731298447,0.004000000189989805,0.010400000028312206
YOR004W,YBR090C-A,0,-2.2959967,0.03669724613428116,0.004000000189989805,0.010499999858438969
YBL071W-A,YBL097W,0,-2.2995667,0.036363635212183,0.004000000189989805,0.010599999688565731
YMR186W,YGR054W,0,-2.301296,0.036036036908626556,0.004000000189989805,0.010700000450015068
YPR037C,YOR310C,0,-2.3015208,0.0357142873108387,0.004000000189989805,0.01080000028014183
YOR226C,YNR053C,0,-2.3016162,0.03539822995662689,0.004000000189989805,0.010900000110268593
YGL178W,YJL214W,0,-2.3029017,0.035087719559669495,0.004000000189989805,0.010999999940395355
YJL122W,YDR195W,0,-2.3032615,0.03478260710835457,0.004000000189989805,0.011099999770522118
YPR119W,YMR312W,0,-2.3059447,0.03448275849223137,0.004000000189989805,0.01119999960064888
YFL011W-A,YGL017W,0,-2.3066888,0.03418803587555885,0.004000000189989805,0.011300000362098217
YHR094C,YIL160C,0,-2.307383,0.033898305147886276,0.004000000189989805,0.01140000019222498
YDR213W,YPR041W,0,-2.3077853,0.03361344709992409,0.004000000189989805,0.011500000022351742
YLR276C,YGL089C,0,-2.307812,0.03333333507180214,0.004000000189989805,0.011599999852478504
YDR259C,YHR092C,0,-2.3089576,0.03305784985423088,0.004000000189989805,0.011699999682605267
YBL008W,YBR090C-A,0,-2.31038,0.032786883413791656,0.004000000189989805,0.011800000444054604
YNL206C,YNL299W,0,-2.311507,0.03252032399177551,0.004000000189989805,0.011900000274181366
YLR312C-B,YKL173W,0,-2.3115575,0.032258063554763794,0.004000000189989805,0.012000000104308128
YOR211C,YGR272C,0,-2.3121607,0.03200000151991844,0.004000000189989805,0.01209999993443489
YDR170W-A,YBR257W,0,-2.3127077,0.0317460335791111,0.004000000189989805,0.012199999764561653
YGR272C,YBR098W,0,-2.3136702,0.031496062874794006,0.004000000189989805,0.012299999594688416
YKR025W,YMR117C,0,-2.313745,0.03125,0.004000000189989805,0.012400000356137753
YBL005W-B,YGL150C,0,-2.3149376,0.03100775182247162,0.004000000189989805,0.012500000186264515
YPL097W,YMR173W,0,-2.316165,0.03076923079788685,0.004000000189989805,0.012600000016391277
YLR383W,YCL062W,0,-2.3162,0.030534351244568825,0.004000000189989805,0.01269999984651804
YJR119C,YAR044W,0,-2.3166344,0.03030303120613098,0.004000000189989805,0.012799999676644802
YLR060W,YBL005W-B,0,-2.3172836,0.030075188726186752,0.004000000189989805,0.012900000438094139
YLR312C-B,YOL071W,0,-2.3174474,0.02985074557363987,0.004000000189989805,0.013000000268220901
YIL031W,YDL112W,0,-2.3180704,0.029629629105329514,0.004000000189989805,0.013100000098347664
YNL318C,YDR358W,0,-2.3181748,0.029411764815449715,0.004000000189989805,0.013199999928474426
YOR087W,YBL100W-B,0,-2.3200595,0.029197080060839653,0.004000000189989805,0.013299999758601189
YPL047W,YOR088W,0,-2.321398,0.028985507786273956,0.004000000189989805,0.013399999588727951
YPR019W,YGR109C,1,-2.3233469,0.035971224308013916,0.004999999888241291,0.013399999588727951
