Gene A,Gene B,Label,Score,Precision,Recall,False Positive Rate
YFR053C,YHR092C,1,-2.8080783,1.0,0.003076923079788685,0.0
YCL040W,YHR092C,1,-3.3880274,1.0,0.00615384615957737,0.0
YCL040W,YDR345C,1,-3.6372092,1.0,0.009230769239366055,0.0
YFR053C,YFL011W,1,-3.643092,1.0,0.01230769231915474,0.0
YDR345C,YFR053C,1,-3.644567,1.0,0.015384615398943424,0.0
YJL219W,YHR092C,1,-3.6710403,1.0,0.01846153847873211,0.0
YPL265W,YHR086W,0,-3.7741928,0.8571428656578064,0.01846153847873211,0.0003076923021581024
YOR348C,YML114C,0,-3.8214855,0.75,0.01846153847873211,0.0006153846043162048
YGR289C,YHR092C,1,-3.8452451,0.7777777910232544,0.02153846062719822,0.0006153846043162048
YJL219W,YDR342C,1,-3.9100802,0.800000011920929,0.02461538463830948,0.0006153846043162048
YPL188W,YML093W,0,-3.922277,0.7272727489471436,0.02461538463830948,0.0009230769355781376
YDR345C,YDR342C,1,-3.9287734,0.75,0.02769230678677559,0.0009230769355781376
YDR345C,YKL038W,1,-3.9566228,0.7692307829856873,0.03076923079788685,0.0009230769355781376
YJL214W,YHR094C,1,-3.9688802,0.7857142686843872,0.03384615480899811,0.0009230769355781376
YCL040W,YGL225W,1,-3.9987795,0.800000011920929,0.03692307695746422,0.0009230769355781376
YHR170W,YLR043C,0,-4.007239,0.75,0.03692307695746422,0.0012307692086324096
YJR158W,YHR092C,1,-4.0201373,0.7647058963775635,0.03999999910593033,0.0012307692086324096
YFR053C,YPL244C,1,-4.029587,0.7777777910232544,0.04307692125439644,0.0012307692086324096
YJL069C,YDR173C,0,-4.031156,0.7368420958518982,0.04307692125439644,0.0015384615398943424
YJL219W,YFR053C,1,-4.0371447,0.75,0.04615384712815285,0.0015384615398943424
YBR298C,YHR092C,1,-4.048712,0.761904776096344,0.04923076927661896,0.0015384615398943424
YLR214W,YGR279C,0,-4.0542345,0.7272727489471436,0.04923076927661896,0.0018461538711562753
YGR289C,YHR094C,1,-4.0603476,0.739130437374115,0.05230769142508507,0.0018461538711562753
YGR289C,YDR345C,1,-4.061962,0.75,0.05538461357355118,0.0018461538711562753
YMR011W,YHR094C,1,-4.0638847,0.7599999904632568,0.05846153944730759,0.0018461538711562753
YBR069C,YOL088C,0,-4.069836,0.7307692170143127,0.05846153944730759,0.002153846202418208
YDL130W-A,YGR007W,0,-4.0981636,0.7037037014961243,0.05846153944730759,0.002461538417264819
YDR345C,YJR160C,1,-4.0996375,0.7142857313156128,0.0615384615957737,0.002461538417264819
YGL115W,YJL033W,0,-4.108121,0.6896551847457886,0.0615384615957737,0.002769230864942074
YFL011W,YHR092C,1,-4.1115007,0.699999988079071,0.06461538374423981,0.002769230864942074
YJR073C,YBL016W,0,-4.1316137,0.6774193644523621,0.06461538374423981,0.003076923079788685
YDR492W,YCR093W,0,-4.1334696,0.65625,0.06461538374423981,0.003384615294635296
YLR081W,YFR053C,1,-4.1388903,0.6666666865348816,0.06769230961799622,0.003384615294635296
YLR216C,YMR088C,0,-4.142114,0.6470588445663452,0.06769230961799622,0.0036923077423125505
YDR345C,YBR298C,1,-4.1619034,0.6571428775787354,0.07076922804117203,0.0036923077423125505
YOR361C,YNL297C,0,-4.1725054,0.6388888955116272,0.07076922804117203,0.004000000189989805
YPL159C,YMR015C,0,-4.1829095,0.6216216087341309,0.07076922804117203,0.004307692404836416
YMR011W,YDR342C,1,-4.1892323,0.6315789222717285,0.07384615391492844,0.004307692404836416
YBL090W,YLR409C,0,-4.190937,0.6153846383094788,0.07384615391492844,0.004615384619683027
YDR079W,YKL082C,0,-4.200153,0.6000000238418579,0.07384615391492844,0.004923076834529638
YOL097C,YJL167W,0,-4.2088566,0.5853658318519592,0.07384615391492844,0.005230769049376249
YBL039C,YLR148W,0,-4.2097845,0.5714285969734192,0.07384615391492844,0.005538461729884148
YMR023C,YHR138C,0,-4.212518,0.5581395626068115,0.07384615391492844,0.005846153944730759
YCL040W,YFL011W,1,-4.215911,0.5681818127632141,0.07692307978868484,0.005846153944730759
YHR092C,YHR096C,1,-4.215962,0.5777778029441833,0.07999999821186066,0.005846153944730759
YFR053C,YNR072W,1,-4.2162614,0.5869565010070801,0.08307692408561707,0.005846153944730759
YOR173W,YMR182C,0,-4.2165504,0.5744680762290955,0.08307692408561707,0.00615384615957737
YFR053C,YJL214W,1,-4.219279,0.5833333134651184,0.08615384250879288,0.00615384615957737
YHR142W,YLR141W,0,-4.2202625,0.5714285969734192,0.08615384250879288,0.006461538374423981
YHR092C,YKL038W,1,-4.2279077,0.5799999833106995,0.08923076838254929,0.006461538374423981
YGR279C,YPL188W,0,-4.2343884,0.5686274766921997,0.08923076838254929,0.006769230589270592
YDL120W,YFR055W,0,-4.2488317,0.557692289352417,0.08923076838254929,0.00707692326977849
YBL090W,YDR025W,0,-4.250563,0.5471698045730591,0.08923076838254929,0.007384615484625101
YHR001W-A,YDL055C,0,-4.2548013,0.5370370149612427,0.08923076838254929,0.007692307699471712
YMR059W,YGL089C,0,-4.2554297,0.5272727012634277,0.08923076838254929,0.00800000037997961
YDR384C,YDR143C,0,-4.2583537,0.5178571343421936,0.08923076838254929,0.008307692594826221
YEL024W,YGR278W,0,-4.2661514,0.5087719559669495,0.08923076838254929,0.008615384809672832
YKR036C,YAL054C,0,-4.2715898,0.5,0.08923076838254929,0.008923077024519444
YDR342C,YHR092C,1,-4.275549,0.508474588394165,0.0923076942563057,0.008923077024519444
YBR169C,YGR214W,0,-4.2777,0.5,0.0923076942563057,0.009230769239366055
YFR053C,YML038C,1,-4.2809653,0.5081967115402222,0.0953846126794815,0.009230769239366055
YGL173C,YER002W,0,-4.2880692,0.5,0.0953846126794815,0.009538461454212666
