Gene A,Gene B,Label,Score,Precision,Recall,False Positive Rate
YPR001W,YJL048C,0,-3.991684,0.0,0.0,0.00024630542611703277
YDR023W,YJL050W,0,-4.0230722,0.0,0.0,0.0004926108522340655
YDR178W,YGR112W,0,-4.0574527,0.0,0.0,0.0007389162783510983
YOL121C,YDL031W,0,-4.087088,0.0,0.0,0.000985221704468131
YJR057W,YJL069C,0,-4.0878263,0.0,0.0,0.001231527072377503
YGL257C,YPL211W,0,-4.109484,0.0,0.0,0.0014778325567021966
YGR188C,YKL082C,0,-4.1290045,0.0,0.0,0.0017241379246115685
YPR186C,YPR190C,1,-4.131972,0.125,0.002463054144755006,0.0017241379246115685
YFR053C,YJR065C,0,-4.1562166,0.1111111119389534,0.002463054144755006,0.001970443408936262
YOR144C,YMR229C,0,-4.1604915,0.10000000149011612,0.002463054144755006,0.002216748660430312
YBR079C,YIL159W,0,-4.173297,0.09090909361839294,0.002463054144755006,0.002463054144755006
YKL056C,YBR247C,0,-4.177064,0.0833333358168602,0.002463054144755006,0.0027093596290796995
YDL150W,YPR186C,1,-4.1877165,0.1538461595773697,0.004926108289510012,0.0027093596290796995
YDL229W,YJL050W,0,-4.1892953,0.1428571492433548,0.004926108289510012,0.002955665113404393
YLR372W,YER032W,0,-4.18995,0.13333334028720856,0.004926108289510012,0.0032019703648984432
YOR206W,YDR440W,0,-4.2019672,0.125,0.004926108289510012,0.003448275849223137
YDL130W-A,YCR091W,0,-4.2023597,0.11764705926179886,0.004926108289510012,0.0036945813335478306
YDR447C,YJR112W,0,-4.2104225,0.1111111119389534,0.004926108289510012,0.003940886817872524
YDR447C,YOR272W,0,-4.21239,0.10526315867900848,0.004926108289510012,0.004187192302197218
YNL207W,YJL191W,0,-4.2161245,0.10000000149011612,0.004926108289510012,0.004433497320860624
YPL106C,YMR093W,0,-4.2327156,0.095238097012043,0.004926108289510012,0.004679802805185318
YOR063W,YCR040W,0,-4.2468405,0.09090909361839294,0.004926108289510012,0.004926108289510012
YPR186C,YNL113W,1,-4.261092,0.1304347813129425,0.007389162667095661,0.004926108289510012
YOR116C,YOR207C,1,-4.2611575,0.1666666716337204,0.009852216579020023,0.004926108289510012
YML093W,YJR043C,0,-4.261249,0.1599999964237213,0.009852216579020023,0.005172413773834705
YBL009W,YDL060W,0,-4.2618885,0.1538461595773697,0.009852216579020023,0.005418719258159399
YJL011C,YIL035C,1,-4.26631,0.18518517911434174,0.012315270490944386,0.005418719258159399
YDR331W,YMR128W,0,-4.2763295,0.1785714328289032,0.012315270490944386,0.005665024742484093
YGR200C,YBR296C,0,-4.2827334,0.17241379618644714,0.012315270490944386,0.005911330226808786
YLR075W,YPL217C,0,-4.291578,0.1666666716337204,0.012315270490944386,0.006157635245472193
YKR024C,YKL056C,0,-4.29219,0.16129031777381897,0.012315270490944386,0.0064039407297968864
YBR118W,YLR186W,0,-4.2963223,0.15625,0.012315270490944386,0.00665024621412158
YML128C,YGR143W,0,-4.3006983,0.1515151560306549,0.012315270490944386,0.006896551698446274
YLR249W,YDR021W,0,-4.3074718,0.14705882966518402,0.012315270490944386,0.0071428571827709675
YGR285C,YPL146C,0,-4.3145485,0.1428571492433548,0.012315270490944386,0.007389162667095661
YER053C,YER015W,0,-4.3164315,0.1388888955116272,0.012315270490944386,0.007635468151420355
YHR169W,YJR143C,0,-4.330513,0.13513512909412384,0.012315270490944386,0.007881773635745049
