Gene A,Gene B,Label,Score,Precision,Recall,False Positive Rate
YOR177C,YDR522C,1,15.678318,1.0,0.0009756097570061684,0.0
YGR059W,YMR017W,1,15.677634,1.0,0.0019512195140123367,0.0
YFL039C,YER044C-A,1,15.251366,1.0,0.002926829271018505,0.0
YCL048W,YLR307W,1,14.821386,1.0,0.0039024390280246735,0.0
YHR079C-A,YGL183C,1,14.620748,1.0,0.004878048785030842,0.0
YOR242C,YDR523C,1,14.310979,1.0,0.00585365854203701,0.0
YFL034C-A,YBR082C,0,14.269662,0.8571428656578064,0.00585365854203701,0.00010025062510976568
YDR402C,YFL003C,1,14.241567,0.875,0.0068292682990431786,0.00010025062510976568
YPL121C,YGL033W,1,14.212243,0.8888888955116272,0.007804878056049347,0.00010025062510976568
YIL072W,YGR225W,1,14.050832,0.8999999761581421,0.008780487813055515,0.00010025062510976568
YHR153C,YIL099W,1,13.952395,0.9090909361839294,0.009756097570061684,0.00010025062510976568
YDR402C,YOR242C,1,13.695698,0.9166666865348816,0.010731707327067852,0.00010025062510976568
YLR307W,YDL154W,1,13.494402,0.9230769276618958,0.01170731708407402,0.00010025062510976568
YCR002C,YOR190W,1,13.4535055,0.9285714030265808,0.012682926841080189,0.00010025062510976568
YPR054W,YDR402C,1,13.4392805,0.9333333373069763,0.013658536598086357,0.00010025062510976568
YJL030W,YOR346W,0,13.420613,0.875,0.013658536598086357,0.00020050125021953136
YDR446W,YER106W,1,13.297499,0.8823529481887817,0.014634146355092525,0.00020050125021953136
YOR255W,YGL170C,1,13.206962,0.8888888955116272,0.015609756112098694,0.00020050125021953136
YPR054W,YOL091W,1,13.019658,0.8947368264198303,0.016585364937782288,0.00020050125021953136
YMR133W,YHL022C,1,12.737988,0.8999999761581421,0.01756097562611103,0.00020050125021953136
YOR177C,YOR255W,1,12.712041,0.9047619104385376,0.018536584451794624,0.00020050125021953136
YBR088C,YMR048W,1,12.707643,0.9090909361839294,0.019512195140123367,0.00020050125021953136
YOR190W,YOR073W,1,12.690091,0.9130434989929199,0.02048780396580696,0.00020050125021953136
YDR032C,YBR088C,0,12.654862,0.875,0.02048780396580696,0.00030075188260525465
YPL204W,YMR017W,1,12.638917,0.8799999952316284,0.021463414654135704,0.00030075188260525465
YGL158W,YLR343W,1,12.502937,0.8846153616905212,0.022439023479819298,0.00030075188260525465
YOL132W,YOR313C,1,12.494125,0.8888888955116272,0.02341463416814804,0.00030075188260525465
YPL121C,YGL183C,1,12.4831705,0.8928571343421936,0.024390242993831635,0.00030075188260525465
YPL204W,YOR190W,1,12.396207,0.8965517282485962,0.025365853682160378,0.00030075188260525465
YOL132W,YER106W,1,12.3613205,0.8999999761581421,0.02634146250784397,0.00030075188260525465
YIL112W,YGR225W,1,12.288766,0.9032257795333862,0.027317073196172714,0.00030075188260525465
YIL099W,YDR403W,1,12.196317,0.90625,0.028292682021856308,0.00030075188260525465
YDL239C,YMR001C,1,12.191907,0.9090909361839294,0.02926829271018505,0.00030075188260525465
YOR351C,YOR313C,1,12.062504,0.9117646813392639,0.030243901535868645,0.00030075188260525465
YDR446W,YLR308W,1,12.045992,0.9142857193946838,0.031219512224197388,0.00030075188260525465
YML085C,YPL055C,1,12.044874,0.9166666865348816,0.03219512104988098,0.00030075188260525465
YHL022C,YMR017W,1,11.976081,0.9189189076423645,0.033170729875564575,0.00030075188260525465
YHR014W,YIL073C,1,11.943746,0.9210526347160339,0.03414634242653847,0.00030075188260525465
YHR079C-A,YOR190W,1,11.78593,0.9230769276618958,0.03512195125222206,0.00030075188260525465
YAR007C,YPR120C,1,11.722364,0.925000011920929,0.036097560077905655,0.00030075188260525465
YOR351C,YOL132W,1,11.719718,0.9268292784690857,0.03707316890358925,0.00030075188260525465
YPR054W,YLR343W,1,11.712495,0.9285714030265808,0.03804878145456314,0.00030075188260525465
YOR351C,YHL024W,1,11.701247,0.930232584476471,0.039024390280246735,0.00030075188260525465
YHR157W,YGR225W,1,11.698379,0.9318181872367859,0.03999999910593033,0.00030075188260525465
YCL024W,YOR230W,0,11.665553,0.9111111164093018,0.03999999910593033,0.0004010025004390627
YGR059W,YGR109C,1,11.627089,0.9130434989929199,0.04097560793161392,0.0004010025004390627
YER114C,YIL117C,0,11.617799,0.8936170339584351,0.04097560793161392,0.0005012531182728708
YCR086W,YHR079C-A,1,11.568412,0.8958333134651184,0.041951220482587814,0.0005012531182728708
YER096W,YGL033W,1,11.46143,0.8979591727256775,0.04292682930827141,0.0005012531182728708
YHR014W,YMR133W,1,11.347247,0.8999999761581421,0.043902438133955,0.0005012531182728708
YML032C,YML128C,1,11.319442,0.9019607901573181,0.044878046959638596,0.0005012531182728708
YDR099W,YDR440W,1,11.171917,0.9038461446762085,0.04585365951061249,0.0005012531182728708
YDR451C,YNL202W,1,11.157138,0.9056603908538818,0.04682926833629608,0.0005012531182728708
YNL128W,YLR329W,1,11.1440935,0.9074074029922485,0.047804877161979675,0.0005012531182728708
YHR185C,YHR184W,1,11.136598,0.9090909361839294,0.04878048598766327,0.0005012531182728708
YOR351C,YBR186W,1,11.046538,0.9107142686843872,0.04975609853863716,0.0005012531182728708
YOR242C,YGL249W,1,10.987683,0.9122806787490845,0.050731707364320755,0.0005012531182728708
YDR402C,YFL039C,1,10.981429,0.9137930870056152,0.05170731619000435,0.0005012531182728708
YPR054W,YCR002C,1,10.960278,0.9152542352676392,0.05268292501568794,0.0005012531182728708
YBL058W,YAR007C,1,10.957143,0.9166666865348816,0.053658537566661835,0.0005012531182728708
YIL099W,YMR048W,1,10.9276,0.9180327653884888,0.05463414639234543,0.0005012531182728708
YGL054C,YGL183C,1,10.833065,0.9193548560142517,0.05560975521802902,0.0005012531182728708
YIL099W,YFL037W,1,10.82112,0.920634925365448,0.056585364043712616,0.0005012531182728708
YHR185C,YMR017W,1,10.786733,0.921875,0.05756097659468651,0.0005012531182728708
YMR030W,YBR283C,0,10.762237,0.9076923131942749,0.05756097659468651,0.0006015037652105093
YGR038W,YLR308W,0,10.753267,0.8939393758773804,0.05756097659468651,0.0007017544121481478
YOR177C,YOL091W,1,10.74036,0.89552241563797,0.0585365854203701,0.0007017544121481478
YHR172W,YNL012W,0,10.721792,0.8823529481887817,0.0585365854203701,0.0008020050008781254
YOR190W,YDR371W,0,10.689795,0.8695651888847351,0.0585365854203701,0.000902255647815764
YPL027W,YMR133W,1,10.689563,0.8714285492897034,0.059512194246053696,0.000902255647815764
YIL099W,YGR108W,1,10.675482,0.8732394576072693,0.06048780307173729,0.000902255647815764
YCR092C,YNL117W,0,10.671579,0.8611111044883728,0.06048780307173729,0.0010025062365457416
YCL048W,YOL104C,1,10.628718,0.8630136847496033,0.06146341562271118,0.0010025062365457416
YGR108W,YDR285W,1,10.6065,0.8648648858070374,0.062439024448394775,0.0010025062365457416
YGL145W,YLR329W,0,10.57016,0.8533333539962769,0.062439024448394775,0.001102756941691041
YCR034W,YOL090W,0,10.554452,0.8421052694320679,0.062439024448394775,0.0012030075304210186
YPL027W,YER044C-A,1,10.492564,0.8441558480262756,0.06341463327407837,0.0012030075304210186
YOR073W,YER070W,0,10.473167,0.8333333134651184,0.06341463327407837,0.0013032581191509962
YOR003W,YHR079C-A,0,10.473145,0.8227847814559937,0.06341463327407837,0.0014035088242962956
YPL027W,YOR373W,1,10.465726,0.824999988079071,0.06439024209976196,0.0014035088242962956
YCL024W,YJL164C,0,10.439675,0.8148148059844971,0.06439024209976196,0.0015037594130262733
YDR097C,YDR440W,1,10.433455,0.8170731663703918,0.06536585092544556,0.0015037594130262733
YDR522C,YFL003C,1,10.418933,0.8192771077156067,0.06634145975112915,0.0015037594130262733
YNL050C,YMR319C,0,10.40956,0.8095238208770752,0.06634145975112915,0.0016040100017562509
YDR218C,YPL255W,0,10.402142,0.800000011920929,0.06634145975112915,0.0017042607069015503
YER179W,YFL003C,1,10.394916,0.8023256063461304,0.06731707602739334,0.0017042607069015503
YNL088W,YDL222C,1,10.393667,0.8045976758003235,0.06829268485307693,0.0017042607069015503
YOR230W,YOR338W,1,10.360079,0.8068181872367859,0.06926829367876053,0.0017042607069015503
YBR186W,YMR133W,1,10.240605,0.8089887499809265,0.07024390250444412,0.0017042607069015503
YHL022C,YHR079C-A,1,10.229616,0.8111110925674438,0.07121951133012772,0.0017042607069015503
YNL210W,YGL249W,1,10.225997,0.8131868243217468,0.07219512015581131,0.0017042607069015503
YBR088C,YGL175C,1,10.19749,0.8152173757553101,0.0731707289814949,0.0017042607069015503
YGR059W,YIL073C,1,10.194901,0.8172042965888977,0.0741463378071785,0.0017042607069015503
YIL132C,YDR218C,0,10.191434,0.8085106611251831,0.0741463378071785,0.001804511295631528
YBR132C,YER088C,0,10.170254,0.800000011920929,0.0741463378071785,0.0019047618843615055
YGR225W,YDR126W,1,10.131821,0.8020833134651184,0.07512195408344269,0.0019047618843615055
YOL132W,YDR446W,1,10.127388,0.8041236996650696,0.07609756290912628,0.0019047618843615055
YOR255W,YLR213C,1,10.10819,0.8061224222183228,0.07707317173480988,0.0019047618843615055
YGL170C,YFL033C,1,10.090305,0.808080792427063,0.07804878056049347,0.0019047618843615055
YML085C,YHR152W,1,10.088266,0.8100000023841858,0.07902438938617706,0.0019047618843615055
YLR272C,YDR018C,0,10.065516,0.801980197429657,0.07902438938617706,0.002005012473091483
YOR298W,YHR079C-A,1,10.057224,0.8039215803146362,0.07999999821186066,0.002005012473091483
YIL099W,YDR104C,1,10.021512,0.8058252334594727,0.08097560703754425,0.002005012473091483
YOR255W,YGL183C,1,10.011489,0.807692289352417,0.08195121586322784,0.002005012473091483
YNL082W,YMR139W,1,10.0091715,0.8095238208770752,0.08292683213949203,0.002005012473091483
YPR054W,YMR079W,1,10.008941,0.8113207817077637,0.08390244096517563,0.002005012473091483
YOR242C,YPL154C,0,10.001607,0.8037382960319519,0.08390244096517563,0.0021052630618214607
YER133W,YMR017W,1,9.982214,0.8055555820465088,0.08487804979085922,0.0021052630618214607
