Gene A,Gene B,Label,Score,Precision,Recall,False Positive Rate
YER169W,YGR262C,1,9.307973,1.0,0.0009505703346803784,0.0
YGR195W,YPR075C,0,9.234319,0.5,0.0009505703346803784,0.00010052271682070568
YFL014W,YGL043W,0,9.141214,0.3333333432674408,0.0009505703346803784,0.00020104543364141136
YDL005C,YOR120W,0,9.096569,0.25,0.0009505703346803784,0.00030156815773807466
YGL035C,YGL166W,1,8.837241,0.4000000059604645,0.0019011406693607569,0.00030156815773807466
YLR277C,YDR216W,1,8.82497,0.5,0.002851711120456457,0.00030156815773807466
YMR033W,YBR186W,0,8.797313,0.4285714328289032,0.002851711120456457,0.00040209086728282273
YOR244W,YKR038C,1,8.610481,0.5,0.0038022813387215137,0.00040209086728282273
YOR206W,YDR059C,0,8.5983925,0.4444444477558136,0.0038022813387215137,0.0005026136059314013
YOR206W,YBR222C,0,8.562341,0.4000000059604645,0.0038022813387215137,0.0006031363154761493
YCR042C,YMR042W,1,8.414905,0.4545454680919647,0.00475285155698657,0.0006031363154761493
YDR031W,YLR403W,0,8.38582,0.4166666567325592,0.00475285155698657,0.0007036590250208974
YHR066W,YDR104C,0,8.380635,0.38461539149284363,0.00475285155698657,0.0008041817345656455
YIR023W,YNL336W,0,8.331488,0.3571428656578064,0.00475285155698657,0.0009047044441103935
YIL021W,YKL020C,1,8.308427,0.4000000059604645,0.005703422240912914,0.0009047044441103935
YER161C,YNL115C,0,8.290963,0.375,0.005703422240912914,0.0010052272118628025
YER002W,YOR014W,0,8.260606,0.3529411852359772,0.005703422240912914,0.0011057498631998897
YPR108W,YDR492W,0,8.240196,0.3333333432674408,0.005703422240912914,0.0012062726309522986
YJL140W,YMR044W,0,8.212848,0.31578946113586426,0.005703422240912914,0.0013067952822893858
YGL070C,YIL017C,1,8.210496,0.3499999940395355,0.006653992459177971,0.0013067952822893858
YJR089W,YHR168W,0,8.150107,0.3333333432674408,0.006653992459177971,0.0014073180500417948
YER161C,YJR004C,0,8.114668,0.3181818127632141,0.006653992459177971,0.0015078408177942038
YMR070W,YOL135C,1,8.1039295,0.3478260934352875,0.0076045626774430275,0.0015078408177942038
YKL028W,YLR364W,0,8.077605,0.3333333432674408,0.0076045626774430275,0.001608363469131291
YGL043W,YMR021C,1,8.054034,0.36000001430511475,0.008555132895708084,0.001608363469131291
YIL021W,YGR186W,1,8.051915,0.38461539149284363,0.00950570311397314,0.001608363469131291
YJL148W,YMR297W,0,8.014644,0.37037035822868347,0.00950570311397314,0.0017088862368837
YGR186W,YGL162W,1,7.999631,0.3928571343421936,0.010456273332238197,0.0017088862368837
YDL021W,YNL075W,0,7.995929,0.37931033968925476,0.010456273332238197,0.001809408888220787
YML062C,YIR017C,1,7.995653,0.4000000059604645,0.011406844481825829,0.001809408888220787
