Gene A,Gene B,Label,Score,Precision,Recall,False Positive Rate
YKL217W,YMR319C,1,11.731242,1.0,0.0009560229373164475,0.0
YBR132C,YMR056C,1,9.903872,1.0,0.001912045874632895,0.0
YLL001W,YMR056C,1,9.762137,1.0,0.0028680688701570034,0.0
YKR052C,YKL217W,1,9.119813,1.0,0.00382409174926579,0.0
YBL045C,YMR058W,1,8.96781,1.0,0.004780114628374577,0.0
YKL217W,YPR020W,1,8.933956,1.0,0.005736137740314007,0.0
YHR051W,YCR010C,1,8.867313,1.0,0.00669216038659215,0.0
YOR316C,YOR065W,1,8.856949,1.0,0.00764818349853158,0.0
YDR529C,YBR291C,1,8.807836,1.0,0.008604206144809723,0.0
YKL209C,YML042W,0,8.797858,0.8999999761581421,0.008604206144809723,0.00010046212264569476
YPR020W,YLL055W,1,8.793736,0.9090909361839294,0.009560229256749153,0.00010046212264569476
YDR270W,YPR020W,1,8.78757,0.9166666865348816,0.010516252368688583,0.00010046212264569476
YNL066W,YKR093W,0,8.725338,0.8461538553237915,0.010516252368688583,0.00020092424529138952
YHR001W-A,YEL065W,1,8.627831,0.8571428656578064,0.011472275480628014,0.00020092424529138952
YJR158W,YHL047C,1,8.582181,0.8666666746139526,0.012428298592567444,0.00020092424529138952
YHR175W,YLR395C,1,8.567582,0.875,0.0133843207731843,0.00020092424529138952
YNR072W,YJL019W,0,8.5579195,0.8235294222831726,0.0133843207731843,0.0003013863752130419
YFL053W,YBL104C,0,8.509154,0.7777777910232544,0.0133843207731843,0.00040184849058277905
YBR293W,YDR377W,0,8.233317,0.7368420958518982,0.0133843207731843,0.0005023106350563467
YDL022W,YDL004W,0,8.223912,0.699999988079071,0.0133843207731843,0.0006027727504260838
YHL040C,YDL004W,1,8.179793,0.7142857313156128,0.01434034388512373,0.0006027727504260838
YHR019C,YBL045C,0,8.055027,0.6818181872367859,0.01434034388512373,0.000703234865795821
YGR121C,YPR191W,1,7.925868,0.695652186870575,0.01529636699706316,0.000703234865795821
YPL078C,YOR100C,1,7.9142036,0.7083333134651184,0.016252389177680016,0.000703234865795821
