Gene A,Gene B,Label,Score,Precision,Recall,False Positive Rate
YGR274C,YNL206C,1,5.51348,1.0,0.0009881423320621252,0.0
YER173W,YDR087C,0,5.482817,0.5,0.0009881423320621252,0.00010012014536187053
YER173W,YDR121W,1,5.2654505,0.6666666865348816,0.0019762846641242504,0.00010012014536187053
YHR154W,YER164W,1,5.192113,0.75,0.002964426763355732,0.00010012014536187053
YGR274C,YBR215W,1,5.1818905,0.800000011920929,0.003952569328248501,0.00010012014536187053
YGR274C,YML065W,1,5.1739764,0.8333333134651184,0.004940711427479982,0.00010012014536187053
YLR321C,YPR034W,1,5.1500425,0.8571428656578064,0.005928853526711464,0.00010012014536187053
YBL014C,YPL124W,0,5.0882597,0.75,0.005928853526711464,0.00020024029072374105
YEL032W,YJR140C,1,5.0757294,0.7777777910232544,0.006916996091604233,0.00020024029072374105
YLR272C,YNL068C,1,4.998222,0.800000011920929,0.007905138656497002,0.00020024029072374105
YDR167W,YML065W,1,4.987774,0.8181818127632141,0.008893280290067196,0.00020024029072374105
YER022W,YLR103C,0,4.874758,0.75,0.008893280290067196,0.0003003604360856116
YPR133C,YBR215W,1,4.8572474,0.7692307829856873,0.009881422854959965,0.0003003604360856116
YOR144C,YNL206C,1,4.843839,0.7857142686843872,0.010869565419852734,0.0003003604360856116
YGR274C,YNL118C,1,4.8233795,0.800000011920929,0.011857707053422928,0.0003003604360856116
YIL026C,YDL042C,1,4.783806,0.8125,0.012845849618315697,0.0003003604360856116
YGR274C,YPR034W,1,4.7747693,0.8235294222831726,0.013833992183208466,0.0003003604360856116
YNL188W,YLR288C,0,4.7688932,0.7777777910232544,0.013833992183208466,0.0004004805814474821
YNL038W,YEL018W,0,4.7391276,0.7368420958518982,0.013833992183208466,0.0005006007268093526
YOR144C,YDR195W,1,4.6723065,0.75,0.014822134748101234,0.0005006007268093526
YDR180W,YGL201C,0,4.671607,0.7142857313156128,0.014822134748101234,0.0006007208721712232
YDL042C,YPR135W,1,4.6704445,0.7272727489471436,0.015810277312994003,0.0006007208721712232
YMR277W,YJR089W,0,4.644315,0.695652186870575,0.015810277312994003,0.0007008410175330937
YCR042C,YBR245C,1,4.6281023,0.7083333134651184,0.016798419877886772,0.0007008410175330937
YJR140C,YNL102W,1,4.6076384,0.7200000286102295,0.017786560580134392,0.0007008410175330937
YLR314C,YPR169W,0,4.5906973,0.692307710647583,0.017786560580134392,0.0008009611628949642
YGR145W,YER173W,0,4.5723333,0.6666666865348816,0.017786560580134392,0.0009010813082568347
YMR005W,YHR085W,1,4.55674,0.6785714030265808,0.01877470314502716,0.0009010813082568347
YNL206C,YKL112W,0,4.5127335,0.6551724076271057,0.01877470314502716,0.0010012014536187053
YJR140C,YLR103C,1,4.4957,0.6666666865348816,0.01976284570991993,0.0010012014536187053
YLR117C,YLR103C,1,4.486484,0.6774193644523621,0.0207509882748127,0.0010012014536187053
YDR195W,YDR482C,0,4.4344687,0.65625,0.0207509882748127,0.0011013215407729149
YLR002C,YGL113W,1,4.41864,0.6666666865348816,0.021739130839705467,0.0011013215407729149
YIL131C,YPR135W,1,4.380001,0.6764705777168274,0.022727273404598236,0.0011013215407729149
YFR031C,YML065W,1,4.37792,0.6857143044471741,0.023715414106845856,0.0011013215407729149
YMR078C,YLR210W,0,4.3769846,0.6666666865348816,0.023715414106845856,0.0012014417443424463
YJL081C,YDL003W,1,4.375499,0.6756756901741028,0.024703556671738625,0.0012014417443424463
YDR167W,YBR112C,1,4.372668,0.6842105388641357,0.025691699236631393,0.0012014417443424463
YOR144C,YPR034W,1,4.360795,0.692307710647583,0.026679841801524162,0.0012014417443424463
YMR078C,YEL032W,0,4.3580437,0.675000011920929,0.026679841801524162,0.001301561831496656
YLL004W,YKR038C,1,4.3578167,0.6829268336296082,0.02766798436641693,0.001301561831496656
YNL206C,YAL019W,1,4.3543177,0.6904761791229248,0.0286561269313097,0.001301561831496656
YMR080C,YOL067C,0,4.3269625,0.6744186282157898,0.0286561269313097,0.0014016820350661874
YER173W,YGL112C,1,4.325874,0.6818181872367859,0.02964426949620247,0.0014016820350661874
YMR005W,YER173W,1,4.316078,0.6888889074325562,0.03063241019845009,0.0014016820350661874
YPL138C,YDR121W,1,4.291834,0.695652186870575,0.03162055462598801,0.0014016820350661874
YNL206C,YER164W,1,4.2898755,0.7021276354789734,0.032608695328235626,0.0014016820350661874
YBR215W,YBR112C,1,4.276704,0.7083333134651184,0.033596839755773544,0.0014016820350661874
YGR274C,YFR013W,1,4.261371,0.7142857313156128,0.034584980458021164,0.0014016820350661874
YNL027W,YAR008W,0,4.2606487,0.699999988079071,0.034584980458021164,0.001501802122220397
YAL019W,YLR183C,1,4.2385654,0.7058823704719543,0.035573121160268784,0.001501802122220397
YLR274W,YPR135W,1,4.235939,0.7115384340286255,0.0365612655878067,0.001501802122220397
