Gene A,Gene B,Label,Score,Precision,Recall,False Positive Rate
YHR104W,YBR046C,1,6.45607,1.0,0.0009950249223038554,0.0
YNL241C,YGR088W,1,6.2457185,1.0,0.001990049844607711,0.0
YGR043C,YBR046C,1,6.2341356,1.0,0.0029850746504962444,0.0
YCL035C,YBR046C,1,5.629356,1.0,0.003980099689215422,0.0
YHR104W,YKL150W,1,5.5424733,1.0,0.004975124262273312,0.0
YDR513W,YOR120W,1,5.4637814,1.0,0.005970149300992489,0.0
YLR109W,YHR104W,1,5.0821095,1.0,0.006965174339711666,0.0
YIR037W,YPL059W,1,4.9750605,1.0,0.007960199378430843,0.0
YMR105C,YOR142W,0,4.9528217,0.8888888955116272,0.007960199378430843,0.00010005002695834264
YFL039C,YOR120W,1,4.909819,0.8999999761581421,0.008955223485827446,0.00010005002695834264
YDR347W,YGR088W,1,4.9029984,0.9090909361839294,0.009950248524546623,0.00010005002695834264
YDR453C,YPL059W,1,4.8460307,0.9166666865348816,0.0109452735632658,0.00010005002695834264
YDR376W,YMR110C,0,4.830955,0.8461538553237915,0.0109452735632658,0.00020010005391668528
YMR110C,YKL148C,0,4.813315,0.7857142686843872,0.0109452735632658,0.0003001500735990703
YGR043C,YPL091W,1,4.8074665,0.800000011920929,0.011940298601984978,0.0003001500735990703
YMR098C,YMR105C,0,4.7529855,0.75,0.011940298601984978,0.00040020010783337057
YFL014W,YBL022C,1,4.730306,0.7647058963775635,0.012935323640704155,0.00040020010783337057
YDR231C,YCL035C,1,4.709582,0.7777777910232544,0.013930348679423332,0.00040020010783337057
YKL065C,YER098W,0,4.5860543,0.7368420958518982,0.013930348679423332,0.0005002501420676708
YBR006W,YPL059W,1,4.4882255,0.75,0.014925372786819935,0.0005002501420676708
YOR120W,YMR038C,1,4.4727073,0.761904776096344,0.015920398756861687,0.0005002501420676708
YOL052C-A,YKR071C,1,4.461038,0.7727272510528564,0.016915423795580864,0.0005002501420676708
YDR353W,YGR043C,1,4.4385686,0.782608687877655,0.017910446971654892,0.0005002501420676708
YBR037C,YNL036W,1,4.3946304,0.7916666865348816,0.01890547201037407,0.0005002501420676708
YCL033C,YPL059W,1,4.3918605,0.800000011920929,0.019900497049093246,0.0005002501420676708
YDR513W,YLL019C,0,4.340694,0.7692307829856873,0.019900497049093246,0.0006003001471981406
YGR043C,YCL035C,1,4.3291535,0.7777777910232544,0.020895522087812424,0.0006003001471981406
YDR084C,YIR038C,0,4.3269496,0.75,0.020895522087812424,0.0007003501523286104
YKL096W,YDR019C,0,4.322021,0.7241379022598267,0.020895522087812424,0.0008004002156667411
YFR053C,YGL125W,0,4.303545,0.699999988079071,0.020895522087812424,0.0009004502207972109
YHR104W,YKL062W,1,4.258136,0.7096773982048035,0.0218905471265316,0.0009004502207972109
YFL014W,YOL016C,1,4.248242,0.71875,0.022885572165250778,0.0009004502207972109
YBL076C,YOR161C,0,4.2475495,0.6969696879386902,0.022885572165250778,0.0010005002841353416
YNL252C,YML128C,0,4.24359,0.6764705777168274,0.022885572165250778,0.0011005502892658114
YHR161C,YIL124W,0,4.2167754,0.6571428775787354,0.022885572165250778,0.0012006002943962812
YCR083W,YER150W,0,4.198383,0.6388888955116272,0.022885572165250778,0.001300650299526751
YBR169C,YDR349C,0,4.181558,0.6216216087341309,0.022885572165250778,0.0014007003046572208
YHL032C,YKL103C,0,4.1611476,0.6052631735801697,0.022885572165250778,0.0015007504262030125
YMR250W,YPL059W,1,4.1595254,0.6153846383094788,0.023880597203969955,0.0015007504262030125
YNL315C,YJL164C,0,4.1351833,0.6000000238418579,0.023880597203969955,0.0016008004313334823
YBR005W,YMR002W,0,4.117541,0.5853658318519592,0.023880597203969955,0.001700850436463952
YJR073C,YDL072C,0,4.1008754,0.5714285969734192,0.023880597203969955,0.0018009004415944219
YHR008C,YGR043C,1,4.099133,0.5813953280448914,0.024875622242689133,0.0018009004415944219
YHR008C,YJR138W,1,4.0925136,0.5909090638160706,0.02587064728140831,0.0018009004415944219
YGR043C,YPL059W,1,4.0850654,0.6000000238418579,0.026865672320127487,0.0018009004415944219
YBL022C,YKL150W,1,4.082029,0.6086956262588501,0.027860697358846664,0.0018009004415944219
YNL160W,YPL104W,0,4.066838,0.5957446694374084,0.027860697358846664,0.0019009504467248917
YLR259C,YLR251W,0,4.051508,0.5833333134651184,0.027860697358846664,0.0020010005682706833
