Gene A,Gene B,Label,Score,Precision,Recall,False Positive Rate
YNL059C,YDR407C,0,-3.485036,0.0,0.0,0.00021505376207642257
YNR049C,YNL243W,1,-3.9317946,0.5,0.0021505376789718866,0.00021505376207642257
YHR073W,YGL233W,1,-3.945068,0.6666666865348816,0.004301075357943773,0.00021505376207642257
YMR109W,YHR073W,1,-3.9784436,0.75,0.006451612804085016,0.00021505376207642257
YHR108W,YEL002C,0,-4.160004,0.6000000238418579,0.006451612804085016,0.00043010752415284514
YAL026C,YDR235W,0,-4.1615515,0.5,0.006451612804085016,0.0006451613153330982
YHR098C,YHR181W,0,-4.2043967,0.4285714328289032,0.006451612804085016,0.0008602150483056903
YJL204C,YDR164C,1,-4.2132325,0.5,0.008602150715887547,0.0008602150483056903
YOR326W,YIL138C,1,-4.281474,0.5555555820465088,0.01075268816202879,0.0008602150483056903
YHR073W,YMR231W,1,-4.3039103,0.6000000238418579,0.012903225608170033,0.0008602150483056903
YKR027W,YKL179C,0,-4.36684,0.5454545617103577,0.012903225608170033,0.0010752688394859433
YJL085W,YGL233W,1,-4.380393,0.5833333134651184,0.015053763054311275,0.0010752688394859433
YBR102C,YNL243W,1,-4.384676,0.6153846383094788,0.017204301431775093,0.0010752688394859433
YBR102C,YHR001W,1,-4.3890786,0.6428571343421936,0.019354838877916336,0.0010752688394859433
YJL204C,YDR166C,1,-4.40745,0.6666666865348816,0.02150537632405758,0.0010752688394859433
YHR073W,YHR001W,1,-4.472563,0.6875,0.023655913770198822,0.0010752688394859433
YOL112W,YHR073W,1,-4.536265,0.7058823704719543,0.025806451216340065,0.0010752688394859433
YER114C,YDR166C,1,-4.614711,0.7222222089767456,0.027956988662481308,0.0010752688394859433
YNL041C,YOR320C,0,-4.618333,0.6842105388641357,0.027956988662481308,0.0012903226306661963
YDR379W,YCR067C,0,-4.623996,0.6499999761581421,0.027956988662481308,0.0015053763054311275
YNR049C,YMR231W,1,-4.6364627,0.6666666865348816,0.03010752610862255,0.0015053763054311275
YMR231W,YER008C,1,-4.66092,0.6818181872367859,0.032258063554763794,0.0015053763054311275
YGL233W,YDR166C,1,-4.6829658,0.695652186870575,0.034408602863550186,0.0015053763054311275
YHR073W,YNL079C,1,-4.684519,0.7083333134651184,0.03655913844704628,0.0015053763054311275
YGL233W,YNL079C,1,-4.7000413,0.7200000286102295,0.03870967775583267,0.0015053763054311275
YBR102C,YGL233W,1,-4.709043,0.7307692170143127,0.040860213339328766,0.0015053763054311275
YER114C,YHR001W,1,-4.7107434,0.7407407164573669,0.04301075264811516,0.0015053763054311275
YNR049C,YPR055W,1,-4.7109985,0.75,0.04516129195690155,0.0015053763054311275
YJL085W,YER008C,1,-4.7323527,0.7586206793785095,0.047311827540397644,0.0015053763054311275
YMR109W,YMR231W,1,-4.741621,0.7666666507720947,0.049462366849184036,0.0015053763054311275
YJL085W,YNR049C,1,-4.7432914,0.774193525314331,0.05161290243268013,0.0015053763054311275
