Gene A,Gene B,Label,Score,Precision,Recall,False Positive Rate
YKL012W,YJL006C,1,-0.4477263,1.0,0.0009881423320621252,0.0
YGL174W,YMR213W,1,-0.66238093,1.0,0.0019762846641242504,0.0
YDR240C,YPL228W,1,-0.80050516,1.0,0.002964426763355732,0.0
YJL203W,YKL139W,1,-0.8589816,1.0,0.003952569328248501,0.0
YNL286W,YKR002W,1,-0.9275044,1.0,0.004940711427479982,0.0
YBR119W,YGR207C,0,-0.9315627,0.8333333134651184,0.004940711427479982,0.00010012014536187053
YJL203W,YGR074W,1,-0.9336436,0.8571428656578064,0.005928853526711464,0.00010012014536187053
YPR107C,YIR005W,1,-0.9368045,0.875,0.006916996091604233,0.00010012014536187053
YNL286W,YGL116W,0,-0.9393423,0.7777777910232544,0.006916996091604233,0.00020024029072374105
YJL006C,YOR179C,1,-0.96606433,0.800000011920929,0.007905138656497002,0.00020024029072374105
YBR055C,YLR117C,1,-0.97684,0.8181818127632141,0.008893280290067196,0.00020024029072374105
YDR416W,YLR242C,0,-0.99315,0.75,0.008893280290067196,0.0003003604360856116
YPR107C,YDR235W,1,-1.0067136,0.7692307829856873,0.009881422854959965,0.0003003604360856116
YJL047C,YLR421C,0,-1.05041,0.7142857313156128,0.009881422854959965,0.0004004805814474821
YNL088W,YBR257W,0,-1.0572579,0.6666666865348816,0.009881422854959965,0.0005006007268093526
YDR473C,YLR117C,1,-1.0950556,0.6875,0.010869565419852734,0.0005006007268093526
YKL059C,YJR093C,1,-1.1012906,0.7058823704719543,0.011857707053422928,0.0005006007268093526
YKL173W,YDR416W,1,-1.1279972,0.7222222089767456,0.012845849618315697,0.0005006007268093526
YOR179C,YER029C,1,-1.146875,0.7368420958518982,0.013833992183208466,0.0005006007268093526
YDR228C,YPR094W,1,-1.1481264,0.75,0.014822134748101234,0.0005006007268093526
YDR473C,YDR159W,1,-1.1508342,0.761904776096344,0.015810277312994003,0.0005006007268093526
YOR148C,YER112W,1,-1.1552637,0.7727272510528564,0.016798419877886772,0.0005006007268093526
YAL032C,YPL064C,1,-1.1724576,0.782608687877655,0.017786560580134392,0.0005006007268093526
YJL140W,YJR093C,1,-1.1785564,0.7916666865348816,0.01877470314502716,0.0005006007268093526
YJL203W,YOR148C,1,-1.1815425,0.800000011920929,0.01976284570991993,0.0005006007268093526
YGL174W,YLR117C,1,-1.1880993,0.807692289352417,0.0207509882748127,0.0005006007268093526
YPL151C,YML046W,1,-1.1895244,0.8148148059844971,0.021739130839705467,0.0005006007268093526
YLR003C,YOR319W,0,-1.1928637,0.7857142686843872,0.021739130839705467,0.0006007208721712232
YGR074W,YKL139W,1,-1.1965237,0.7931034564971924,0.022727273404598236,0.0006007208721712232
YDR416W,YDR473C,1,-1.1995955,0.800000011920929,0.023715414106845856,0.0006007208721712232
YIR009W,YLR115W,1,-1.2006427,0.8064516186714172,0.024703556671738625,0.0006007208721712232
YDR240C,YGL130W,1,-1.20209,0.8125,0.025691699236631393,0.0006007208721712232
YAL032C,YMR213W,1,-1.2075808,0.8181818127632141,0.026679841801524162,0.0006007208721712232
YPR057W,YOR179C,1,-1.2151358,0.8235294222831726,0.02766798436641693,0.0006007208721712232
YGR129W,YGR075C,1,-1.2167245,0.8285714387893677,0.0286561269313097,0.0006007208721712232
YLR022C,YBR095C,0,-1.2252939,0.8055555820465088,0.0286561269313097,0.0007008410175330937
YNR011C,YDL043C,1,-1.2275425,0.8108108043670654,0.02964426949620247,0.0007008410175330937
YLR033W,YKL125W,0,-1.2321922,0.7894737124443054,0.02964426949620247,0.0008009611628949642
YJL140W,YLR323C,1,-1.2433565,0.7948718070983887,0.03063241019845009,0.0008009611628949642
YJL203W,YNL317W,1,-1.2475219,0.800000011920929,0.03162055462598801,0.0008009611628949642
YGL127C,YBR096W,0,-1.2480516,0.7804877758026123,0.03162055462598801,0.0009010813082568347
YGL174W,YJR093C,1,-1.2581824,0.7857142686843872,0.032608695328235626,0.0009010813082568347
YLR323C,YDL098C,1,-1.258852,0.7906976938247681,0.033596839755773544,0.0009010813082568347
YDR416W,YNL147W,1,-1.2607518,0.7954545617103577,0.034584980458021164,0.0009010813082568347
