Gene A,Gene B,Label,Score,Precision,Recall,False Positive Rate
YER118C,YPL230W,1,11.678202,1.0,0.000994035741314292,0.0
YER118C,YDL022W,1,9.7375145,1.0,0.001988071482628584,0.0
YLR319C,YPL230W,1,9.687925,1.0,0.0029821074567735195,0.0
YBR016W,YNL190W,1,9.384175,1.0,0.003976142965257168,0.0
YGR008C,YPL211W,0,8.322516,0.800000011920929,0.003976142965257168,0.00010006003867601976
YBR086C,YPL152W,1,8.105127,0.8333333134651184,0.004970178939402103,0.00010006003867601976
YDR129C,YNL190W,1,8.0917225,0.8571428656578064,0.005964214913547039,0.00010006003867601976
YGL008C,YIR003W,0,8.085228,0.75,0.005964214913547039,0.00020012007735203952
YDR129C,YPL239W,1,7.9976697,0.7777777910232544,0.006958250422030687,0.00020012007735203952
YER118C,YDL010W,1,7.8177958,0.800000011920929,0.007952285930514336,0.00020012007735203952
YER118C,YNL190W,1,7.786818,0.8181818127632141,0.008946321904659271,0.00020012007735203952
YLR319C,YPR005C,1,7.725664,0.8333333134651184,0.009940357878804207,0.00020012007735203952
YKL193C,YLR196W,0,7.6794186,0.7692307829856873,0.009940357878804207,0.00030018010875210166
YOR047C,YPL230W,1,7.673805,0.7857142686843872,0.010934393852949142,0.00030018010875210166
YIR003W,YER127W,0,7.549741,0.7333333492279053,0.010934393852949142,0.00040024015470407903
YBL072C,YMR292W,0,7.5378923,0.6875,0.010934393852949142,0.0005003002006560564
YMR109W,YPL059W,1,7.4408298,0.7058823704719543,0.011928429827094078,0.0005003002006560564
YLR319C,YGR008C,1,7.4365106,0.7222222089767456,0.012922464869916439,0.0005003002006560564
YLR319C,YIL153W,1,7.386758,0.7368420958518982,0.013916500844061375,0.0005003002006560564
YKL143W,YGR008C,1,7.3290243,0.75,0.01491053681820631,0.0005003002006560564
YBR068C,YLR200W,0,7.3064575,0.7142857313156128,0.01491053681820631,0.0006003602175042033
YFL047W,YDR032C,0,7.116003,0.6818181872367859,0.01491053681820631,0.0007004202343523502
YDR129C,YOR208W,1,7.0923796,0.695652186870575,0.01590457186102867,0.0007004202343523502
YIL052C,YGR244C,0,7.0825644,0.6666666865348816,0.01590457186102867,0.0008004803094081581
YPR143W,YEL024W,0,7.0476985,0.6399999856948853,0.01590457186102867,0.000900540326256305
YPR075C,YML131W,1,6.9845285,0.6538461446762085,0.016898607835173607,0.000900540326256305
YDR384C,YKR014C,0,6.957117,0.6296296119689941,0.016898607835173607,0.0010006004013121128
YLR337C,YPL230W,1,6.9570065,0.6428571343421936,0.017892643809318542,0.0010006004013121128
YOR047C,YGR008C,1,6.9331927,0.6551724076271057,0.018886679783463478,0.0010006004013121128
YLR337C,YOR120W,1,6.920751,0.6666666865348816,0.019880715757608414,0.0010006004013121128
YKL129C,YOR208W,1,6.86928,0.6774193644523621,0.02087475173175335,0.0010006004013121128
YMR037C,YPR005C,1,6.8429127,0.6875,0.021868787705898285,0.0010006004013121128
YPR143W,YFR014C,0,6.8395243,0.6666666865348816,0.021868787705898285,0.0011006604181602597
YJR059W,YOL080C,0,6.8295937,0.6470588445663452,0.021868787705898285,0.0012007204350084066
YMR116C,YHR203C,0,6.8017836,0.6285714507102966,0.021868787705898285,0.0013007804518565536
YLR319C,YDR388W,1,6.800376,0.6388888955116272,0.02286282368004322,0.0013007804518565536
YMR109W,YOR120W,1,6.784175,0.6486486196517944,0.023856859654188156,0.0013007804518565536
YER118C,YOR181W,1,6.7818923,0.6578947305679321,0.024850893765687943,0.0013007804518565536
YLR332W,YMR037C,1,6.779345,0.6666666865348816,0.025844929739832878,0.0013007804518565536
YDR040C,YPL242C,1,6.7395267,0.675000011920929,0.026838965713977814,0.0013007804518565536
YBL061C,YGR008C,1,6.704712,0.6829268336296082,0.02783300168812275,0.0013007804518565536
YBR016W,YHR205W,1,6.7,0.6904761791229248,0.028827037662267685,0.0013007804518565536
YJL164C,YML024W,0,6.66434,0.6744186282157898,0.028827037662267685,0.0014008404687047005
YJR059W,YAL025C,0,6.648878,0.6590909361839294,0.028827037662267685,0.0015009004855528474
YNL190W,YMR092C,1,6.592157,0.6666666865348816,0.02982107363641262,0.0015009004855528474
YJL144W,YLR336C,1,6.5608892,0.6739130616188049,0.030815109610557556,0.0015009004855528474
YBR139W,YOR369C,0,6.5250177,0.6595744490623474,0.030815109610557556,0.0016009606188163161
YLR332W,YLR337C,1,6.4767704,0.6666666865348816,0.03180914372205734,0.0016009606188163161
YKL129C,YNL190W,1,6.472804,0.6734693646430969,0.03280318155884743,0.0016009606188163161
YML131W,YOL064C,1,6.4498672,0.6800000071525574,0.033797215670347214,0.0016009606188163161
YLR332W,YOR181W,1,6.4395313,0.686274528503418,0.0347912535071373,0.0016009606188163161
YDR388W,YOR208W,1,6.4086843,0.692307710647583,0.035785287618637085,0.0016009606188163161
YCR009C,YGR014W,1,6.4068975,0.698113203048706,0.03677932545542717,0.0016009606188163161
YDR129C,YDL022W,1,6.403119,0.7037037014961243,0.037773359566926956,0.0016009606188163161
YPL186C,YPL160W,0,6.389305,0.6909090876579285,0.037773359566926956,0.001701020635664463
YER118C,YPL240C,1,6.37679,0.6964285969734192,0.03876739740371704,0.001701020635664463
YKL143W,YOR120W,1,6.3741665,0.7017543911933899,0.03976143151521683,0.001701020635664463
YBR016W,YCR073C,1,6.3250723,0.7068965435028076,0.040755465626716614,0.001701020635664463
YPL239W,YOR120W,1,6.324709,0.7118644118309021,0.0417495034635067,0.001701020635664463
YBR068C,YPL168W,0,6.288896,0.699999988079071,0.0417495034635067,0.00180108065251261
YIL147C,YPR005C,1,6.2880845,0.7049180269241333,0.042743537575006485,0.00180108065251261
YCR009C,YOL064C,1,6.2753143,0.7096773982048035,0.04373757541179657,0.00180108065251261
YLL011W,YNL015W,0,6.27505,0.6984127163887024,0.04373757541179657,0.0019011406693607569
YDR129C,YHL007C,1,6.2647405,0.703125,0.044731609523296356,0.0019011406693607569
YER118C,YOR043W,1,6.2353697,0.7076923251152039,0.04572564736008644,0.0019011406693607569
YOL020W,YLR414C,0,6.2293577,0.6969696879386902,0.04572564736008644,0.0020012008026242256
YPL230W,YKL143W,1,6.2139635,0.7014925479888916,0.04671968147158623,0.0020012008026242256
YDR129C,YOR181W,1,6.204521,0.7058823704719543,0.04771371930837631,0.0020012008026242256
YGL120C,YDR513W,0,6.15436,0.695652186870575,0.04771371930837631,0.0021012607030570507
YPR154W,YNL186W,0,6.150403,0.6857143044471741,0.04771371930837631,0.0022013208363205194
YDL240W,YEL060C,0,6.140686,0.6760563254356384,0.04771371930837631,0.0023013807367533445
YKL129C,YKR094C,0,6.1331387,0.6666666865348816,0.04771371930837631,0.0024014408700168133
YER118C,YPR005C,1,6.1050134,0.6712328791618347,0.0487077534198761,0.0024014408700168133
YBL037W,YHR112C,0,6.0978556,0.662162184715271,0.0487077534198761,0.002501501003280282
YKR013W,YLR258W,0,6.089567,0.653333306312561,0.0487077534198761,0.002601560903713107
YCR009C,YOR120W,1,6.088355,0.6578947305679321,0.049701787531375885,0.002601560903713107
YPR122W,YKL109W,0,6.067671,0.649350643157959,0.049701787531375885,0.002701621036976576
YBR214W,YNL166C,0,6.061653,0.6410256624221802,0.049701787531375885,0.002801680937409401
YBR139W,YIL148W,0,6.0561996,0.6329113841056824,0.049701787531375885,0.0029017410706728697
YPL057C,YOR110W,0,6.010002,0.625,0.049701787531375885,0.0030018009711056948
YBR016W,YPR056W,0,6.009643,0.6172839403152466,0.049701787531375885,0.0031018611043691635
YOR120W,YGR008C,1,5.9735694,0.6219512224197388,0.05069582536816597,0.0031018611043691635
YGR008C,YOR181W,1,5.9710407,0.6265060305595398,0.051689859479665756,0.0031018611043691635
YDR129C,YJL144W,1,5.962573,0.6309523582458496,0.05268389731645584,0.0031018611043691635
YKL129C,YOL089C,1,5.952263,0.6352941393852234,0.05367793142795563,0.0031018611043691635
YPL230W,YNL091W,1,5.9452753,0.6395348906517029,0.05467196926474571,0.0031018611043691635
YER118C,YMR109W,1,5.94523,0.6436781883239746,0.0556660033762455,0.0031018611043691635
YLR332W,YKL129C,1,5.94442,0.6477272510528564,0.056660041213035583,0.0031018611043691635
YMR109W,YGR008C,1,5.9409866,0.6516854166984558,0.05765407532453537,0.0031018611043691635
YBR086C,YPL180W,1,5.9204874,0.6555555462837219,0.058648113161325455,0.0031018611043691635
YOR095C,YIR007W,0,5.900567,0.6483516693115234,0.058648113161325455,0.0032019212376326323
YIL068C,YBR241C,0,5.9000006,0.6413043737411499,0.058648113161325455,0.0033019811380654573
YMR109W,YMR092C,1,5.8929777,0.6451612710952759,0.05964214727282524,0.0033019811380654573
YPL032C,YDR005C,0,5.886944,0.6382978558540344,0.05964214727282524,0.003402041271328926
YML100W,YKL156W,0,5.8847895,0.6315789222717285,0.05964214727282524,0.003502101171761751
YML131W,YLR362W,1,5.8763676,0.6354166865348816,0.06063618138432503,0.003502101171761751
YJL128C,YJL144W,1,5.8700557,0.6391752362251282,0.06163021922111511,0.003502101171761751
YLR332W,YPL059W,1,5.804756,0.6428571343421936,0.0626242533326149,0.003502101171761751
YLR006C,YCR073C,1,5.798716,0.6464646458625793,0.06361828744411469,0.003502101171761751
YGL181W,YLR023C,0,5.7866745,0.6399999856948853,0.06361828744411469,0.00360216130502522
YLR319C,YHR205W,1,5.7785683,0.6435643434524536,0.06461232900619507,0.00360216130502522
YDR465C,YGL104C,0,5.777765,0.6372548937797546,0.06461232900619507,0.0037022214382886887
YMR131C,YJR065C,0,5.7742233,0.6310679316520691,0.06461232900619507,0.0038022813387215137
YPR075C,YLR337C,1,5.771333,0.6346153616905212,0.06560636311769485,0.0038022813387215137
YGL181W,YNL076W,0,5.7604923,0.6285714507102966,0.06560636311769485,0.0039023414719849825
YLR332W,YOR208W,1,5.757988,0.6320754885673523,0.06660039722919464,0.0039023414719849825
YBL061C,YFL014W,1,5.7333612,0.6355140209197998,0.06759443134069443,0.0039023414719849825
YOR207C,YNL134C,0,5.7250214,0.6296296119689941,0.06759443134069443,0.004002401605248451
YNL020C,YNL190W,1,5.7153854,0.6330274939537048,0.06858847290277481,0.004002401605248451
YNL020C,YOR208W,1,5.7124715,0.6363636255264282,0.0695825070142746,0.004002401605248451
YER118C,YPL059W,1,5.710971,0.6396396160125732,0.07057654112577438,0.004002401605248451
YLR337C,YGR008C,1,5.708531,0.6428571343421936,0.07157057523727417,0.004002401605248451
YPR122W,YDR516C,0,5.7072697,0.6371681690216064,0.07157057523727417,0.004102461505681276
YKL143W,YLR248W,1,5.6888313,0.640350878238678,0.07256460934877396,0.004102461505681276
YMR037C,YBR273C,0,5.642776,0.634782612323761,0.07256460934877396,0.004202521406114101
YPR075C,YPL242C,1,5.623355,0.6379310488700867,0.07355865091085434,0.004202521406114101
YBR016W,YER062C,1,5.6190414,0.6410256624221802,0.07455268502235413,0.004202521406114101
YER056C-A,YJL001W,0,5.6078653,0.6355932354927063,0.07455268502235413,0.004302581772208214
YKR072C,YER062C,1,5.596889,0.6386554837226868,0.07554671913385391,0.004302581772208214
YDL235C,YHR206W,1,5.5817175,0.6416666507720947,0.0765407532453537,0.004302581772208214
YOR028C,YLR362W,1,5.581007,0.64462810754776,0.07753479480743408,0.004302581772208214
YJL164C,YPL220W,0,5.549474,0.6393442749977112,0.07753479480743408,0.004402641672641039
YOR369C,YNL037C,0,5.5457096,0.6341463327407837,0.07753479480743408,0.004502701573073864
YLR332W,YOL116W,1,5.5424385,0.6370967626571655,0.07852882891893387,0.004502701573073864
YOL125W,YDR003W,0,5.5274887,0.6320000290870667,0.07852882891893387,0.004602761473506689
YDR039C,YML070W,0,5.4982767,0.6269841194152832,0.07852882891893387,0.0047028218396008015
YDR129C,YHR206W,1,5.4942665,0.6299212574958801,0.07952286303043365,0.0047028218396008015
YBR212W,YGL232W,0,5.4907136,0.625,0.07952286303043365,0.0048028817400336266
YDR003W,YLR347C,0,5.4748483,0.6201550364494324,0.07952286303043365,0.004902941640466452
YDR129C,YOR008C,1,5.4685726,0.6230769157409668,0.08051689714193344,0.004902941640466452
YBR016W,YKL143W,1,5.462142,0.6259542107582092,0.08151093125343323,0.004902941640466452
YKR072C,YIL124W,0,5.4620686,0.6212121248245239,0.08151093125343323,0.005003002006560564
YPR071W,YJR158W,0,5.459832,0.61654132604599,0.08151093125343323,0.005103061906993389
YKR072C,YPL059W,1,5.451007,0.6194030046463013,0.08250497281551361,0.005103061906993389
YDL010W,YDR388W,1,5.435467,0.6222222447395325,0.0834990069270134,0.005103061906993389
YOR247W,YNL015W,0,5.419558,0.6176470518112183,0.0834990069270134,0.005203121807426214
YKL129C,YMR092C,1,5.4082546,0.6204379796981812,0.08449304103851318,0.005203121807426214
YOR208W,YMR092C,1,5.405422,0.6231883764266968,0.08548707515001297,0.005203121807426214
YOL019W,YHR124W,0,5.399504,0.6187050342559814,0.08548707515001297,0.005303181707859039
YPL239W,YLR006C,1,5.395015,0.6214285492897034,0.08648111671209335,0.005303181707859039
YDR299W,YKR092C,0,5.393246,0.6170212626457214,0.08648111671209335,0.005403242073953152
YPR075C,YOR122C,1,5.3904934,0.6197183132171631,0.08747515082359314,0.005403242073953152
YBR086C,YDL022W,1,5.3868656,0.6223776340484619,0.08846918493509293,0.005403242073953152
YER118C,YOR297C,1,5.3808255,0.625,0.08946321904659271,0.005403242073953152
YDR129C,YOR043W,1,5.379031,0.6275861859321594,0.0904572531580925,0.005403242073953152
YDR129C,YMR175W,1,5.362832,0.6301369667053223,0.09145129472017288,0.005403242073953152
YDR077W,YIL034C,0,5.3607635,0.6258503198623657,0.09145129472017288,0.005503301974385977
YMR133W,YER025W,0,5.3588963,0.6216216087341309,0.09145129472017288,0.005603361874818802
