Gene A,Gene B,Label,Score,Precision,Recall,False Positive Rate
YML014W,YKR056W,1,-0.86498964,1.0,0.0009842519648373127,0.0
YML080W,YHR070W,1,-0.8870475,1.0,0.0019685039296746254,0.0
YOR274W,YKL110C,1,-0.9074725,1.0,0.002952755894511938,0.0
YFL001W,YDR206W,1,-1.0022095,1.0,0.003937007859349251,0.0
YMR288W,YGR200C,1,-1.0935464,1.0,0.0049212598241865635,0.0
YPL175W,YER127W,1,-1.1295924,1.0,0.005905511789023876,0.0
YKR038C,YBL024W,1,-1.1665572,1.0,0.006889763753861189,0.0
YDL209C,YFL001W,1,-1.3022561,1.0,0.007874015718698502,0.0
YER180C,YNL062C,1,-1.314904,1.0,0.008858268149197102,0.0
YML080W,YBR141C,1,-1.4155698,1.0,0.009842519648373127,0.0
YBR141C,YLR014C,1,-1.53443,1.0,0.010826772078871727,0.0
YOL125W,YNR027W,1,-1.640784,1.0,0.011811023578047752,0.0
YJL090C,YOL115W,0,-1.6544814,0.9230769276618958,0.011811023578047752,0.00010016025771619752
YNL062C,YDR156W,1,-1.7311807,0.9285714030265808,0.012795276008546352,0.00010016025771619752
YML113W,YDR239C,1,-1.7323188,0.9333333373069763,0.013779527507722378,0.00010016025771619752
YNL095C,YKR056W,1,-1.7367566,0.9375,0.014763779938220978,0.00010016025771619752
YOR243C,YHL026C,1,-1.7530181,0.9411764740943909,0.015748031437397003,0.00010016025771619752
YPL108W,YMR288W,1,-1.834588,0.9444444179534912,0.01673228293657303,0.00010016025771619752
YDR120C,YNL065W,1,-1.8393152,0.9473684430122375,0.017716536298394203,0.00010016025771619752
YJL098W,YOR078W,0,-1.8424423,0.8999999761581421,0.017716536298394203,0.00020032051543239504
YMR128W,YER180C,0,-1.8844124,0.8571428656578064,0.017716536298394203,0.0003004807804245502
YNR046W,YOR308C,1,-1.8988872,0.8636363744735718,0.01870078779757023,0.0003004807804245502
YPL193W,YER140W,1,-1.9182568,0.8695651888847351,0.019685039296746254,0.0003004807804245502
YNL065W,YLR014C,1,-1.9312019,0.875,0.02066929079592228,0.0003004807804245502
YDR478W,YLR014C,1,-1.9912257,0.8799999952316284,0.021653544157743454,0.0003004807804245502
YGL243W,YBR141C,1,-2.0090652,0.8846153616905212,0.02263779565691948,0.0003004807804245502
YBR267W,YOR295W,0,-2.0215206,0.8518518805503845,0.02263779565691948,0.0004006410308647901
YDR020C,YJL069C,0,-2.0253801,0.8214285969734192,0.02263779565691948,0.0005008013104088604
YGL079W,YDR364C,1,-2.0275445,0.8275862336158752,0.023622047156095505,0.0005008013104088604
YDR478W,YPL086C,1,-2.0314028,0.8333333134651184,0.02460629865527153,0.0005008013104088604
YOR269W,YKR092C,0,-2.0415912,0.8064516186714172,0.02460629865527153,0.0006009615608491004
YDR206W,YML080W,1,-2.069786,0.8125,0.025590552017092705,0.0006009615608491004
YBR261C,YML080W,1,-2.0750813,0.8181818127632141,0.02657480351626873,0.0006009615608491004
YFR034C,YCR047C,1,-2.0952697,0.8235294222831726,0.027559055015444756,0.0006009615608491004
YFR036W,YBR141C,1,-2.1248465,0.8285714387893677,0.02854330651462078,0.0006009615608491004
YBR141C,YOR308C,1,-2.1270342,0.8333333134651184,0.029527559876441956,0.0006009615608491004
YJR129C,YOL029C,1,-2.1550238,0.837837815284729,0.03051181137561798,0.0006009615608491004
YNL240C,YDR120C,1,-2.1579795,0.8421052694320679,0.031496062874794006,0.0006009615608491004
YLR405W,YML015C,0,-2.1596408,0.8205128312110901,0.031496062874794006,0.0007011218112893403
YHR120W,YNL308C,0,-2.1652474,0.800000011920929,0.031496062874794006,0.0008012820617295802
YKL110C,YOR269W,1,-2.1658986,0.8048780560493469,0.03248031437397003,0.0008012820617295802
YMR288W,YLR384C,1,-2.165962,0.8095238208770752,0.03346456587314606,0.0008012820617295802
YDL153C,YML096W,0,-2.192245,0.7906976938247681,0.03346456587314606,0.0009014423121698201
YOR274W,YKR045C,1,-2.2041311,0.7954545617103577,0.03444881737232208,0.0009014423121698201
YJR129C,YBL024W,1,-2.2196476,0.800000011920929,0.035433072596788406,0.0009014423121698201
YDR408C,YDR119W,0,-2.2385533,0.782608687877655,0.035433072596788406,0.0010016026208177209
YGL211W,YLR014C,1,-2.259479,0.7872340679168701,0.03641732409596443,0.0010016026208177209
YOL140W,YHR070W,1,-2.2671385,0.7916666865348816,0.03740157559514046,0.0010016026208177209
YPL108W,YOL140W,1,-2.2736893,0.795918345451355,0.03838582709431648,0.0010016026208177209
YBL093C,YEL058W,0,-2.2748284,0.7799999713897705,0.03838582709431648,0.0011017628712579608
YNR015W,YBL024W,1,-2.280742,0.7843137383460999,0.03937007859349251,0.0011017628712579608
YOR274W,YNL065W,1,-2.298337,0.7884615659713745,0.04035433009266853,0.0011017628712579608
YMR288W,YNL072W,1,-2.3303213,0.7924528121948242,0.04133858159184456,0.0011017628712579608
YFR036W,YER127W,1,-2.3406544,0.7962962985038757,0.042322833091020584,0.0011017628712579608
YIL145C,YKR056W,1,-2.3447704,0.800000011920929,0.04330708831548691,0.0011017628712579608
YDL112W,YOR243C,1,-2.3628604,0.8035714030265808,0.04429133981466293,0.0011017628712579608
YDL051W,YLR014C,0,-2.3856492,0.7894737124443054,0.04429133981466293,0.0012019231216982007
YOR101W,YHR070W,0,-2.3865361,0.7758620977401733,0.04429133981466293,0.0013020833721384406
YEL009C,YOR236W,0,-2.3868554,0.7627118825912476,0.04429133981466293,0.0014022436225786805
YLR014C,YMR211W,1,-2.3905606,0.7666666507720947,0.04527559131383896,0.0014022436225786805
YMR177W,YKL110C,1,-2.422926,0.7704917788505554,0.046259842813014984,0.0014022436225786805
YOL124C,YDR364C,1,-2.4426026,0.774193525314331,0.04724409431219101,0.0014022436225786805
YIL047C,YMR211W,1,-2.442915,0.7777777910232544,0.048228345811367035,0.0014022436225786805
YJR056C,YCR047C,1,-2.451114,0.78125,0.04921259731054306,0.0014022436225786805
YJR129C,YKR060W,0,-2.4613287,0.7692307829856873,0.04921259731054306,0.0015024038730189204
YOL094C,YKR024C,0,-2.470552,0.7575757503509521,0.04921259731054306,0.0016025641234591603
YDR398W,YNL254C,0,-2.473067,0.746268630027771,0.04921259731054306,0.0017027243738994002
YJR056C,YPL266W,1,-2.4836068,0.75,0.050196848809719086,0.0017027243738994002
YDR020C,YPR104C,0,-2.4875007,0.739130437374115,0.050196848809719086,0.0018028846243396401
YJR129C,YDR364C,1,-2.4965234,0.7428571581840515,0.05118110403418541,0.0018028846243396401
YPL266W,YDR206W,1,-2.5074677,0.7464788556098938,0.052165355533361435,0.0018028846243396401
YKR045C,YKR056W,1,-2.526225,0.75,0.05314960703253746,0.0018028846243396401
YML014W,YKL183W,1,-2.5312057,0.7534246444702148,0.054133858531713486,0.0018028846243396401
YOL029C,YLR014C,1,-2.534924,0.7567567825317383,0.05511811003088951,0.0018028846243396401
YOR274W,YKL186C,1,-2.5526,0.7599999904632568,0.056102361530065536,0.0018028846243396401
YNR046W,YCL029C,1,-2.554651,0.7631579041481018,0.05708661302924156,0.0018028846243396401
YER180C,YLR401C,1,-2.5585022,0.7662337422370911,0.05807086452841759,0.0018028846243396401
YBL005W,YMR026C,0,-2.5642576,0.7564102411270142,0.05807086452841759,0.00190304487477988
YDL112W,YLR014C,1,-2.572661,0.7594936490058899,0.05905511975288391,0.00190304487477988
YOR091W,YOR236W,0,-2.5743756,0.75,0.05905511975288391,0.0020032052416354418
YOL137W,YPL086C,1,-2.585174,0.7530864477157593,0.060039371252059937,0.0020032052416354418
YOL125W,YDR206W,1,-2.5860252,0.7560975551605225,0.06102362275123596,0.0020032052416354418
