Gene A,Gene B,Label,Score,Precision,Recall,False Positive Rate
YOR173W,YLR388W,0,25.36193,0.0,0.0,0.00010006003867601976
YML026C,YKL026C,0,24.208504,0.0,0.0,0.00020012007735203952
YDR471W,YNR002C,0,22.584385,0.0,0.0,0.00030018010875210166
YNR002C,YDR429C,0,22.466194,0.0,0.0,0.00040024015470407903
YJR078W,YOL097C,0,21.91661,0.0,0.0,0.0005003002006560564
YIR026C,YKL163W,0,21.617424,0.0,0.0,0.0006003602175042033
YJL138C,YEL011W,0,20.468,0.0,0.0,0.0007004202343523502
YER145C,YGL006W,1,20.342005,0.125,0.000994035741314292,0.0007004202343523502
YOR054C,YDR492W,1,19.811604,0.2222222238779068,0.001988071482628584,0.0007004202343523502
YER150W,YPL252C,0,19.720364,0.20000000298023224,0.001988071482628584,0.0008004803094081581
YNL075W,YLR270W,0,19.662636,0.1818181872367859,0.001988071482628584,0.000900540326256305
YAL061W,YHR128W,0,19.494328,0.1666666716337204,0.001988071482628584,0.0010006004013121128
YFR001W,YLR205C,0,19.277588,0.1538461595773697,0.001988071482628584,0.0011006604181602597
YOR273C,YBR106W,0,19.059032,0.1428571492433548,0.001988071482628584,0.0012007204350084066
YER145C,YGL250W,0,18.7318,0.13333334028720856,0.001988071482628584,0.0013007804518565536
YOR317W,YGR264C,0,18.430965,0.125,0.001988071482628584,0.0014008404687047005
YKL125W,YCL040W,0,18.349665,0.11764705926179886,0.001988071482628584,0.0015009004855528474
YGR055W,YPL240C,0,18.317997,0.1111111119389534,0.001988071482628584,0.0016009606188163161
YLR205C,YEL027W,1,17.907402,0.15789473056793213,0.0029821074567735195,0.0016009606188163161
YOR382W,YML056C,0,17.42963,0.15000000596046448,0.0029821074567735195,0.001701020635664463
YNL036W,YBL076C,0,17.35655,0.1428571492433548,0.0029821074567735195,0.00180108065251261
YOR317W,YBR093C,0,17.318565,0.13636364042758942,0.0029821074567735195,0.0019011406693607569
YHR170W,YLR205C,0,17.066257,0.1304347813129425,0.0029821074567735195,0.0020012008026242256
YBR169C,YER102W,0,16.97259,0.125,0.0029821074567735195,0.0021012607030570507
YAL033W,YAL054C,0,16.76326,0.11999999731779099,0.0029821074567735195,0.0022013208363205194
YLR406C,YDR273W,0,16.708136,0.11538461595773697,0.0029821074567735195,0.0023013807367533445
YNR002C,YBR069C,0,16.687843,0.1111111119389534,0.0029821074567735195,0.0024014408700168133
YJL020C,YEL026W,0,16.656258,0.1071428582072258,0.0029821074567735195,0.002501501003280282
YPL230W,YCR034W,0,16.345963,0.1034482792019844,0.0029821074567735195,0.002601560903713107
YKL163W,YGR078C,0,16.337704,0.10000000149011612,0.0029821074567735195,0.002701621036976576
YOR317W,YNL075W,0,16.247185,0.09677419066429138,0.0029821074567735195,0.002801680937409401
