Gene A,Gene B,Label,Score,Precision,Recall,False Positive Rate
YKR094C,YMR078C,1,15.69705,1.0,0.0009794319048523903,0.0
YJR035W,YDR225W,1,13.661639,1.0,0.0019588638097047806,0.0
YJL153C,YPL083C,0,13.37871,0.6666666865348816,0.0019588638097047806,0.00010021043999586254
YDR180W,YDR225W,1,13.040522,0.75,0.002938295714557171,0.00010021043999586254
YBL003C,YLR135W,1,12.223326,0.800000011920929,0.003917727619409561,0.00010021043999586254
YLR265C,YCR066W,1,11.692296,0.8333333134651184,0.0048971595242619514,0.00010021043999586254
YIL101C,YOR234C,0,11.684521,0.7142857313156128,0.0048971595242619514,0.0002004208799917251
YGR261C,YDR225W,0,11.544037,0.625,0.0048971595242619514,0.00030063133453950286
YOL095C,YJL140W,1,11.258444,0.6666666865348816,0.005876591429114342,0.00030063133453950286
YJL140W,YNL299W,1,11.210738,0.699999988079071,0.006856023333966732,0.00030063133453950286
YNL250W,YDR225W,1,11.10045,0.7272727489471436,0.007835455238819122,0.00030063133453950286
YKR094C,YGR258C,1,11.022519,0.75,0.008814887143671513,0.00030063133453950286
YIL134W,YFL055W,0,10.799322,0.692307710647583,0.008814887143671513,0.0004008417599834502
YBL003C,YDL200C,1,10.79393,0.7142857313156128,0.009794319048523903,0.0004008417599834502
YJL140W,YML060W,1,10.675053,0.7333333492279053,0.010773750953376293,0.0004008417599834502
YDR225W,YMR224C,1,10.660242,0.75,0.011753182858228683,0.0004008417599834502
YDR224C,YKL213C,1,10.585737,0.7647058963775635,0.012732614763081074,0.0004008417599834502
YPR080W,YGL180W,0,10.574427,0.7222222089767456,0.012732614763081074,0.0005010521854273975
YMR218C,YDR077W,0,10.572912,0.6842105388641357,0.012732614763081074,0.0006012626690790057
YGL156W,YKR094C,0,10.568378,0.6499999761581421,0.012732614763081074,0.000701473094522953
YKL113C,YPR043W,0,10.557656,0.6190476417541504,0.012732614763081074,0.0008016835199669003
YKR025W,YPL153C,0,10.532911,0.5909090638160706,0.012732614763081074,0.0009018940036185086
YKL112W,YGR258C,1,10.485346,0.6086956262588501,0.013712046667933464,0.0009018940036185086
YMR078C,YDR030C,1,10.235504,0.625,0.014691478572785854,0.0009018940036185086
YDR180W,YGR109C,0,10.155998,0.6000000238418579,0.014691478572785854,0.001002104370854795
YFL003C,YDR077W,0,10.127034,0.5769230723381042,0.014691478572785854,0.0011023149127140641
YOL090W,YNL292W,0,10.087822,0.5555555820465088,0.014691478572785854,0.0012025253381580114
YBR088C,YDL070W,1,10.052547,0.5714285969734192,0.015670910477638245,0.0012025253381580114
YDR003W,YDL082W,0,10.050181,0.5517241358757019,0.015670910477638245,0.0013027357636019588
YBL003C,YLL036C,1,10.001421,0.5666666626930237,0.01665034331381321,0.0013027357636019588
YER175C,YBR009C,0,9.990713,0.5483871102333069,0.01665034331381321,0.001402946189045906
YIL101C,YDL082W,0,9.868102,0.53125,0.01665034331381321,0.0015031566144898534
YDR180W,YOR244W,1,9.806588,0.5454545617103577,0.017629774287343025,0.0015031566144898534
