Gene A,Gene B,Label,Score,Precision,Recall,False Positive Rate
YLR313C,YLR312C-B,1,72.71623,1.0,0.0009980039903894067,0.0
YMR116C,YDL223C,0,30.28838,0.5,0.0009980039903894067,0.00010002000635722652
YKL184W,YBR072W,0,28.58873,0.3333333432674408,0.0009980039903894067,0.00020004001271445304
YER175C,YJR123W,0,28.337662,0.25,0.0009980039903894067,0.0003000600263476372
YBR169C,YPR043W,0,28.04588,0.20000000298023224,0.0009980039903894067,0.0004000800254289061
YHL021C,YKL172W,0,27.871292,0.1666666716337204,0.0009980039903894067,0.000500100024510175
YLR362W,YLR083C,1,27.424856,0.2857142984867096,0.0019960079807788134,0.000500100024510175
YGL096W,YLR325C,0,27.305502,0.25,0.0019960079807788134,0.0006001200526952744
YMR105C,YLR017W,0,26.074581,0.2222222238779068,0.0019960079807788134,0.0007001400226727128
YIL133C,YDR059C,0,25.198185,0.20000000298023224,0.0019960079807788134,0.0008001600508578122
YDR043C,YLR083C,1,25.06781,0.27272728085517883,0.002994012087583542,0.0008001600508578122
YDR043C,YDL083C,0,24.01053,0.25,0.002994012087583542,0.0009001800208352506
YDR280W,YML128C,0,23.947643,0.23076923191547394,0.002994012087583542,0.00100020004902035
YHR193C,YHR096C,0,23.622772,0.2142857164144516,0.002994012087583542,0.0011002200189977884
YHR104W,YOR004W,0,23.522974,0.20000000298023224,0.002994012087583542,0.0012002401053905487
YEL060C,YPL086C,0,23.520956,0.1875,0.002994012087583542,0.0013002600753679872
YBR066C,YLR083C,1,23.179811,0.23529411852359772,0.003992015961557627,0.0013002600753679872
YFR031C-A,YGR138C,0,22.895573,0.2222222238779068,0.003992015961557627,0.0014002800453454256
YBR031W,YPL223C,0,22.41222,0.21052631735801697,0.003992015961557627,0.001500300015322864
YKR049C,YBR031W,0,22.234238,0.20000000298023224,0.003992015961557627,0.0016003201017156243
YEL060C,YMR229C,0,21.83373,0.190476194024086,0.003992015961557627,0.0017003400716930628
YER020W,YLR083C,1,21.800446,0.22727273404598236,0.004990019835531712,0.0017003400716930628
YLR185W,YIL107C,0,21.746529,0.21739129722118378,0.004990019835531712,0.0018003600416705012
YOR173W,YNL016W,0,21.400238,0.2083333283662796,0.004990019835531712,0.0019003801280632615
YIL011W,YHR096C,0,21.203548,0.20000000298023224,0.004990019835531712,0.0020004000980407
YDR043C,YOR315W,1,21.073452,0.23076923191547394,0.005988024175167084,0.0020004000980407
YLR449W,YCL038C,0,20.747864,0.2222222238779068,0.005988024175167084,0.0021004201844334602
YJL089W,YKL006W,0,20.718346,0.2142857164144516,0.005988024175167084,0.002200440037995577
YGR155W,YOR032C,0,20.492722,0.2068965584039688,0.005988024175167084,0.002300460124388337
YBR072W,YBL079W,0,20.384502,0.20000000298023224,0.005988024175167084,0.0024004802107810974
YLR258W,YDR234W,0,20.33371,0.19354838132858276,0.005988024175167084,0.002500500064343214
YDR500C,YLL019C,0,20.316788,0.1875,0.005988024175167084,0.0026005201507359743
YOR359W,YEL011W,0,20.181318,0.1818181872367859,0.005988024175167084,0.002700540004298091
YER150W,YHR047C,0,20.04029,0.1764705926179886,0.005988024175167084,0.002800560090690851
YPR033C,YLR251W,0,19.928902,0.17142857611179352,0.005988024175167084,0.0029005801770836115
YOR310C,YJL099W,0,19.870758,0.1666666716337204,0.005988024175167084,0.003000600030645728
YGL245W,YPR151C,0,19.815393,0.1621621549129486,0.005988024175167084,0.0031006201170384884
YBR093C,YGL156W,0,19.721655,0.15789473056793213,0.005988024175167084,0.0032006402034312487
YCR021C,YNL300W,0,19.693798,0.1538461595773697,0.005988024175167084,0.0033006600569933653
YJL094C,YOR234C,0,19.532417,0.15000000596046448,0.005988024175167084,0.0034006801433861256
YAL028W,YOL041C,0,19.411394,0.1463414579629898,0.005988024175167084,0.003500700229778886
YML024W,YHL027W,0,19.380135,0.1428571492433548,0.005988024175167084,0.0036007200833410025
YKL026C,YOR204W,0,19.290836,0.13953489065170288,0.005988024175167084,0.0037007401697337627
YER177W,YLR083C,1,19.01599,0.15909090638160706,0.006986028049141169,0.0037007401697337627
YJL200C,YPL230W,0,18.9864,0.15555556118488312,0.006986028049141169,0.003800760256126523
YLR128W,YJR123W,0,18.905552,0.15217390656471252,0.006986028049141169,0.0039007801096886396
YOR310C,YLR034C,0,18.88784,0.1489361673593521,0.006986028049141169,0.0040008001960814
YLR189C,YER074W,0,18.775532,0.1458333283662796,0.006986028049141169,0.0041008200496435165
YPR151C,YLR044C,0,18.721601,0.1428571492433548,0.006986028049141169,0.0042008403688669205
YML056C,YCL038C,0,18.719172,0.14000000059604645,0.006986028049141169,0.004300860222429037
YJR047C,YGL184C,0,18.674292,0.13725490868091583,0.006986028049141169,0.004400880075991154
YKR079C,YOR227W,0,18.483582,0.13461539149284363,0.006986028049141169,0.004500900395214558
YOR227W,YGL030W,0,18.44825,0.1320754736661911,0.006986028049141169,0.004600920248776674
YKL182W,YML128C,0,18.322796,0.12962962687015533,0.006986028049141169,0.004700940102338791
YDR432W,YBR066C,1,18.165916,0.145454540848732,0.007984031923115253,0.004700940102338791
YHR139C,YLR355C,0,17.937191,0.1428571492433548,0.007984031923115253,0.004800960421562195
YPR143W,YDR204W,0,17.916264,0.14035087823867798,0.007984031923115253,0.0049009802751243114
YDL070W,YMR230W,0,17.891296,0.13793103396892548,0.007984031923115253,0.005001000128686428
YJR147W,YDR043C,1,17.807442,0.1525423675775528,0.008982036262750626,0.005001000128686428
