Gene A,Gene B,Label,Score,Precision,Recall,False Positive Rate
YNL329C,YDR329C,1,2.5250592,1.0,0.0021505376789718866,0.0
YNL214W,YMR026C,1,1.4043856,1.0,0.004301075357943773,0.0
YLR324W,YDR142C,1,1.3015988,1.0,0.006451612804085016,0.0
YLR191W,YMR026C,1,1.269139,1.0,0.008602150715887547,0.0
YNL329C,YOL044W,1,1.2043836,1.0,0.01075268816202879,0.0
YMR026C,YDR329C,1,1.082567,1.0,0.012903225608170033,0.0
YGL153W,YMR026C,1,0.9764342,1.0,0.015053763054311275,0.0
YNL214W,YDR329C,1,0.92354625,1.0,0.017204301431775093,0.0
YGL153W,YNL214W,1,0.9154939,1.0,0.019354838877916336,0.0
YLR191W,YNL214W,1,0.62980956,1.0,0.02150537632405758,0.0
YLR191W,YDR142C,1,0.5859346,1.0,0.023655913770198822,0.0
YOR084W,YDR329C,1,0.43806887,1.0,0.025806451216340065,0.0
YHR150W,YDR329C,1,0.39284205,1.0,0.027956988662481308,0.0
YDR244W,YMR163C,1,0.3643965,1.0,0.03010752610862255,0.0
YLR324W,YDL065C,1,0.3327492,1.0,0.032258063554763794,0.0
YGR133W,YMR026C,1,0.33227676,1.0,0.034408602863550186,0.0
YMR026C,YMR163C,1,0.2635147,1.0,0.03655913844704628,0.0
YLR191W,YAL055W,1,0.23141283,1.0,0.03870967775583267,0.0
YLR191W,YLR324W,1,0.17129177,1.0,0.040860213339328766,0.0
YLR191W,YDR329C,1,0.15141696,1.0,0.04301075264811516,0.0
YLR191W,YOR363C,1,0.13747561,1.0,0.04516129195690155,0.0
YNL329C,YGL153W,1,0.091275245,1.0,0.047311827540397644,0.0
YLR191W,YDL065C,1,0.050317585,1.0,0.049462366849184036,0.0
YJL210W,YAL051W,1,0.035895497,1.0,0.05161290243268013,0.0
YGR133W,YOR363C,1,0.03555298,1.0,0.05376344174146652,0.0
YLR191W,YGR077C,1,-0.101958334,1.0,0.055913977324962616,0.0
YLR191W,YOL044W,1,-0.106155604,1.0,0.05806451663374901,0.0
