Batch,Training Loss,Validation Loss
0,73.59520196914673,73.60764741897583
100,40.54816022515297,34.87124502658844
200,26.374056786298752,29.211096465587616
300,24.709064215421677,36.13273233175278
400,23.03465236723423,34.648813009262085
500,22.45680345594883,35.43763190507889
600,21.460788622498512,37.26296126842499
700,21.351804196834564,36.46177679300308
800,20.75751031935215,37.804244458675385
900,20.539168186485767,36.195600628852844
1000,20.82723642885685,42.059175968170166
1100,20.048944607377052,40.340591073036194
1200,20.388511538505554,35.34929692745209
1300,19.715326756238937,37.0913952589035
1400,19.561182714998722,42.15703636407852
1500,19.50461621582508,41.578985154628754
1600,19.32217602431774,39.89873468875885
1700,19.5051726475358,39.51054662466049
1800,19.037087485194206,40.527866184711456
1900,19.205311946570873,39.27666783332825
2000,18.989516481757164,41.70965641736984
2100,18.81843015551567,41.51398181915283
2200,18.873587802052498,45.010657012462616
2300,18.577141173183918,38.59153509140015
2400,18.936303414404392,40.18621385097504
2500,18.81666960567236,40.119720101356506
2600,18.608035787940025,43.31560343503952
2700,17.66977785527706,42.64355778694153
2800,17.912125125527382,46.966572999954224
2900,18.566274859011173,43.992389142513275
3000,18.26938507705927,41.09081953763962
3100,18.222844809293747,46.90790921449661
3200,17.953548192977905,45.241875648498535
3300,18.151700042188168,49.440554678440094
3400,17.854741767048836,46.23153328895569
