Gene A,Gene B,Label,Score,Precision,Recall,False Positive Rate
YDL004W,YOL130W,1,4.324517,1.0,0.0010000000474974513,0.0
YOL130W,YDR377W,1,3.6733985,1.0,0.0020000000949949026,0.0
YPL271W,YML081C-A,1,3.380373,1.0,0.003000000026077032,0.0
YDR322C-A,YDR377W,1,3.263216,1.0,0.004000000189989805,0.0
YOL130W,YBR039W,1,2.8909814,1.0,0.004999999888241291,0.0
YLR295C,YHR175W,1,2.7215538,1.0,0.006000000052154064,0.0
YML081C-A,YDR377W,1,2.488779,1.0,0.007000000216066837,0.0
YOL130W,YKL016C,1,2.4503314,1.0,0.00800000037997961,0.0
YPR020W,YML081C-A,1,2.3817348,1.0,0.008999999612569809,0.0
YEL017C-A,YPL092W,1,2.2151818,1.0,0.009999999776482582,0.0
YDL004W,YML081C-A,1,2.148622,1.0,0.010999999940395355,0.0
YDR322C-A,YKL016C,1,2.1026027,1.0,0.012000000104308128,0.0
YDL004W,YOR316C,1,2.085763,1.0,0.013000000268220901,0.0
YDR322C-A,YPL078C,1,2.0841708,1.0,0.014000000432133675,0.0
YDR322C-A,YPL271W,1,2.0594301,1.0,0.014999999664723873,0.0
YGL255W,YBR039W,1,2.0514567,1.0,0.01600000075995922,0.0
YML081C-A,YLR295C,1,1.8892317,1.0,0.017000000923871994,0.0
YDR322C-A,YJR077C,1,1.7818611,1.0,0.017999999225139618,0.0
YPR020W,YOR316C,1,1.6862941,1.0,0.01899999938905239,0.0
YPR138C,YHR175W,1,1.6495976,1.0,0.019999999552965164,0.0
YHR018C,YDR447C,0,1.5557935,0.9523809552192688,0.019999999552965164,9.999999747378752e-05
YPR020W,YJL094C,1,1.5439272,0.9545454382896423,0.020999999716877937,9.999999747378752e-05
YDL075W,YHR037W,0,1.5409002,0.9130434989929199,0.020999999716877937,0.00019999999494757503
YDR322C-A,YBR039W,1,1.5063243,0.9166666865348816,0.02199999988079071,0.00019999999494757503
YGR244C,YGR132C,0,1.4858634,0.8799999952316284,0.02199999988079071,0.0003000000142492354
YKL016C,YJR077C,1,1.4695318,0.8846153616905212,0.023000000044703484,0.0003000000142492354
YNL142W,YOR316C,1,1.4694808,0.8888888955116272,0.024000000208616257,0.0003000000142492354
YDR059C,YGL030W,0,1.4438109,0.8571428656578064,0.024000000208616257,0.00039999998989515007
YEL017C-A,YNR002C,1,1.4144617,0.8620689511299133,0.02500000037252903,0.00039999998989515007
YDR298C,YGL255W,1,1.3998214,0.8666666746139526,0.026000000536441803,0.00039999998989515007
YDR270W,YMR319C,1,1.343091,0.8709677457809448,0.027000000700354576,0.00039999998989515007
YML081C-A,YJR121W,1,1.3247223,0.875,0.02800000086426735,0.00039999998989515007
