Gene A,Gene B,Label,Score,Precision,Recall,False Positive Rate
YHR143W-A,YOR295W,1,0.13568306,1.0,0.005847953259944916,0.0
YJL148W,YOR295W,1,-0.15970314,1.0,0.011695906519889832,0.0
YJR063W,YOR295W,1,-0.20696092,1.0,0.017543859779834747,0.0
YNL248C,YOR295W,1,-0.2560743,1.0,0.023391813039779663,0.0
YJL148W,YBL014C,1,-0.5847666,1.0,0.02923976629972458,0.0
YPR010C,YOR295W,1,-0.621223,1.0,0.035087719559669495,0.0
YNL113W,YHR143W-A,1,-0.9035386,1.0,0.04093567281961441,0.0
YHR143W-A,YPR187W,1,-0.96538746,1.0,0.046783626079559326,0.0
YMR270C,YPR187W,1,-1.291102,1.0,0.05263157933950424,0.0
YOR340C,YOR295W,1,-1.3450893,1.0,0.05847953259944916,0.0
YML043C,YOR295W,1,-1.3673455,1.0,0.06432748585939407,0.0
YJR063W,YML121W,1,-1.433591,1.0,0.07017543911933899,0.0
YML043C,YPR187W,1,-1.4347929,1.0,0.0760233923792839,0.0
YMR270C,YPR010C,1,-1.5500559,1.0,0.08187134563922882,0.0
YNL113W,YMR270C,1,-1.5682427,1.0,0.08771929889917374,0.0
YMR270C,YML043C,1,-1.5939943,1.0,0.09356725215911865,0.0
YJR063W,YMR270C,1,-1.6026267,1.0,0.09941520541906357,0.0
YMR270C,YHR143W-A,1,-1.6062182,1.0,0.10526315867900848,0.0
YBR154C,YOR295W,1,-1.6337351,1.0,0.1111111119389534,0.0
YML121W,YJL148W,1,-1.6425542,1.0,0.11695906519889832,0.0
YJR063W,YHR143W-A,1,-1.6441795,1.0,0.12280701845884323,0.0
YOR001W,YJL011C,0,-1.6635779,0.9545454382896423,0.12280701845884323,0.0005847953143529594
YHR143W-A,YOR340C,1,-1.6655751,0.95652174949646,0.12865497171878815,0.0005847953143529594
YBR154C,YML043C,1,-1.680606,0.9583333134651184,0.13450291752815247,0.0005847953143529594
YNL248C,YHR143W-A,1,-1.6946477,0.9599999785423279,0.14035087823867798,0.0005847953143529594
YPR187W,YOR295W,1,-1.7597226,0.9615384340286255,0.1461988240480423,0.0005847953143529594
YMR270C,YOR340C,1,-1.7917776,0.9629629850387573,0.1520467847585678,0.0005847953143529594
YNL113W,YOR295W,1,-1.8287843,0.9642857313156128,0.15789473056793213,0.0005847953143529594
YNL248C,YMR270C,1,-1.83022,0.9655172228813171,0.16374269127845764,0.0005847953143529594
YBR154C,YMR270C,1,-1.9124813,0.9666666388511658,0.16959063708782196,0.0005847953143529594
YLR141W,YNL248C,1,-1.9742259,0.9677419066429138,0.17543859779834747,0.0005847953143529594
YJR063W,YGL019W,1,-1.9989771,0.96875,0.1812865436077118,0.0005847953143529594
YJR063W,YBL014C,1,-2.0427113,0.9696969985961914,0.1871345043182373,0.0005847953143529594
YNL248C,YGL019W,1,-2.0486717,0.970588207244873,0.19298245012760162,0.0005847953143529594
YMR270C,YJL148W,1,-2.0736656,0.9714285731315613,0.19883041083812714,0.0005847953143529594
YJL148W,YBL025W,1,-2.095982,0.9722222089767456,0.20467835664749146,0.0005847953143529594
YMR270C,YGL019W,1,-2.1190062,0.9729729890823364,0.21052631735801697,0.0005847953143529594
YJR063W,YPR187W,1,-2.1405373,0.9736841917037964,0.2163742631673813,0.0005847953143529594
YJR063W,YPL082C,1,-2.1406388,0.9743589758872986,0.2222222238779068,0.0005847953143529594
YNL248C,YJR063W,1,-2.166829,0.9750000238418579,0.22807016968727112,0.0005847953143529594
YMR270C,YML121W,1,-2.1863236,0.9756097793579102,0.23391813039779663,0.0005847953143529594
YHR143W-A,YML043C,1,-2.1868644,0.976190447807312,0.23976607620716095,0.0005847953143529594
YNL113W,YML121W,1,-2.1872663,0.9767441749572754,0.24561403691768646,0.0005847953143529594
YHR143W-A,YPR010C,1,-2.1885843,0.9772727489471436,0.2514619827270508,0.0005847953143529594
YML043C,YBL014C,1,-2.2093105,0.9777777791023254,0.2573099434375763,0.0005847953143529594
YLR141W,YJL148W,1,-2.2540517,0.97826087474823,0.2631579041481018,0.0005847953143529594
YJR063W,YBL025W,1,-2.2652392,0.978723406791687,0.26900583505630493,0.0005847953143529594
YNL248C,YBL014C,1,-2.2729912,0.9791666865348816,0.27485379576683044,0.0005847953143529594
YJL148W,YGL019W,1,-2.3168335,0.9795918464660645,0.28070175647735596,0.0005847953143529594
YNL248C,YPR187W,1,-2.3231077,0.9800000190734863,0.28654971718788147,0.0005847953143529594
YNL113W,YBL025W,1,-2.3647408,0.9803921580314636,0.2923976480960846,0.0005847953143529594
YHR143W-A,YGL019W,1,-2.3726091,0.9807692170143127,0.2982456088066101,0.0005847953143529594
YOR224C,YBR154C,1,-2.3917303,0.9811320900917053,0.3040935695171356,0.0005847953143529594
YNL248C,YML043C,1,-2.3942494,0.9814814925193787,0.30994153022766113,0.0005847953143529594
YJL148W,YML043C,1,-2.4438138,0.9818181991577148,0.31578946113586426,0.0005847953143529594
YBL025W,YOR340C,1,-2.4590387,0.9821428656578064,0.32163742184638977,0.0005847953143529594
YNL113W,YPR187W,1,-2.4802523,0.9824561476707458,0.3274853825569153,0.0005847953143529594
YJR063W,YML043C,1,-2.5137053,0.982758641242981,0.3333333432674408,0.0005847953143529594
YNL248C,YML121W,1,-2.5327086,0.9830508232116699,0.3391812741756439,0.0005847953143529594
YNL248C,YBR154C,1,-2.5832038,0.9833333492279053,0.34502923488616943,0.0005847953143529594
YBR154C,YJR063W,1,-2.6077485,0.9836065769195557,0.35087719559669495,0.0005847953143529594
YJL148W,YHR143W-A,1,-2.6118302,0.9838709831237793,0.35672515630722046,0.0005847953143529594
YMR270C,YOR295W,1,-2.6136422,0.9841269850730896,0.3625730872154236,0.0005847953143529594
YJR063W,YJL148W,1,-2.6223154,0.984375,0.3684210479259491,0.0005847953143529594
YOR224C,YHR143W-A,1,-2.63757,0.9846153855323792,0.3742690086364746,0.0005847953143529594
YNL113W,YBR154C,1,-2.6963472,0.9848484992980957,0.3801169693470001,0.0005847953143529594
YHR143W-A,YBL014C,1,-2.699675,0.9850746393203735,0.38596490025520325,0.0005847953143529594
YMR270C,YBL014C,1,-2.7143297,0.9852941036224365,0.39181286096572876,0.0005847953143529594
YJR063W,YOR340C,1,-2.7184873,0.9855072498321533,0.3976608216762543,0.0005847953143529594
YOR224C,YBL014C,1,-2.7760358,0.9857142567634583,0.4035087823867798,0.0005847953143529594
YNL113W,YJR063W,1,-2.7930646,0.98591548204422,0.4093567132949829,0.0005847953143529594
YBL014C,YOR295W,1,-2.7989535,0.9861111044883728,0.4152046740055084,0.0005847953143529594
YNL113W,YGL019W,1,-2.84208,0.9863013625144958,0.42105263471603394,0.0005847953143529594
YJR063W,YPR010C,1,-2.844047,0.9864864945411682,0.42690059542655945,0.0005847953143529594
YOR224C,YJR063W,1,-2.850916,0.9866666793823242,0.4327485263347626,0.0005847953143529594
YNL113W,YPL082C,1,-2.880302,0.9868420958518982,0.4385964870452881,0.0005847953143529594
YMR270C,YPL082C,1,-2.9107032,0.9870129823684692,0.4444444477558136,0.0005847953143529594
YBL025W,YPR010C,1,-2.931325,0.9871794581413269,0.4502924084663391,0.0005847953143529594
YPR010C,YBL014C,1,-2.9629612,0.9873417615890503,0.45614033937454224,0.0005847953143529594
YNL248C,YBL025W,1,-2.9679637,0.987500011920929,0.46198830008506775,0.0005847953143529594
YML043C,YPR010C,1,-2.9745898,0.9876543283462524,0.46783626079559326,0.0005847953143529594
YLR141W,YPR010C,1,-2.9774995,0.9878048896789551,0.4736842215061188,0.0005847953143529594
YBR154C,YOR340C,1,-2.9874473,0.9879518151283264,0.4795321524143219,0.0005847953143529594
YDL117W,YLR409C,0,-2.9886966,0.976190447807312,0.4795321524143219,0.0011695906287059188
YLR141W,YML043C,1,-2.993816,0.9764705896377563,0.4853801131248474,0.0011695906287059188
YLR141W,YML121W,1,-3.0063577,0.9767441749572754,0.4912280738353729,0.0011695906287059188
YML121W,YML043C,1,-3.0198345,0.977011501789093,0.49707603454589844,0.0011695906287059188
YLR141W,YBR154C,1,-3.029818,0.9772727489471436,0.5029239654541016,0.0011695906287059188
YLR141W,YOR340C,1,-3.049766,0.9775280952453613,0.5087719559669495,0.0011695906287059188
YBR154C,YPR187W,1,-3.0554743,0.9777777791023254,0.5146198868751526,0.0011695906287059188
YMR270C,YBL025W,1,-3.0643225,0.9780219793319702,0.5204678177833557,0.0011695906287059188
YBL025W,YGL019W,1,-3.0828571,0.97826087474823,0.5263158082962036,0.0011695906287059188
YGR271C-A,YAL003W,0,-3.1068816,0.9677419066429138,0.5263158082962036,0.001754386001266539
YNL308C,YOR207C,0,-3.1138563,0.957446813583374,0.5263158082962036,0.0023391812574118376
YNL113W,YOR224C,1,-3.1148887,0.9578947424888611,0.5321637392044067,0.0023391812574118376
YOR224C,YOR295W,1,-3.145371,0.9583333134651184,0.5380116701126099,0.0023391812574118376
YGL019W,YOR295W,1,-3.1923819,0.9587628841400146,0.5438596606254578,0.0023391812574118376
YOR224C,YMR270C,1,-3.1960225,0.9591836929321289,0.5497075915336609,0.0023391812574118376
YLR141W,YJR063W,1,-3.1967344,0.9595959782600403,0.5555555820465088,0.0023391812574118376
YPR187W,YOR340C,1,-3.2012348,0.9599999785423279,0.5614035129547119,0.0023391812574118376
YBL025W,YML043C,1,-3.3015208,0.9603960514068604,0.567251443862915,0.0023391812574118376
YJL148W,YPR187W,1,-3.3504372,0.9607843160629272,0.5730994343757629,0.0023391812574118376
YHR163W,YOR335C,0,-3.431139,0.9514563083648682,0.5730994343757629,0.002923976629972458
YBL025W,YHR143W-A,1,-3.4446058,0.9519230723381042,0.5789473652839661,0.002923976629972458
YNL096C,YMR235C,0,-3.476152,0.9428571462631226,0.5789473652839661,0.003508772002533078
YNL248C,YPL082C,1,-3.4788957,0.9433962106704712,0.5847952961921692,0.003508772002533078
YML121W,YPR187W,1,-3.5462437,0.9439252614974976,0.5906432867050171,0.003508772002533078
YOL080C,YLR242C,0,-3.5744267,0.9351851940155029,0.5906432867050171,0.0040935673750936985
YGL019W,YPR010C,1,-3.5760708,0.9357798099517822,0.5964912176132202,0.0040935673750936985
