Gene A,Gene B,Label,Score,Precision,Recall,False Positive Rate
YNL242W,YGL153W,1,-4.7656355,1.0,0.0026455025654286146,0.0
YDR244W,YGR077C,1,-4.9967546,1.0,0.005291005130857229,0.0
YMR163C,YGL153W,1,-5.024705,1.0,0.007936508394777775,0.0
YDR323C,YOR353C,0,-5.0680785,0.75,0.007936508394777775,0.00026455026818439364
YLR324W,YOR363C,1,-5.1115193,0.800000011920929,0.010582010261714458,0.00026455026818439364
YMR163C,YDR244W,1,-5.11927,0.8333333134651184,0.013227513059973717,0.00026455026818439364
YDL065C,YAL055W,1,-5.124758,0.8571428656578064,0.01587301678955555,0.00026455026818439364
YAL055W,YDR244W,1,-5.1298623,0.875,0.018518518656492233,0.00026455026818439364
YPR002W,YDL188C,0,-5.1334662,0.7777777910232544,0.018518518656492233,0.0005291005363687873
YGL153W,YAL055W,1,-5.214824,0.800000011920929,0.021164020523428917,0.0005291005363687873
YFR047C,YOR178C,0,-5.2458987,0.7272727489471436,0.021164020523428917,0.0007936508045531809
YNL242W,YDR329C,1,-5.2533107,0.75,0.02380952425301075,0.0007936508045531809
YHR150W,YLR324W,1,-5.2814326,0.7692307829856873,0.026455026119947433,0.0007936508045531809
YGL075C,YOL129W,0,-5.3006625,0.7142857313156128,0.026455026119947433,0.0010582010727375746
YDR424C,YPL156C,0,-5.313048,0.6666666865348816,0.026455026119947433,0.0013227512827143073
YIR028W,YEL041W,0,-5.3380914,0.625,0.026455026119947433,0.0015873016091063619
YML057W,YPL125W,0,-5.3669534,0.5882353186607361,0.026455026119947433,0.0018518518190830946
YDR265W,YHR150W,1,-5.3847055,0.6111111044883728,0.029100529849529266,0.0018518518190830946
YDR202C,YMR302C,0,-5.384832,0.5789473652839661,0.029100529849529266,0.002116402145475149
YNL242W,YGR077C,1,-5.4076366,0.6000000238418579,0.0317460335791111,0.002116402145475149
YDR265W,YDR244W,1,-5.413528,0.6190476417541504,0.034391533583402634,0.002116402145475149
YDR265W,YAL055W,1,-5.4179454,0.6363636255264282,0.03703703731298447,0.002116402145475149
YDL065C,YHR150W,1,-5.4272885,0.6521739363670349,0.0396825410425663,0.002116402145475149
YIL160C,YJR044C,0,-5.434201,0.625,0.0396825410425663,0.0023809524718672037
YHR160C,YDR329C,1,-5.4439874,0.6399999856948853,0.042328041046857834,0.0023809524718672037
YBR038W,YIL049W,0,-5.4442897,0.6153846383094788,0.042328041046857834,0.0026455025654286146
YGL047W,YMR140W,0,-5.4543138,0.5925925970077515,0.042328041046857834,0.002910052891820669
YPR122W,YDR425W,0,-5.4545064,0.5714285969734192,0.042328041046857834,0.0031746032182127237
