Gene A,Gene B,Label,Score,Precision,Recall,False Positive Rate
YLR312W-A,YHR147C,1,13.53142,1.0,0.0009980039903894067,0.0
YDR337W,YGR084C,1,12.478914,1.0,0.0019960079807788134,0.0
YNL185C,YOR158W,1,12.119319,1.0,0.002994012087583542,0.0
YBR282W,YHL004W,1,11.579519,1.0,0.003992015961557627,0.0
YCR003W,YLR312W-A,1,11.396223,1.0,0.004990019835531712,0.0
YPR047W,YCR046C,1,11.089403,1.0,0.005988024175167084,0.0
YLR312W-A,YOL023W,1,11.062041,1.0,0.006986028049141169,0.0
YJR101W,YOR158W,1,11.039503,1.0,0.007984031923115253,0.0
YNL185C,YOL023W,1,11.032671,1.0,0.008982036262750626,0.0
YNL284C,YMR024W,1,10.945435,1.0,0.009980039671063423,0.0
YDR337W,YHL004W,1,10.843637,1.0,0.010978044010698795,0.0
YNR037C,YOL023W,1,10.737335,1.0,0.011976048350334167,0.0
YDR237W,YHL004W,1,10.709062,1.0,0.012974051758646965,0.0
YHR147C,YBR251W,1,10.537205,1.0,0.013972056098282337,0.0
YGR084C,YCR046C,1,10.467317,1.0,0.014970059506595135,0.0
YBR146W,YHR091C,1,10.423971,1.0,0.015968063846230507,0.0
YDR237W,YJR113C,1,10.230254,1.0,0.016966067254543304,0.0
YNR037C,YBR251W,1,10.212533,1.0,0.01796407252550125,0.0
YLR139C,YLR312W-A,1,10.173184,1.0,0.01896207593381405,0.0
YLR312W-A,YDR116C,1,10.144886,1.0,0.019960079342126846,0.0
YDR337W,YJR101W,1,10.13711,1.0,0.020958084613084793,0.0
YBL090W,YLR139C,1,10.123774,1.0,0.02195608802139759,0.0
YDR337W,YOL023W,1,10.119421,1.0,0.022954091429710388,0.0
YDR322W,YOR158W,1,10.060162,1.0,0.023952096700668335,0.0
YBR146W,YHL004W,1,10.05468,1.0,0.024950100108981133,0.0
YBR282W,YNL073W,1,10.02827,1.0,0.02594810351729393,0.0
YMR158W,YJR113C,1,10.026842,1.0,0.026946106925606728,0.0
YKR085C,YNL005C,1,9.991938,1.0,0.027944112196564674,0.0
YHR011W,YNL005C,1,9.972151,1.0,0.028942115604877472,0.0
