Gene A,Gene B,Label,Score,Precision,Recall,False Positive Rate
YNL233W,YPR055W,1,-3.8066757,1.0,0.0010000000474974513,0.0
YGL168W,YDR280W,0,-3.9306555,0.5,0.0010000000474974513,9.999999747378752e-05
YLR314C,YNL267W,1,-3.933197,0.6666666865348816,0.0020000000949949026,9.999999747378752e-05
YGL094C,YLR383W,0,-3.9463062,0.5,0.0020000000949949026,0.00019999999494757503
YIL140W,YDR507C,1,-3.9656503,0.6000000238418579,0.003000000026077032,0.00019999999494757503
YNL233W,YOR301W,1,-4.022498,0.6666666865348816,0.004000000189989805,0.00019999999494757503
YLR274W,YFR002W,0,-4.0250835,0.5714285969734192,0.004000000189989805,0.0003000000142492354
YGR195W,YBL034C,0,-4.0373178,0.5,0.004000000189989805,0.00039999998989515007
YOL076W,YKL089W,0,-4.045473,0.4444444477558136,0.004000000189989805,0.0005000000237487257
YOR299W,YIR006C,1,-4.0709558,0.5,0.004999999888241291,0.0005000000237487257
YOR191W,YDL077C,0,-4.098247,0.4545454680919647,0.004999999888241291,0.0006000000284984708
YNL297C,YDL190C,0,-4.105952,0.4166666567325592,0.004999999888241291,0.000699999975040555
YFL039C,YFL005W,1,-4.132512,0.4615384638309479,0.006000000052154064,0.000699999975040555
YNL267W,YHL007C,1,-4.1465898,0.5,0.007000000216066837,0.000699999975040555
YNR013C,YGR020C,0,-4.1648626,0.46666666865348816,0.007000000216066837,0.0007999999797903001
YCR094W,YDL185W,0,-4.169117,0.4375,0.007000000216066837,0.0008999999845400453
YOR326W,YNL267W,1,-4.181736,0.47058823704719543,0.00800000037997961,0.0008999999845400453
YHR107C,YIL095W,1,-4.183946,0.5,0.008999999612569809,0.0008999999845400453
YOR026W,YGR116W,0,-4.19777,0.4736842215061188,0.008999999612569809,0.0010000000474974513
YLR429W,YDR487C,0,-4.2110662,0.44999998807907104,0.008999999612569809,0.0010999999940395355
YLR190W,YPR137W,0,-4.212935,0.4285714328289032,0.008999999612569809,0.0012000000569969416
YNL267W,YBL007C,1,-4.2189093,0.4545454680919647,0.009999999776482582,0.0012000000569969416
YLR131C,YGR109C,0,-4.2195168,0.43478259444236755,0.009999999776482582,0.0013000000035390258
YDR258C,YGL205W,0,-4.220923,0.4166666567325592,0.009999999776482582,0.00139999995008111
YBR207W,YDR004W,0,-4.2209926,0.4000000059604645,0.009999999776482582,0.001500000013038516
YIL007C,YPL065W,0,-4.221906,0.38461539149284363,0.009999999776482582,0.0015999999595806003
YKL048C,YGL028C,1,-4.224843,0.40740740299224854,0.010999999940395355,0.0015999999595806003
YGR179C,YGR116W,0,-4.2281446,0.3928571343421936,0.010999999940395355,0.0017000000225380063
YFL033C,YDR477W,0,-4.229327,0.37931033968925476,0.010999999940395355,0.0017999999690800905
YMR129W,YLR430W,0,-4.247228,0.36666667461395264,0.010999999940395355,0.0019000000320374966
YCL024W,YPR055W,1,-4.2488165,0.3870967626571655,0.012000000104308128,0.0019000000320374966
YNL233W,YDR507C,1,-4.25359,0.40625,0.013000000268220901,0.0019000000320374966
YIR006C,YIL095W,1,-4.2621517,0.42424243688583374,0.014000000432133675,0.0019000000320374966
YPL115C,YNL123W,0,-4.2641187,0.4117647111415863,0.014000000432133675,0.0020000000949949026
YHR143W,YMR032W,1,-4.268299,0.4285714328289032,0.014999999664723873,0.0020000000949949026
YNL059C,YLR103C,0,-4.2750793,0.4166666567325592,0.014999999664723873,0.002099999925121665
YGL090W,YJL087C,0,-4.276672,0.4054054021835327,0.014999999664723873,0.002199999988079071
YNL192W,YGL054C,1,-4.279932,0.42105263471603394,0.01600000075995922,0.002199999988079071
YLR347C,YNL257C,0,-4.2824616,0.41025641560554504,0.01600000075995922,0.002300000051036477
YKL089W,YDL153C,0,-4.2826853,0.4000000059604645,0.01600000075995922,0.002400000113993883
YBL011W,YDR077W,0,-4.286328,0.39024388790130615,0.01600000075995922,0.0024999999441206455
YIL018W,YLR378C,0,-4.2870893,0.380952388048172,0.01600000075995922,0.0026000000070780516
YFR051C,YGR118W,0,-4.2974076,0.3720930218696594,0.01600000075995922,0.0027000000700354576
YER172C,YMR313C,0,-4.3028765,0.3636363744735718,0.01600000075995922,0.00279999990016222
YLR314C,YMR032W,1,-4.3046737,0.3777777850627899,0.017000000923871994,0.00279999990016222
YNL233W,YLL021W,1,-4.314491,0.3913043439388275,0.017999999225139618,0.00279999990016222
YER026C,YKR085C,0,-4.317636,0.38297873735427856,0.017999999225139618,0.002899999963119626
YLR266C,YLR357W,0,-4.3248816,0.375,0.017999999225139618,0.003000000026077032
YGL137W,YGR074W,0,-4.3287745,0.36734694242477417,0.017999999225139618,0.003100000089034438
YDR138W,YMR164C,0,-4.3289165,0.36000001430511475,0.017999999225139618,0.0031999999191612005
YPL267W,YPL195W,0,-4.335741,0.3529411852359772,0.017999999225139618,0.0032999999821186066
YBL013W,YEL050C,0,-4.336747,0.3461538553237915,0.017999999225139618,0.0034000000450760126
YKL048C,YOR326W,1,-4.3409986,0.35849055647850037,0.01899999938905239,0.0034000000450760126
YGL028C,YLL021W,1,-4.350155,0.37037035822868347,0.019999999552965164,0.0034000000450760126
YIL140W,YPL050C,1,-4.3506994,0.38181817531585693,0.020999999716877937,0.0034000000450760126
YIL140W,YNL233W,1,-4.3521137,0.3928571343421936,0.02199999988079071,0.0034000000450760126
YNL267W,YIL095W,1,-4.353916,0.4035087823867798,0.023000000044703484,0.0034000000450760126
YLR353W,YNL267W,1,-4.353919,0.4137931168079376,0.024000000208616257,0.0034000000450760126
YLR226W,YMR177W,0,-4.3564625,0.4067796468734741,0.024000000208616257,0.0035000001080334187
YLR115W,YGR108W,0,-4.360738,0.4000000059604645,0.024000000208616257,0.003599999938160181
YOR233W,YGR274C,0,-4.3636107,0.39344263076782227,0.024000000208616257,0.003700000001117587
YLR226W,YGL135W,0,-4.3706837,0.3870967626571655,0.024000000208616257,0.003800000064074993
YPL254W,YDL185W,0,-4.372419,0.380952388048172,0.024000000208616257,0.0038999998942017555
YDL207W,YNL317W,0,-4.3730536,0.375,0.024000000208616257,0.004000000189989805
YGL021W,YPR168W,0,-4.37613,0.3692307770252228,0.024000000208616257,0.004100000020116568
YBR015C,YHR206W,0,-4.378749,0.3636363744735718,0.024000000208616257,0.00419999985024333
YBR023C,YHL007C,1,-4.3866463,0.3731343150138855,0.02500000037252903,0.00419999985024333
YMR231W,YMR308C,0,-4.389533,0.36764705181121826,0.02500000037252903,0.00430000014603138
YLR043C,YKL119C,0,-4.3904676,0.36231884360313416,0.02500000037252903,0.004399999976158142
YEL053C,YPR133W-A,0,-4.394633,0.3571428656578064,0.02500000037252903,0.0044999998062849045
YDL069C,YOL027C,0,-4.3947525,0.35211268067359924,0.02500000037252903,0.004600000102072954
YKL206C,YPR139C,0,-4.397909,0.3472222089767456,0.02500000037252903,0.004699999932199717
YCR063W,YNL267W,1,-4.400907,0.3561643958091736,0.026000000536441803,0.004699999932199717
YLR314C,YDR507C,1,-4.405085,0.36486485600471497,0.027000000700354576,0.004699999932199717
YMR044W,YOR056C,0,-4.4079943,0.36000001430511475,0.027000000700354576,0.004800000227987766
YNR044W,YPL016W,0,-4.410647,0.3552631437778473,0.027000000700354576,0.004900000058114529
YOR085W,YCR052W,0,-4.413201,0.350649356842041,0.027000000700354576,0.004999999888241291
YPL001W,YER012W,0,-4.4132442,0.3461538553237915,0.027000000700354576,0.005100000184029341
YBR215W,YDR138W,0,-4.4132986,0.3417721390724182,0.027000000700354576,0.005200000014156103
YDR517W,YGL253W,0,-4.4135256,0.3375000059604645,0.027000000700354576,0.0052999998442828655
YLR318W,YER145C,0,-4.4150186,0.3333333432674408,0.027000000700354576,0.005400000140070915
YDR464W,YOR129C,0,-4.417485,0.32926830649375916,0.027000000700354576,0.005499999970197678
YPR093C,YOL059W,0,-4.418247,0.3253012001514435,0.027000000700354576,0.00559999980032444
YNL233W,YLR314C,1,-4.4199924,0.3333333432674408,0.02800000086426735,0.00559999980032444
YGR238C,YDL056W,0,-4.4201236,0.3294117748737335,0.02800000086426735,0.00570000009611249
YDL160C,YNL290W,0,-4.4204254,0.3255814015865326,0.02800000086426735,0.005799999926239252
YOR191W,YER111C,0,-4.4204288,0.3218390941619873,0.02800000086426735,0.005900000222027302
YIL040W,YML078W,0,-4.420706,0.3181818127632141,0.02800000086426735,0.006000000052154064
YBR200W,YMR276W,0,-4.4211993,0.31460675597190857,0.02800000086426735,0.006099999882280827
YLR342W,YFR051C,0,-4.425205,0.31111112236976624,0.02800000086426735,0.006200000178068876
YGL119W,YMR238W,0,-4.426454,0.3076923191547394,0.02800000086426735,0.006300000008195639
YER107C,YML011C,0,-4.4271355,0.30434781312942505,0.02800000086426735,0.006399999838322401
YJR043C,YKL175W,0,-4.4272428,0.301075279712677,0.02800000086426735,0.006500000134110451
YNL166C,YPR055W,1,-4.428458,0.3085106313228607,0.028999999165534973,0.006500000134110451
YLR314C,YPR055W,1,-4.4293365,0.31578946113586426,0.029999999329447746,0.006500000134110451
YGL245W,YLR033W,0,-4.4388866,0.3125,0.029999999329447746,0.006599999964237213
YKL129C,YIR006C,1,-4.4389744,0.3195876181125641,0.03099999949336052,0.006599999964237213
YGL150C,YEL031W,0,-4.4408016,0.3163265287876129,0.03099999949336052,0.0066999997943639755
YAL040C,YGR241C,0,-4.4409204,0.31313130259513855,0.03099999949336052,0.006800000090152025
YPR029C,YOR094W,0,-4.4427204,0.3100000023841858,0.03099999949336052,0.006899999920278788
YNR027W,YHR107C,1,-4.4427633,0.31683167815208435,0.03200000151991844,0.006899999920278788
YLR275W,YKL075C,0,-4.44313,0.3137255012989044,0.03200000151991844,0.007000000216066837
YPR175W,YER120W,0,-4.4457483,0.3106796145439148,0.03200000151991844,0.0071000000461936
YPL217C,YDR167W,0,-4.445909,0.3076923191547394,0.03200000151991844,0.007199999876320362
YBL040C,YNL138W,0,-4.44643,0.3047619163990021,0.03200000151991844,0.007300000172108412
YKL114C,YDR183W,0,-4.4472313,0.30188679695129395,0.03200000151991844,0.007400000002235174
YDR311W,YLR386W,0,-4.4479465,0.29906541109085083,0.03200000151991844,0.007499999832361937
YJL204C,YGR195W,0,-4.4480743,0.29629629850387573,0.03200000151991844,0.007600000128149986
YGL223C,YCR020W-B,0,-4.4504614,0.29357796907424927,0.03200000151991844,0.007699999958276749
YDL198C,YNL106C,0,-4.4510894,0.290909081697464,0.03200000151991844,0.007799999788403511
YJL196C,YDR002W,0,-4.4530144,0.28828829526901245,0.03200000151991844,0.007899999618530273
YOL051W,YIL147C,0,-4.453333,0.2857142984867096,0.03200000151991844,0.00800000037997961
YML121W,YNL121C,0,-4.4553185,0.28318583965301514,0.03200000151991844,0.008100000210106373
YLR226W,YLR113W,0,-4.4554977,0.28070175647735596,0.03200000151991844,0.008200000040233135
YDR507C,YPR055W,1,-4.4555807,0.2869565188884735,0.032999999821186066,0.008200000040233135
YLR170C,YDR268W,0,-4.4570885,0.2844827473163605,0.032999999821186066,0.008299999870359898
YML046W,YJL074C,0,-4.4572086,0.28205129504203796,0.032999999821186066,0.00839999970048666
YPL155C,YMR243C,0,-4.459227,0.27966102957725525,0.032999999821186066,0.008500000461935997
YGL054C,YGR152C,1,-4.459604,0.2857142984867096,0.03400000184774399,0.008500000461935997
YHR107C,YGR152C,1,-4.4607453,0.2916666567325592,0.03500000014901161,0.008500000461935997
YFR002W,YGL135W,0,-4.4612026,0.28925618529319763,0.03500000014901161,0.00860000029206276
YDL084W,YPR133W-A,0,-4.461633,0.28688523173332214,0.03500000014901161,0.008700000122189522
YNL172W,YGL206C,0,-4.462266,0.28455284237861633,0.03500000014901161,0.008799999952316284
YGR193C,YKL119C,0,-4.4624395,0.2822580635547638,0.03500000014901161,0.008899999782443047
YJL093C,YDR457W,0,-4.465351,0.2800000011920929,0.03500000014901161,0.008999999612569809
YHR107C,YGL054C,1,-4.466242,0.2857142984867096,0.035999998450279236,0.008999999612569809
YLR450W,YER018C,0,-4.467277,0.28346458077430725,0.035999998450279236,0.009100000374019146
YNL250W,YLR321C,0,-4.4686365,0.28125,0.035999998450279236,0.009200000204145908
YNR027W,YCR047C,1,-4.4715195,0.2868216931819916,0.03700000047683716,0.009200000204145908
YMR128W,YML109W,0,-4.4716454,0.2846153974533081,0.03700000047683716,0.00930000003427267
YDR389W,YDR212W,0,-4.4725785,0.28244274854660034,0.03700000047683716,0.009399999864399433
YER155C,YLR383W,0,-4.4731197,0.280303031206131,0.03700000047683716,0.009499999694526196
YOR301W,YIL068C,1,-4.4740343,0.2857142984867096,0.03799999877810478,0.009499999694526196
YNL271C,YHL007C,1,-4.4744053,0.29104477167129517,0.039000000804662704,0.009499999694526196
YDR378C,YNL128W,0,-4.4778676,0.2888889014720917,0.039000000804662704,0.009600000455975533
YGL067W,YCL031C,0,-4.4786797,0.2867647111415863,0.039000000804662704,0.009700000286102295
YML057W,YML038C,0,-4.479078,0.2846715450286865,0.039000000804662704,0.009800000116229057
YLR314C,YIL068C,1,-4.4813643,0.28985506296157837,0.03999999910593033,0.009800000116229057
YNR030W,YOL094C,0,-4.4814844,0.28776979446411133,0.03999999910593033,0.00989999994635582
YPL262W,YML005W,0,-4.483244,0.2857142984867096,0.03999999910593033,0.009999999776482582
YJL035C,YBR118W,0,-4.4836326,0.283687949180603,0.03999999910593033,0.010099999606609344
YNL001W,YDR138W,0,-4.48425,0.28169015049934387,0.03999999910593033,0.010200000368058681
YDR052C,YOR073W,0,-4.484924,0.279720276594162,0.03999999910593033,0.010300000198185444
YML067C,YOR305W,0,-4.486311,0.2777777910232544,0.03999999910593033,0.010400000028312206
