Gene A,Gene B,Label,Score,Precision,Recall,False Positive Rate
YGR002C,YDR167W,1,-3.973223,1.0,0.0010000000474974513,0.0
YBL071W-A,YER169W,0,-4.0042768,0.5,0.0010000000474974513,9.999999747378752e-05
YLR195C,YOR064C,1,-4.025805,0.6666666865348816,0.0020000000949949026,9.999999747378752e-05
YDR145W,YOR064C,1,-4.0584836,0.75,0.003000000026077032,9.999999747378752e-05
YER030W,YDL005C,0,-4.098524,0.6000000238418579,0.003000000026077032,0.00019999999494757503
YIR011C,YGR241C,0,-4.105389,0.5,0.003000000026077032,0.0003000000142492354
YPR051W,YHR090C,1,-4.1162663,0.5714285969734192,0.004000000189989805,0.0003000000142492354
YHR079C,YML010W,0,-4.121107,0.5,0.004000000189989805,0.00039999998989515007
YPR031W,YDR145W,1,-4.141084,0.5555555820465088,0.004999999888241291,0.00039999998989515007
YMR059W,YGR005C,0,-4.1454377,0.5,0.004999999888241291,0.0005000000237487257
YHR118C,YDL006W,0,-4.155051,0.4545454680919647,0.004999999888241291,0.0006000000284984708
YOR330C,YFL017W-A,0,-4.1667395,0.4166666567325592,0.004999999888241291,0.000699999975040555
YPR200C,YGL153W,0,-4.2068596,0.38461539149284363,0.004999999888241291,0.0007999999797903001
YHR191C,YGL150C,0,-4.229773,0.3571428656578064,0.004999999888241291,0.0008999999845400453
YOR319W,YHR077C,0,-4.240883,0.3333333432674408,0.004999999888241291,0.0010000000474974513
YEL053C,YHR090C,1,-4.246924,0.375,0.006000000052154064,0.0010000000474974513
YDR039C,YNL167C,0,-4.2541046,0.3529411852359772,0.006000000052154064,0.0010999999940395355
YLR195C,YHR099W,1,-4.256226,0.3888888955116272,0.007000000216066837,0.0010999999940395355
YDR163W,YDR515W,0,-4.297689,0.3684210479259491,0.007000000216066837,0.0012000000569969416
YGL144C,YGR046W,0,-4.30232,0.3499999940395355,0.007000000216066837,0.0013000000035390258
YOR023C,YHR099W,1,-4.303968,0.380952388048172,0.00800000037997961,0.0013000000035390258
YDR167W,YDR145W,1,-4.311784,0.40909090638160706,0.008999999612569809,0.0013000000035390258
YFR004W,YKL095W,0,-4.3132086,0.3913043439388275,0.008999999612569809,0.00139999995008111
YBR233W-A,YNL129W,0,-4.3221354,0.375,0.008999999612569809,0.001500000013038516
YGR140W,YDR463W,0,-4.3295813,0.36000001430511475,0.008999999612569809,0.0015999999595806003
YBL085W,YOL125W,0,-4.3363786,0.3461538553237915,0.008999999612569809,0.0017000000225380063
YCR020C-A,YLR195C,1,-4.3443823,0.37037035822868347,0.009999999776482582,0.0017000000225380063
YJL019W,YMR005W,0,-4.3444734,0.3571428656578064,0.009999999776482582,0.0017999999690800905
YAL029C,YNL311C,0,-4.35116,0.3448275923728943,0.009999999776482582,0.0019000000320374966
YOR023C,YPR051W,1,-4.364884,0.36666667461395264,0.010999999940395355,0.0019000000320374966
YJL058C,YOR256C,0,-4.3736124,0.35483869910240173,0.010999999940395355,0.0020000000949949026
YKL170W,YGR013W,0,-4.374302,0.34375,0.010999999940395355,0.002099999925121665
YML081C-A,YHR181W,0,-4.378209,0.3333333432674408,0.010999999940395355,0.002199999988079071
YLR166C,YOR143C,0,-4.382662,0.3235294222831726,0.010999999940395355,0.002300000051036477
YGL090W,YIL115C,0,-4.3836575,0.3142857253551483,0.010999999940395355,0.002400000113993883
YDR379W,YNL294C,0,-4.4002066,0.3055555522441864,0.010999999940395355,0.0024999999441206455
YIL038C,YJL039C,0,-4.4068685,0.29729729890823364,0.010999999940395355,0.0026000000070780516
YJL165C,YNL014W,0,-4.4125504,0.28947368264198303,0.010999999940395355,0.0027000000700354576
YDL013W,YDR323C,0,-4.4176598,0.28205129504203796,0.010999999940395355,0.00279999990016222
YBR215W,YOR025W,0,-4.420455,0.2750000059604645,0.010999999940395355,0.002899999963119626
YBL052C,YMR236W,1,-4.4254827,0.2926829159259796,0.012000000104308128,0.002899999963119626
YER030W,YDR059C,0,-4.434229,0.2857142984867096,0.012000000104308128,0.003000000026077032
YOR284W,YJL140W,0,-4.440084,0.27906978130340576,0.012000000104308128,0.003100000089034438
YPR051W,YHR099W,1,-4.440311,0.2954545319080353,0.013000000268220901,0.003100000089034438
YOR034C,YLR195C,1,-4.4452467,0.31111112236976624,0.014000000432133675,0.003100000089034438
YEL053C,YHR099W,1,-4.445963,0.32608696818351746,0.014999999664723873,0.003100000089034438
YCR042C,YNL079C,0,-4.447857,0.3191489279270172,0.014999999664723873,0.0031999999191612005
YER114C,YDR082W,0,-4.4615393,0.3125,0.014999999664723873,0.0032999999821186066
YLR369W,YDL217C,0,-4.465678,0.30612245202064514,0.014999999664723873,0.0034000000450760126
