Gene A,Gene B,Label,Score,Precision,Recall,False Positive Rate
YOR216C,YNL236W,0,-3.3175488,0.0,0.0,9.999999747378752e-05
YOR181W,YOR326W,1,-3.410863,0.5,0.0010000000474974513,9.999999747378752e-05
YIR006C,YHL007C,1,-3.4407177,0.6666666865348816,0.0020000000949949026,9.999999747378752e-05
YKL068W,YNL236W,0,-3.4488697,0.5,0.0020000000949949026,0.00019999999494757503
YDR244W,YMR096W,0,-3.5079331,0.4000000059604645,0.0020000000949949026,0.0003000000142492354
YPR128C,YOR359W,0,-3.5134292,0.3333333432674408,0.0020000000949949026,0.00039999998989515007
YNR027W,YHR107C,1,-3.5562453,0.4285714328289032,0.003000000026077032,0.00039999998989515007
YEL029C,YNL192W,1,-3.5891962,0.5,0.004000000189989805,0.00039999998989515007
YOR326W,YIL068C,1,-3.637869,0.5555555820465088,0.004999999888241291,0.00039999998989515007
YIR010W,YGL241W,0,-3.667152,0.5,0.004999999888241291,0.0005000000237487257
YIR006C,YOR353C,1,-3.6706586,0.5454545617103577,0.006000000052154064,0.0005000000237487257
YNL166C,YDR507C,1,-3.6718893,0.5833333134651184,0.007000000216066837,0.0005000000237487257
YNL233W,YOR326W,1,-3.6876025,0.6153846383094788,0.00800000037997961,0.0005000000237487257
YCL024W,YHL007C,1,-3.6894836,0.6428571343421936,0.008999999612569809,0.0005000000237487257
YGR217W,YNL023C,0,-3.7328973,0.6000000238418579,0.008999999612569809,0.0006000000284984708
YNL130C,YOR188W,0,-3.740745,0.5625,0.008999999612569809,0.000699999975040555
YOL021C,YHR205W,0,-3.7461715,0.529411792755127,0.008999999612569809,0.0007999999797903001
YNL192W,YGR152C,1,-3.7482667,0.5555555820465088,0.009999999776482582,0.0007999999797903001
YHR107C,YIL095W,1,-3.754611,0.5789473652839661,0.010999999940395355,0.0007999999797903001
YKL048C,YKL129C,1,-3.7776403,0.6000000238418579,0.012000000104308128,0.0007999999797903001
YNL267W,YGL233W,1,-3.7778053,0.6190476417541504,0.013000000268220901,0.0007999999797903001
YPR055W,YHL007C,1,-3.7790866,0.6363636255264282,0.014000000432133675,0.0007999999797903001
YGL115W,YNL244C,0,-3.7849765,0.6086956262588501,0.014000000432133675,0.0008999999845400453
YLR032W,YKR081C,0,-3.7891192,0.5833333134651184,0.014000000432133675,0.0010000000474974513
YPR019W,YNL054W,0,-3.798018,0.5600000023841858,0.014000000432133675,0.0010999999940395355
YBR098W,YLR275W,0,-3.820753,0.5384615659713745,0.014000000432133675,0.0012000000569969416
YIL140W,YNL233W,1,-3.8257818,0.5555555820465088,0.014999999664723873,0.0012000000569969416
YPL115C,YML115C,0,-3.8344283,0.5357142686843872,0.014999999664723873,0.0013000000035390258
YCR063W,YNL243W,1,-3.8360615,0.5517241358757019,0.01600000075995922,0.0013000000035390258
YNR044W,YER127W,0,-3.8442326,0.5333333611488342,0.01600000075995922,0.00139999995008111
YJL074C,YHL028W,0,-3.855239,0.5161290168762207,0.01600000075995922,0.001500000013038516
YML071C,YKL089W,0,-3.857112,0.5,0.01600000075995922,0.0015999999595806003
YNL267W,YHL007C,1,-3.8641453,0.5151515007019043,0.017000000923871994,0.0015999999595806003
YIL049W,YGR078C,0,-3.8648171,0.5,0.017000000923871994,0.0017000000225380063
YNR027W,YNL267W,1,-3.8666368,0.5142857432365417,0.017999999225139618,0.0017000000225380063
YIL125W,YDL047W,0,-3.8700304,0.5,0.017999999225139618,0.0017999999690800905
YDL155W,YPL116W,0,-3.878296,0.4864864945411682,0.017999999225139618,0.0019000000320374966
YKR028W,YNL257C,0,-3.8846006,0.4736842215061188,0.017999999225139618,0.0020000000949949026
YDL207W,YMR096W,0,-3.8872185,0.4615384638309479,0.017999999225139618,0.002099999925121665
YJR060W,YAL040C,0,-3.8928027,0.44999998807907104,0.017999999225139618,0.002199999988079071
