Gene A,Gene B,Label,Score,Precision,Recall,False Positive Rate
YCL055W,YJR004C,1,-2.31102,1.0,0.0010000000474974513,0.0
YPL192C,YHR084W,1,-2.4105291,1.0,0.0020000000949949026,0.0
YPR141C,YHR084W,1,-2.9780896,1.0,0.003000000026077032,0.0
YLR098C,YGR014W,0,-3.0776103,0.75,0.003000000026077032,9.999999747378752e-05
YGL089C,YJR004C,1,-3.1631804,0.800000011920929,0.004000000189989805,9.999999747378752e-05
YCR089W,YMR232W,1,-3.1966574,0.8333333134651184,0.004999999888241291,9.999999747378752e-05
YGL032C,YFL026W,1,-3.2293828,0.8571428656578064,0.006000000052154064,9.999999747378752e-05
YDR317W,YOL091W,0,-3.272738,0.75,0.006000000052154064,0.00019999999494757503
YCR089W,YHR084W,1,-3.275714,0.7777777910232544,0.007000000216066837,0.00019999999494757503
YJL157C,YJR004C,1,-3.2968128,0.800000011920929,0.00800000037997961,0.00019999999494757503
YCR002C,YHR084W,1,-3.330442,0.8181818127632141,0.008999999612569809,0.00019999999494757503
YCL055W,YKL178C,1,-3.3388205,0.8333333134651184,0.009999999776482582,0.00019999999494757503
YLR433C,YGL178W,1,-3.3448565,0.8461538553237915,0.010999999940395355,0.00019999999494757503
YOL011W,YBR183W,0,-3.3490798,0.7857142686843872,0.010999999940395355,0.0003000000142492354
YBR129C,YIL117C,1,-3.358982,0.800000011920929,0.012000000104308128,0.0003000000142492354
YIL037C,YJR004C,1,-3.3591306,0.8125,0.013000000268220901,0.0003000000142492354
YHR084W,YKL178C,1,-3.3740396,0.8235294222831726,0.014000000432133675,0.0003000000142492354
YJL157C,YIL037C,1,-3.3752115,0.8333333134651184,0.014999999664723873,0.0003000000142492354
YGR059W,YLR362W,1,-3.3915107,0.8421052694320679,0.01600000075995922,0.0003000000142492354
YMR232W,YGL089C,1,-3.3988235,0.8500000238418579,0.017000000923871994,0.0003000000142492354
YMR232W,YFL026W,1,-3.4009206,0.8571428656578064,0.017999999225139618,0.0003000000142492354
YGL086W,YKL129C,0,-3.4313576,0.8181818127632141,0.017999999225139618,0.00039999998989515007
YGR109C,YMR172W,0,-3.438113,0.782608687877655,0.017999999225139618,0.0005000000237487257
YPR049C,YMR113W,0,-3.4382665,0.75,0.017999999225139618,0.0006000000284984708
YPR122W,YCL027W,1,-3.4839394,0.7599999904632568,0.01899999938905239,0.0006000000284984708
YGL032C,YJL157C,1,-3.4901798,0.7692307829856873,0.019999999552965164,0.0006000000284984708
YCR002C,YJL157C,1,-3.4914882,0.7777777910232544,0.020999999716877937,0.0006000000284984708
YCL055W,YIL037C,1,-3.5046253,0.7857142686843872,0.02199999988079071,0.0006000000284984708
YNL161W,YMR052W,1,-3.5160666,0.7931034564971924,0.023000000044703484,0.0006000000284984708
YGL032C,YLR330W,1,-3.5181408,0.800000011920929,0.024000000208616257,0.0006000000284984708
YJR004C,YFL026W,1,-3.5324824,0.8064516186714172,0.02500000037252903,0.0006000000284984708
YNL259C,YPR057W,0,-3.5325058,0.78125,0.02500000037252903,0.000699999975040555
YCL029C,YDR379W,1,-3.5490053,0.7878788113594055,0.026000000536441803,0.000699999975040555
YGL053W,YOR212W,1,-3.5490496,0.7941176295280457,0.027000000700354576,0.000699999975040555
YJL157C,YJR090C,1,-3.551183,0.800000011920929,0.02800000086426735,0.000699999975040555
YMR232W,YML047C,1,-3.553904,0.8055555820465088,0.028999999165534973,0.000699999975040555
YBR043C,YNL049C,0,-3.554394,0.7837837934494019,0.028999999165534973,0.0007999999797903001
YMR232W,YIL037C,1,-3.5588825,0.7894737124443054,0.029999999329447746,0.0007999999797903001
YDR273W,YIL139C,0,-3.5818968,0.7692307829856873,0.029999999329447746,0.0008999999845400453
YCR089W,YNL053W,1,-3.5912306,0.7749999761581421,0.03099999949336052,0.0008999999845400453
YCL029C,YJL108C,1,-3.59561,0.7804877758026123,0.03200000151991844,0.0008999999845400453
YPL192C,YJR004C,1,-3.597633,0.7857142686843872,0.032999999821186066,0.0008999999845400453
