Gene A,Gene B,Label,Score,Precision,Recall,False Positive Rate
YKL148C,YDR259C,0,-5.384732,0.0,0.0,0.00016806722851470113
YMR133W,YHR138C,0,-5.493533,0.0,0.0,0.00033613445702940226
YHR190W,YLR126C,0,-5.5343165,0.0,0.0,0.0005042016855441034
YPL152W,YGR197C,0,-5.5438604,0.0,0.0,0.0006722689140588045
YAL032C,YKL041W,0,-5.5598264,0.0,0.0,0.0008403361425735056
YDR216W,YGL136C,0,-5.565154,0.0,0.0,0.0010084033710882068
YMR165C,YML109W,0,-5.577772,0.0,0.0,0.001176470541395247
YGR224W,YJL036W,0,-5.5849257,0.0,0.0,0.001344537828117609
YHL036W,YHR056C,0,-5.5898705,0.0,0.0,0.0015126049984246492
YBR231C,YBR105C,0,-5.603883,0.0,0.0,0.0016806722851470113
YPL242C,YBR049C,0,-5.606906,0.0,0.0,0.0018487394554540515
YJL036W,YGR005C,0,-5.6144714,0.0,0.0,0.0020168067421764135
YDL194W,YPL276W,0,-5.678128,0.0,0.0,0.0021848739124834538
YGL038C,YGL096W,0,-5.680997,0.0,0.0,0.002352941082790494
YAL041W,YOR127W,1,-5.707098,0.06666667014360428,0.0016806722851470113,0.002352941082790494
YHR074W,YCR102C,0,-5.709321,0.0625,0.0016806722851470113,0.002521008485928178
YHL002W,YDR359C,0,-5.709755,0.05882352963089943,0.0016806722851470113,0.002689075656235218
YDR264C,YLR035C-A,0,-5.7351627,0.0555555559694767,0.0016806722851470113,0.0028571428265422583
YJR076C,YGR054W,0,-5.748358,0.05263157933950424,0.0016806722851470113,0.0030252099968492985
YPL075W,YMR045C,0,-5.757668,0.05000000074505806,0.0016806722851470113,0.0031932773999869823
YIL159W,YDR334W,0,-5.7611217,0.0476190485060215,0.0016806722851470113,0.0033613445702940226
YBL071W-A,YKR025W,0,-5.7639527,0.04545454680919647,0.0016806722851470113,0.0035294117406010628
YAL020C,YDL087C,0,-5.7733707,0.043478261679410934,0.0016806722851470113,0.003697478910908103
YOR244W,YLR346C,0,-5.7737436,0.0416666679084301,0.0016806722851470113,0.003865546314045787
YDR043C,YHR073W,1,-5.7762995,0.07999999821186066,0.0033613445702940226,0.003865546314045787
YGR101W,YMR293C,0,-5.780923,0.07692307978868484,0.0033613445702940226,0.004033613484352827
YBR117C,YPL283C,0,-5.7839513,0.07407407462596893,0.0033613445702940226,0.004201680887490511
YLR262C,YJR141W,0,-5.7862425,0.0714285746216774,0.0033613445702940226,0.0043697478249669075
YOR381W,YCL052C,0,-5.786689,0.06896551698446274,0.0033613445702940226,0.004537815228104591
