Batch,Training Loss,Validation Loss
0,442.6698637008667,439.9977100849152
100,373.36730513036247,388.849949491024
200,332.6649458055942,451.3388857662677
300,316.668922488615,439.7192964911461
400,307.50262177865955,441.62835338711744
500,303.32135875448574,465.4669199466706
600,290.2170538263023,421.1156953990459
700,283.3365951661765,447.2011106938123
800,283.65408599838605,469.83485174179077
900,283.9595506180079,508.4317073971033
1000,279.6760874668881,508.3879516363145
1100,276.9661818858981,465.6921594321728
1200,276.40083278946594,559.0167334973812
1300,272.6622989684157,550.8848062872887
1400,267.67732641261057,544.8562928497793
1500,265.81364250414066,487.37392530441286
1600,271.68198196848846,493.44837161898613
1700,270.0332674464956,476.15062534213064
1800,262.965176751241,560.3751486182214
1900,264.4660919306614,520.4820615142585
2000,265.4888111780024,569.8836269497871
2100,263.8532293673605,549.3654211640359
2200,263.0584964363275,574.0860431373119
2300,257.42370871717105,447.6326342999936
2400,259.2751579048671,554.3030987858772
2500,259.2630707924441,568.3794824659824
2600,258.44113386180254,509.9844519197941
2700,252.39804809236898,504.81354621350766
2800,257.24200438225637,546.398079751432
2900,255.26900524958967,548.661472955346
3000,253.32144140945746,536.7842965722084
3100,254.91227601607324,503.75897725224496
3200,255.1601544588245,537.2217096477747
3300,248.19537106933998,545.2252338372172
3400,253.80900209255975,541.3362617030741
3500,250.39930849737488,596.3758775770665
3600,254.823282695245,546.6074009627104
3700,251.1938017052644,591.5987962149082
3800,249.24544193683656,484.75161139369004
3900,247.77817627003415,540.3039145469664
4000,246.23666516072115,507.25918434187776
4100,245.428113006181,530.1593456029892
4200,246.31027882514985,563.7890022289008
4300,246.1010811014659,554.6262612223626
4400,249.51722844619306,561.491961506009
4500,251.5823247428471,584.7716607064008
4600,245.2181872112025,504.45172984004034
4700,249.1179772113357,523.9979423440993
4800,248.3034014275484,624.3306320149452
4900,250.8230079875584,631.3144547741861
5000,248.63972576862662,583.6593345046043
5100,243.25361517178362,540.6070870529859
5200,243.03495218306776,550.1003747910262
5300,239.2723572984943,571.1180771455168
5400,243.1865188726969,662.2705840304495
5500,243.4489925743267,618.8770585270597
5600,240.87243543286345,565.4382374763488
5700,240.80017837070866,538.1649770021438
5800,243.0317687777396,590.30353923738
5900,242.24607441241156,510.16340458691127
6000,239.60836478512735,527.5325995206832
6100,242.89585689187976,558.4517089396716
6200,239.72489112019068,660.8464840278031
6300,242.20957542897668,514.8422409012913
6400,246.709580105748,621.0201598584651
6500,240.0549594723177,559.9190124332904
6600,239.34366499386732,547.2863258391618
6700,240.78156553838932,618.9042685445398
6800,240.50583194404837,626.813504371047
6900,235.03169193581675,510.48812212944034
7000,241.05386335972688,587.7258833857253
7100,243.885822597081,599.1195380162449
7200,237.03581567950727,550.0701169878243
7300,239.4785777562216,585.1523138165473
7400,234.91058456832545,531.9035156145692
7500,238.65917138653805,567.392176361382
7600,232.74669262496062,471.1610514402389
7700,239.89987118622292,669.204107221961
7800,236.05473726077244,592.5023476310075
7900,235.6194143989683,612.7770333766937
8000,241.12058243490978,596.9603347390889
8100,237.9111921522487,602.0490368716419
8200,235.501862039608,548.725982734561
8300,238.52000443787082,632.8133601933718
8400,237.249126841626,549.7162486925721
8500,238.1757549450034,509.524425882101
8600,235.01721623257737,518.4975537419318
8700,236.21414181482035,611.2166742175817
8800,235.30517205663028,644.2931258171797
8900,238.63215503550597,545.6588874965906
9000,236.5439272152678,563.2012518882752
9100,235.188917604743,564.4723062492906
9200,235.57095166656057,579.9941256079824
9300,234.4265207302291,576.9373737722636
9400,236.07942038976586,559.3013920530677
9500,239.67850667800295,652.9142277773472
9600,236.94417775288343,669.9364506861194
9700,235.70144237838807,557.7759429544211
9800,230.4122715910967,567.3389540851117
9900,234.07453844675555,565.0107116639614
10000,226.72218598335863,666.7842618346214
10100,238.41025140738114,639.8449879415334
10200,235.82325333855366,552.4017418950797
10300,230.08790944958565,535.2028608947992
10400,234.33886485579418,616.2364413917064
10500,233.39549809628392,642.846212220192
10600,235.39368400494803,528.3679307192564
10700,230.83242239961876,605.763659420982
10800,234.33976126597733,682.903837376833
10900,233.3145946012728,701.4795203596352
11000,234.8557984455909,569.2651742063463
11100,234.0800270447199,539.176975247264
11200,234.334629269492,607.3667146474123
11300,234.10299483045924,544.8068198367953
11400,234.0638195456483,632.9797956965864
11500,232.7371236885152,588.2457165062427
11600,231.0694948539696,590.0614844322205
11700,234.12410645864674,553.4830754086375
11800,237.8275823037058,611.7392395079137
11900,233.3572668388487,571.855606430769
12000,230.85199373858293,656.573654818628
12100,230.91930976729776,584.511276769638
12200,240.61042138464745,584.6192537948489
12300,234.54742243882504,595.5992460787296
12400,234.88379794904498,594.3018167402595
12500,230.75561556285595,580.4804476752877
12600,231.29189876987598,595.4712665773462
12700,227.65249723757387,572.8285912647843
12800,231.19584392330373,681.0732529751956
12900,234.2884789138218,595.9893741048872
13000,233.06271360643672,648.1918813854456
13100,227.40353911172608,582.8475334584713
13200,231.0280961304274,597.1135582527146
13300,225.12716662034978,713.710805409879
13400,230.93269234172882,664.9267825186251
13500,228.90849763962908,638.7565392002463
13600,229.8846958908159,582.1179477935657
13700,226.45629588125973,606.6428205668926
13800,229.26025829067686,643.1719440937042
13900,229.64475596505457,635.3077180713415
14000,226.8028478631605,627.1881034076214
14100,232.0016670382652,643.5096125960351
14200,231.87554235526582,579.795258111693
14300,227.23812916028777,621.5708011478185
14400,223.9891859222361,611.1335943579674
14500,221.6903659190331,619.088568469882
14600,231.7031945962843,603.1890754759311
14700,227.46137898312418,559.9053105965256
14800,228.37480408304836,659.789301019907
14900,225.56359959189083,646.6570431677624
15000,224.11914381454693,702.6706150248649
15100,225.85860296560682,585.092747119069
15200,230.22741893052364,664.5793943233089
15300,225.6405622776094,600.954267680645
15400,223.21710511724825,681.8519594490527
15500,232.96460578970039,551.1579746499657
15600,229.99763820120833,639.6466007769108
15700,231.4192838352174,622.0700734883546
15800,227.73958306332008,565.1990113019942
15900,226.31111424656817,642.339991301298
16000,230.61511605122578,579.0023432843387
16100,230.75429608307317,614.3055000893771
16200,226.64480605101676,610.1310218647121
16300,228.9125852422626,559.5185282073915
16400,225.56592128439573,645.8945787027478
16500,228.1392878646688,593.0139254033566
16600,228.11491847887748,568.0311907410622
16700,228.45469560374275,605.40606944561
16800,224.1673873645079,588.7535118952394
16900,226.29360598739015,683.6324166588486
17000,229.46105144504918,675.5408019791357
17100,228.480734963892,669.1405617952347
17200,233.6526252172748,550.8095123946666
17300,230.3951628356847,675.9740036010743
17400,222.8471143768588,619.4718151573092
17500,232.33826375824404,674.277147257328
17600,226.7769148003799,566.0762067437172
17700,228.05307476727762,635.8671809762715
17800,226.98529465791782,692.6452995717525
17900,226.12739902554307,640.4149990729989
18000,223.21566888874668,628.8853033918888
18100,224.11026273997848,680.8732522770763
18200,223.91801048387782,638.2353331416845
18300,223.70187164993257,737.0378726243973
18400,232.87792442688948,613.7684433311224
18500,227.68971921777361,648.5760062724352
18600,220.71369416882186,591.8084786951542
18700,227.53523585347,672.1354070454836
18800,228.09131060457784,613.2751379817723
18900,228.37983307339016,544.4941273937002
19000,228.8904481072001,663.5200411856175
19100,226.08735293797682,628.8654990062117
19200,223.19363368027257,610.9933898160234
19300,224.13360001746446,594.3010127693415
19400,228.15773826190218,590.9291104219853
19500,224.94094267425652,580.2350839674473
19600,227.74985376592193,582.1759551227093
19700,223.48359663058997,652.2435794860125
19800,226.16391571335157,630.5335746847094
19900,222.62563769948324,697.962108449638
20000,225.43203482948698,616.0962987525388
20100,220.61448982016475,622.3082433342934
20200,225.52348069013328,647.2438032388686
20300,229.13238384974971,636.8130985066294
20400,227.70777346552066,628.2000095903873
20500,224.43659389104005,681.4888535518198
20600,223.09347741995003,654.3865268781781
20700,228.42020874978044,546.7619224563242
20800,228.7815118843829,611.4966786250473
20900,222.9836735869869,633.3065323293208
21000,230.92685271385523,637.7565735375508
21100,223.35664418643105,612.890390754491
21200,224.8076223709819,681.5165322743355
21300,225.90959606218505,644.9861145541071
21400,218.65386940437605,608.966669383645
21500,228.51965715520492,700.2373825311661
21600,223.00560250778867,605.1033040821552
21700,225.43232899184346,584.8669046390802
21800,224.50094084035493,627.7804703056812
21900,224.2340181765089,592.775106664002
22000,225.0677294784993,730.7923235252498
22100,226.70629823400648,583.6798283476382
22200,225.26531024302125,643.2744936183094
22300,224.2937998256192,654.5796130001545
22400,223.31979924306273,733.8771456070244
22500,230.8396315758599,623.3952289313079
22600,226.7438141371612,645.1869179934262
22700,222.18921388279182,663.2506916105747
22800,221.43794738835658,644.7645292818547
22900,221.1210463944497,635.0772779256106
23000,226.1795694506327,716.6188635032624
23100,223.0908429219039,625.0357051566244
23200,225.44175744276635,629.5970402790233
23300,223.26706928652717,619.4517681747674
23400,225.84822005913244,691.074197543785
23500,223.97020366268234,610.9736698508262
23600,218.50612082286102,662.8718654930592
23700,227.9797787333804,679.124002196081
23800,223.5199574252544,624.7433927923441
23900,219.9927624435106,670.2575297953329
24000,223.02177038231395,622.0060657441616
24100,225.86222431631523,654.7181408165022
24200,225.96648267734858,616.8475265920163
24300,222.51565029239288,616.9324040919543
24400,225.22019559135725,593.8427021225915
24500,219.3022351427592,609.8442595124245
24600,224.79001845994614,571.9099909007549
24700,222.01957916540792,680.2699656881391
24800,217.90041644776613,588.0121462285518
24900,223.23210005610247,726.324457605183
25000,222.6533065389237,608.6041200278328
25100,222.27486246670222,563.3968456283212
25200,222.32371316088137,709.5897806510332
25300,224.4372274286597,601.6087412312627
25400,220.18570243987602,630.8352243319154
25500,225.52810089184555,655.3780574977397
25600,225.94715739042093,716.104768165946
25700,223.94922750415276,608.3396579802037
25800,227.1162260643562,612.1322212338448
25900,223.53660584956933,596.2813853263855
26000,223.39643344050793,639.1096413493157
26100,221.33958378348382,695.523448497057
26200,223.8211303110356,678.3213725611567
26300,219.2185098418402,618.5163164019584
26400,220.39235686160424,572.2519952983595
26500,225.6819952801603,669.5559760987759
26600,219.62144502185285,615.2608099251985
26700,223.8288702923956,592.395377393067
26800,226.8346655232304,607.2758628528566
26900,220.00753027229914,651.5946656979621
27000,225.2651064955629,625.2090724617243
27100,218.2601871500828,658.3924635708332
27200,218.4062442719307,681.8920598551631
27300,222.42923818842038,654.4128887310625
27400,216.9587414907431,593.1666598629206
27500,220.02583837894372,603.9768327489496
27600,224.08110724073018,665.1652816832064
27700,222.02879726497216,617.6249386817217
27800,221.32744543912128,638.8958928346633
27900,215.5002777186852,724.1687002897263
28000,225.54642861500915,629.4924416922963
28100,224.0811654277577,648.8167633019389
