Gene A,Gene B,Label,Score,Precision,Recall,False Positive Rate
YGR191W,YIL088C,1,13.935782,1.0,0.0012820513220503926,0.0
YGR191W,YMR088C,1,13.281638,1.0,0.0025641026441007853,0.0
YGR191W,YDR508C,1,12.991921,1.0,0.003846153849735856,0.0
YGR191W,YBR068C,1,12.434894,1.0,0.0051282052882015705,0.0
YGR191W,YKR039W,1,12.259416,1.0,0.006410256493836641,0.0
YGR191W,YDL212W,1,12.199708,1.0,0.007692307699471712,0.0
YGR191W,YNL268W,1,12.034127,1.0,0.00897435937076807,0.0
YGR191W,YER119C,1,11.604505,1.0,0.010256410576403141,0.0
YGR191W,YJR001W,1,11.551276,1.0,0.011538461782038212,0.0
YGR191W,YEL063C,1,11.472754,1.0,0.012820512987673283,0.0
YGR191W,YPR021C,1,11.414807,1.0,0.014102564193308353,0.0
YGR191W,YNL270C,1,11.188681,1.0,0.015384615398943424,0.0
YGR191W,YCL025C,1,11.049359,1.0,0.01666666753590107,0.0
YGR191W,YEL064C,1,10.885266,1.0,0.01794871874153614,0.0
YGR191W,YBR293W,1,10.662975,1.0,0.01923076994717121,0.0
YDR508C,YMR088C,1,10.651466,1.0,0.020512821152806282,0.0
YGR191W,YDL210W,1,10.544066,1.0,0.021794872358441353,0.0
YGR191W,YKL176C,1,10.368172,1.0,0.023076923564076424,0.0
YGR191W,YLL061W,1,10.355526,1.0,0.024358974769711494,0.0
YGR191W,YFL010W-A,1,10.207284,1.0,0.025641025975346565,0.0
YGR191W,YBL089W,1,9.847266,1.0,0.026923077180981636,0.0
YLL055W,YCL025C,1,9.674688,1.0,0.028205128386616707,0.0
YPL265W,YCL025C,1,9.637161,1.0,0.029487179592251778,0.0
YPL265W,YDR046C,1,9.597728,1.0,0.03076923079788685,0.0
YBR068C,YLL061W,1,9.563793,1.0,0.03205128386616707,0.0
YMR058W,YDR342C,0,9.465268,0.9615384340286255,0.03205128386616707,0.00012820512347389013
YDR508C,YKR039W,1,9.396366,0.9629629850387573,0.03333333507180214,0.00012820512347389013
YBR068C,YBL089W,1,9.333228,0.9642857313156128,0.03461538627743721,0.00012820512347389013
YPL265W,YNR056C,1,9.251428,0.9655172228813171,0.03589743748307228,0.00012820512347389013
YBR132C,YPL265W,1,9.187492,0.9666666388511658,0.03717948868870735,0.00012820512347389013
YMR058W,YIL085C,0,9.104147,0.9354838728904724,0.03717948868870735,0.00025641024694778025
YPL265W,YER119C,1,9.070129,0.9375,0.03846153989434242,0.00025641024694778025
YMR058W,YJR043C,0,8.994774,0.9090909361839294,0.03846153989434242,0.0003846153849735856
YGL077C,YJR001W,1,8.972822,0.9117646813392639,0.03974359109997749,0.0003846153849735856
YCL025C,YIL088C,1,8.889408,0.9142857193946838,0.041025642305612564,0.0003846153849735856
YPL265W,YPL274W,1,8.745032,0.9166666865348816,0.042307693511247635,0.0003846153849735856
YGR191W,YKL146W,1,8.741724,0.9189189076423645,0.043589744716882706,0.0003846153849735856
YMR058W,YJL170C,0,8.719222,0.8947368264198303,0.043589744716882706,0.0005128204938955605
YLL028W,YGR185C,0,8.712241,0.8717948794364929,0.043589744716882706,0.0006410256610251963
YCL025C,YER119C,1,8.676731,0.875,0.044871795922517776,0.0006410256610251963
YCL025C,YKR039W,1,8.6748905,0.8780487775802612,0.04615384712815285,0.0006410256610251963
YDR508C,YDL212W,1,8.657707,0.8809523582458496,0.04743589833378792,0.0006410256610251963
YBR068C,YBR293W,1,8.607261,0.8837209343910217,0.04871794953942299,0.0006410256610251963
YGL054C,YKL163W,0,8.577095,0.8636363744735718,0.04871794953942299,0.0007692307699471712
YBR068C,YKL176C,1,8.553093,0.8666666746139526,0.05000000074505806,0.0007692307699471712
YDR508C,YDL210W,1,8.516219,0.8695651888847351,0.05128205195069313,0.0007692307699471712
YLL055W,YDR046C,1,8.502414,0.8723404407501221,0.0525641031563282,0.0007692307699471712
YPL265W,YDL210W,1,8.405,0.875,0.05384615436196327,0.0007692307699471712
YGL077C,YDL212W,1,8.367909,0.8775510191917419,0.05512820556759834,0.0007692307699471712
YGL077C,YDR046C,1,8.351589,0.8799999952316284,0.056410256773233414,0.0007692307699471712
YDR508C,YEL063C,1,8.343564,0.8823529481887817,0.057692307978868484,0.0007692307699471712
YDR508C,YNL270C,1,8.334001,0.8846153616905212,0.058974359184503555,0.0007692307699471712
YBR068C,YEL063C,1,8.290567,0.8867924809455872,0.060256410390138626,0.0007692307699471712
YLL055W,YBR068C,1,8.271692,0.8888888955116272,0.0615384615957737,0.0007692307699471712
YPL265W,YNL270C,1,8.164591,0.8909090757369995,0.06282051652669907,0.0007692307699471712
YNL268W,YNL270C,1,8.156063,0.8928571343421936,0.06410256773233414,0.0007692307699471712
YNL268W,YBR293W,1,8.042732,0.8947368264198303,0.06538461893796921,0.0007692307699471712
YBR008C,YPR204W,0,8.025515,0.8793103694915771,0.06538461893796921,0.0008974358788691461
YPL265W,YMR088C,1,7.9903917,0.8813559412956238,0.06666667014360428,0.0008974358788691461
YPL265W,YKR039W,1,7.9834824,0.8833333253860474,0.06794872134923935,0.0008974358788691461
YGL077C,YDR508C,1,7.9770727,0.8852459192276001,0.06923077255487442,0.0008974358788691461
YPL265W,YDR508C,1,7.968071,0.8870967626571655,0.07051282376050949,0.0008974358788691461
YNL268W,YBR068C,1,7.962569,0.8888888955116272,0.07179487496614456,0.0008974358788691461
YGL077C,YBR068C,1,7.928136,0.890625,0.07307692617177963,0.0008974358788691461
YPR124W,YMR250W,0,7.8784885,0.8769230842590332,0.07307692617177963,0.001025640987791121
