Gene A,Gene B,Label,Score,Precision,Recall,False Positive Rate
YJR089W,YGL086W,1,6.238013,1.0,0.0010000000474974513,0.0
YJR089W,YGR002C,1,6.0428677,1.0,0.0020000000949949026,0.0
YJR089W,YAR018C,1,5.9151974,1.0,0.003000000026077032,0.0
YJR089W,YAL016W,1,5.8419285,1.0,0.004000000189989805,0.0
YJR089W,YER147C,1,5.7847567,1.0,0.004999999888241291,0.0
YGR140W,YNL172W,1,5.705398,1.0,0.006000000052154064,0.0
YGR188C,YHR115C,1,5.619836,1.0,0.007000000216066837,0.0
YJR089W,YLR357W,1,5.6132326,1.0,0.00800000037997961,0.0
YJR089W,YDR409W,1,5.55338,1.0,0.008999999612569809,0.0
YEL061C,YOL115W,1,5.3215914,1.0,0.009999999776482582,0.0
YOR073W,YPL008W,1,5.2258177,1.0,0.010999999940395355,0.0
YJR089W,YDL188C,1,5.059922,1.0,0.012000000104308128,0.0
YGR188C,YLR320W,1,5.0077457,1.0,0.013000000268220901,0.0
YEL061C,YCR077C,1,4.9873514,1.0,0.014000000432133675,0.0
YEL061C,YDR113C,1,4.971035,1.0,0.014999999664723873,0.0
YEL061C,YLR226W,1,4.9422083,1.0,0.01600000075995922,0.0
YKL049C,YHR153C,1,4.907911,1.0,0.017000000923871994,0.0
YGR140W,YDR254W,1,4.778454,1.0,0.017999999225139618,0.0
YPL155C,YLR032W,0,4.764821,0.9473684430122375,0.017999999225139618,9.999999747378752e-05
YJR135C,YDR318W,1,4.7031813,0.949999988079071,0.01899999938905239,9.999999747378752e-05
YGR140W,YJR068W,1,4.6812916,0.9523809552192688,0.019999999552965164,9.999999747378752e-05
YJR135C,YMR078C,1,4.617262,0.9545454382896423,0.020999999716877937,9.999999747378752e-05
YAL034W-A,YDR022C,1,4.602796,0.95652174949646,0.02199999988079071,9.999999747378752e-05
YPL155C,YPL027W,0,4.584285,0.9166666865348816,0.02199999988079071,0.00019999999494757503
YEL061C,YJL030W,1,4.5637484,0.9200000166893005,0.023000000044703484,0.00019999999494757503
YJR135C,YOR058C,1,4.5584106,0.9230769276618958,0.024000000208616257,0.00019999999494757503
YEL061C,YPL017C,1,4.5400352,0.9259259104728699,0.02500000037252903,0.00019999999494757503
YOR073W,YFR046C,1,4.5391474,0.9285714030265808,0.026000000536441803,0.00019999999494757503
YAL034W-A,YDR318W,1,4.5383964,0.931034505367279,0.027000000700354576,0.00019999999494757503
YJR089W,YKR071C,1,4.537449,0.9333333373069763,0.02800000086426735,0.00019999999494757503
YPL269W,YFL036W,0,4.531334,0.9032257795333862,0.02800000086426735,0.0003000000142492354
YPL155C,YNL084C,0,4.503438,0.875,0.02800000086426735,0.00039999998989515007
YOR073W,YJL030W,1,4.4613876,0.8787878751754761,0.028999999165534973,0.00039999998989515007
YKL089W,YAL031C,1,4.425823,0.8823529481887817,0.029999999329447746,0.00039999998989515007
YDR318W,YLR226W,1,4.4249115,0.8857142925262451,0.03099999949336052,0.00039999998989515007
YJR135C,YMR168C,1,4.393647,0.8888888955116272,0.03200000151991844,0.00039999998989515007
YDL028C,YNL290W,1,4.391886,0.8918918967247009,0.032999999821186066,0.00039999998989515007
YNL172W,YGR098C,1,4.36219,0.8947368264198303,0.03400000184774399,0.00039999998989515007
YAL034W-A,YIL072W,1,4.3582425,0.8974359035491943,0.03500000014901161,0.00039999998989515007
YKL089W,YDR260C,1,4.353519,0.8999999761581421,0.035999998450279236,0.00039999998989515007
YOR073W,YLR272C,1,4.350661,0.9024389982223511,0.03700000047683716,0.00039999998989515007
YNL172W,YJR068W,1,4.3452992,0.9047619104385376,0.03799999877810478,0.00039999998989515007
YKL042W,YBR057C,0,4.3184404,0.8837209343910217,0.03799999877810478,0.0005000000237487257
YDR130C,YDR318W,1,4.316514,0.8863636255264282,0.039000000804662704,0.0005000000237487257
YAL034W-A,YDR130C,1,4.2717867,0.8888888955116272,0.03999999910593033,0.0005000000237487257
YDR318W,YDR016C,1,4.262043,0.8913043737411499,0.04100000113248825,0.0005000000237487257
YBR258C,YJR057W,0,4.2474766,0.8723404407501221,0.04100000113248825,0.0006000000284984708
