Gene A,Gene B,Label,Score,Precision,Recall,False Positive Rate
YBL090W,YHR147C,1,18.666594,1.0,0.0009970089886337519,0.0
YMR024W,YNL185C,1,17.89912,1.0,0.0019940179772675037,0.0
YOR158W,YDR337W,1,17.820107,1.0,0.0029910269659012556,0.0
YDR337W,YNL185C,1,17.808487,1.0,0.0039880359545350075,0.0
YGR076C,YDL045W-A,1,17.081345,1.0,0.004985044710338116,0.0
YNL252C,YNL284C,1,16.99976,1.0,0.005982053931802511,0.0
YNL177C,YDR322W,1,16.980816,1.0,0.006979062687605619,0.0
YNL284C,YBR146W,1,16.979752,1.0,0.007976071909070015,0.0
YLR069C,YKR006C,1,16.82635,1.0,0.008973080664873123,0.0
YMR024W,YBR146W,1,16.806145,1.0,0.009970089420676231,0.0
YKL170W,YNL185C,1,16.759476,1.0,0.010967099107801914,0.0
YNL252C,YHR147C,1,16.676868,1.0,0.011964107863605022,0.0
YJL063C,YCR046C,1,16.645775,1.0,0.01296111661940813,0.0
YOR150W,YBR146W,1,16.343159,1.0,0.013958125375211239,0.0
YOR150W,YNL005C,1,16.285809,1.0,0.014955134131014347,0.0
YGR076C,YDR337W,1,16.241268,1.0,0.01595214381814003,0.0
YMR188C,YKR085C,1,16.232832,1.0,0.016949152573943138,0.0
YNL284C,YNL081C,1,16.208385,1.0,0.017946161329746246,0.0
YMR024W,YNL081C,1,16.193817,1.0,0.018943170085549355,0.0
YNL177C,YOR150W,1,16.15178,1.0,0.019940178841352463,0.0
YNL177C,YLR312W-A,1,16.151274,1.0,0.02093718759715557,0.0
YMR024W,YCR003W,1,16.10078,1.0,0.02193419821560383,0.0
YBL090W,YJL096W,1,16.09234,1.0,0.022931206971406937,0.0
YBL090W,YKR006C,1,16.060066,1.0,0.023928215727210045,0.0
YMR024W,YDR337W,1,16.049576,1.0,0.024925224483013153,0.0
YNL252C,YDR322W,1,15.969372,1.0,0.02592223323881626,0.0
YBR268W,YCR071C,1,15.932003,1.0,0.02691924199461937,0.0
YLR069C,YDR337W,1,15.931367,1.0,0.027916250750422478,0.0
YNL177C,YNL137C,1,15.918108,1.0,0.028913259506225586,0.0
YOL023W,YNL185C,1,15.874891,1.0,0.029910268262028694,0.0
YKR085C,YDR337W,1,15.799379,1.0,0.03090727888047695,0.0
YOR158W,YNL005C,1,15.730928,1.0,0.03190428763628006,0.0
YCR071C,YDL045W-A,1,15.728827,1.0,0.03290129452943802,0.0
YNL177C,YER050C,1,15.709196,1.0,0.033898305147886276,0.0
YBR251W,YDR337W,1,15.636059,1.0,0.034895315766334534,0.0
YNL005C,YML009C,1,15.633191,1.0,0.03589232265949249,0.0
YJL063C,YDR116C,1,15.629882,1.0,0.03688933327794075,0.0
YJL096W,YKL138C,1,15.606766,1.0,0.03788634017109871,0.0
YOR158W,YNL137C,1,15.590885,1.0,0.03888335078954697,0.0
YLR312W-A,YLR069C,1,15.518008,1.0,0.039880357682704926,0.0
