Gene A,Gene B,Label,Score,Precision,Recall,False Positive Rate
YGR209C,YGR088W,1,6.759491,1.0,0.0009980039903894067,0.0
YBR244W,YBL064C,1,6.1511774,1.0,0.0019960079807788134,0.0
YKR066C,YML007W,1,6.144901,1.0,0.002994012087583542,0.0
YMR250W,YBL064C,1,6.0621033,1.0,0.003992015961557627,0.0
YLR270W,YBL039C,0,5.630856,0.800000011920929,0.003992015961557627,0.00010002000635722652
YCL035C,YOR297C,1,5.6262774,0.8333333134651184,0.004990019835531712,0.00010002000635722652
YMR250W,YDR346C,1,5.4797125,0.8571428656578064,0.005988024175167084,0.00010002000635722652
YMR250W,YJL101C,1,5.433411,0.875,0.006986028049141169,0.00010002000635722652
YCL035C,YCR083W,1,5.4158363,0.8888888955116272,0.007984031923115253,0.00010002000635722652
YFL014W,YDR353W,1,5.4031963,0.8999999761581421,0.008982036262750626,0.00010002000635722652
YJL101C,YDL021W,0,5.369237,0.8181818127632141,0.008982036262750626,0.00020004001271445304
YMR250W,YNL241C,1,5.3447747,0.8333333134651184,0.009980039671063423,0.00020004001271445304
YMR250W,YDR368W,1,5.2791348,0.8461538553237915,0.010978044010698795,0.00020004001271445304
YGR088W,YJL101C,1,5.247053,0.8571428656578064,0.011976048350334167,0.00020004001271445304
YBR244W,YML007W,1,5.185731,0.8666666746139526,0.012974051758646965,0.00020004001271445304
YKL143W,YBL064C,1,5.122223,0.875,0.013972056098282337,0.00020004001271445304
YML128C,YER049W,0,5.109324,0.8235294222831726,0.013972056098282337,0.0003000600263476372
YBL064C,YCR083W,1,5.099271,0.8333333134651184,0.014970059506595135,0.0003000600263476372
YMR250W,YBR006W,1,5.083352,0.8421052694320679,0.015968063846230507,0.0003000600263476372
YCL040W,YLR270W,0,5.0165367,0.800000011920929,0.015968063846230507,0.0004000800254289061
YGR088W,YNL036W,1,4.9486275,0.8095238208770752,0.016966067254543304,0.0004000800254289061
YGR088W,YDR353W,1,4.9190454,0.8181818127632141,0.01796407252550125,0.0004000800254289061
YMR250W,YHR206W,1,4.9109483,0.8260869383811951,0.01896207593381405,0.0004000800254289061
YBR046C,YBL064C,1,4.9087315,0.8333333134651184,0.019960079342126846,0.0004000800254289061
YMR250W,YPL091W,1,4.896103,0.8399999737739563,0.020958084613084793,0.0004000800254289061
YDR346C,YOR120W,1,4.885865,0.8461538553237915,0.02195608802139759,0.0004000800254289061
YIR037W,YMR250W,1,4.8752007,0.8518518805503845,0.022954091429710388,0.0004000800254289061
YLR178C,YPR052C,0,4.8692513,0.8214285969734192,0.022954091429710388,0.000500100024510175
YKL143W,YOR120W,1,4.8385763,0.8275862336158752,0.023952096700668335,0.000500100024510175
YGR088W,YBR244W,1,4.8190928,0.8333333134651184,0.024950100108981133,0.000500100024510175
YMR250W,YCR083W,1,4.7899723,0.8387096524238586,0.02594810351729393,0.000500100024510175
YFL014W,YMR037C,1,4.7829723,0.84375,0.026946106925606728,0.000500100024510175
YIR037W,YFL014W,1,4.782446,0.8484848737716675,0.027944112196564674,0.000500100024510175
YLR043C,YGR088W,1,4.754801,0.8529411554336548,0.028942115604877472,0.000500100024510175
YGR088W,YDR346C,1,4.750224,0.8571428656578064,0.02994011901319027,0.000500100024510175
YLR178C,YHR046C,0,4.698613,0.8333333134651184,0.02994011901319027,0.0006001200526952744
YFL014W,YLR109W,1,4.693947,0.837837815284729,0.030938124284148216,0.0006001200526952744
YDR453C,YBL064C,1,4.6754713,0.8421052694320679,0.031936127692461014,0.0006001200526952744
YLR043C,YMR250W,1,4.6640987,0.8461538553237915,0.03293413296341896,0.0006001200526952744
YHR104W,YIL008W,1,4.64866,0.8500000238418579,0.03393213450908661,0.0006001200526952744
YMR037C,YDR513W,1,4.6402535,0.8536585569381714,0.034930139780044556,0.0006001200526952744
YMR250W,YKL150W,1,4.5970497,0.8571428656578064,0.0359281450510025,0.0006001200526952744
YMR037C,YOR297C,1,4.570562,0.8604651093482971,0.03692614659667015,0.0006001200526952744
YGR088W,YDR368W,1,4.539543,0.8636363744735718,0.0379241518676281,0.0006001200526952744
YGR088W,YPL091W,1,4.5293493,0.8666666746139526,0.038922157138586044,0.0006001200526952744
YGR088W,YNL099C,1,4.526734,0.8695651888847351,0.03992015868425369,0.0006001200526952744
YMR250W,YNL080C,1,4.526688,0.8723404407501221,0.04091816395521164,0.0006001200526952744
YHR104W,YHR206W,1,4.47733,0.875,0.041916169226169586,0.0006001200526952744
