Gene A,Gene B,Label,Score,Precision,Recall,False Positive Rate
YJR009C,YFL035C,0,-0.12510982,0.0,0.0,0.00011074197391280904
YGR027W-B,YMR321C,0,-0.13437802,0.0,0.0,0.0002214839478256181
YHR065C,YDR261C-C,0,-0.13441098,0.0,0.0,0.0003322258999105543
YIR013C,YGR038C-A,0,-0.13441874,0.0,0.0,0.0004429678956512362
YDR316W-A,YJR056C,0,-0.1344253,0.0,0.0,0.0005537098622880876
YPL257W-A,YMR218C,0,-0.13446003,0.0,0.0,0.0006644517998211086
YGR027W-A,YCR020W-B,0,-0.1344825,0.0,0.0,0.0007751937955617905
YDR034C-D,YDL110C,0,-0.13449243,0.0,0.0,0.0008859357913024724
YPR158C-D,YPL059W,0,-0.1345243,0.0,0.0,0.0009966777870431542
YDR210W-A,YPL111W,0,-0.13452789,0.0,0.0,0.0011074197245761752
YJR040W,YDR210C-C,0,-0.13453773,0.0,0.0,0.0012181616621091962
YDR210C-C,YCR047C,0,-0.13456535,0.0,0.0,0.0013289035996422172
YGR161C-C,YCR020C,0,-0.13460666,0.0,0.0,0.00143964565359056
YKL211C,YOL103W-B,0,-0.13464409,0.0,0.0,0.001550387591123581
YHR143W,YLR256W-A,0,-0.13473336,0.0,0.0,0.001661129528656602
YKL179C,YOL103W-B,0,-0.13480923,0.0,0.0,0.0017718715826049447
YCR077C,YOL103W-B,0,-0.13482223,0.0,0.0,0.0018826135201379657
YNL054W-B,YNL079C,0,-0.13489267,0.0,0.0,0.0019933555740863085
YDR034C-C,YKL084W,0,-0.13489848,0.0,0.0,0.0021040975116193295
YOR343W-A,YDR118W,0,-0.13490573,0.0,0.0,0.0022148394491523504
YPL017C,YFL002W-B,0,-0.13493058,0.0,0.0,0.0023255813866853714
YKL059C,YDR034C-C,0,-0.13493903,0.0,0.0,0.0024363233242183924
YGR027W-A,YNL177C,0,-0.1350793,0.0,0.0,0.0025470652617514133
YGR278W,YPL257W-B,0,-0.1350955,0.0,0.0,0.0026578071992844343
YDR388W,YGR038C-B,0,-0.13514818,0.0,0.0,0.002768549369648099
YGL179C,YPL060C-A,0,-0.13523243,0.0,0.0,0.00287929130718112
YLR410W-B,YMR239C,0,-0.1353502,0.0,0.0,0.002990033244714141
YLR154W-A,YMR106C,0,-0.13535738,0.0,0.0,0.003100775182247162
YLR157C-A,YMR268W-A,0,-0.13543132,0.0,0.0,0.003211517119780183
YNL284C-A,YDR226W,0,-0.13543132,0.0,0.0,0.003322259057313204
YBL101W-A,YLL002W,0,-0.13543132,0.0,0.0,0.003433000994846225
YHL009W-A,YKL156W,0,-0.13543132,0.0,0.0,0.0035437431652098894
YLR157C-A,YHR031C,0,-0.13543132,0.0,0.0,0.0036544851027429104
YOR159C,YDR381C-A,0,-0.13543132,0.0,0.0,0.0037652270402759314
YGR271C-A,YNL284C-A,0,-0.13543132,0.0,0.0,0.0038759689778089523
YMR211W,YDR210W-D,0,-0.13543132,0.0,0.0,0.003986711148172617
YDR381C-A,YJR021C,0,-0.13543132,0.0,0.0,0.004097452852874994
YJL213W,YCL060C,0,-0.13543132,0.0,0.0,0.004208195023238659
YKL163W,YHL009W-A,0,-0.13543132,0.0,0.0,0.004318936727941036
YOL158C,YPR137C-B,0,-0.13543132,0.0,0.0,0.004429678898304701
YPL276W,YOR343C-B,0,-0.13543132,0.0,0.0,0.004540420603007078
YBR234C,YCL048W-A,0,-0.13543132,0.0,0.0,0.004651162773370743
YDR524C-B,YBR230C,0,-0.13543132,0.0,0.0,0.004761904943734407
YPL055C,YNL284C-A,0,-0.13543132,0.0,0.0,0.004872646648436785
YDR210W-D,YLR401C,0,-0.13543132,0.0,0.0,0.004983388818800449
YPL028W,YOR343C-B,0,-0.13543132,0.0,0.0,0.005094130523502827
YNR051C,YDR524C-B,0,-0.13543132,0.0,0.0,0.005204872693866491
YJL108C,YHR214W-G,0,-0.13543132,0.0,0.0,0.005315614398568869
YHL009W-A,YDL197C,0,-0.13543132,0.0,0.0,0.005426356568932533
YLR157C-A,YKL179C,0,-0.13543132,0.0,0.0,0.005537098739296198
YJL191W,YBL008W-A,0,-0.13543132,0.0,0.0,0.005647840443998575
YDR424C,YNL024C-A,0,-0.13543132,0.0,0.0,0.00575858261436224
YDR348C,YDR014W-A,0,-0.13543132,0.0,0.0,0.005869324319064617
YDR381C-A,YDL020C,0,-0.13543132,0.0,0.0,0.005980066489428282
YMR199W,YNL024C-A,0,-0.13543132,0.0,0.0,0.006090808194130659
YNL024C-A,YPL078C,0,-0.13543132,0.0,0.0,0.006201550364494324
YML045W-A,YPL079W,0,-0.13543132,0.0,0.0,0.006312292534857988
YML046W,YHL009W-A,0,-0.13543132,0.0,0.0,0.006423034239560366
YJR092W,YOR343W-A,0,-0.13543132,0.0,0.0,0.00653377640992403
YOL123W,YDR014W-A,0,-0.13543132,0.0,0.0,0.006644518114626408
YDR014W-A,YDR210W,0,-0.13543132,0.0,0.0,0.006755260284990072
YLR272C,YDR381C-A,0,-0.13543132,0.0,0.0,0.00686600198969245
YNL058C,YAR070W-A,0,-0.13543132,0.0,0.0,0.006976744160056114
YJR009C,YHR214W-G,0,-0.13543132,0.0,0.0,0.007087486330419779
YGL203C,YBL101W-B,0,-0.13543132,0.0,0.0,0.007198228035122156
YPL257W-A,YER137C,0,-0.13543132,0.0,0.0,0.007308970205485821
YLR157C-A,YCL027C-A,0,-0.13543132,0.0,0.0,0.007419711910188198
YOR126C,YBL008W-A,0,-0.13543132,0.0,0.0,0.007530454080551863
YGR256W,YBL008W-A,0,-0.13543132,0.0,0.0,0.00764119578525424
YML039W,YFL011W-A,0,-0.13543132,0.0,0.0,0.007751937955617905
YLR157C-A,YGL185C,0,-0.13543132,0.0,0.0,0.007862679660320282
YGR271W,YOR343C-B,0,-0.13543132,0.0,0.0,0.007973422296345234
YOR028C,YHL009W-A,0,-0.13543132,0.0,0.0,0.008084164001047611
YDR421W,YDR210W-D,0,-0.13543132,0.0,0.0,0.008194905705749989
YBL101W-B,YEL059C-A,0,-0.13543132,0.0,0.0,0.008305647410452366
YIL170W,YOR343C-B,0,-0.13543132,0.0,0.0,0.008416390046477318
YIL170W,YPL189C-A,0,-0.13543132,0.0,0.0,0.008527131751179695
YCR052W,YML045W-A,0,-0.13543132,0.0,0.0,0.008637873455882072
YOL107W,YCL060C,0,-0.13543132,0.0,0.0,0.008748616091907024
YLR157C-A,YDL014W,0,-0.13543132,0.0,0.0,0.008859357796609402
