Gene A,Gene B,Label,Score,Precision,Recall,False Positive Rate
YPL032C,YBR230C,0,7.3167095,0.0,0.0,9.999999747378752e-05
YDR043C,YOR212W,1,6.6024847,0.5,0.0010000000474974513,9.999999747378752e-05
YLR270W,YDL192W,0,5.509067,0.3333333432674408,0.0010000000474974513,0.00019999999494757503
YMR217W,YMR169C,0,5.4165163,0.25,0.0010000000474974513,0.0003000000142492354
YDL075W,YML128C,0,5.3353148,0.20000000298023224,0.0010000000474974513,0.00039999998989515007
YDR043C,YDR103W,1,5.1739826,0.3333333432674408,0.0020000000949949026,0.00039999998989515007
YOR212W,YFR008W,0,5.1430283,0.2857142984867096,0.0020000000949949026,0.0005000000237487257
YMR316W,YOR212W,1,5.1348286,0.375,0.003000000026077032,0.0005000000237487257
YBL027W,YBR139W,0,5.082753,0.3333333432674408,0.003000000026077032,0.0006000000284984708
YAL041W,YDR392W,1,5.0522156,0.4000000059604645,0.004000000189989805,0.0006000000284984708
YNL298W,YGL208W,1,4.947016,0.4545454680919647,0.004999999888241291,0.0006000000284984708
YNL119W,YGL208W,1,4.8732495,0.5,0.006000000052154064,0.0006000000284984708
YEL054C,YDR018C,0,4.845721,0.4615384638309479,0.006000000052154064,0.000699999975040555
YBR026C,YDR037W,0,4.814021,0.4285714328289032,0.006000000052154064,0.0007999999797903001
YDR043C,YHL007C,1,4.7657957,0.46666666865348816,0.007000000216066837,0.0007999999797903001
YGL031C,YBL064C,0,4.760306,0.4375,0.007000000216066837,0.0008999999845400453
YDR379W,YOR275C,1,4.7304955,0.47058823704719543,0.00800000037997961,0.0008999999845400453
YOL139C,YDR059C,0,4.671333,0.4444444477558136,0.00800000037997961,0.0010000000474974513
YOR182C,YER039C,0,4.6004887,0.42105263471603394,0.00800000037997961,0.0010999999940395355
YGL121C,YMR116C,1,4.5823164,0.44999998807907104,0.008999999612569809,0.0010999999940395355
YBR083W,YHL007C,1,4.501915,0.4761904776096344,0.009999999776482582,0.0010999999940395355
YNL166C,YBR287W,0,4.5018535,0.4545454680919647,0.009999999776482582,0.0012000000569969416
YBR083W,YDL159W,1,4.441384,0.47826087474823,0.010999999940395355,0.0012000000569969416
YGL208W,YOR212W,1,4.3919473,0.5,0.012000000104308128,0.0012000000569969416
YDR043C,YMR116C,1,4.3020554,0.5199999809265137,0.013000000268220901,0.0012000000569969416
YBL016W,YER113C,1,4.283229,0.5384615659713745,0.014000000432133675,0.0012000000569969416
YNL151C,YER150W,0,4.257066,0.5185185074806213,0.014000000432133675,0.0013000000035390258
