Gene A,Gene B,Label,Score,Precision,Recall,False Positive Rate
YGL172W,YHR197W,1,9.003401,1.0,0.002463054144755006,0.0
YGR245C,YKL143W,1,8.802736,1.0,0.004926108289510012,0.0
YGR245C,YDR361C,1,8.767366,1.0,0.007389162667095661,0.0
YCR047C,YNR053C,1,8.0376625,1.0,0.009852216579020023,0.0
YGR245C,YPL146C,1,7.9991355,1.0,0.012315270490944386,0.0
YGR245C,YOR206W,1,7.7476597,1.0,0.014778325334191322,0.0
YAL059W,YNR053C,1,7.7254896,1.0,0.017241379246115685,0.0
YGR245C,YHR170W,1,7.6893787,1.0,0.019704433158040047,0.0
YGL099W,YDR091C,1,7.5705,1.0,0.02216748706996441,0.0
YNR053C,YKL143W,1,7.5461626,1.0,0.02463054098188877,0.0
YGR245C,YNR053C,1,7.5248446,1.0,0.027093596756458282,0.0
YGR245C,YDR091C,1,7.4427843,1.0,0.029556650668382645,0.0
YGL099W,YKL143W,1,7.233552,1.0,0.03201970458030701,0.0
YHR170W,YHR197W,1,7.210188,1.0,0.03448275849223137,0.0
YDR361C,YHR197W,1,7.2043877,1.0,0.03694581240415573,0.0
YGL172W,YDR361C,1,7.168359,1.0,0.03940886631608009,0.0
YOR206W,YHR197W,1,7.117193,1.0,0.041871920228004456,0.0
YER036C,YPL146C,1,7.0977936,1.0,0.04433497413992882,0.0
YPL169C,YHR170W,1,7.046039,1.0,0.04679802805185318,0.0
YGR245C,YAL059W,1,7.0293684,1.0,0.04926108196377754,0.0
YDR091C,YPL146C,1,6.9442325,1.0,0.0517241396009922,0.0
YDR091C,YDR361C,1,6.940943,1.0,0.054187193512916565,0.0
YER036C,YDR361C,1,6.91061,1.0,0.05665024742484093,0.0
YHR170W,YPL146C,1,6.8599854,1.0,0.05911330133676529,0.0
YGL099W,YPL146C,1,6.7975626,1.0,0.06157635524868965,0.0
YER036C,YHR170W,1,6.786213,1.0,0.06403940916061401,0.0
YGL099W,YNR053C,1,6.7793865,1.0,0.06650245934724808,0.0
YAL059W,YCR047C,1,6.7640715,1.0,0.06896551698446274,0.0
YPL146C,YDR361C,1,6.7270193,1.0,0.0714285746216774,0.0
YHR170W,YKL143W,1,6.6884785,1.0,0.07389162480831146,0.0
YHR170W,YDR361C,1,6.663105,1.0,0.07635468244552612,0.0
YGL099W,YHR170W,1,6.61777,1.0,0.07881773263216019,0.0
YGR245C,YGL172W,1,6.5417786,1.0,0.08128079026937485,0.0
YOR206W,YKL143W,1,6.5157814,1.0,0.08374384045600891,0.0
YLL034C,YHR197W,1,6.506422,1.0,0.08620689809322357,0.0
YKL143W,YPL146C,1,6.461755,1.0,0.08866994827985764,0.0
YPL169C,YDR361C,1,6.4138384,1.0,0.0911330059170723,0.0
YPL169C,YHR197W,1,6.412119,1.0,0.09359605610370636,0.0
YER036C,YGL172W,1,6.403123,1.0,0.09605911374092102,0.0
YHR170W,YGL172W,1,6.3945417,1.0,0.09852216392755508,0.0
YOR206W,YNR053C,1,6.3917327,1.0,0.10098522156476974,0.0
YDR091C,YHR170W,1,6.3720984,1.0,0.1034482792019844,0.0
YNR053C,YPL146C,1,6.357544,1.0,0.10591132938861847,0.0
YGL099W,YER036C,1,6.3316526,1.0,0.10837438702583313,0.0
YGL099W,YGL172W,1,6.313039,1.0,0.1108374372124672,0.0
YHR170W,YNR053C,1,6.2881374,1.0,0.11330049484968185,0.0
YGR245C,YHR197W,1,6.28576,1.0,0.11576354503631592,0.0
YHR170W,YPL093W,1,6.271703,1.0,0.11822660267353058,0.0
YGL099W,YCR047C,1,6.255957,1.0,0.12068965286016464,0.0
YDR091C,YGL172W,1,6.2189503,1.0,0.1231527104973793,0.0
YJL190C,YDR064W,0,6.1967626,0.9803921580314636,0.1231527104973793,0.00024630542611703277
YPL169C,YKL143W,1,6.1718616,0.9807692170143127,0.12561576068401337,0.00024630542611703277
YDR091C,YKL143W,1,6.164752,0.9811320900917053,0.12807881832122803,0.00024630542611703277
YGL099W,YHR197W,1,6.1621447,0.9814814925193787,0.1305418759584427,0.00024630542611703277
YGL099W,YDR361C,1,6.1456127,0.9818181991577148,0.13300491869449615,0.00024630542611703277
YDR091C,YHR197W,1,6.142087,0.9821428656578064,0.13546797633171082,0.00024630542611703277
YOR310C,YDR212W,0,6.090694,0.9649122953414917,0.13546797633171082,0.0004926108522340655
YNR053C,YDR361C,1,6.072322,0.9655172228813171,0.13793103396892548,0.0004926108522340655
YCR047C,YPL146C,1,6.056949,0.9661017060279846,0.14039409160614014,0.0004926108522340655
YNR053C,YGL172W,1,6.030143,0.9666666388511658,0.1428571492433548,0.0004926108522340655
YOR206W,YPL146C,1,6.0267277,0.9672130942344666,0.14532019197940826,0.0004926108522340655
YOR206W,YDR361C,1,6.020744,0.9677419066429138,0.14778324961662292,0.0004926108522340655
YGL099W,YGR245C,1,6.0082912,0.9682539701461792,0.15024630725383759,0.0004926108522340655
YDR091C,YPL093W,1,5.993231,0.96875,0.15270936489105225,0.0004926108522340655
YGL099W,YAL059W,1,5.99111,0.9692307710647583,0.1551724076271057,0.0004926108522340655
YER036C,YHR197W,1,5.9633026,0.9696969985961914,0.15763546526432037,0.0004926108522340655
YER036C,YNR053C,1,5.930267,0.9701492786407471,0.16009852290153503,0.0004926108522340655
YDR091C,YNR053C,1,5.9293137,0.970588207244873,0.1625615805387497,0.0004926108522340655
YGL172W,YPL093W,1,5.911909,0.9710144996643066,0.16502462327480316,0.0004926108522340655
YAL059W,YDR091C,1,5.896735,0.9714285731315613,0.16748768091201782,0.0004926108522340655
YAL059W,YKL143W,1,5.8576727,0.9718309640884399,0.16995073854923248,0.0004926108522340655
YER036C,YKL143W,1,5.8485546,0.9722222089767456,0.17241379618644714,0.0004926108522340655
YCR047C,YHR170W,1,5.807123,0.9726027250289917,0.1748768538236618,0.0004926108522340655
YPR016C,YDR091C,1,5.803682,0.9729729890823364,0.17733989655971527,0.0004926108522340655
YMR235C,YPL093W,1,5.8012,0.9733333587646484,0.17980295419692993,0.0004926108522340655
YOR206W,YHR170W,1,5.7870536,0.9736841917037964,0.1822660118341446,0.0004926108522340655
YCR047C,YPL093W,1,5.776486,0.9740259647369385,0.18472906947135925,0.0004926108522340655
YPR016C,YER036C,1,5.760908,0.9743589758872986,0.18719211220741272,0.0004926108522340655
YAL059W,YHR170W,1,5.716877,0.9746835231781006,0.18965516984462738,0.0004926108522340655
YKL143W,YDR361C,1,5.6828136,0.9750000238418579,0.19211822748184204,0.0004926108522340655
YPL146C,YHR197W,1,5.6463227,0.9753086566925049,0.1945812851190567,0.0004926108522340655
YER036C,YLL034C,1,5.6386013,0.9756097793579102,0.19704432785511017,0.0004926108522340655
YIL115C,YPL093W,1,5.5750093,0.9759036302566528,0.19950738549232483,0.0004926108522340655
YAL059W,YPL146C,1,5.567845,0.976190447807312,0.2019704431295395,0.0004926108522340655
YPL169C,YPL093W,1,5.5038595,0.9764705896377563,0.20443350076675415,0.0004926108522340655
YGR245C,YER036C,1,5.476609,0.9767441749572754,0.2068965584039688,0.0004926108522340655
YCR047C,YDR091C,1,5.46418,0.977011501789093,0.20935960114002228,0.0004926108522340655
YPL093W,YDR361C,1,5.4284353,0.9772727489471436,0.21182265877723694,0.0004926108522340655
YMR235C,YHR197W,1,5.424143,0.9775280952453613,0.2142857164144516,0.0004926108522340655
YAL059W,YHR197W,1,5.4239006,0.9777777791023254,0.21674877405166626,0.0004926108522340655
YER125W,YHR197W,1,5.4227514,0.9780219793319702,0.21921181678771973,0.0004926108522340655
YER036C,YCR047C,1,5.4021044,0.97826087474823,0.2216748744249344,0.0004926108522340655
YMR290C,YOR145C,0,5.392822,0.9677419066429138,0.2216748744249344,0.0007389162783510983
YGL097W,YDR091C,1,5.3623705,0.9680851101875305,0.22413793206214905,0.0007389162783510983
YPL169C,YPL146C,1,5.353652,0.9684210419654846,0.2266009896993637,0.0007389162783510983
YLR196W,YNL308C,0,5.3412533,0.9583333134651184,0.2266009896993637,0.000985221704468131
YLL034C,YHR170W,1,5.324401,0.9587628841400146,0.22906403243541718,0.000985221704468131
YPL146C,YMR235C,1,5.320447,0.9591836929321289,0.23152709007263184,0.000985221704468131
YCR047C,YDR361C,1,5.254669,0.9595959782600403,0.2339901477098465,0.000985221704468131
YOR206W,YPL093W,1,5.241085,0.9599999785423279,0.23645320534706116,0.000985221704468131
YGL099W,YOR206W,1,5.235488,0.9603960514068604,0.23891626298427582,0.000985221704468131
YLL034C,YDR361C,1,5.202724,0.9607843160629272,0.24137930572032928,0.000985221704468131
YOR206W,YCR047C,1,5.174988,0.9611650705337524,0.24384236335754395,0.000985221704468131
YLR347C,YER025W,0,5.1685586,0.9519230723381042,0.24384236335754395,0.001231527072377503
YPL169C,YNR053C,1,5.156798,0.9523809552192688,0.2463054209947586,0.001231527072377503
YPL093W,YHR197W,1,5.146618,0.9528301954269409,0.24876847863197327,0.001231527072377503
YIL115C,YHR197W,1,5.0777245,0.9532710313796997,0.25123152136802673,0.001231527072377503
YCR047C,YKL143W,1,5.059885,0.9537037014961243,0.2536945939064026,0.001231527072377503
YPR016C,YPL169C,1,5.0448723,0.9541284441947937,0.25615763664245605,0.001231527072377503
YLL034C,YKL143W,1,5.0392885,0.9545454382896423,0.2586206793785095,0.001231527072377503
YGR245C,YLL034C,1,5.0055485,0.954954981803894,0.2610837519168854,0.001231527072377503
YOR206W,YER036C,1,4.9940195,0.9553571343421936,0.26354679465293884,0.001231527072377503
YGR245C,YMR235C,1,4.9313517,0.9557521939277649,0.2660098373889923,0.001231527072377503
YKL143W,YHR197W,1,4.9308395,0.9561403393745422,0.26847290992736816,0.001231527072377503
YLL034C,YPL146C,1,4.9205933,0.95652174949646,0.27093595266342163,0.001231527072377503
YDR091C,YLL034C,1,4.8983564,0.9568965435028076,0.2733990252017975,0.001231527072377503
YER036C,YDR091C,1,4.8831344,0.9572649598121643,0.27586206793785095,0.001231527072377503
YKL143W,YPL093W,1,4.835906,0.9576271176338196,0.2783251106739044,0.001231527072377503
YAL059W,YLL034C,1,4.819783,0.9579831957817078,0.2807881832122803,0.001231527072377503
YNR053C,YHR197W,1,4.7271557,0.9583333134651184,0.28325122594833374,0.001231527072377503
YHR170W,YMR235C,1,4.663515,0.9586777091026306,0.2857142984867096,0.001231527072377503
YCR031C,YKL156W,0,4.6587706,0.9508196711540222,0.2857142984867096,0.0014778325567021966
YAL059W,YDR361C,1,4.5997543,0.9512194991111755,0.28817734122276306,0.0014778325567021966
YPR016C,YHR197W,1,4.5900855,0.9516128897666931,0.29064038395881653,0.0014778325567021966
YIL115C,YDR361C,1,4.5850325,0.9520000219345093,0.2931034564971924,0.0014778325567021966
YPR016C,YLL034C,1,4.5848513,0.9523809552192688,0.29556649923324585,0.0014778325567021966
YGR229C,YER127W,0,4.5720463,0.9448819160461426,0.29556649923324585,0.0017241379246115685
YGR245C,YCR047C,1,4.5368013,0.9453125,0.2980295419692993,0.0017241379246115685
YGR245C,YER125W,1,4.5281744,0.9457364082336426,0.30049261450767517,0.0017241379246115685
YKL143W,YER125W,1,4.525217,0.9461538195610046,0.30295565724372864,0.0017241379246115685
YGR245C,YPL169C,1,4.5100727,0.9465649127960205,0.3054187297821045,0.0017241379246115685
YDR267C,YDR091C,1,4.509397,0.9469696879386902,0.30788177251815796,0.0017241379246115685
