Gene A,Gene B,Label,Score,Precision,Recall,False Positive Rate
YLR196W,YPR112C,1,1.7796614,1.0,0.0009842519648373127,0.0
YOL041C,YPL043W,1,1.6488181,1.0,0.0019685039296746254,0.0
YDR412W,YNL075W,1,1.5984389,1.0,0.002952755894511938,0.0
YPL126W,YER006W,1,1.506075,1.0,0.003937007859349251,0.0
YLR068W,YML093W,1,1.4294379,1.0,0.0049212598241865635,0.0
YDL031W,YPR143W,1,1.397991,1.0,0.005905511789023876,0.0
YGR081C,YHR085W,1,1.309405,1.0,0.006889763753861189,0.0
YER082C,YLL008W,1,1.2874268,1.0,0.007874015718698502,0.0
YAL025C,YBR247C,1,1.2434243,1.0,0.008858268149197102,0.0
YML093W,YHR197W,1,1.2059739,1.0,0.009842519648373127,0.0
YER126C,YGR145W,1,1.1321329,1.0,0.010826772078871727,0.0
YPL126W,YPL266W,1,1.1160058,1.0,0.011811023578047752,0.0
YCR057C,YER006W,1,1.1123577,1.0,0.012795276008546352,0.0
YER126C,YMR239C,1,1.0948915,1.0,0.013779527507722378,0.0
YNL002C,YLL011W,1,1.0807742,1.0,0.014763779938220978,0.0
YPL043W,YMR239C,1,1.0683427,1.0,0.015748031437397003,0.0
YPL146C,YLR409C,1,1.0657294,1.0,0.01673228293657303,0.0
YDL153C,YHR065C,1,1.016892,1.0,0.017716536298394203,0.0
YBR247C,YHR169W,1,1.0057504,1.0,0.01870078779757023,0.0
YGL078C,YOR004W,1,1.0038366,1.0,0.019685039296746254,0.0
YJL050W,YML093W,1,0.9701657,1.0,0.02066929079592228,0.0
YNR024W,YDL213C,1,0.9251048,1.0,0.021653544157743454,0.0
YMR131C,YDL148C,1,0.89015675,1.0,0.02263779565691948,0.0
YPL093W,YMR093W,1,0.8804243,1.0,0.023622047156095505,0.0
YPL146C,YNL182C,1,0.855891,1.0,0.02460629865527153,0.0
YER102W,YER006W,1,0.85125697,1.0,0.025590552017092705,0.0
YLR051C,YML093W,1,0.8327648,1.0,0.02657480351626873,0.0
YLL011W,YDR398W,1,0.8230858,1.0,0.027559055015444756,0.0
YNL061W,YGR280C,1,0.80144715,1.0,0.02854330651462078,0.0
YGR145W,YCL059C,1,0.7858677,1.0,0.029527559876441956,0.0
YHR065C,YLL008W,1,0.7707171,1.0,0.03051181137561798,0.0
YGR128C,YDR365C,1,0.7617859,1.0,0.031496062874794006,0.0
YGL171W,YOR310C,1,0.7346188,1.0,0.03248031437397003,0.0
YJL033W,YER127W,1,0.7267935,1.0,0.03346456587314606,0.0
YDR087C,YER002W,1,0.72668725,1.0,0.03444881737232208,0.0
YER126C,YLR435W,1,0.7228882,1.0,0.035433072596788406,0.0
YNL002C,YNL182C,1,0.7116044,1.0,0.03641732409596443,0.0
YER126C,YHR196W,1,0.7018268,1.0,0.03740157559514046,0.0
YDR449C,YLR197W,1,0.69795734,1.0,0.03838582709431648,0.0
YNL075W,YER082C,1,0.68560624,1.0,0.03937007859349251,0.0
YGR145W,YGR081C,1,0.65231156,1.0,0.04035433009266853,0.0
YLR196W,YGL029W,1,0.6187685,1.0,0.04133858159184456,0.0
YDR087C,YLR002C,1,0.6173163,1.0,0.042322833091020584,0.0
YMR049C,YMR093W,1,0.5915985,1.0,0.04330708831548691,0.0
YNL308C,YER006W,1,0.58757687,1.0,0.04429133981466293,0.0
YJL050W,YOR004W,1,0.5835615,1.0,0.04527559131383896,0.0
YGR271C-A,YHR197W,1,0.5703783,1.0,0.046259842813014984,0.0
YDR449C,YHR197W,1,0.5476611,1.0,0.04724409431219101,0.0
YPL146C,YOL041C,1,0.54734266,1.0,0.048228345811367035,0.0
YDL148C,YMR229C,1,0.54447937,1.0,0.04921259731054306,0.0
YDR299W,YOR004W,1,0.5206445,1.0,0.050196848809719086,0.0
YGR145W,YOL080C,1,0.5130283,1.0,0.05118110403418541,0.0
YLR197W,YER082C,1,0.48961475,1.0,0.052165355533361435,0.0
YIL019W,YCL059C,1,0.48588347,1.0,0.05314960703253746,0.0
YBR142W,YHR081W,1,0.4843794,1.0,0.054133858531713486,0.0
YDL148C,YKR081C,1,0.47865945,1.0,0.05511811003088951,0.0
YGL078C,YFL002C,1,0.45376924,1.0,0.056102361530065536,0.0
YAL025C,YLR074C,0,0.42413887,0.982758641242981,0.056102361530065536,0.00010016025771619752
YBR142W,YDR083W,1,0.408663,0.9830508232116699,0.05708661302924156,0.00010016025771619752
