Gene A,Gene B,Label,Score,Precision,Recall,False Positive Rate
YIL066C,YPR175W,1,13.2359085,1.0,0.000994035741314292,0.0
YIL066C,YDR013W,1,13.004803,1.0,0.001988071482628584,0.0
YER070W,YDR489W,1,12.954245,1.0,0.0029821074567735195,0.0
YPR052C,YHR154W,1,12.267137,1.0,0.003976142965257168,0.0
YDR447C,YNL126W,0,12.110387,0.800000011920929,0.003976142965257168,0.00010006003867601976
YER070W,YLR103C,1,11.64493,0.8333333134651184,0.004970178939402103,0.00010006003867601976
YBL009W,YDL049C,0,11.616358,0.7142857313156128,0.004970178939402103,0.00020012007735203952
YGR108W,YOL060C,0,11.568411,0.625,0.004970178939402103,0.00030018010875210166
YOL017W,YBR070C,1,11.422564,0.6666666865348816,0.005964214913547039,0.00030018010875210166
YBL035C,YHL024W,1,11.3249235,0.699999988079071,0.006958250422030687,0.00030018010875210166
YJL026W,YOR346W,1,11.29393,0.7272727489471436,0.007952285930514336,0.00030018010875210166
YNL273W,YBR088C,1,10.591944,0.75,0.008946321904659271,0.00030018010875210166
YPL043W,YDL164C,0,10.555252,0.692307710647583,0.008946321904659271,0.00040024015470407903
YPR151C,YER081W,0,10.456839,0.6428571343421936,0.008946321904659271,0.0005003002006560564
YML093W,YKL045W,0,10.291019,0.6000000238418579,0.008946321904659271,0.0006003602175042033
YGR209C,YGR109C,1,10.2729645,0.625,0.009940357878804207,0.0006003602175042033
YDR488C,YGR109C,1,10.25148,0.6470588445663452,0.010934393852949142,0.0006003602175042033
YNL312W,YGR109C,1,10.166241,0.6666666865348816,0.011928429827094078,0.0006003602175042033
YLR103C,YAR007C,1,10.070631,0.6842105388641357,0.012922464869916439,0.0006003602175042033
YNL102W,YGR221C,1,10.033247,0.699999988079071,0.013916500844061375,0.0006003602175042033
YML065W,YBR088C,1,10.021829,0.7142857313156128,0.01491053681820631,0.0006003602175042033
YPR175W,YLR002C,1,10.0187435,0.7272727489471436,0.01590457186102867,0.0006003602175042033
YJL177W,YDL030W,0,9.892867,0.695652186870575,0.01590457186102867,0.0007004202343523502
YJL026W,YBL023C,1,9.852201,0.7083333134651184,0.016898607835173607,0.0007004202343523502
YNL312W,YHR031C,1,9.7962265,0.7200000286102295,0.017892643809318542,0.0007004202343523502
YLR002C,YML058W,1,9.771947,0.7307692170143127,0.018886679783463478,0.0007004202343523502
YLR116W,YOR265W,0,9.770037,0.7037037014961243,0.018886679783463478,0.0008004803094081581
YGL029W,YOL034W,0,9.723772,0.6785714030265808,0.018886679783463478,0.000900540326256305
YNL290W,YPR052C,1,9.616392,0.6896551847457886,0.019880715757608414,0.000900540326256305
YML027W,YPR019W,1,9.612445,0.699999988079071,0.02087475173175335,0.000900540326256305
YLL004W,YGR109C,1,9.586715,0.7096773982048035,0.021868787705898285,0.000900540326256305
YCR072C,YCR086W,0,9.547447,0.6875,0.021868787705898285,0.0010006004013121128
YNR011C,YDR418W,0,9.365631,0.6666666865348816,0.021868787705898285,0.0011006604181602597
YPR162C,YDR501W,1,9.344225,0.6764705777168274,0.02286282368004322,0.0011006604181602597
YLR313C,YML027W,1,9.2943535,0.6857143044471741,0.023856859654188156,0.0011006604181602597
YDR501W,YGR109C,1,9.291885,0.6944444179534912,0.024850893765687943,0.0011006604181602597
YNL218W,YBL031W,1,9.262959,0.7027027010917664,0.025844929739832878,0.0011006604181602597
YPL153C,YGR109C,1,9.2387295,0.7105262875556946,0.026838965713977814,0.0011006604181602597
YER070W,YOR144C,1,9.201958,0.7179487347602844,0.02783300168812275,0.0011006604181602597
YDL003W,YNR012W,0,9.192097,0.699999988079071,0.02783300168812275,0.0012007204350084066
YNL312W,YER070W,1,9.189106,0.707317054271698,0.028827037662267685,0.0012007204350084066
YLR442C,YPL241C,0,9.117108,0.6904761791229248,0.028827037662267685,0.0013007804518565536
YHR154W,YBR070C,1,9.106758,0.6976743936538696,0.02982107363641262,0.0013007804518565536
YBR057C,YGR109C,1,9.076939,0.7045454382896423,0.030815109610557556,0.0013007804518565536
YGR279C,YLR277C,0,9.070542,0.6888889074325562,0.030815109610557556,0.0014008404687047005
YJL026W,YGL113W,1,9.041017,0.695652186870575,0.03180914372205734,0.0014008404687047005
YJL148W,YBR203W,0,9.0202875,0.6808510422706604,0.03180914372205734,0.0015009004855528474
YBL035C,YJL073W,1,8.918245,0.6875,0.03280318155884743,0.0015009004855528474
YER129W,YDR501W,1,8.898212,0.6938775777816772,0.033797215670347214,0.0015009004855528474
YPL055C,YGR109C,1,8.827396,0.699999988079071,0.0347912535071373,0.0015009004855528474
YNL072W,YCL061C,1,8.775051,0.7058823704719543,0.035785287618637085,0.0015009004855528474
YJL173C,YMR078C,1,8.766233,0.7115384340286255,0.03677932545542717,0.0015009004855528474
YBL031W,YPR120C,1,8.763532,0.7169811129570007,0.037773359566926956,0.0015009004855528474
YDR488C,YHL024W,1,8.746354,0.7222222089767456,0.03876739740371704,0.0015009004855528474
YOR049C,YBR038W,0,8.745136,0.7090908885002136,0.03876739740371704,0.0016009606188163161
YMR001C,YGL201C,1,8.711984,0.7142857313156128,0.03976143151521683,0.0016009606188163161
YDR120C,YNL111C,0,8.569074,0.7017543911933899,0.03976143151521683,0.001701020635664463
YDR013W,YAR007C,1,8.552138,0.7068965435028076,0.040755465626716614,0.001701020635664463
YOL017W,YLR103C,1,8.548742,0.7118644118309021,0.0417495034635067,0.001701020635664463
YBR089C-A,YLR154C,1,8.512512,0.7166666388511658,0.042743537575006485,0.001701020635664463
YKL113C,YBL031W,1,8.4900675,0.7213114500045776,0.04373757541179657,0.001701020635664463
YHL024W,YCL061C,1,8.478261,0.725806474685669,0.044731609523296356,0.001701020635664463
