Gene A,Gene B,Label,Score,Precision,Recall,False Positive Rate
YLR312W-A,YMR024W,1,15.144384,1.0,0.0009950249223038554,0.0
YGR084C,YDR337W,1,13.210374,1.0,0.001990049844607711,0.0
YDR115W,YJL096W,1,13.083065,1.0,0.0029850746504962444,0.0
YKR085C,YOL023W,1,12.992077,1.0,0.003980099689215422,0.0
YLR312W-A,YNL137C,1,12.722609,1.0,0.004975124262273312,0.0
YDR322W,YBL090W,1,12.4928055,1.0,0.005970149300992489,0.0
YHR147C,YOL023W,1,12.469076,1.0,0.006965174339711666,0.0
YOL023W,YNR037C,1,12.226181,1.0,0.007960199378430843,0.0
YGR084C,YGR215W,1,12.201069,1.0,0.008955223485827446,0.0
YCR003W,YDR322W,1,12.125948,1.0,0.009950248524546623,0.0
YGR165W,YML025C,1,12.000492,1.0,0.0109452735632658,0.0
YDR237W,YBR282W,1,11.983921,1.0,0.011940298601984978,0.0
YOL023W,YPR166C,1,11.958315,1.0,0.012935323640704155,0.0
YMR024W,YNL284C,1,11.840748,1.0,0.013930348679423332,0.0
YKR085C,YHL004W,1,11.811481,1.0,0.014925372786819935,0.0
YOL023W,YDR337W,1,11.755372,1.0,0.015920398756861687,0.0
YNL185C,YGR165W,1,11.72434,1.0,0.016915423795580864,0.0
YDR237W,YJR113C,1,11.722194,1.0,0.017910446971654892,0.0
YLR312W-A,YCR003W,1,11.620819,1.0,0.01890547201037407,0.0
YDR322W,YJR113C,1,11.586697,1.0,0.019900497049093246,0.0
YMR024W,YKR085C,1,11.53739,1.0,0.020895522087812424,0.0
YNL073W,YJL063C,1,11.42605,1.0,0.0218905471265316,0.0
YMR024W,YDR337W,1,11.413593,1.0,0.022885572165250778,0.0
YJL063C,YNL005C,1,11.396395,1.0,0.023880597203969955,0.0
YLR312W-A,YPL118W,1,11.345772,1.0,0.024875622242689133,0.0
YDR115W,YDR337W,1,11.136946,1.0,0.02587064728140831,0.0
YHL004W,YJR113C,1,11.119522,1.0,0.026865672320127487,0.0
YJR101W,YOL023W,1,11.063623,1.0,0.027860697358846664,0.0
YNL306W,YDR116C,1,11.0167885,1.0,0.028855720534920692,0.0
YDR115W,YNL252C,1,10.983246,1.0,0.02985074557363987,0.0
YHL004W,YDR337W,1,10.937855,1.0,0.030845770612359047,0.0
YJR101W,YMR193W,1,10.896003,1.0,0.03184079751372337,0.0
YDR322W,YNL252C,1,10.866084,1.0,0.03283582255244255,0.0
YDR115W,YCR003W,1,10.85482,1.0,0.03383084759116173,0.0
YDR322W,YPR047W,1,10.834301,1.0,0.03482586890459061,0.0
YHL004W,YBR122C,1,10.764931,1.0,0.035820893943309784,0.0
YJR101W,YLR312W-A,1,10.693154,1.0,0.03681591898202896,0.0
YMR024W,YBR282W,1,10.648503,1.0,0.03781094402074814,0.0
YLR312W-A,YBL090W,1,10.644967,1.0,0.038805969059467316,0.0
YMR188C,YKR085C,1,10.643465,1.0,0.03980099409818649,0.0
YPL104W,YGR215W,1,10.579132,1.0,0.04079601913690567,0.0
YNL185C,YML025C,1,10.553711,1.0,0.04179104417562485,0.0
YJL063C,YDR116C,1,10.551634,1.0,0.042786069214344025,0.0
YBR146W,YOR150W,1,10.55085,1.0,0.0437810942530632,0.0
YCR046C,YNL252C,1,10.529434,1.0,0.04477611929178238,0.0
YJL063C,YMR188C,1,10.510998,1.0,0.045771144330501556,0.0
YDR115W,YBR251W,1,10.502573,1.0,0.046766169369220734,0.0
YHL004W,YOR158W,1,10.402731,1.0,0.04776119440793991,0.0
YLR312W-A,YMR158W,1,10.388159,1.0,0.04875621944665909,0.0
YMR024W,YGR165W,1,10.331266,1.0,0.049751244485378265,0.0
YMR024W,YHR091C,1,10.307236,1.0,0.05074626952409744,0.0
YKR085C,YPL104W,1,10.264877,1.0,0.05174129456281662,0.0
