Gene A,Gene B,Label,Score,Precision,Recall,False Positive Rate
YFL033C,YDL079C,1,0.12970158,1.0,0.0009861933067440987,0.0
YDL079C,YOL100W,1,0.121394455,1.0,0.0019723866134881973,0.0
YOL100W,YBR059C,1,0.11517188,1.0,0.002958579920232296,0.0
YMR139W,YKL198C,1,0.110498264,1.0,0.003944773226976395,0.0
YDL079C,YNR047W,1,0.10704569,1.0,0.004930966533720493,0.0
YMR139W,YJL164C,1,0.10467561,1.0,0.005917159840464592,0.0
YJL141C,YPL203W,1,0.09993773,1.0,0.006903353147208691,0.0
YDL079C,YGL134W,1,0.09783086,1.0,0.00788954645395279,0.0
YPL042C,YJR059W,1,0.097658105,1.0,0.008875739760696888,0.0
YBR059C,YJL164C,1,0.09593083,1.0,0.009861933067440987,0.0
YDL079C,YOR039W,1,0.09147558,1.0,0.010848126374185085,0.0
YJL095W,YJL141C,1,0.091054745,1.0,0.011834319680929184,0.0
YPR192W,YJL005W,0,0.09027498,0.9230769276618958,0.011834319680929184,0.00010014019790105522
YDL079C,YMR139W,1,0.08677913,0.9285714030265808,0.012820512987673283,0.00010014019790105522
YDL214C,YPL140C,1,0.0858781,0.9333333373069763,0.013806706294417381,0.00010014019790105522
YCR008W,YPL204W,1,0.08442971,0.9375,0.01479289960116148,0.00010014019790105522
YJL164C,YPL204W,1,0.08207299,0.9411764740943909,0.01577909290790558,0.00010014019790105522
YHR082C,YMR139W,1,0.08125697,0.9444444179534912,0.016765285283327103,0.00010014019790105522
YCR073C,YKL161C,1,0.080013774,0.9473684430122375,0.017751479521393776,0.00010014019790105522
YLL019C,YMR036C,1,0.078469776,0.949999988079071,0.0187376718968153,0.00010014019790105522
YDR003W,YOL068C,0,0.077460825,0.9047619104385376,0.0187376718968153,0.00020028039580211043
YHL027W,YNL091W,0,0.07734709,0.8636363744735718,0.0187376718968153,0.00030042059370316565
YDL092W,YDR139C,0,0.07702084,0.8260869383811951,0.0187376718968153,0.00040056079160422087
YKR062W,YMR188C,0,0.07546641,0.7916666865348816,0.0187376718968153,0.0005007009604014456
YBL050W,YFR033C,0,0.07477617,0.7599999904632568,0.0187376718968153,0.0006008411874063313
YLR238W,YBR059C,0,0.07432611,0.7307692170143127,0.0187376718968153,0.0007009813562035561
YJL141C,YNR047W,1,0.07374707,0.7407407164573669,0.019723866134881973,0.0007009813562035561
YLL019C,YJL141C,1,0.073701985,0.75,0.020710058510303497,0.0007009813562035561
YOL045W,YER129W,1,0.07367079,0.7586206793785095,0.02169625274837017,0.0007009813562035561
YGL180W,YHR102W,1,0.07347629,0.7666666507720947,0.022682445123791695,0.0007009813562035561
YGR227W,YJR057W,0,0.07207081,0.7419354915618896,0.022682445123791695,0.0008011215832084417
YDL010W,YML130C,0,0.071935534,0.71875,0.022682445123791695,0.0009012617520056665
YPL204W,YGL013C,0,0.07176446,0.6969696879386902,0.022682445123791695,0.0010014019208028913
YIL050W,YDR122W,1,0.07091048,0.7058823704719543,0.023668639361858368,0.0010014019208028913
YGR032W,YFL048C,0,0.070295215,0.6857143044471741,0.023668639361858368,0.001101542147807777
YHR082C,YBR059C,1,0.06997665,0.6944444179534912,0.024654831737279892,0.001101542147807777
YPR149W,YLR327C,0,0.06970352,0.6756756901741028,0.024654831737279892,0.0012016823748126626
YGL180W,YBR059C,1,0.06946406,0.6842105388641357,0.025641025975346565,0.0012016823748126626
YLR038C,YNL129W,0,0.069266446,0.6666666865348816,0.025641025975346565,0.0013018226018175483
YMR139W,YKL048C,1,0.06794153,0.675000011920929,0.02662721835076809,0.0013018226018175483
YDL122W,YNL009W,0,0.067473955,0.6585366129875183,0.02662721835076809,0.0014019627124071121
YLL019C,YOR039W,1,0.067427605,0.6666666865348816,0.027613412588834763,0.0014019627124071121
YDR006C,YDR194C,0,0.06664166,0.6511628031730652,0.027613412588834763,0.0015021029394119978
YJL141C,YML112W,1,0.06655636,0.6590909361839294,0.028599604964256287,0.0015021029394119978
YDR247W,YGL156W,0,0.06645112,0.644444465637207,0.028599604964256287,0.0016022431664168835
YNR001C,YNL015W,0,0.06633493,0.6304348111152649,0.028599604964256287,0.0017023833934217691
YOL151W,YOR106W,0,0.06628376,0.6170212626457214,0.028599604964256287,0.001802523504011333
YMR004W,YER148W,0,0.065835245,0.6041666865348816,0.028599604964256287,0.0019026637310162187
YPL204W,YDR291W,0,0.06580195,0.5918367505073547,0.028599604964256287,0.0020028038416057825
YHR152W,YHR067W,0,0.06565609,0.5799999833106995,0.028599604964256287,0.002102944068610668
YMR139W,YOR267C,1,0.06541106,0.5882353186607361,0.02958579920232296,0.002102944068610668
YKL166C,YJL057C,1,0.06508731,0.5961538553237915,0.030571991577744484,0.002102944068610668
YGL048C,YNR010W,0,0.06505696,0.5849056839942932,0.030571991577744484,0.002203084295615554
YJL057C,YOL100W,1,0.06484651,0.5925925970077515,0.03155818581581116,0.002203084295615554
YJL140W,YLR369W,0,0.06478661,0.581818163394928,0.03155818581581116,0.0023032245226204395
YPR006C,YMR019W,0,0.06454097,0.5714285969734192,0.03155818581581116,0.002403364749625325
YHR079C,YOL113W,1,0.06419308,0.5789473652839661,0.03254437819123268,0.002403364749625325
YGL134W,YPL203W,1,0.063961655,0.5862069129943848,0.033530570566654205,0.002403364749625325
YDR182W,YDR315C,0,0.06375526,0.5762711763381958,0.033530570566654205,0.002503504976630211
YHR072W,YJR082C,0,0.06326814,0.5666666626930237,0.033530570566654205,0.0026036452036350965
YAL017W,YPL204W,1,0.06304583,0.5737704634666443,0.03451676666736603,0.0026036452036350965
YGL180W,YOL016C,1,0.06287418,0.5806451439857483,0.03550295904278755,0.0026036452036350965
YPL203W,YKL048C,1,0.06273714,0.5873016119003296,0.036489151418209076,0.0026036452036350965
YNR047W,YDR069C,0,0.06270243,0.578125,0.036489151418209076,0.0027037851978093386
YNL183C,YPR120C,1,0.062421113,0.5846154093742371,0.0374753437936306,0.0027037851978093386
YMR268C,YOL146W,0,0.062104803,0.5757575631141663,0.0374753437936306,0.0028039254248142242
