Gene A,Gene B,Label,Score,Precision,Recall,False Positive Rate
YDL097C,YGL048C,1,7.670314,1.0,0.0009756097570061684,0.0
YOR362C,YBL041W,1,6.924726,1.0,0.0019512195140123367,0.0
YPR108W,YOR261C,1,6.863825,1.0,0.002926829271018505,0.0
YBR173C,YPR103W,1,6.8385353,1.0,0.0039024390280246735,0.0
YPR108W,YPR103W,1,6.6926394,1.0,0.004878048785030842,0.0
YPR103W,YDL097C,1,6.675699,1.0,0.00585365854203701,0.0
YOR362C,YDL126C,1,6.6614585,1.0,0.0068292682990431786,0.0
YBR173C,YER021W,1,6.5697374,1.0,0.007804878056049347,0.0
YMR314W,YFR010W,1,6.5277004,1.0,0.008780487813055515,0.0
YBR170C,YER143W,1,6.4577093,1.0,0.009756097570061684,0.0
YDL126C,YPR103W,1,6.3863277,1.0,0.010731707327067852,0.0
YDR394W,YPR108W,1,6.3708196,1.0,0.01170731708407402,0.0
YOL038W,YDL097C,1,6.362484,1.0,0.012682926841080189,0.0
YDL097C,YLR421C,1,6.310093,1.0,0.013658536598086357,0.0
YDL126C,YFR010W,1,6.0802665,1.0,0.014634146355092525,0.0
YDL147W,YPR103W,1,5.9822054,1.0,0.015609756112098694,0.0
YPR103W,YMR067C,1,5.9695807,1.0,0.016585364937782288,0.0
YDL147W,YEL012W,1,5.9626255,1.0,0.01756097562611103,0.0
YER094C,YDL007W,1,5.915448,1.0,0.018536584451794624,0.0
YBR170C,YFR010W,1,5.8922563,1.0,0.019512195140123367,0.0
YOL038W,YFL044C,1,5.743044,1.0,0.02048780396580696,0.0
YKL145W,YGL011C,1,5.7013216,1.0,0.021463414654135704,0.0
YER012W,YIL007C,1,5.650868,1.0,0.022439023479819298,0.0
YDR394W,YOR036W,0,5.6458426,0.9583333134651184,0.022439023479819298,0.00010025062510976568
YLR219W,YNR007C,0,5.468634,0.9200000166893005,0.022439023479819298,0.00020050125021953136
YBL041W,YBL078C,1,5.4643335,0.9230769276618958,0.02341463416814804,0.00020050125021953136
YLR421C,YFR010W,1,5.4435806,0.9259259104728699,0.024390242993831635,0.00020050125021953136
YDL147W,YDL132W,1,5.4175797,0.9285714030265808,0.025365853682160378,0.00020050125021953136
YIL097W,YLR025W,1,5.3861885,0.931034505367279,0.02634146250784397,0.00020050125021953136
YMR115W,YFR004W,1,5.3669515,0.9333333373069763,0.027317073196172714,0.00020050125021953136
YMR115W,YOR157C,1,5.3555965,0.9354838728904724,0.028292682021856308,0.00020050125021953136
YDL147W,YLR025W,1,5.334183,0.9375,0.02926829271018505,0.00020050125021953136
YFR010W,YFL044C,1,5.3287687,0.939393937587738,0.030243901535868645,0.00020050125021953136
YBR170C,YER021W,1,5.2674856,0.9411764740943909,0.031219512224197388,0.00020050125021953136
YOR362C,YOR138C,1,5.2390957,0.9428571462631226,0.03219512104988098,0.00020050125021953136
YOR261C,YEL037C,1,5.2225747,0.9444444179534912,0.033170729875564575,0.00020050125021953136
YDR177W,YCL052C,1,5.2169585,0.9459459185600281,0.03414634242653847,0.00020050125021953136
YDR394W,YOR124C,1,5.212983,0.9473684430122375,0.03512195125222206,0.00020050125021953136
YOR362C,YDL132W,1,5.100857,0.9487179517745972,0.036097560077905655,0.00020050125021953136
YPR108W,YFR010W,1,5.0814524,0.949999988079071,0.03707316890358925,0.00020050125021953136
YGR253C,YEL037C,1,5.062415,0.9512194991111755,0.03804878145456314,0.00020050125021953136
YBR170C,YOR157C,1,5.008569,0.9523809552192688,0.039024390280246735,0.00020050125021953136
YDL147W,YNL159C,1,5.0058975,0.9534883499145508,0.03999999910593033,0.00020050125021953136
YBR170C,YBL078C,1,4.960482,0.9545454382896423,0.04097560793161392,0.00020050125021953136
YOR124C,YER021W,1,4.958647,0.9555555582046509,0.041951220482587814,0.00020050125021953136
YMR115W,YLR025W,1,4.9483347,0.95652174949646,0.04292682930827141,0.00020050125021953136
YER021W,YGL227W,1,4.9398336,0.957446813583374,0.043902438133955,0.00020050125021953136
YMR197C,YMR302C,0,4.933509,0.9375,0.043902438133955,0.00030075188260525465
YBL078C,YOR256C,1,4.890021,0.9387755393981934,0.044878046959638596,0.00030075188260525465
YOR124C,YOR261C,1,4.8827324,0.9399999976158142,0.04585365951061249,0.00030075188260525465
YOR117W,YIL007C,1,4.8816843,0.9411764740943909,0.04682926833629608,0.00030075188260525465
YMR314W,YIL007C,1,4.842969,0.942307710647583,0.047804877161979675,0.00030075188260525465
YNL212W,YGR048W,1,4.8095217,0.9433962106704712,0.04878048598766327,0.00030075188260525465
YDL007W,YEL012W,1,4.746869,0.9444444179534912,0.04975609853863716,0.00030075188260525465
YIR011C,YGR135W,1,4.740308,0.9454545378684998,0.050731707364320755,0.00030075188260525465
YMR077C,YBR170C,1,4.7308264,0.9464285969734192,0.05170731619000435,0.00030075188260525465
YBR273C,YDR057W,1,4.6681304,0.9473684430122375,0.05268292501568794,0.00030075188260525465
YDR059C,YNR006W,0,4.6673293,0.931034505367279,0.05268292501568794,0.0004010025004390627
YMR115W,YOR259C,1,4.6589713,0.9322034120559692,0.053658537566661835,0.0004010025004390627
YFR050C,YKL210W,1,4.6420965,0.9333333373069763,0.05463414639234543,0.0004010025004390627
YLR421C,YHR200W,1,4.6376,0.9344262480735779,0.05560975521802902,0.0004010025004390627
YMR115W,YER012W,1,4.625922,0.9354838728904724,0.056585364043712616,0.0004010025004390627
YBR273C,YPR103W,1,4.580536,0.9365079402923584,0.05756097659468651,0.0004010025004390627
YIR025W,YLR151C,0,4.5795636,0.921875,0.05756097659468651,0.0005012531182728708
YBR273C,YER021W,1,4.5673704,0.9230769276618958,0.0585365854203701,0.0005012531182728708
YOR257W,YLR421C,1,4.565282,0.9242424368858337,0.059512194246053696,0.0005012531182728708
YBR170C,YLR119W,1,4.552134,0.9253731369972229,0.06048780307173729,0.0005012531182728708
YOR138C,YGL011C,1,4.546372,0.9264705777168274,0.06146341562271118,0.0005012531182728708
YBR173C,YBR290W,1,4.542875,0.9275362491607666,0.062439024448394775,0.0005012531182728708
YMR314W,YLR025W,1,4.5347376,0.9285714030265808,0.06341463327407837,0.0005012531182728708
YNR007C,YGL227W,1,4.534456,0.9295774698257446,0.06439024209976196,0.0005012531182728708
YBL058W,YLR025W,1,4.531278,0.9305555820465088,0.06536585092544556,0.0005012531182728708
YFL044C,YIL143C,0,4.5164914,0.9178082346916199,0.06536585092544556,0.0006015037652105093
YPR103W,YPL120W,1,4.513136,0.9189189076423645,0.06634145975112915,0.0006015037652105093
YDR427W,YFR004W,1,4.4489703,0.9200000166893005,0.06731707602739334,0.0006015037652105093
YDR059C,YKL210W,1,4.446294,0.9210526347160339,0.06829268485307693,0.0006015037652105093
YNR026C,YCL052C,1,4.4440193,0.9220778942108154,0.06926829367876053,0.0006015037652105093
YOL133W,YDR059C,1,4.43318,0.9230769276618958,0.07024390250444412,0.0006015037652105093
YBR273C,YDL132W,1,4.429867,0.9240506291389465,0.07121951133012772,0.0006015037652105093
YDR059C,YBL041W,1,4.403864,0.925000011920929,0.07219512015581131,0.0006015037652105093
YBR173C,YDR392W,0,4.3952513,0.9135802388191223,0.07219512015581131,0.0007017544121481478
YKL145W,YLR421C,1,4.394808,0.9146341681480408,0.0731707289814949,0.0007017544121481478
YOR124C,YPL120W,1,4.372698,0.9156626462936401,0.0741463378071785,0.0007017544121481478
YBR170C,YKL145W,1,4.343025,0.9166666865348816,0.07512195408344269,0.0007017544121481478
YMR180C,YDR288W,0,4.313766,0.9058823585510254,0.07512195408344269,0.0008020050008781254
YER143W,YIL007C,1,4.307787,0.9069767594337463,0.07609756290912628,0.0008020050008781254
YBL084C,YBR280C,1,4.296189,0.9080459475517273,0.07707317173480988,0.0008020050008781254
YDR390C,YBR290W,1,4.2765665,0.9090909361839294,0.07804878056049347,0.0008020050008781254
YIR011C,YHR200W,1,4.2662215,0.9101123809814453,0.07902438938617706,0.0008020050008781254
YBR217W,YBR273C,1,4.2574797,0.9111111164093018,0.07999999821186066,0.0008020050008781254
YDL091C,YGL048C,1,4.2532463,0.9120879173278809,0.08097560703754425,0.0008020050008781254
YMR071C,YER021W,0,4.24632,0.9021739363670349,0.08097560703754425,0.000902255647815764
YNR007C,YPL003W,1,4.2388163,0.9032257795333862,0.08195121586322784,0.000902255647815764
YIL065C,YDR533C,0,4.2244897,0.8936170339584351,0.08195121586322784,0.0010025062365457416
YDL147W,YIL136W,0,4.214313,0.8842105269432068,0.08195121586322784,0.001102756941691041
YPL003W,YGR048W,1,4.2085333,0.8854166865348816,0.08292683213949203,0.001102756941691041
YLL029W,YKR014C,0,4.193005,0.876288652420044,0.08292683213949203,0.0012030075304210186
YGR133W,YIL007C,1,4.1923733,0.8775510191917419,0.08390244096517563,0.0012030075304210186
YFR050C,YPR024W,1,4.178855,0.8787878751754761,0.08487804979085922,0.0012030075304210186
YNL223W,YIL017C,1,4.1750107,0.8799999952316284,0.08585365861654282,0.0012030075304210186
YPL120W,YFL044C,1,4.173829,0.8811880946159363,0.08682926744222641,0.0012030075304210186
YNL159C,YDR460W,0,4.163067,0.8725489974021912,0.08682926744222641,0.0013032581191509962
YMR115W,YIL007C,1,4.147956,0.8737863898277283,0.08780487626791,0.0013032581191509962
YNR007C,YIL017C,1,4.1433697,0.875,0.0887804850935936,0.0013032581191509962
YBR231C,YKL188C,0,4.131967,0.8666666746139526,0.0887804850935936,0.0014035088242962956
YMR077C,YLR421C,1,4.1317573,0.8679245114326477,0.08975609391927719,0.0014035088242962956
YGL227W,YER012W,1,4.130494,0.8691588640213013,0.09073171019554138,0.0014035088242962956
YOR256C,YOR261C,1,4.1294937,0.8703703880310059,0.09170731902122498,0.0014035088242962956
YDR177W,YBR290W,1,4.1246853,0.8715596199035645,0.09268292784690857,0.0014035088242962956
YKL034W,YHR027C,1,4.1129317,0.8727272748947144,0.09365853667259216,0.0014035088242962956
YLR025W,YOL088C,0,4.1127863,0.8648648858070374,0.09365853667259216,0.0015037594130262733
YIL156W,YER143W,1,4.10341,0.8660714030265808,0.09463414549827576,0.0015037594130262733
YEL012W,YLR170C,0,4.0937324,0.8584070801734924,0.09463414549827576,0.0016040100017562509
YLR207W,YDL007W,1,4.0920353,0.859649121761322,0.09560975432395935,0.0016040100017562509
YDR394W,YPR107C,0,4.09154,0.852173924446106,0.09560975432395935,0.0017042607069015503
YMR275C,YER021W,1,4.087904,0.8534482717514038,0.09658536314964294,0.0017042607069015503
YNL159C,YLR207W,1,4.0805416,0.8547008633613586,0.09756097197532654,0.0017042607069015503
YPL110C,YMR314W,0,4.0669656,0.8474576473236084,0.09756097197532654,0.001804511295631528
YOL013C,YIR025W,1,4.0649214,0.848739504814148,0.09853658825159073,0.001804511295631528
YDL193W,YKL168C,0,4.063388,0.8416666388511658,0.09853658825159073,0.0019047618843615055
YOR362C,YPL020C,1,4.0575495,0.8429751992225647,0.09951219707727432,0.0019047618843615055
YOL133W,YBR217W,1,4.0554852,0.8442623019218445,0.10048780590295792,0.0019047618843615055
YLR025W,YGL181W,0,4.0504794,0.8373983502388,0.10048780590295792,0.002005012473091483
YLR219W,YDR460W,0,4.0421143,0.8306451439857483,0.10048780590295792,0.0021052630618214607
YNL242W,YJL020C,0,4.0378265,0.8240000009536743,0.10048780590295792,0.002205513883382082
YER021W,YPL020C,1,4.0365963,0.8253968358039856,0.10146341472864151,0.002205513883382082
YBL078C,YGL058W,1,4.026638,0.8267716765403748,0.1024390235543251,0.002205513883382082
YPL084W,YBL078C,1,4.0131984,0.828125,0.1034146323800087,0.002205513883382082
YKL064W,YNL325C,0,4.0105104,0.8217054009437561,0.1034146323800087,0.0023057644721120596
YOL133W,YDR313C,1,3.993884,0.8230769038200378,0.10439024120569229,0.0023057644721120596
YMR077C,YGL048C,1,3.9920468,0.8244274854660034,0.10536585003137589,0.0023057644721120596
YOR080W,YGL011C,1,3.9902866,0.8257575631141663,0.10634146630764008,0.0023057644721120596
YFR004W,YMR201C,0,3.9692862,0.8195488452911377,0.10634146630764008,0.002406015060842037
YKL034W,YDR358W,1,3.965699,0.8208954930305481,0.10731707513332367,0.002406015060842037
YER021W,YOR138C,1,3.9653912,0.8222222328186035,0.10829268395900726,0.002406015060842037
YDR255C,YDL007W,1,3.9623504,0.8235294222831726,0.10926829278469086,0.002406015060842037
YJL006C,YDR163W,0,3.9512968,0.8175182342529297,0.10926829278469086,0.002506265649572015
YOR362C,YBR290W,1,3.9490585,0.8188405632972717,0.11024390161037445,0.002506265649572015
YDR255C,YBR170C,1,3.9423842,0.8201438784599304,0.11121951043605804,0.002506265649572015
YML029W,YGL011C,1,3.9383712,0.8214285969734192,0.11219511926174164,0.002506265649572015
YFL044C,YHR209W,0,3.9301856,0.8156028389930725,0.11219511926174164,0.0026065162383019924
YDR394W,YDR510W,1,3.9279537,0.8169013857841492,0.11317072808742523,0.0026065162383019924
YDR067C,YAL016W,0,3.926546,0.811188817024231,0.11317072808742523,0.00270676682703197
YBR173C,YDL103C,0,3.9211137,0.8055555820465088,0.11317072808742523,0.0028070176485925913
YPL046C,YER143W,1,3.9089537,0.8068965673446655,0.11414634436368942,0.0028070176485925913
YBR201W,YBR170C,1,3.9076946,0.8082191944122314,0.11512195318937302,0.0028070176485925913
YOR124C,YPL020C,1,3.9051697,0.8095238208770752,0.11609756201505661,0.0028070176485925913
YGL004C,YGL227W,1,3.9033813,0.8108108043670654,0.1170731708407402,0.0028070176485925913
YLR128W,YDL097C,1,3.9019246,0.8120805621147156,0.1180487796664238,0.0028070176485925913
YCR066W,YLR102C,1,3.8802366,0.8133333325386047,0.11902438849210739,0.0028070176485925913
YGR048W,YLR119W,1,3.8679707,0.8145695328712463,0.11999999731779099,0.0028070176485925913
YOR256C,YDL132W,1,3.8565066,0.8157894611358643,0.12097560614347458,0.0028070176485925913
YGR135W,YNL008C,1,3.8507152,0.8169934749603271,0.12195122241973877,0.0028070176485925913
YGL011C,YCR042C,0,3.8439915,0.8116883039474487,0.12195122241973877,0.002907268237322569
YNR007C,YDR409W,1,3.8399625,0.8129032254219055,0.12292683124542236,0.002907268237322569
YGR184C,YOL082W,1,3.8309822,0.8141025900840759,0.12390244007110596,0.002907268237322569
YLR417W,YGL004C,1,3.8298154,0.8152866363525391,0.12487804889678955,0.002907268237322569
YDR054C,YDL097C,1,3.8144226,0.8164557218551636,0.12585365772247314,0.002907268237322569
YIL048W,YBR290W,0,3.8135998,0.8113207817077637,0.12585365772247314,0.0030075188260525465
YOR035C,YJL036W,0,3.796547,0.8062499761581421,0.12585365772247314,0.003107769414782524
YMR275C,YBL078C,1,3.7942996,0.8074533939361572,0.12682926654815674,0.003107769414782524
YPL120W,YMR067C,1,3.7914286,0.8086419701576233,0.12780487537384033,0.003107769414782524
YIL097W,YKL210W,1,3.7850275,0.8098159432411194,0.12878048419952393,0.003107769414782524
YOL108C,YPL159C,0,3.7790554,0.8048780560493469,0.12878048419952393,0.0032080200035125017
YGL141W,YER143W,1,3.7691426,0.8060606122016907,0.12975609302520752,0.0032080200035125017
YJR090C,YOR362C,1,3.7653193,0.8072289228439331,0.1307317018508911,0.0032080200035125017
YGL180W,YGL141W,0,3.755249,0.802395224571228,0.1307317018508911,0.0033082705922424793
YIL063C,YDL165W,0,3.7489944,0.7976190447807312,0.1307317018508911,0.0034085214138031006
YLR097C,YLR207W,1,3.7478623,0.7988165616989136,0.1317073106765747,0.0034085214138031006
YOR057W,YHR027C,1,3.7452798,0.800000011920929,0.1326829195022583,0.0034085214138031006
YOL082W,YGR048W,1,3.7430189,0.8011695742607117,0.1336585432291031,0.0034085214138031006
YKL049C,YDR453C,0,3.7416553,0.7965116500854492,0.1336585432291031,0.003508772002533078
YDL115C,YNL212W,0,3.7406924,0.7919074892997742,0.1336585432291031,0.003609022591263056
YGR009C,YNL009W,0,3.737848,0.7873563170433044,0.1336585432291031,0.0037092731799930334
YMR304W,YMR067C,1,3.7348728,0.7885714173316956,0.13463415205478668,0.0037092731799930334
YDL147W,YMR022W,1,3.7346716,0.7897727489471436,0.13560976088047028,0.0037092731799930334
YMR276W,YHR200W,1,3.7324977,0.790960431098938,0.13658536970615387,0.0037092731799930334
YKL213C,YPL096W,1,3.7289557,0.7921348214149475,0.13756097853183746,0.0037092731799930334
YOR257W,YGL011C,1,3.7196236,0.7932960987091064,0.13853658735752106,0.0037092731799930334
YNL212W,YGL048C,1,3.7049537,0.7944444417953491,0.13951219618320465,0.0037092731799930334
YDL147W,YNL311C,1,3.6977525,0.7955800890922546,0.14048780500888824,0.0037092731799930334
YHR016C,YPL159C,0,3.6971736,0.791208803653717,0.14048780500888824,0.003809523768723011
YLR417W,YMR314W,1,3.6828103,0.7923497557640076,0.14146341383457184,0.003809523768723011
YER094C,YJL047C,1,3.6733558,0.79347825050354,0.14243902266025543,0.003809523768723011
YHR171W,YBL041W,1,3.661796,0.7945945858955383,0.14341463148593903,0.003809523768723011
YNL159C,YHR178W,0,3.655355,0.7903226017951965,0.14341463148593903,0.003909774590283632
YOL013C,YHR166C,1,3.6502678,0.7914438247680664,0.14439024031162262,0.003909774590283632
YOR261C,YPL096W,1,3.6500845,0.792553186416626,0.1453658491373062,0.003909774590283632
YMR264W,YPL042C,0,3.6457634,0.7883597612380981,0.1453658491373062,0.004010024946182966
YBR290W,YCL039W,1,3.6442213,0.7894737124443054,0.1463414579629898,0.004010024946182966
YMR275C,YNL008C,1,3.6386704,0.7905759215354919,0.1473170667886734,0.004010024946182966
YMR135C,YKL145W,1,3.6375782,0.7916666865348816,0.148292675614357,0.004010024946182966
